	0	1	2	3	4	5	6	7	8	9
21000		[1.969558729393413, 1.969558729393413, 1925.9729186962159, 0.4025000035762787, 0.0]	[1.9677148821921355, 1.9677148821921355, 1924.9590444296027, 0.40416666865348816, 0.0]	[1.9699123144224127, 1.9699123144224127, 1928.525189066754, 0.39916667342185974, 0.0]		[1.980536589510066, 1.980536589510066, 1933.6643816526275, 0.4116666615009308, 0.0]		[1.9713131856293225, 1.9713131856293225, 1932.748702001747, 0.40666666626930237, 0.0]	[1.9678468695281406, 1.9678468695281406, 1924.610517799967, 0.40416666865348816, 0.0]	[1.9677011385334393, 1.9677011385334393, 1924.9223705083032, 0.40583333373069763, 0.0]
22000		[1.9695490869805867, 1.9695490869805867, 1926.0885558280388, 0.4033333361148834, 0.0]	[1.9677115259099882, 1.9677115259099882, 1924.8946070453972, 0.40416666865348816, 0.0]	[1.9698842823058724, 1.9698842823058724, 1928.4277595298986, 0.39916667342185974, 0.0]		[1.9787754259656687, 1.9787754259656687, 1930.8782133760647, 0.4050000011920929, 0.0]		[1.97123030485847, 1.97123030485847, 1932.1142394337546, 0.40666666626930237, 0.0]	[1.9677148285195467, 1.9677148285195467, 1924.7032962138876, 0.40416666865348816, 0.0]	[1.967699331313403, 1.967699331313403, 1924.9337613228008, 0.40583333373069763, 0.0]
23000		[1.9695437092655996, 1.9695437092655996, 1926.153646311343, 0.40416666865348816, 0.0]	[1.9677110436395113, 1.9677110436395113, 1924.8566250846652, 0.40416666865348816, 0.0]	[1.9698709976430036, 1.9698709976430036, 1928.4568670476397, 0.39916667342185974, 0.0]		[1.9777524794634431, 1.9777524794634431, 1930.5331407964204, 0.4033333361148834, 0.0]		[1.9712163902323137, 1.9712163902323137, 1932.3721520318477, 0.4074999988079071, 0.0]	[1.9677120777121653, 1.9677120777121653, 1924.6310203770772, 0.40416666865348816, 0.0]	[1.9676969744893165, 1.9676969744893165, 1924.910952350146, 0.40583333373069763, 0.0]
24000		[1.9695372866748377, 1.9695372866748377, 1926.2166541807187, 0.4050000011920929, 0.0]	[1.9677100879978653, 1.9677100879978653, 1924.8016813798463, 0.40416666865348816, 0.0]	[1.9698646503847714, 1.9698646503847714, 1928.318289030664, 0.39916667342185974, 0.0]		[1.976954830280444, 1.976954830280444, 1930.5287800227181, 0.40416666865348816, 0.0]		[1.971094236924412, 1.971094236924412, 1932.3909471466359, 0.40666666626930237, 0.0]	[1.967710075623721, 1.967710075623721, 1924.6321852446895, 0.40416666865348816, 0.0]	[1.9676943890911995, 1.9676943890911995, 1924.9054113756779, 0.40583333373069763, 0.0]
25000		[1.969529948888697, 1.969529948888697, 1926.2644065662062, 0.4050000011920929, 0.0]	[1.9677083615164654, 1.9677083615164654, 1924.7624634316567, 0.40416666865348816, 0.0]	[1.9698549119073476, 1.9698549119073476, 1928.1177804157583, 0.39916667342185974, 0.0]		[1.9722346851900963, 1.9722346851900963, 1929.0542154208742, 0.40416666865348816, 0.0]		[1.9703474005783268, 1.9703474005783268, 1929.036844449829, 0.40666666626930237, 0.0]	[1.967709554286795, 1.967709554286795, 1924.6681520323718, 0.40416666865348816, 0.0]	[1.9676907906074996, 1.9676907906074996, 1924.794721648997, 0.4050000011920929, 0.0]
26000		[1.9695228850998454, 1.9695228850998454, 1926.4394465584828, 0.4050000011920929, 0.0]							[1.9677039569994716, 1.9677039569994716, 1924.556375450664, 0.40416666865348816, 0.0]	
27000		[1.9695154000014565, 1.9695154000014565, 1926.5939744294542, 0.40583333373069763, 0.0]							[1.9677030730511336, 1.9677030730511336, 1924.5196100965352, 0.40416666865348816, 0.0]	
28000		[1.9695029277869418, 1.9695029277869418, 1926.6617497904192, 0.4050000011920929, 0.0]							[1.9677015464561238, 1.9677015464561238, 1924.512847898532, 0.40416666865348816, 0.0]	
29000		[1.9694876794020137, 1.9694876794020137, 1926.7475118385594, 0.4050000011920929, 0.0]							[1.9677010153048604, 1.9677010153048604, 1924.493944214777, 0.40416666865348816, 0.0]	
30000		[1.9694709888804045, 1.9694709888804045, 1926.9241469964118, 0.4050000011920929, 0.0]							[1.967700852682379, 1.967700852682379, 1924.4793472327617, 0.40416666865348816, 0.0]	
31000		[1.9694500900765275, 1.9694500900765275, 1927.0834078777807, 0.4050000011920929, 0.0]								
32000		[1.9694284090274077, 1.9694284090274077, 1927.2903918138525, 0.4050000011920929, 0.0]								
33000		[1.9692554590553586, 1.9692554590553586, 1927.0041195943838, 0.4033333361148834, 0.0]								
34000		[1.968844291790004, 1.968844291790004, 1925.2780698799938, 0.40583333373069763, 0.0]								
35000		[1.968627005932836, 1.968627005932836, 1924.5464638486721, 0.40666666626930237, 0.0]								
36000		[1.968387684496695, 1.968387684496695, 1924.699004637046, 0.40666666626930237, 0.0]								
37000		[1.9683160652873093, 1.9683160652873093, 1925.0186790164234, 0.4074999988079071, 0.0]								
38000		[1.9683104559003832, 1.9683104559003832, 1925.0442302606007, 0.4074999988079071, 0.0]								
39000		[1.9683026477875074, 1.9683026477875074, 1924.9827425435224, 0.40666666626930237, 0.0]								
40000		[1.968196570553795, 1.968196570553795, 1924.2652976523755, 0.40833333134651184, 0.0]								
41000		[1.9681927472157743, 1.9681927472157743, 1924.248313477823, 0.40833333134651184, 0.0]								
42000		[1.9681784302827658, 1.9681784302827658, 1924.2261603365987, 0.40833333134651184, 0.0]								
43000		[1.9681669186950685, 1.9681669186950685, 1924.0274494692367, 0.40833333134651184, 0.0]								
44000		[1.9681640318593105, 1.9681640318593105, 1924.081103925434, 0.40833333134651184, 0.0]								
45000		[1.9681637738359552, 1.9681637738359552, 1924.12601358431, 0.40833333134651184, 0.0]								
46000		[1.9681493361330058, 1.9681493361330058, 1924.0800020887073, 0.40833333134651184, 0.0]								
47000		[1.9681173959466312, 1.9681173959466312, 1923.9240169222658, 0.4074999988079071, 0.0]								
48000		[1.9680962123523544, 1.9680962123523544, 1923.5790240452961, 0.4074999988079071, 0.0]								
49000		[1.968040505156075, 1.968040505156075, 1923.5475486479022, 0.4074999988079071, 0.0]								
50000		[1.9679913277104073, 1.9679913277104073, 1923.696457739102, 0.4074999988079071, 0.0]								
51000		[1.9679902637159523, 1.9679902637159523, 1923.7524585269239, 0.4074999988079071, 0.0]								
52000		[1.967971833950678, 1.967971833950678, 1923.5764576660022, 0.4074999988079071, 0.0]								
