Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-AN-A0XP	7.22E-01	3.71E-01	3.07E-01	7.86E-01	5.42E-01	7.00E-01	1.00E+00	2.00E-01	6.33E-01	1.08E+00	1.05E+00	5.93E-01
BRCA_TCGA-AN-A0XR	5.82E-01	0.00E+00	1.00E-01	8.72E-01	7.06E-01	1.33E-01	0.00E+00	6.00E-01	8.00E-01	1.48E+00	9.43E-01	1.00E-01
BRCA_TCGA-AN-A0XS	5.93E-01	1.00E-01	6.29E-01	6.54E-01	3.06E-01	0.00E+00	0.00E+00	7.48E-01	1.28E+00	1.18E+00	4.82E-01	6.16E-01
BRCA_TCGA-AN-A0XT	1.03E+00	0.00E+00	3.07E-01	6.18E-01	7.46E-01	5.67E-01	4.82E-01	3.06E-01	1.34E+00	5.59E-01	3.27E-01	0.00E+00
BRCA_TCGA-AN-A0XU	1.08E+00	1.03E+00	9.07E-01	5.00E-01	2.37E+00	1.06E+00	7.02E-01	2.40E+00	2.85E+00	2.99E+00	1.92E+00	4.96E-01
BRCA_TCGA-AN-A0XV	1.18E+00	0.00E+00	8.62E-01	7.46E-01	1.01E+00	6.96E-01	5.21E-01	9.67E-01	8.56E-01	9.89E-01	1.09E+00	0.00E+00
BRCA_TCGA-AN-A0XW	1.28E+00	6.29E-01	2.63E+00	1.00E+00	8.00E-01	1.08E+00	0.00E+00	0.00E+00	1.52E+00	4.00E-01	3.16E+00	7.31E-01
BRCA_TCGA-AO-A03M	1.36E+00	2.43E+00	1.00E+01	7.61E-01	1.33E+00	5.93E-01	8.72E-01	1.92E+00	9.00E-01	2.67E+00	1.11E+01	4.82E-01
BRCA_TCGA-AO-A03N	1.47E+00	1.03E+00	1.73E+00	1.02E+00	2.12E+00	7.02E-01	2.13E-01	1.18E+00	1.33E+00	1.72E+00	2.33E+00	3.42E-01
BRCA_TCGA-AO-A03U	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.33E-01	2.00E-01	4.58E-01	5.00E-01	2.77E-01
BRCA_TCGA-AO-A03V	1.22E+00	5.63E-01	9.66E-01	6.01E-01	8.06E-01	6.90E-01	3.06E-01	4.07E-01	2.12E+00	2.01E+00	1.62E+00	1.00E+00
BRCA_TCGA-AO-A0JG	0.00E+00	6.40E-01	0.00E+00	2.00E-01	2.67E-01	6.29E-01	6.19E-01	8.17E-01	5.81E-01	7.92E-01	7.00E-01	4.71E-01
BRCA_TCGA-AO-A124	1.90E+00	1.54E+00	1.20E+00	1.16E+00	1.83E+00	0.00E+00	1.35E+00	3.30E+00	3.03E+00	3.76E+00	1.56E+00	1.23E+00
BRCA_TCGA-AO-A125	1.05E+00	2.11E-01	9.87E-01	5.00E-01	9.19E-01	3.79E-01	5.17E-01	4.71E-01	1.45E+00	7.81E-01	8.75E-01	0.00E+00
BRCA_TCGA-AO-A126	7.33E-01	0.00E+00	6.29E-01	0.00E+00	0.00E+00	0.00E+00	1.00E-01	8.17E-01	5.26E-01	1.25E+00	6.01E-01	0.00E+00
BRCA_TCGA-AO-A128	1.04E+01	6.96E-01	4.15E+00	1.29E+01	3.94E+01	6.00E+00	1.59E+01	4.85E+01	2.98E+00	1.61E+00	2.48E+00	2.53E+00
BRCA_TCGA-AO-A129	1.77E+00	4.47E-01	8.33E-01	6.54E-01	9.00E-01	1.38E+00	1.44E+00	2.43E+00	2.17E+00	4.13E+00	1.24E+00	1.18E+00
BRCA_TCGA-AO-A12A	8.00E-01	0.00E+00	0.00E+00	8.03E-01	1.00E-01	0.00E+00	0.00E+00	5.54E-01	5.12E-01	7.90E-01	4.07E-01	3.40E-01
BRCA_TCGA-AO-A12B	8.59E-01	2.21E-01	2.00E-01	2.21E-01	0.00E+00	4.23E-01	7.95E-01	9.00E-01	0.00E+00	8.98E-01	1.53E-01	6.05E-01
BRCA_TCGA-AO-A12D	1.43E+00	8.00E-01	1.54E+00	0.00E+00	3.06E-01	0.00E+00	0.00E+00	6.16E-01	2.51E+00	9.32E-01	1.65E+00	2.00E-01
BRCA_TCGA-AO-A12E	1.17E+00	0.00E+00	6.84E-01	6.74E-01	5.26E-01	0.00E+00	0.00E+00	5.93E-01	1.11E+00	1.26E+00	3.96E-01	0.00E+00
BRCA_TCGA-AO-A12F	1.13E+00	7.12E-01	9.19E-01	9.91E-01	9.92E-01	7.37E-01	1.19E+00	1.00E+00	9.64E-01	1.56E+00	0.00E+00	2.00E-01
BRCA_TCGA-AO-A12G	1.35E+00	0.00E+00	3.40E-01	4.07E-01	7.31E-01	0.00E+00	8.17E-01	4.00E-01	1.82E+00	8.46E-01	1.56E+00	0.00E+00
BRCA_TCGA-AO-A12H	9.57E-01	0.00E+00	4.33E-01	8.95E-01	5.86E-01	0.00E+00	1.02E+00	4.71E-01	8.79E-01	8.54E-01	0.00E+00	0.00E+00
BRCA_TCGA-AO-A1KO	0.00E+00	1.00E-01	3.79E-01	0.00E+00	2.49E-01	0.00E+00	5.33E-01	2.21E-01	0.00E+00	5.42E-01	0.00E+00	0.00E+00
BRCA_TCGA-AO-A1KR	5.73E-01	3.48E-01	6.83E-01	3.00E-01	9.92E-01	4.27E-01	1.50E+00	1.09E+00	1.66E+00	3.25E+00	1.06E+00	0.00E+00
BRCA_TCGA-AO-A1KT	9.55E-01	0.00E+00	8.98E-01	4.22E-01	1.09E+00	4.67E-01	1.66E+00	1.12E+00	1.14E+00	1.08E+00	5.17E-01	0.00E+00
