Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L
BRCA_TCGA-BH-A1EY	1.10E+00	0.00E+00	7.81E-01	4.28E-01	1.13E+00	0.00E+00	1.23E+00	6.71E-01	1.57E+00	1.51E+00	1.38E+00	1.00E-01
BRCA_TCGA-BH-A1F0	8.54E-01	4.99E-01	8.54E-01	1.00E-01	4.00E-01	8.19E-01	9.87E-01	1.47E+00	7.78E-01	1.90E+00	2.31E+00	0.00E+00
BRCA_TCGA-BH-A1F2	1.61E+00	5.59E-01	9.75E-01	1.13E+00	1.28E+00	5.37E-01	8.06E-01	5.16E-01	1.22E+00	8.84E-01	1.08E+00	0.00E+00
BRCA_TCGA-BH-A1F5	1.01E+00	4.16E-01	6.84E-01	1.00E-01	0.00E+00	4.99E-01	4.76E-01	2.00E-01	1.61E+00	9.48E-01	6.33E-01	0.00E+00
BRCA_TCGA-BH-A1F6	1.13E+00	2.67E-01	3.07E-01	1.19E+00	1.04E+00	0.00E+00	5.12E-01	7.92E-01	1.38E+00	1.25E+00	1.05E+00	1.13E+00
BRCA_TCGA-BH-A1F8	1.56E+00	1.36E+00	1.50E+00	8.36E-01	7.90E-01	5.81E-01	2.24E-01	2.67E-01	2.24E+00	1.04E+00	2.64E+00	5.22E-01
BRCA_TCGA-BH-A1FC	1.78E+00	8.30E-01	8.33E-01	1.80E+00	1.18E+00	8.60E-01	1.10E+00	2.15E+00	2.03E+00	2.68E+00	1.84E+00	8.83E-01
BRCA_TCGA-BH-A1FE	4.27E-01	6.05E-01	3.33E-01	3.79E-01	1.00E-01	5.00E-01	4.07E-01	7.95E-01	1.19E+00	1.02E+00	4.67E-01	7.12E-01
BRCA_TCGA-BH-A1FG	7.34E-01	8.23E-01	3.79E-01	2.69E-01	8.20E-01	2.13E-01	0.00E+00	4.76E-01	6.29E-01	5.67E-01	5.00E-01	0.00E+00
BRCA_TCGA-BH-A1FH	1.59E+00	0.00E+00	6.40E-01	1.05E+00	5.00E-01	0.00E+00	0.00E+00	4.00E-01	1.61E+00	7.49E-01	7.22E-01	9.68E-01
BRCA_TCGA-BH-A1FJ	1.67E+00	2.24E-01	1.33E-01	6.53E-01	4.23E-01	3.94E-01	0.00E+00	5.58E-01	1.90E+00	1.38E+00	1.00E-01	0.00E+00
BRCA_TCGA-BH-A1FL	1.01E+00	2.13E-01	4.67E-01	7.61E-01	2.00E-01	0.00E+00	9.91E-01	8.41E-01	1.08E+00	6.46E-01	4.58E-01	0.00E+00
BRCA_TCGA-BH-A1FM	1.87E+00	0.00E+00	7.12E-01	1.16E+00	1.00E-01	5.39E-01	5.97E-01	4.00E-01	1.00E+00	1.73E+00	1.89E+00	0.00E+00
BRCA_TCGA-BH-A1FN	9.31E-01	8.84E-01	1.19E+00	4.27E-01	7.48E-01	1.36E+00	1.11E+00	5.09E+00	2.11E+00	4.24E+00	2.61E+00	1.29E+00
BRCA_TCGA-BH-A1FR	9.22E-01	0.00E+00	4.67E-01	3.00E-01	4.58E-01	0.00E+00	0.00E+00	4.58E-01	1.00E-01	8.69E-01	7.90E-01	1.00E-01
BRCA_TCGA-BH-A1FU	1.52E+00	8.36E-01	1.08E+00	1.31E+00	9.33E-01	6.96E-01	2.31E+00	1.82E+00	2.04E+00	1.79E+00	1.04E+00	9.80E-01
BRCA_TCGA-BH-A201	8.27E-01	5.47E-01	5.59E-01	4.96E-01	8.00E-01	7.67E-01	5.47E-01	7.89E-01	5.63E-01	8.97E-01	6.90E-01	2.00E-01
BRCA_TCGA-BH-A202	7.90E-01	1.01E+00	4.58E-01	3.40E-01	6.53E-01	6.05E-01	4.82E-01	2.13E-01	1.02E+00	9.29E-01	6.96E-01	2.00E-01
BRCA_TCGA-BH-A203	2.11E+00	4.96E-01	1.31E+00	1.33E+00	1.56E+00	1.03E+00	4.90E-01	1.65E+00	1.49E+00	1.61E+00	1.29E+00	4.16E-01
BRCA_TCGA-BH-A204	1.40E+00	8.00E-01	7.31E-01	5.43E-01	7.63E-01	9.60E-01	6.05E-01	7.81E-01	1.27E+00	1.35E+00	1.04E+00	0.00E+00
BRCA_TCGA-BH-A208	1.28E+00	0.00E+00	1.39E+00	2.00E-01	2.13E-01	0.00E+00	7.34E-01	1.37E+00	3.34E+00	1.81E+00	1.81E+00	1.00E-01
BRCA_TCGA-BH-A209	2.00E-01	3.59E-01	1.59E+00	7.06E-01	6.74E-01	0.00E+00	4.01E-01	1.53E-01	1.32E+00	9.29E-01	2.27E+00	0.00E+00
BRCA_TCGA-BH-A28Q	1.27E+00	0.00E+00	5.12E-01	7.33E-01	4.73E-01	0.00E+00	0.00E+00	3.00E-01	9.21E-01	8.46E-01	7.00E-01	5.43E-01
BRCA_TCGA-BH-A2L8	1.18E+00	1.48E+00	5.27E+00	6.96E-01	1.27E+00	8.57E-01	0.00E+00	0.00E+00	2.74E+00	6.83E-01	3.99E+00	0.00E+00
BRCA_TCGA-BH-A42U	4.76E-01	0.00E+00	8.70E-01	0.00E+00	0.00E+00	4.58E-01	0.00E+00	3.35E-01	1.65E+00	7.12E-01	1.49E+00	0.00E+00
BRCA_TCGA-BH-A42V	6.80E-01	0.00E+00	1.07E+00	0.00E+00	0.00E+00	0.00E+00	4.33E-01	2.13E-01	1.72E+00	6.05E-01	1.12E+00	0.00E+00
BRCA_TCGA-BH-A5IZ	1.48E+00	6.50E-01	9.00E-01	6.70E-01	5.54E-01	1.83E+00	1.62E+00	1.48E+00	1.49E+00	3.81E+00	1.64E+00	1.00E-01
BRCA_TCGA-BH-A5J0	2.03E+00	5.37E-01	2.02E+00	1.04E+00	0.00E+00	6.57E-01	1.24E+00	1.31E+00	1.94E+00	1.53E+00	3.09E+00	0.00E+00
BRCA_TCGA-BH-A6R8	1.19E+00	0.00E+00	8.54E-01	1.05E+00	8.31E-01	2.67E-01	5.81E-01	3.59E-01	4.73E-01	1.02E+00	9.68E-01	0.00E+00
BRCA_TCGA-BH-A6R9	7.52E-01	4.52E-01	6.87E-01	4.23E-01	2.13E-01	4.16E-01	2.67E-01	5.58E-01	1.24E+00	1.08E+00	0.00E+00	2.00E-01
BRCA_TCGA-BH-A8FY	2.67E-01	4.42E-01	1.50E+00	7.15E-01	1.41E+00	3.00E-01	0.00E+00	1.24E+00	1.22E+00	1.76E+00	1.79E+00	9.12E-01
BRCA_TCGA-BH-A8FZ	1.33E+00	5.82E-01	7.16E-01	1.59E+00	3.07E-01	8.19E-01	1.40E+00	1.03E+00	0.00E+00	2.65E+00	1.94E+00	8.54E-01
BRCA_TCGA-BH-A8G0	8.70E-01	0.00E+00	6.01E-01	4.23E-01	7.49E-01	0.00E+00	1.16E+00	1.34E+00	3.79E-01	0.00E+00	1.00E-01	3.96E-01
BRCA_TCGA-BH-AB28	1.07E+00	4.23E-01	5.17E-01	9.07E-01	1.48E+00	1.33E-01	3.40E-01	9.55E-01	1.15E+00	1.00E+00	8.06E-01	5.93E-01
BRCA_TCGA-C8-A12K	1.23E+00	5.93E-01	1.39E+00	8.83E-01	1.45E+00	2.00E-01	9.45E-01	1.36E+00	2.81E+00	2.24E+00	2.68E+00	1.37E+00
BRCA_TCGA-C8-A12L	6.05E-01	0.00E+00	3.40E-01	1.25E+00	2.01E+00	1.37E+00	0.00E+00	7.30E-01	2.63E+00	1.50E+00	1.10E+00	5.97E-01
BRCA_TCGA-C8-A12M	1.47E+00	6.84E-01	1.35E+00	1.42E+00	1.71E+00	0.00E+00	9.00E-01	1.63E+00	1.51E+00	1.45E+00	1.00E+00	9.78E-01
BRCA_TCGA-C8-A12N	9.24E-01	4.58E-01	0.00E+00	3.06E-01	9.92E-01	0.00E+00	7.45E-01	1.00E-01	9.00E-01	1.10E+00	9.24E-01	6.29E-01
BRCA_TCGA-C8-A12O	1.32E+00	2.98E-01	1.13E+00	3.00E-01	3.00E-01	4.99E-01	3.06E-01	9.91E-01	1.57E+00	9.92E-01	8.75E-01	0.00E+00
BRCA_TCGA-C8-A12P	2.19E+00	7.15E-01	1.99E+00	1.30E+00	1.28E+00	0.00E+00	1.14E+00	5.43E-01	3.11E+00	1.75E+00	1.30E+00	8.97E-01
BRCA_TCGA-C8-A12Q	7.75E-01	8.46E-01	2.13E+00	1.34E+00	2.69E-01	9.45E-01	1.12E+00	1.40E+00	1.82E+00	1.43E+00	2.62E+00	5.04E-01
BRCA_TCGA-C8-A12T	1.31E+00	8.14E-01	1.71E+00	1.43E+00	1.36E+00	8.27E-01	4.33E-01	7.00E-01	1.32E+00	1.80E+00	1.66E+00	0.00E+00
BRCA_TCGA-C8-A12U	1.41E+00	0.00E+00	8.03E-01	9.43E-01	9.68E-01	0.00E+00	4.67E-01	4.67E-01	2.31E+00	2.08E+00	6.54E-01	0.00E+00
BRCA_TCGA-C8-A12V	5.86E-01	1.00E-01	6.80E-01	0.00E+00	1.97E+00	8.03E-01	3.07E-01	8.88E-01	1.12E+00	1.67E+00	6.90E-01	5.59E-01
BRCA_TCGA-C8-A12W	1.33E+00	3.67E-01	9.78E-01	3.42E-01	1.00E+00	1.00E-01	1.19E+00	9.80E-01	1.51E+00	1.15E+00	9.36E-01	0.00E+00
BRCA_TCGA-C8-A12X	1.84E+00	2.00E-01	8.57E-01	6.54E-01	1.34E+00	2.00E-01	5.33E-01	8.30E-01	1.87E+00	1.42E+00	6.50E-01	1.27E+00
BRCA_TCGA-C8-A12Y	1.53E+00	3.59E-01	4.07E-01	1.83E+00	1.08E+00	7.75E-01	1.34E+00	1.21E+00	0.00E+00	1.17E+00	4.22E-01	0.00E+00
BRCA_TCGA-C8-A12Z	1.19E+00	4.99E-01	6.32E-01	8.33E-01	8.33E-01	0.00E+00	7.33E-01	4.00E-01	1.72E+00	9.71E-01	1.61E+00	0.00E+00
BRCA_TCGA-C8-A130	1.35E+00	0.00E+00	1.24E+00	0.00E+00	8.14E-01	2.69E-01	5.73E-01	1.24E+00	1.12E+00	1.17E+00	6.74E-01	4.23E-01
BRCA_TCGA-C8-A131	8.54E-01	4.73E-01	1.06E+00	1.94E+00	8.54E-01	6.00E-01	1.25E+00	1.89E+00	2.37E+00	2.25E+00	1.24E+00	2.21E-01
BRCA_TCGA-C8-A132	9.20E-01	2.60E-01	5.62E-01	1.12E+00	1.13E+00	0.00E+00	7.06E-01	1.19E+00	1.24E+00	1.26E+00	1.71E+00	4.07E-01
BRCA_TCGA-C8-A133	0.00E+00	5.22E-01	5.82E-01	0.00E+00	8.70E-01	8.00E-01	0.00E+00	6.96E-01	1.29E+00	1.38E+00	7.02E-01	4.94E-01
BRCA_TCGA-C8-A134	7.37E-01	9.19E-01	1.94E+00	9.75E-01	1.45E+00	2.09E+00	7.12E-01	1.39E+00	1.71E+00	3.56E+00	7.92E-01	0.00E+00
BRCA_TCGA-C8-A135	2.21E+00	4.33E-01	8.82E-01	1.64E+00	1.56E+00	1.00E+00	1.27E+00	6.29E-01	5.17E-01	1.87E+00	8.00E-01	0.00E+00
BRCA_TCGA-C8-A137	1.19E+00	0.00E+00	1.34E+00	0.00E+00	0.00E+00	1.00E-01	4.99E-01	6.00E-01	1.16E+00	9.66E-01	1.33E+00	4.16E-01
BRCA_TCGA-C8-A138	9.66E-01	8.00E-01	7.67E-01	0.00E+00	6.00E-01	1.00E+00	1.05E+00	1.49E+00	1.36E+00	1.97E+00	5.26E-01	0.00E+00
BRCA_TCGA-C8-A1HE	9.07E-01	0.00E+00	5.59E-01	2.21E-01	4.00E-01	0.00E+00	4.23E-01	1.24E+00	1.71E+00	1.02E+00	7.31E-01	6.29E-01
BRCA_TCGA-C8-A1HF	7.95E-01	1.07E+00	7.06E-01	5.17E-01	3.00E-01	5.78E-01	0.00E+00	6.57E-01	1.27E+00	7.67E-01	1.01E+00	2.00E-01
BRCA_TCGA-C8-A1HG	1.94E+00	0.00E+00	9.21E-01	1.54E+00	7.48E-01	4.23E-01	1.46E+00	8.82E-01	1.57E+00	1.62E+00	1.07E+00	6.51E-01
BRCA_TCGA-C8-A1HI	1.84E+00	5.37E-01	8.33E-01	8.94E-01	2.09E+00	5.47E-01	1.47E+00	1.40E+00	2.81E+00	1.38E+00	1.26E+00	0.00E+00
BRCA_TCGA-C8-A1HJ	1.32E+00	5.86E-01	1.67E+00	1.23E+00	2.11E+00	1.34E+00	1.47E+00	2.52E+00	9.00E-01	2.45E+00	1.11E+00	1.60E+00
BRCA_TCGA-C8-A1HK	1.41E+00	5.59E-01	1.28E+00	1.07E+00	8.41E-01	3.40E-01	6.11E-01	8.44E-01	5.81E-01	6.96E-01	1.17E+00	0.00E+00
BRCA_TCGA-C8-A1HL	9.68E-01	5.78E-01	3.48E-01	1.10E+00	4.90E-01	9.80E-01	0.00E+00	9.43E-01	1.65E+00	8.30E-01	0.00E+00	2.67E-01
BRCA_TCGA-C8-A1HM	2.31E+00	1.32E+00	3.37E+00	1.36E+00	1.31E+00	2.67E-01	0.00E+00	2.59E+00	2.12E+00	3.43E+00	3.76E+00	7.34E-01
BRCA_TCGA-C8-A1HN	1.78E+00	3.00E-01	6.80E-01	7.18E-01	1.33E+00	6.36E-01	8.92E-01	1.46E+00	2.50E+00	2.32E+00	6.11E-01	5.37E-01
BRCA_TCGA-C8-A1HO	1.07E+00	5.26E-01	5.86E-01	0.00E+00	1.02E+00	5.17E-01	1.01E+00	6.74E-01	1.73E+00	8.00E-01	1.52E+00	0.00E+00
BRCA_TCGA-C8-A26V	1.12E+00	4.82E-01	1.08E+00	7.95E-01	1.00E-01	4.00E-01	8.44E-01	1.72E+00	8.23E-01	1.70E+00	2.22E+00	9.87E-01
BRCA_TCGA-C8-A26W	9.43E-01	0.00E+00	1.53E+00	6.33E-01	3.79E-01	0.00E+00	1.16E+00	1.01E+00	1.64E+00	8.06E-01	1.58E+00	1.33E-01
BRCA_TCGA-C8-A26X	1.45E+00	2.58E-01	1.13E+00	7.67E-01	8.69E-01	9.43E-01	1.70E+00	1.95E+00	2.21E+00	2.32E+00	6.50E-01	3.67E-01
BRCA_TCGA-C8-A26Y	1.83E+00	2.30E+00	6.41E+00	1.33E+00	2.06E+00	1.58E+00	2.04E+00	3.56E+00	3.04E+00	4.31E+00	7.11E+00	1.91E+00
BRCA_TCGA-C8-A26Z	1.67E+00	4.99E-01	6.70E-01	6.46E-01	3.42E-01	0.00E+00	4.01E-01	7.95E-01	1.20E+00	2.31E+00	3.07E-01	6.18E-01
BRCA_TCGA-C8-A273	1.03E+00	5.04E-01	3.71E-01	7.27E-01	4.47E-01	0.00E+00	0.00E+00	4.00E-01	1.03E+00	9.52E-01	2.33E-01	5.81E-01
BRCA_TCGA-C8-A274	1.45E+00	9.80E-01	2.49E+00	1.53E+00	2.08E+00	1.41E+00	1.85E+00	1.33E+00	1.97E+00	4.29E+00	3.11E+00	1.33E-01
BRCA_TCGA-C8-A275	1.40E+00	0.00E+00	1.61E+00	1.14E+00	1.40E+00	0.00E+00	1.11E+00	4.07E-01	1.61E+00	1.51E+00	1.78E+00	5.73E-01
BRCA_TCGA-C8-A278	1.25E+00	3.67E-01	9.09E-01	6.11E-01	1.01E+00	0.00E+00	6.54E-01	1.17E+00	1.29E+00	2.40E+00	1.20E+00	2.00E-01
BRCA_TCGA-C8-A27A	4.77E-01	9.21E-01	1.03E+00	2.67E-01	0.00E+00	0.00E+00	6.86E-01	7.95E-01	9.55E-01	1.31E+00	7.63E-01	4.01E-01
BRCA_TCGA-C8-A27B	4.52E-01	7.89E-01	1.39E+00	6.67E-01	7.02E-01	1.02E+00	1.53E+00	1.53E+00	5.12E-01	3.33E+00	2.17E+00	6.36E-01
BRCA_TCGA-C8-A3M7	9.43E-01	4.82E-01	3.03E+00	4.27E-01	9.29E-01	1.18E+00	9.55E-01	1.30E+00	1.67E+00	1.35E+00	3.55E+00	0.00E+00
BRCA_TCGA-C8-A3M8	7.95E-01	0.00E+00	6.46E-01	1.26E+00	8.14E-01	0.00E+00	6.80E-01	1.37E+00	1.09E+00	1.25E+00	1.07E+00	0.00E+00
BRCA_TCGA-C8-A8HP	1.43E+00	8.19E-01	3.29E+00	1.43E+00	8.49E-01	5.33E-01	0.00E+00	9.00E-01	8.00E-01	2.74E+00	4.15E+00	0.00E+00
BRCA_TCGA-C8-A8HQ	1.52E+00	1.21E+00	4.16E+00	2.00E-01	1.01E+00	9.07E-01	8.06E-01	1.67E+00	2.14E+00	1.28E+00	4.01E+00	4.23E-01
BRCA_TCGA-C8-A8HR	8.85E-01	2.67E-01	1.23E+00	4.67E-01	0.00E+00	2.69E-01	5.73E-01	1.32E+00	1.44E+00	1.71E+00	8.44E-01	8.67E-01
BRCA_TCGA-C8-A9FZ	1.12E+00	0.00E+00	3.79E-01	1.10E+00	1.00E-01	0.00E+00	5.33E-01	1.00E-01	9.83E-01	1.17E+00	8.97E-01	0.00E+00
BRCA_TCGA-D8-A13Y	1.09E+00	4.73E-01	6.53E-01	9.34E-01	1.21E+00	9.78E-01	8.44E-01	7.67E-01	2.34E+00	1.11E+00	2.07E+00	1.26E+00
BRCA_TCGA-D8-A13Z	1.06E+00	5.22E-01	5.47E-01	5.59E-01	1.47E+00	0.00E+00	0.00E+00	5.96E-01	1.72E+00	1.20E+00	1.82E+00	1.26E+00
BRCA_TCGA-D8-A140	2.31E+00	5.21E-01	1.63E+00	2.22E+00	1.07E+00	1.11E+00	1.68E+00	3.07E+00	2.98E+00	2.71E+00	2.15E+00	4.22E-01
BRCA_TCGA-D8-A141	1.03E+00	0.00E+00	5.58E-01	0.00E+00	3.40E-01	0.00E+00	0.00E+00	9.94E-01	1.30E+00	1.64E+00	1.00E-01	0.00E+00
BRCA_TCGA-D8-A142	1.77E+00	7.90E-01	1.35E+00	6.53E-01	2.00E-01	8.06E-01	1.06E+00	1.98E+00	1.13E+00	3.41E+00	2.17E+00	9.87E-01
BRCA_TCGA-D8-A143	1.18E+00	0.00E+00	0.00E+00	9.71E-01	8.33E-01	0.00E+00	2.21E-01	1.58E+00	1.76E+00	1.56E+00	4.67E-01	4.76E-01
BRCA_TCGA-D8-A145	1.50E+00	0.00E+00	4.00E-01	1.02E+00	9.33E-01	0.00E+00	1.12E+00	5.63E-01	9.78E-01	1.22E+00	8.06E-01	0.00E+00
BRCA_TCGA-D8-A146	1.29E+00	2.21E-01	7.67E-01	1.19E+00	3.06E-01	0.00E+00	5.59E-01	6.33E-01	1.48E+00	1.44E+00	1.01E+00	2.33E-01
BRCA_TCGA-D8-A147	1.18E+00	7.18E-01	2.33E+00	9.00E-01	1.37E+00	1.48E+00	1.48E+00	1.75E+00	1.61E+00	2.69E+00	1.61E+00	1.13E+00
BRCA_TCGA-D8-A1J8	4.17E+00	2.45E+00	5.98E+00	5.04E+00	3.88E+00	1.43E+00	2.78E+00	9.14E+00	6.80E+00	3.57E+00	5.59E+00	4.58E-01
BRCA_TCGA-D8-A1J9	8.70E-01	2.03E+00	4.43E+00	1.01E+00	5.93E-01	3.42E-01	0.00E+00	1.73E+00	6.40E-01	2.69E+00	4.23E+00	1.31E+00
BRCA_TCGA-D8-A1JB	6.51E-01	3.27E-01	6.36E-01	5.42E-01	6.87E-01	5.26E-01	1.09E+00	1.47E+00	1.34E+00	1.44E+00	1.08E+00	6.01E-01
BRCA_TCGA-D8-A1JC	1.24E+00	4.16E-01	1.54E+00	0.00E+00	1.17E+00	5.73E-01	1.12E+00	1.28E+00	1.97E+00	2.30E+00	1.86E+00	3.06E-01
BRCA_TCGA-D8-A1JD	0.00E+00	6.53E-01	1.25E+00	1.24E+00	1.86E+00	9.89E-01	3.06E-01	1.56E+00	1.77E+00	3.20E+00	1.23E+00	5.93E-01
BRCA_TCGA-D8-A1JE	1.19E+00	1.03E+00	1.80E+00	6.37E-01	8.06E-01	9.91E-01	4.33E-01	1.16E+00	8.49E-01	1.57E+00	6.80E-01	0.00E+00
BRCA_TCGA-D8-A1JF	1.00E+00	2.24E-01	4.99E-01	2.15E+00	1.38E+00	0.00E+00	9.21E-01	5.47E-01	8.17E-01	1.10E+00	1.17E+00	0.00E+00
BRCA_TCGA-D8-A1JG	2.06E+00	2.28E+00	2.87E+00	1.78E+00	1.20E+00	1.35E+00	5.86E-01	2.26E+00	2.95E+00	2.36E+00	1.15E+00	1.33E+00
BRCA_TCGA-D8-A1JH	8.09E-01	0.00E+00	1.19E+00	2.69E-01	0.00E+00	6.16E-01	9.91E-01	8.46E-01	3.96E-01	1.30E+00	7.00E-01	1.00E-01
BRCA_TCGA-D8-A1JI	9.21E-01	2.67E-01	6.11E-01	7.00E-01	1.23E+00	4.16E-01	8.14E-01	1.49E+00	1.00E+00	1.33E+00	0.00E+00	2.24E-01
BRCA_TCGA-D8-A1JJ	1.32E+00	4.48E-01	1.24E+00	8.27E-01	8.57E-01	5.33E-01	5.58E-01	1.61E+00	1.07E+00	1.97E+00	1.99E+00	8.60E-01
BRCA_TCGA-D8-A1JK	0.00E+00	1.79E+00	4.23E+00	1.73E+00	2.36E+00	1.61E+00	2.39E+00	3.75E+00	3.67E+00	5.16E+00	1.57E+00	2.09E+00
BRCA_TCGA-D8-A1JL	8.62E-01	4.16E-01	1.27E+00	7.61E-01	2.51E+00	7.06E-01	1.76E+00	2.66E+00	1.80E+00	4.36E+00	1.26E+00	6.57E-01
BRCA_TCGA-D8-A1JM	1.10E+00	0.00E+00	8.14E-01	0.00E+00	8.06E-01	1.00E-01	6.51E-01	1.86E+00	9.98E-01	1.45E+00	1.00E+00	3.00E-01
BRCA_TCGA-D8-A1JN	1.59E+00	8.67E-01	3.09E+00	6.40E-01	4.23E-01	0.00E+00	0.00E+00	7.02E-01	2.64E+00	1.56E+00	1.88E+00	1.00E-01
BRCA_TCGA-D8-A1JP	0.00E+00	8.00E-01	1.21E+00	4.67E-01	1.22E+00	0.00E+00	1.69E+00	3.83E+00	1.69E+00	3.47E+00	1.72E+00	1.67E+00
BRCA_TCGA-D8-A1JS	7.81E-01	5.93E-01	4.33E-01	4.33E-01	6.71E-01	0.00E+00	5.96E-01	4.82E-01	7.27E-01	6.87E-01	6.05E-01	0.00E+00
BRCA_TCGA-D8-A1JT	1.01E+00	0.00E+00	4.73E-01	1.16E+00	5.96E-01	4.01E-01	2.67E-01	3.00E-01	1.15E+00	8.88E-01	0.00E+00	0.00E+00
BRCA_TCGA-D8-A1JU	7.64E-01	0.00E+00	2.24E-01	4.67E-01	0.00E+00	0.00E+00	5.39E-01	3.00E-01	9.55E-01	5.62E-01	2.60E-01	5.82E-01
BRCA_TCGA-D8-A1X5	1.98E+00	6.74E-01	3.27E-01	1.10E+00	0.00E+00	9.66E-01	1.27E+00	8.88E-01	1.01E+00	1.61E+00	1.26E+00	6.40E-01
BRCA_TCGA-D8-A1X6	5.17E-01	6.57E-01	1.00E-01	5.12E-01	9.00E-01	0.00E+00	5.81E-01	6.00E-01	2.01E+00	1.46E+00	4.52E-01	0.00E+00
BRCA_TCGA-D8-A1X7	1.01E+00	0.00E+00	9.29E-01	1.13E+00	5.17E-01	0.00E+00	1.00E-01	5.00E-01	1.69E+00	1.22E+00	8.70E-01	0.00E+00
BRCA_TCGA-D8-A1X9	8.03E-01	9.89E-01	0.00E+00	0.00E+00	2.32E+00	1.01E+00	9.67E-01	2.54E+00	1.20E+00	3.62E+00	6.84E-01	3.27E-01
BRCA_TCGA-D8-A1XA	5.17E-01	5.63E-01	1.11E+00	0.00E+00	1.00E-01	6.40E-01	8.70E-01	1.48E+00	1.29E+00	9.57E-01	1.00E-01	1.00E-01
BRCA_TCGA-D8-A1XB	1.35E+00	0.00E+00	8.95E-01	7.78E-01	7.30E-01	4.00E-01	4.99E-01	1.44E+00	1.12E+00	1.40E+00	1.05E+00	2.67E-01
BRCA_TCGA-D8-A1XC	9.17E-01	5.33E-01	7.49E-01	8.72E-01	7.31E-01	1.02E+00	6.80E-01	1.00E-01	1.98E+00	9.43E-01	2.60E-01	0.00E+00
BRCA_TCGA-D8-A1XF	1.61E+00	0.00E+00	9.32E-01	1.23E+00	6.99E-01	8.70E-01	4.58E-01	4.73E-01	5.59E-01	1.19E+00	1.03E+00	4.67E-01
BRCA_TCGA-D8-A1XG	2.21E-01	0.00E+00	4.23E-01	8.67E-01	1.33E+00	8.47E-01	6.37E-01	5.97E-01	4.16E-01	1.10E+00	3.00E-01	0.00E+00
BRCA_TCGA-D8-A1XK	8.51E+00	2.10E+00	2.79E+00	6.91E+00	1.52E+01	8.39E+00	4.02E+01	5.16E+01	0.00E+00	5.69E+00	8.72E-01	5.26E+00
BRCA_TCGA-D8-A1XL	1.17E+00	7.19E-01	8.23E-01	7.72E-01	1.25E+00	2.22E+00	1.78E+00	2.00E+00	2.25E+00	2.70E+00	1.51E+00	8.17E-01
BRCA_TCGA-D8-A1XM	1.61E+00	8.75E-01	1.83E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-01	0.00E+00	2.67E+00	1.69E+00	2.04E+00	0.00E+00
BRCA_TCGA-D8-A1XO	4.27E-01	0.00E+00	0.00E+00	6.63E-01	6.16E-01	1.53E-01	2.00E-01	6.11E-01	1.58E+00	5.42E-01	9.55E-01	6.00E-01
BRCA_TCGA-D8-A1XQ	7.19E+00	1.71E+00	2.56E+00	4.85E+00	1.96E+01	4.29E+00	1.18E+01	2.32E+01	5.95E+00	7.51E+00	2.37E+00	2.58E+00
BRCA_TCGA-D8-A1XR	1.05E+00	0.00E+00	2.77E-01	1.13E+00	1.51E+00	7.00E-01	7.37E-01	4.82E-01	9.00E-01	1.24E+00	7.31E-01	5.96E-01
BRCA_TCGA-D8-A1XS	9.31E-01	2.00E-01	1.25E+00	9.87E-01	0.00E+00	0.00E+00	0.00E+00	1.10E+00	6.15E-01	1.07E+00	9.57E-01	0.00E+00
BRCA_TCGA-D8-A1XT	1.05E+00	0.00E+00	4.47E-01	8.98E-01	0.00E+00	8.23E-01	6.87E-01	5.00E-01	1.71E+00	1.09E+00	1.08E+00	3.06E-01
BRCA_TCGA-D8-A1XU	8.36E-01	0.00E+00	4.23E-01	2.67E-01	8.46E-01	0.00E+00	7.00E-01	8.06E-01	6.18E-01	4.07E-01	8.92E-01	0.00E+00
BRCA_TCGA-D8-A1XV	1.20E+00	0.00E+00	2.21E-01	2.00E-01	6.96E-01	2.13E-01	6.05E-01	7.34E-01	1.09E+00	1.03E+00	7.52E-01	0.00E+00
BRCA_TCGA-D8-A1XW	1.31E+00	0.00E+00	7.90E-01	1.09E+00	1.56E+00	0.00E+00	1.48E+00	1.55E+00	1.75E+00	2.73E+00	1.87E+00	1.14E+00
BRCA_TCGA-D8-A1XY	1.12E+00	4.96E-01	1.09E+00	9.57E-01	6.96E-01	1.07E+00	2.13E-01	1.01E+00	1.19E+00	1.93E+00	1.12E+00	0.00E+00
BRCA_TCGA-D8-A1XZ	2.37E+00	3.48E-01	8.03E-01	1.61E+00	2.34E+00	4.96E-01	2.91E-01	1.00E+00	2.65E+00	1.91E+00	1.80E+00	5.12E-01
BRCA_TCGA-D8-A1Y0	1.19E+00	9.12E-01	6.18E-01	0.00E+00	1.27E+00	1.26E+00	7.30E-01	1.65E+00	1.37E+00	1.42E+00	1.33E+00	4.42E-01
BRCA_TCGA-D8-A1Y1	3.96E+00	3.07E-01	2.11E+00	2.22E+00	3.94E+00	1.41E+00	1.51E+00	4.37E+00	1.83E+00	9.87E-01	1.79E+00	2.24E-01
BRCA_TCGA-D8-A1Y2	5.67E-01	0.00E+00	4.33E-01	0.00E+00	8.62E-01	3.35E-01	6.99E-01	2.00E-01	0.00E+00	0.00E+00	6.18E-01	0.00E+00
BRCA_TCGA-D8-A1Y3	1.58E+00	0.00E+00	7.86E-01	0.00E+00	1.11E+00	0.00E+00	1.12E+00	1.65E+00	2.23E+00	2.21E+00	6.18E-01	1.08E+00
