acc_mean,f1_mean,Lrec_mean,Lce_mean,Ltot_mean,epochs_mean,n_filter,stability_mean_refit0,stability_min_refit0,rec_refit0,acc_refit0,f1_refit0,Lrec_refit0,Lce_refit0,Ltot_refit0,epochs_refit0,stability_mean_refit1,stability_min_refit1,rec_refit1,acc_refit1,f1_refit1,Lrec_refit1,Lce_refit1,Ltot_refit1,epochs_refit1,acc_test,f1_test,rec_test,k,lr,lambda_c,lambda_p,fold
0.8245833337306976,0.7662495724197288,4.2565779425023385,303.1946284399431,34.57604078649665,17000.0,7,0.62,0.01,0.3747,0.8458333611488342,0.8468319834140992,2.9150048424836488,636.7922795403015,2.9150048424836488,15000,0.88,0.68,0.3514,0.8441666960716248,0.845863604607783,2.8420072024020566,481.13604456971484,2.8420072024020566,15000,0.80725,0.8063528631516217,5.89314127143452,3,0.005,0.1,0.0001,_all
1.0,1.0,2.701868779462646,4.29825668384696,3.131694447847342,18500.0,0,1.0,1.0,0.316,0.971666693687439,0.9716614706751445,2.569972478711313,113.60551392384237,2.569972478711313,15000,,,,,,,,,,0.90475,0.9034618474516228,5.096975268373393,4,0.005,0.1,0.0001,_all
1.0,1.0,2.3526912661697192,2.096077627886273,2.562299028958347,29500.0,0,1.0,1.0,0.2773,0.9800000190734863,0.9800208579139434,2.263611128386821,75.8143244313918,2.263611128386821,15000,,,,,,,,,,0.9685,0.9683945551152356,4.5690235401425054,5,0.005,0.1,0.0001,_all
1.0,1.0,2.2263381898899253,2.017853264327162,2.4281235163226413,48500.0,0,0.72,0.27,0.2689,0.9950000047683716,0.9950039615511244,2.1859573286655753,33.176241121333334,2.1859573286655753,105000,,,,,,,,,,0.951,0.9502512948971997,4.447144851150728,6,0.005,0.1,0.0001,_all
1.0,1.0,2.1097171660864005,2.0759612295929464,2.3173132890456944,62500.0,0,0.68,-0.41,0.2627,0.9975000023841858,0.9974999374984375,2.1192235129037598,19.233295856355735,2.1192235129037598,100000,,,,,,,,,,0.9715,0.9709927820832627,4.435125964288893,7,0.005,0.1,0.0001,_all
1.0,1.0,2.018333464202886,2.1770679290273423,2.2360402571056204,24000.0,0,0.67,-0.1,0.254,0.996666669845581,0.9966665185119339,2.059378355563695,23.481848690634123,2.059378355563695,15000,,,,,,,,,,0.9855,0.985390909585236,4.3168406915034705,8,0.005,0.1,0.0001,_all
1.0,1.0,1.9406033673913512,2.226465272974539,2.1632498946888052,28500.0,0,0.57,0.04,0.2443,0.9958333373069763,0.9958331851786006,1.9720878123001628,28.247136070519257,1.9720878123001628,105000,,,,,,,,,,0.8885,0.8826166630042127,4.1145625852651255,9,0.005,0.1,0.0001,_all
