	0	1	2	3	4	5	6	7	8	9
1000	[2.4063577689268305, 2.1297356669991934, 2.766221019276373, 1.0, 0.0]	[2.4949973071391693, 2.2067685678682243, 2.8822873927094523, 1.0, 0.0]	[2.4294017315046412, 2.2167146968226983, 2.126870346819431, 1.0, 0.0]	[2.462286361550485, 2.196144223877127, 2.661421376733579, 1.0, 0.0]	[2.4126664332504753, 2.1616229620530594, 2.510434711974158, 1.0, 0.0]	[2.4545240881205914, 2.1852379253978547, 2.6928616272273658, 1.0, 0.0]	[2.4190219771135655, 2.166254346722307, 2.5276763039125836, 1.0, 0.0]	[2.4255973653981533, 2.170385232719129, 2.5521213267902443, 1.0, 0.0]	[2.507470503497681, 2.20279099857695, 3.046795049207312, 1.0, 0.0]	[2.4197463993902155, 2.1702749489923367, 2.494714503978787, 1.0, 0.0]
2000	[2.33968720720641, 2.1031324356840186, 2.3655477152239133, 1.0, 0.0]	[2.410347724175588, 2.170903210480476, 2.3944451369511204, 1.0, 0.0]	[2.361215216681243, 2.1517453157356026, 2.094699009456401, 1.0, 0.0]	[2.3633045899613805, 2.15721526168107, 2.0608932828031064, 1.0, 0.0]	[2.3533055904098408, 2.137143979346962, 2.1616161106287857, 1.0, 0.0]	[2.3606000624462515, 2.148863197773586, 2.117368646726656, 1.0, 0.0]	[2.355176400729697, 2.1422427325153857, 2.1293366821431134, 1.0, 0.0]	[2.3525657413152006, 2.1444760959635807, 2.0808964535162, 1.0, 0.0]	[2.376903019744686, 2.1606187030743795, 2.162843166703062, 1.0, 0.0]	[2.356050352246721, 2.1425198600506308, 2.135304921960902, 1.0, 0.0]
3000	[2.3241059249090714, 2.092185997567821, 2.319199273412504, 1.0, 0.0]	[2.3843435911236104, 2.157994227059196, 2.263493640644144, 1.0, 0.0]	[2.3364994374339574, 2.1341806119028512, 2.0231882553110636, 1.0, 0.0]	[2.337663434893774, 2.1407740193589295, 1.968894155348443, 1.0, 0.0]	[2.3344507392497555, 2.126856850907952, 2.075938883418033, 1.0, 0.0]	[2.338844023027, 2.1363329940533466, 2.0251102897365327, 1.0, 0.0]	[2.3361373999627006, 2.1320542624601906, 2.0408313750251, 1.0, 0.0]	[2.3354555632926854, 2.132624824716098, 2.0283073857658755, 1.0, 0.0]	[2.3449636534327736, 2.1406367224985567, 2.043269309342166, 1.0, 0.0]	[2.3359057238082332, 2.132008890033242, 2.038968337749913, 1.0, 0.0]
4000	[2.316457829545495, 2.0871214734832764, 2.293363560622188, 1.0, 0.0]	[2.3717095147813447, 2.1503566304950654, 2.213528842862794, 1.0, 0.0]	[2.3255864197023115, 2.1264020221116806, 1.9918439759063111, 1.0, 0.0]	[2.3300313400288144, 2.132260082616876, 1.9777125741193853, 1.0, 0.0]	[2.32643950502034, 2.12193665011435, 2.0450285490598974, 1.0, 0.0]	[2.3304884884286907, 2.1307941722379202, 1.996943161907704, 1.0, 0.0]	[2.3275882897344866, 2.125537306586431, 2.0205098314805547, 1.0, 0.0]	[2.328199590991411, 2.126453138135414, 2.017464528559972, 1.0, 0.0]	[2.3322312444154356, 2.1330354645152485, 1.9919577990018713, 1.0, 0.0]	[2.3285457722525753, 2.125714733536242, 2.0283103871633346, 1.0, 0.0]
5000	[2.312192521651789, 2.0841974073052714, 2.2799511434651736, 1.0, 0.0]	[2.3682655309139324, 2.1412733132571793, 2.2699221765675315, 1.0, 0.0]	[2.3205060248371225, 2.122357563461404, 1.9814846137571869, 1.0, 0.0]	[2.326241825448189, 2.12689373123805, 1.9934809421013895, 1.0, 0.0]	[2.3220497942445, 2.119354849412293, 2.026949448322073, 1.0, 0.0]	[2.325067658579397, 2.125844518101918, 1.9922314047747898, 1.0, 0.0]	[2.3232931406941324, 2.122398096784825, 2.0089504390930735, 1.0, 0.0]	[2.32409248797624, 2.1224476284090237, 2.016448595672166, 1.0, 0.0]	[2.32664635403882, 2.128876974399058, 1.9776937963976178, 1.0, 0.0]	[2.323852867884337, 2.122502771085898, 2.0135009679843865, 1.0, 0.0]
6000	[2.3097208378214087, 2.082269235372662, 2.274516024487466, 1.0, 0.0]	[2.360125065111293, 2.135489860241872, 2.2463520486942086, 1.0, 0.0]	[2.3170830621111134, 2.1199570743598666, 1.9712598775124672, 1.0, 0.0]	[2.3235653641742453, 2.1238740956572766, 1.9969126851696872, 1.0, 0.0]	[2.3197358780726782, 2.1177481094830486, 2.019877685896294, 1.0, 0.0]	[2.3225330106405595, 2.12353522399203, 1.989977866485291, 1.0, 0.0]	[2.3214995551108606, 2.1202982922009443, 2.012012629099164, 1.0, 0.0]	[2.3211408103596507, 2.1205209740022677, 2.006198363573829, 1.0, 0.0]	[2.3237484304504346, 2.1264567132556853, 1.9729171719474916, 1.0, 0.0]	[2.321199855146384, 2.1204890821601925, 2.0071077298619153, 1.0, 0.0]
7000	[2.3085874203317847, 2.081148590275657, 2.2743883005612773, 1.0, 0.0]	[2.352637538243096, 2.1312519534607657, 2.2138558478233015, 1.0, 0.0]	[2.3150836747662495, 2.118241573747195, 1.968421010190546, 1.0, 0.0]	[2.3216142993746494, 2.122063434379004, 1.9955086499564523, 1.0, 0.0]	[2.3184736973122764, 2.1168151705923717, 2.0165852671990487, 1.0, 0.0]	[2.3210600079134047, 2.121932549333272, 1.9912745858013299, 1.0, 0.0]	[2.3200706739272534, 2.118933012130471, 2.011376617967822, 1.0, 0.0]	[2.319681748817232, 2.1192120371247087, 2.0046971169252306, 1.0, 0.0]	[2.322636464542835, 2.1245094988430875, 1.9812696569974753, 1.0, 0.0]	[2.3196216878454, 2.119061177069444, 2.005605107759562, 1.0, 0.0]
8000	[2.3084051001988706, 2.0801914071696066, 2.282136930292639, 1.0, 0.0]	[2.3494376030685786, 2.1289210028341228, 2.205166002344558, 1.0, 0.0]	[2.3125554880298167, 2.115730106712948, 1.9682538131686886, 1.0, 0.0]	[2.3203262250724945, 2.120700533871041, 1.996256912014537, 1.0, 0.0]	[2.3178517511085825, 2.116186169258974, 2.016655818496087, 1.0, 0.0]	[2.32036613764627, 2.1205175247845682, 1.9984861286170161, 1.0, 0.0]	[2.319090530538391, 2.1178507038184824, 2.012398267199088, 1.0, 0.0]	[2.3191087576613683, 2.1181909048753935, 2.009178527859746, 1.0, 0.0]	[2.321634627672567, 2.123283423725767, 1.983512039467994, 1.0, 0.0]	[2.3188711759423803, 2.1181771282774933, 2.006940476648869, 1.0, 0.0]
9000	[2.308965395389084, 2.079578034278171, 2.2938736111091296, 1.0, 0.0]	[2.343885170978147, 2.126323573686586, 2.175615972915608, 1.0, 0.0]	[2.3113719368664256, 2.1142545207396357, 1.971174161267899, 1.0, 0.0]	[2.3194870570765778, 2.1198597289073984, 1.9962732816917927, 1.0, 0.0]	[2.3174514342857147, 2.11575723659194, 2.0169419769377432, 1.0, 0.0]	[2.319581945828681, 2.119602280045788, 1.9997966578289326, 1.0, 0.0]	[2.318540962379115, 2.1169429938741824, 2.0159796850493277, 1.0, 0.0]	[2.3185454859456356, 2.117520789171705, 2.010246967739305, 1.0, 0.0]	[2.321256338435849, 2.12205091666339, 1.9920542177245935, 1.0, 0.0]	[2.3183877351603024, 2.1176145263327615, 2.007732088275409, 1.0, 0.0]
10000	[2.309404887361355, 2.0789781146073287, 2.304267727540263, 1.0, 0.0]	[2.3417302248557825, 2.124362709683494, 2.173675151722887, 1.0, 0.0]	[2.3112831603576307, 2.11496232685333, 1.9632083350430096, 1.0, 0.0]	[2.319039740416486, 2.1191877033356783, 1.9985203708080765, 1.0, 0.0]	[2.3172052640505267, 2.1155583327920393, 2.016469312584875, 1.0, 0.0]	[2.319005708135952, 2.1188179107882834, 2.001877973476686, 1.0, 0.0]	[2.3179355563318396, 2.1164153768252594, 2.0152017950658014, 1.0, 0.0]	[2.31796101838084, 2.1169421190225113, 2.0101889935832844, 1.0, 0.0]	[2.3207727557028943, 2.121227146384608, 1.9954560931828607, 1.0, 0.0]	[2.318055289270448, 2.1171008840778627, 2.009544051925852, 1.0, 0.0]
