Signatures	Stability	Total Mutations
SBS96A	0.984	155539
SBS96B	0.578	127439
SBS96C	0.962	123749
SBS96D	0.996	116227
SBS96E	-0.079	84848
SBS96F	-0.154	75240
SBS96G	0.957	69115
SBS96H	0.967	68684
SBS96I	0.746	64407
SBS96J	0.911	53710
SBS96K	0.966	51580
SBS96L	0.712	41126
SBS96M	0.8	40600
SBS96N	0.86	34862
SBS96O	0.379	34855
SBS96P	0.808	23116
SBS96Q	0.997	22604
SBS96R	0.476	19560
SBS96S	-0.003	13830
