Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_1_multinomial_train3.8	0.9999999999999947	0.924	0.355	35.5%	0.054	42.818%	0.10377	0.837
RNF168_2_multinomial_train3.10	0.9999999999999951	0.934	0.373	37.3%	0.051	36.421%	0.13156	0.86
EXO1_1_multinomial_train3.9	0.9999999999999949	0.938	0.347	34.7%	0.049	36.874%	0.11232	0.867
RNF168_2_multinomial_train3.11	0.9999999999999956	0.934	0.343	34.3%	0.051	36.026%	0.11422	0.862
RNF168_2_multinomial_train3.12	0.9999999999999954	0.93	0.39	39.0%	0.052	37.546%	0.13725	0.851
EXO1_1_multinomial_train3.10	0.9999999999999951	0.932	0.327	32.7%	0.051	37.745%	0.08529	0.854
EXO1_1_multinomial_train3.11	0.9999999999999942	0.944	0.32	32.0%	0.047	34.799%	0.09116	0.88
RNF168_2_multinomial_train3.13	0.9999999999999957	0.929	0.405	40.5%	0.053	38.506%	0.15103	0.847
RNF168_2_multinomial_train3.14	0.9999999999999956	0.926	0.397	39.7%	0.055	38.032%	0.15254	0.85
RNF168_2_multinomial_train3.15	0.9999999999999958	0.928	0.388	38.8%	0.054	37.35%	0.14962	0.854
RNF168_2_multinomial_train3.16	0.9999999999999954	0.944	0.345	34.5%	0.047	34.192%	0.12295	0.88
EXO1_1_multinomial_train3.12	0.9999999999999944	0.926	0.341	34.1%	0.054	40.728%	0.10246	0.841
RNF168_2_multinomial_train3.17	0.9999999999999953	0.918	0.414	41.4%	0.059	39.773%	0.16145	0.84
EXO1_1_multinomial_train3.13	0.9999999999999956	0.916	0.4	40.0%	0.057	44.705%	0.12738	0.815
RNF168_2_multinomial_train3.18	0.9999999999999958	0.927	0.373	37.3%	0.053	38.58%	0.14787	0.843
EXO1_1_multinomial_train3.14	0.9999999999999947	0.913	0.403	40.3%	0.058	43.71%	0.12226	0.811
RNF168_2_multinomial_train3.19	0.9999999999999959	0.933	0.368	36.8%	0.052	37.237%	0.12861	0.858
RNF168_2_multinomial_train3.20	0.9999999999999956	0.936	0.362	36.2%	0.052	35.852%	0.11888	0.871
EXO1_1_multinomial_train3.15	0.9999999999999953	0.903	0.436	43.6%	0.061	46.139%	0.14427	0.788
