run,seed,f1_score,accuracy,best_C
1,470978,0.97421446935125,0.97425,0.01
2,285350,0.9739626516915219,0.974,0.01
3,630900,0.9744566517479565,0.9745,0.01
4,587943,0.9742147225056521,0.97425,0.01
5,87946,0.973962521741397,0.974,0.01
6,612061,0.9739626516915219,0.974,0.01
7,874581,0.973710799855586,0.97375,0.01
8,948896,0.973710799855586,0.97375,0.01
9,104491,0.9737107929259429,0.97375,0.01
10,358297,0.9737125716525868,0.97375,0.01
