run,seed,f1_score,accuracy,best_C
1,926036,0.8070599851917196,0.8855,100.0
2,301971,0.8070599851917196,0.8855,100.0
3,31719,0.8070599851917196,0.8855,100.0
4,954808,0.8068251101781708,0.88525,100.0
5,829942,0.8070599851917196,0.8855,100.0
6,651981,0.8066765457901683,0.88525,100.0
7,492495,0.8070599851917196,0.8855,100.0
8,449590,0.8070599851917196,0.8855,100.0
9,481410,0.8070599851917196,0.8855,100.0
10,779900,0.8065899038417434,0.885,100.0
