Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-B6-A2IU	0	4	7	9	0	1	0	2	2	3	11	13	0	2	0
BRCA_TCGA-B6-A401	0	2	6	2	2	2	0	0	0	1	5	0	4	3	1
BRCA_TCGA-B6-A409	0	6	3	3	10	1	0	0	0	5	8	6	3	9	2
BRCA_TCGA-B6-A40B	1	5	5	1	0	2	0	1	1	4	16	16	12	2	0
BRCA_TCGA-B6-A40C	2	9	0	0	20	2	0	0	0	2	4	4	6	5	0
BRCA_TCGA-BH-A0AU	0	2	2	0	8	2	0	0	0	0	0	3	1	4	1
BRCA_TCGA-BH-A0AV	2	0	3	2	0	6	2	2	4	5	17	12	31	0	1
BRCA_TCGA-BH-A0AY	1	3	1	6	9	2	0	0	0	1	5	5	3	10	0
BRCA_TCGA-BH-A0AZ	1	2	0	0	0	6	0	6	0	5	3	21	15	8	3
BRCA_TCGA-BH-A0B0	1	0	7	15	0	0	0	6	0	0	8	62	0	0	0
BRCA_TCGA-BH-A0B3	1	4	1	1	0	0	2	0	0	0	0	3	4	2	0
BRCA_TCGA-BH-A0B6	18	0	13	91	0	13	0	24	0	0	114	1017	0	0	0
BRCA_TCGA-BH-A0B7	0	6	4	6	0	0	0	0	0	0	7	9	6	0	4
BRCA_TCGA-BH-A0B8	1	0	1	1	4	5	0	0	0	0	9	4	2	7	0
BRCA_TCGA-BH-A0BA	0	2	2	1	4	3	0	4	0	3	0	6	4	0	0
BRCA_TCGA-BH-A0BC	0	3	4	3	7	0	0	5	0	1	5	9	7	1	0
BRCA_TCGA-BH-A0BF	0	3	1	2	4	2	0	0	0	5	1	6	7	1	1
BRCA_TCGA-BH-A0BG	0	3	4	0	0	0	3	0	1	1	4	8	14	7	0
BRCA_TCGA-BH-A0BJ	0	0	1	1	4	1	0	1	1	0	0	0	1	7	0
BRCA_TCGA-BH-A0BL	3	7	2	3	7	0	0	0	1	2	3	1	22	17	1
BRCA_TCGA-BH-A0BM	1	0	1	0	0	1	0	1	0	0	6	2	0	7	0
BRCA_TCGA-BH-A0BO	0	3	0	2	0	5	0	0	0	15	1	4	1	0	0
BRCA_TCGA-BH-A0BP	4	16	6	15	10	10	1	0	0	1	23	46	47	17	0
BRCA_TCGA-BH-A0BQ	1	6	1	2	0	4	0	0	0	0	3	2	8	3	0
BRCA_TCGA-BH-A0BS	0	2	0	0	0	2	0	0	1	4	6	1	4	2	1
BRCA_TCGA-BH-A0BT	1	5	7	3	0	0	0	0	1	5	9	5	12	0	0
BRCA_TCGA-BH-A0BV	0	0	1	1	3	1	0	0	0	1	13	4	0	0	0
BRCA_TCGA-BH-A0BW	0	5	1	2	6	10	3	4	4	8	3	14	31	9	3
BRCA_TCGA-BH-A0BZ	14	1	18	2	4	15	2	0	9	12	29	37	102	46	5
BRCA_TCGA-BH-A0C0	0	3	1	2	0	1	9	0	1	5	0	5	18	3	0
BRCA_TCGA-BH-A0C1	0	6	9	2	1	9	0	0	0	0	6	7	0	8	2
BRCA_TCGA-BH-A0C3	0	0	0	1	9	0	0	0	3	1	1	0	0	3	0
BRCA_TCGA-BH-A0C7	0	7	2	2	14	4	2	2	2	1	2	3	1	16	0
BRCA_TCGA-BH-A0DD	0	4	7	3	6	0	0	0	2	1	4	5	4	1	0
BRCA_TCGA-BH-A0DE	1	0	0	1	6	1	0	0	3	0	13	1	4	3	0
BRCA_TCGA-BH-A0DG	1	0	0	7	1	5	2	0	2	1	3	15	3	5	2
BRCA_TCGA-BH-A0DH	0	8	2	3	5	6	0	6	0	4	4	12	1	0	1
BRCA_TCGA-BH-A0DI	0	4	5	0	7	0	1	3	0	1	1	20	12	8	0
BRCA_TCGA-BH-A0DK	3	5	0	1	8	0	0	2	6	1	1	6	3	17	0
BRCA_TCGA-BH-A0DL	1	11	8	2	1	2	0	1	2	5	2	17	6	3	4
BRCA_TCGA-BH-A0DO	0	0	5	4	1	1	0	0	0	1	3	5	9	1	0
BRCA_TCGA-BH-A0DP	0	2	0	1	0	1	0	0	1	1	5	4	0	4	0
BRCA_TCGA-BH-A0DQ	0	9	1	0	0	3	0	0	6	0	8	1	3	4	0
BRCA_TCGA-BH-A0DT	0	2	0	0	3	2	0	4	0	0	1	2	1	0	0
BRCA_TCGA-BH-A0DV	0	0	0	0	0	1	0	1	2	0	4	3	1	2	1
BRCA_TCGA-BH-A0DX	0	3	2	4	9	0	0	3	0	0	3	38	0	15	0
BRCA_TCGA-BH-A0DZ	4	1	0	16	9	0	0	5	0	1	1	178	2	0	0
BRCA_TCGA-BH-A0E0	0	6	0	2	4	0	1	0	0	1	2	1	4	0	3
BRCA_TCGA-BH-A0E1	0	1	0	3	8	0	0	0	0	1	0	4	1	0	1
BRCA_TCGA-BH-A0E9	0	10	3	0	0	2	2	0	0	2	2	1	4	2	0
BRCA_TCGA-BH-A0EA	0	1	5	3	1	5	0	0	0	1	5	3	4	4	0
BRCA_TCGA-BH-A0EI	0	5	1	1	1	2	0	1	2	2	6	0	0	3	0
BRCA_TCGA-BH-A0H3	0	0	1	0	5	0	0	0	0	0	4	1	3	3	0
BRCA_TCGA-BH-A0H5	7	0	1	17	0	0	0	3	0	0	21	119	1	0	0
BRCA_TCGA-BH-A0H7	1	0	0	1	7	0	1	0	1	2	0	4	0	0	0
BRCA_TCGA-BH-A0H9	0	0	1	1	1	0	0	0	3	0	3	3	4	3	4
BRCA_TCGA-BH-A0HA	0	54	35	9	58	34	0	1	92	43	7	33	5	5	6
BRCA_TCGA-BH-A0HI	3	6	0	2	1	0	0	3	4	0	7	5	0	4	0
BRCA_TCGA-BH-A0HK	0	0	7	6	5	0	0	3	0	0	12	26	1	3	0
BRCA_TCGA-BH-A0HN	0	7	0	4	4	0	0	0	0	2	3	4	9	1	0
BRCA_TCGA-BH-A0HP	11	0	2	20	19	0	2	2	0	0	18	283	0	0	0
BRCA_TCGA-BH-A0RX	0	18	0	6	2	5	0	0	1	4	0	4	7	2	0
BRCA_TCGA-BH-A0W3	1	3	0	0	0	1	0	0	0	3	4	3	6	2	0
BRCA_TCGA-BH-A0W4	0	2	0	6	6	0	0	3	2	3	1	7	9	0	0
BRCA_TCGA-BH-A0W5	1	7	2	2	2	2	0	0	2	3	1	0	4	3	0
BRCA_TCGA-BH-A0W7	4	1	0	14	0	2	0	0	0	11	8	221	0	0	0
BRCA_TCGA-BH-A0WA	3	4	0	0	0	9	3	3	1	6	17	15	52	0	0
BRCA_TCGA-BH-A18F	2	4	0	8	14	2	0	3	0	0	13	15	1	5	0
BRCA_TCGA-BH-A18G	10	221	186	29	132	270	89	0	376	254	32	0	52	0	17
BRCA_TCGA-BH-A18H	0	1	2	2	2	9	0	0	6	0	10	10	6	3	3
BRCA_TCGA-BH-A18I	0	9	4	4	0	0	0	1	0	0	0	5	3	5	0
BRCA_TCGA-BH-A18J	2	2	5	2	0	2	2	9	4	1	3	73	0	6	0
BRCA_TCGA-BH-A18K	1	1	3	4	0	1	0	0	5	0	13	24	14	0	2
BRCA_TCGA-BH-A18L	1	8	7	3	12	0	3	1	3	0	6	2	10	9	0
BRCA_TCGA-BH-A18M	0	6	0	1	0	1	0	0	2	0	3	5	0	0	0
BRCA_TCGA-BH-A18N	0	5	6	2	4	0	0	0	4	7	0	0	8	7	0
BRCA_TCGA-BH-A18P	0	0	8	37	16	1	3	11	0	0	37	325	0	0	0
BRCA_TCGA-BH-A18Q	1	1	1	1	4	8	4	0	2	4	9	8	37	25	2
BRCA_TCGA-BH-A18R	1	0	0	1	4	2	0	3	0	7	2	6	16	0	0
BRCA_TCGA-BH-A18S	1	0	3	2	2	2	2	0	5	1	0	2	14	3	0
BRCA_TCGA-BH-A18T	1	6	1	2	1	10	7	0	7	0	2	16	38	11	0
BRCA_TCGA-BH-A18U	0	16	1	6	3	10	5	7	2	9	18	73	13	15	0
BRCA_TCGA-BH-A18V	11	1	0	3	2	7	3	0	0	16	0	92	84	25	6
BRCA_TCGA-BH-A1EO	0	12	4	3	6	0	0	0	0	1	5	5	9	5	0
BRCA_TCGA-BH-A1ET	3	5	1	1	0	3	0	3	5	2	3	0	5	2	0
BRCA_TCGA-BH-A1EU	0	1	0	1	9	0	0	1	5	3	3	2	3	6	0
BRCA_TCGA-BH-A1EV	3	14	2	12	0	3	0	0	6	2	9	61	17	0	0
BRCA_TCGA-BH-A1EW	0	0	1	3	3	1	0	1	1	1	5	3	2	0	0
BRCA_TCGA-BH-A1EX	0	4	2	6	1	0	0	0	3	4	2	0	7	6	0
BRCA_TCGA-BH-A1EY	0	7	0	5	0	4	0	0	6	2	1	16	6	8	0
BRCA_TCGA-BH-A1F0	3	3	3	4	0	0	3	0	2	6	16	18	20	17	0
BRCA_TCGA-BH-A1F2	3	16	2	2	0	2	2	0	5	0	10	16	6	7	0
BRCA_TCGA-BH-A1F5	1	7	0	3	1	0	2	1	1	0	13	2	10	3	0
BRCA_TCGA-BH-A1F6	0	6	4	1	5	3	0	3	1	1	4	6	15	2	2
BRCA_TCGA-BH-A1F8	5	7	0	11	8	5	0	8	1	0	23	118	3	3	0
BRCA_TCGA-BH-A1FC	1	4	9	5	23	2	0	6	5	1	3	34	24	8	5
BRCA_TCGA-BH-A1FE	2	0	3	3	0	0	0	0	0	0	8	4	0	5	1
BRCA_TCGA-BH-A1FG	0	3	1	1	3	3	2	3	0	1	0	1	3	0	0
BRCA_TCGA-BH-A1FH	0	0	1	1	17	0	0	1	0	0	5	3	4	0	1
BRCA_TCGA-BH-A1FJ	0	6	0	0	12	3	0	3	0	0	14	1	0	6	0
BRCA_TCGA-BH-A1FL	0	2	4	2	0	0	0	1	0	4	8	1	0	4	0
BRCA_TCGA-BH-A1FM	0	6	5	7	12	0	0	0	0	0	1	18	7	6	0
BRCA_TCGA-BH-A1FN	3	3	1	0	1	3	0	2	1	6	8	76	17	20	5
BRCA_TCGA-BH-A1FR	0	2	2	1	0	1	0	0	0	2	0	1	6	2	0
BRCA_TCGA-BH-A1FU	3	2	6	7	4	5	0	1	8	13	9	18	28	8	6
BRCA_TCGA-BH-A201	3	2	0	2	0	3	2	0	2	7	1	3	2	0	0
BRCA_TCGA-BH-A202	3	5	0	1	2	2	0	0	3	0	0	3	6	3	0
BRCA_TCGA-BH-A203	0	18	3	9	10	7	4	0	0	6	5	22	14	1	0
BRCA_TCGA-BH-A204	3	3	4	3	5	1	1	0	1	2	8	5	13	3	0
BRCA_TCGA-BH-A208	0	8	0	3	2	1	0	0	2	4	14	36	10	2	0
BRCA_TCGA-BH-A209	1	3	0	8	0	3	0	0	0	1	6	91	0	6	0
BRCA_TCGA-BH-A28Q	0	7	4	1	0	3	0	0	0	0	2	3	0	4	2
BRCA_TCGA-BH-A2L8	5	0	1	31	18	3	0	3	0	0	32	535	0	0	0
BRCA_TCGA-BH-A42U	0	0	0	4	7	0	0	2	0	0	5	13	1	0	0
BRCA_TCGA-BH-A42V	0	4	0	5	0	0	0	1	2	0	6	36	1	0	0
BRCA_TCGA-BH-A5IZ	2	6	1	0	14	0	2	1	6	0	11	11	30	12	0
BRCA_TCGA-BH-A5J0	1	2	8	12	4	0	1	10	1	4	13	44	0	2	0
BRCA_TCGA-BH-A6R8	0	4	2	3	12	2	0	0	1	1	0	5	4	3	0
BRCA_TCGA-BH-A6R9	1	3	0	2	1	1	0	0	0	0	3	0	14	0	0
BRCA_TCGA-BH-A8FY	1	0	6	0	3	2	0	0	0	4	10	7	23	0	0
BRCA_TCGA-BH-A8FZ	3	4	8	2	4	2	1	3	7	4	0	11	34	4	4
BRCA_TCGA-BH-A8G0	0	5	0	2	0	1	0	0	3	2	2	0	0	1	1
BRCA_TCGA-BH-AB28	0	4	8	2	2	2	3	6	0	2	2	4	6	0	2
BRCA_TCGA-C8-A12K	2	0	5	0	10	3	0	0	3	10	9	56	66	7	2
BRCA_TCGA-C8-A12L	0	1	6	3	10	11	0	0	0	0	8	5	35	10	0
BRCA_TCGA-C8-A12M	0	9	5	9	7	7	2	9	2	4	7	0	21	0	0
BRCA_TCGA-C8-A12N	1	7	0	0	2	3	0	0	3	0	0	4	3	4	0
BRCA_TCGA-C8-A12O	1	13	0	3	8	0	0	0	0	3	6	2	12	1	0
BRCA_TCGA-C8-A12P	4	15	2	14	2	7	0	6	5	2	9	102	17	12	5
BRCA_TCGA-C8-A12Q	4	2	4	15	0	0	2	2	6	4	14	77	0	9	0
BRCA_TCGA-C8-A12T	7	2	2	8	18	4	0	0	0	0	8	158	7	0	0
BRCA_TCGA-C8-A12U	0	15	0	0	0	5	0	0	2	1	9	9	15	5	0
BRCA_TCGA-C8-A12V	0	0	0	2	9	7	5	3	0	2	0	3	19	0	2
BRCA_TCGA-C8-A12W	0	21	0	6	19	4	0	0	6	0	1	3	15	2	0
BRCA_TCGA-C8-A12X	0	16	3	4	0	4	2	1	2	3	11	2	4	9	4
BRCA_TCGA-C8-A12Y	0	5	9	2	10	2	2	3	1	7	0	2	0	3	0
BRCA_TCGA-C8-A12Z	1	9	1	3	3	4	0	0	3	1	8	20	8	0	0
BRCA_TCGA-C8-A130	0	11	1	6	9	1	0	0	0	10	0	6	3	5	2
BRCA_TCGA-C8-A131	1	0	11	9	4	2	0	2	1	3	13	6	11	9	2
BRCA_TCGA-C8-A132	0	3	0	1	13	4	0	0	2	2	2	31	21	3	2
BRCA_TCGA-C8-A133	1	0	0	2	0	3	4	1	0	3	5	4	3	5	2
BRCA_TCGA-C8-A134	9	2	1	2	6	6	7	0	1	8	11	4	51	9	0
BRCA_TCGA-C8-A135	1	15	9	4	11	2	0	0	6	1	0	8	9	11	0
BRCA_TCGA-C8-A137	0	0	1	8	15	0	0	0	0	0	5	24	1	6	2
BRCA_TCGA-C8-A138	4	8	0	2	5	1	3	0	5	0	9	0	4	11	0
BRCA_TCGA-C8-A1HE	0	3	2	3	0	1	0	2	0	3	11	25	4	0	0
BRCA_TCGA-C8-A1HF	1	3	2	2	0	1	2	1	0	4	5	12	6	0	0
BRCA_TCGA-C8-A1HG	0	14	5	4	3	1	0	0	6	2	9	7	14	4	0
BRCA_TCGA-C8-A1HI	0	4	0	1	29	6	0	0	2	0	3	15	7	5	0
BRCA_TCGA-C8-A1HJ	2	7	1	1	2	8	4	0	6	10	0	12	53	14	4
BRCA_TCGA-C8-A1HK	3	7	3	6	0	5	0	0	5	1	0	27	8	8	0
BRCA_TCGA-C8-A1HL	1	1	7	1	0	3	2	2	0	2	11	0	0	7	0
BRCA_TCGA-C8-A1HM	11	12	7	19	7	5	0	0	0	12	3	323	25	23	1
BRCA_TCGA-C8-A1HN	1	10	1	1	11	2	0	4	0	9	10	4	7	10	0
BRCA_TCGA-C8-A1HO	2	3	0	2	5	3	1	3	3	0	8	11	0	8	0
BRCA_TCGA-C8-A26V	1	6	5	7	0	0	0	0	0	10	0	49	8	8	2
BRCA_TCGA-C8-A26W	0	1	3	9	3	0	0	0	4	4	11	27	7	0	0
BRCA_TCGA-C8-A26X	2	16	2	4	0	4	1	0	2	5	13	6	4	15	1
BRCA_TCGA-C8-A26Y	24	5	5	43	0	5	4	27	16	0	25	629	0	112	21
BRCA_TCGA-C8-A26Z	1	11	6	3	1	0	0	0	0	0	6	1	9	10	1
BRCA_TCGA-C8-A273	1	2	0	2	7	1	0	0	0	2	1	0	4	3	1
BRCA_TCGA-C8-A274	4	6	10	14	5	6	4	9	4	5	2	196	5	11	0
BRCA_TCGA-C8-A275	0	6	2	11	2	8	0	0	1	1	8	89	11	0	3
BRCA_TCGA-C8-A278	1	7	0	4	8	4	0	0	3	0	0	13	6	7	0
BRCA_TCGA-C8-A27A	4	3	1	4	1	0	0	3	0	3	6	8	7	0	0
BRCA_TCGA-C8-A27B	3	1	6	3	0	1	2	0	3	7	0	70	54	7	5
BRCA_TCGA-C8-A3M7	4	6	7	22	12	0	2	12	0	3	29	124	0	0	0
BRCA_TCGA-C8-A3M8	0	2	7	3	6	0	0	0	3	9	6	11	12	3	0
BRCA_TCGA-C8-A8HP	5	7	8	27	0	7	2	3	0	0	2	199	0	13	0
BRCA_TCGA-C8-A8HQ	2	14	0	38	13	1	6	2	1	5	10	279	0	0	1
BRCA_TCGA-C8-A8HR	0	8	3	2	0	0	0	7	2	7	8	3	15	0	5
BRCA_TCGA-C8-A9FZ	0	5	5	1	4	1	0	0	2	0	0	4	5	2	0
BRCA_TCGA-D8-A13Y	1	4	1	3	8	4	0	4	5	6	14	18	11	0	3
BRCA_TCGA-D8-A13Z	2	17	1	3	0	8	0	0	0	0	0	15	36	15	6
BRCA_TCGA-D8-A140	0	2	14	7	21	8	0	9	7	0	21	23	3	19	0
BRCA_TCGA-D8-A141	0	5	0	1	0	1	0	0	0	0	5	0	3	6	0
BRCA_TCGA-D8-A142	0	17	5	6	33	0	0	3	6	4	18	12	32	23	7
BRCA_TCGA-D8-A143	0	7	3	0	6	3	0	0	0	1	6	3	24	7	1
BRCA_TCGA-D8-A145	0	9	4	0	0	3	0	0	3	5	2	3	14	4	0
BRCA_TCGA-D8-A146	0	3	5	5	6	0	0	2	4	3	8	4	0	1	0
BRCA_TCGA-D8-A147	1	1	0	6	15	13	5	0	1	2	2	58	69	14	13
BRCA_TCGA-D8-A1J8	22	31	55	62	29	91	17	4	26	47	47	509	21	0	0
BRCA_TCGA-D8-A1J9	13	1	4	29	0	0	0	0	0	5	5	206	0	10	5
BRCA_TCGA-D8-A1JB	1	3	0	2	0	4	2	0	4	1	10	6	17	9	4
BRCA_TCGA-D8-A1JC	1	1	0	10	22	3	0	0	0	2	7	62	14	0	0
BRCA_TCGA-D8-A1JD	4	0	4	4	7	16	3	0	0	5	6	22	39	9	3
BRCA_TCGA-D8-A1JE	1	3	1	0	12	3	0	4	0	5	0	2	5	4	0
BRCA_TCGA-D8-A1JF	0	2	5	2	9	7	0	3	0	5	0	4	10	2	0
BRCA_TCGA-D8-A1JG	34	10	7	21	24	5	0	16	3	0	11	12	17	7	2
BRCA_TCGA-D8-A1JH	0	2	2	1	2	0	2	0	1	2	1	2	7	2	0
BRCA_TCGA-D8-A1JI	0	0	1	2	6	6	0	0	2	4	13	0	0	8	0
BRCA_TCGA-D8-A1JJ	1	6	5	8	1	6	0	2	2	4	7	44	4	4	4
BRCA_TCGA-D8-A1JK	6	0	8	5	10	11	12	21	17	10	42	23	45	32	7
BRCA_TCGA-D8-A1JL	2	0	2	4	9	6	2	0	10	9	9	11	44	16	3
BRCA_TCGA-D8-A1JM	0	9	0	4	3	4	0	0	1	1	2	3	7	19	0
BRCA_TCGA-D8-A1JN	7	5	5	27	0	0	0	12	0	1	25	120	0	6	0
BRCA_TCGA-D8-A1JP	2	0	3	3	0	6	0	4	15	1	12	12	45	25	7
BRCA_TCGA-D8-A1JS	1	1	2	1	6	1	0	1	2	1	4	2	6	1	0
BRCA_TCGA-D8-A1JT	0	4	3	1	8	0	1	0	1	0	10	0	9	4	0
BRCA_TCGA-D8-A1JU	0	2	0	1	5	0	0	0	4	1	1	1	4	1	0
BRCA_TCGA-D8-A1X5	7	10	2	1	7	0	3	0	8	0	3	8	1	13	3
BRCA_TCGA-D8-A1X6	3	12	3	0	0	3	0	0	1	1	5	2	12	0	0
BRCA_TCGA-D8-A1X7	0	0	1	3	9	1	0	0	0	0	6	2	5	5	0
BRCA_TCGA-D8-A1X9	4	3	0	0	2	10	8	0	5	5	2	9	12	40	2
BRCA_TCGA-D8-A1XA	0	5	0	2	1	0	0	1	5	2	4	0	0	8	0
BRCA_TCGA-D8-A1XB	0	6	7	4	1	0	1	2	0	5	3	7	4	10	0
BRCA_TCGA-D8-A1XC	2	10	2	1	0	5	0	0	4	0	5	1	2	2	0
BRCA_TCGA-D8-A1XF	0	8	6	7	12	0	2	0	0	0	0	4	4	8	0
BRCA_TCGA-D8-A1XG	0	0	2	2	1	4	3	0	1	3	0	1	9	1	0
BRCA_TCGA-D8-A1XK	6	55	42	0	17	0	13	19	567	349	0	1	174	10	47
BRCA_TCGA-D8-A1XL	4	2	3	4	12	2	3	0	4	12	1	9	38	13	3
BRCA_TCGA-D8-A1XM	1	5	0	9	12	0	0	4	0	0	9	18	0	6	0
BRCA_TCGA-D8-A1XO	0	4	0	0	1	3	0	1	0	0	1	10	2	6	1
BRCA_TCGA-D8-A1XQ	3	97	47	21	94	107	17	8	181	202	15	35	145	34	25
BRCA_TCGA-D8-A1XR	0	4	5	1	0	4	4	1	3	1	0	2	6	0	1
BRCA_TCGA-D8-A1XS	0	0	4	5	4	0	0	0	0	0	0	4	1	8	0
BRCA_TCGA-D8-A1XT	0	9	3	2	0	0	2	0	3	0	8	5	5	6	2
BRCA_TCGA-D8-A1XU	0	4	0	1	0	3	0	2	1	0	5	11	8	0	0
BRCA_TCGA-D8-A1XV	0	6	0	0	10	0	0	0	1	3	4	4	6	2	0
BRCA_TCGA-D8-A1XW	0	3	4	3	10	5	0	0	8	1	4	14	46	16	8
BRCA_TCGA-D8-A1XY	1	15	5	2	6	1	3	4	0	1	6	7	6	2	0
BRCA_TCGA-D8-A1XZ	0	18	6	6	20	11	0	0	0	0	1	10	12	12	0
BRCA_TCGA-D8-A1Y0	4	5	0	1	3	5	3	0	5	2	3	13	33	3	1
BRCA_TCGA-D8-A1Y1	0	71	9	8	86	9	0	2	2	23	0	18	5	0	0
BRCA_TCGA-D8-A1Y2	0	4	0	2	6	1	0	1	0	0	0	8	0	0	0
BRCA_TCGA-D8-A1Y3	0	19	0	3	1	2	0	4	0	10	9	1	14	3	1
BRCA_TCGA-D8-A27E	0	1	0	1	0	2	0	0	0	0	1	1	4	1	0
BRCA_TCGA-D8-A27F	3	1	0	1	5	6	0	1	3	2	0	11	21	16	0
BRCA_TCGA-D8-A27G	23	0	9	74	5	6	0	28	0	0	49	976	0	6	0
BRCA_TCGA-D8-A27H	0	3	1	0	15	2	0	0	6	7	0	54	70	1	1
BRCA_TCGA-D8-A27I	0	3	1	2	6	2	0	0	1	2	0	8	6	5	0
BRCA_TCGA-D8-A27K	0	6	0	1	1	2	0	0	0	2	3	1	0	5	0
BRCA_TCGA-D8-A27L	0	0	6	6	4	0	0	2	0	0	16	18	0	1	0
BRCA_TCGA-D8-A27M	5	5	5	5	2	2	1	3	3	2	0	14	24	19	0
BRCA_TCGA-D8-A27N	1	10	4	4	10	2	1	0	0	4	4	3	11	6	0
BRCA_TCGA-D8-A27P	0	2	9	1	0	2	0	0	1	2	3	1	5	4	0
BRCA_TCGA-D8-A27R	0	0	4	4	0	1	0	0	0	0	7	3	15	1	0
BRCA_TCGA-D8-A27T	0	9	4	0	0	0	2	4	0	4	2	4	0	2	0
BRCA_TCGA-D8-A27V	7	0	4	21	4	0	0	0	3	5	25	157	0	9	0
BRCA_TCGA-D8-A27W	0	14	5	3	11	3	0	0	2	0	1	5	1	9	1
BRCA_TCGA-D8-A3Z6	1	7	2	0	0	4	0	1	0	8	4	7	2	1	0
BRCA_TCGA-D8-A4Z1	1	0	3	6	0	0	0	3	0	0	6	26	0	1	0
BRCA_TCGA-D8-A73U	4	0	6	12	7	0	0	13	2	2	32	129	0	0	0
BRCA_TCGA-D8-A73W	0	9	10	0	4	5	0	0	0	1	8	4	1	6	4
BRCA_TCGA-D8-A73X	0	6	2	4	13	0	0	0	4	7	2	5	4	5	0
BRCA_TCGA-E2-A105	1	11	1	0	2	5	2	1	8	0	14	8	13	1	0
BRCA_TCGA-E2-A107	1	3	1	3	5	0	0	4	2	4	5	5	3	0	0
BRCA_TCGA-E2-A108	3	4	0	4	7	4	3	0	6	4	0	124	27	0	0
BRCA_TCGA-E2-A109	3	11	5	3	1	4	5	0	1	6	14	1	17	12	1
BRCA_TCGA-E2-A10A	0	0	5	0	0	2	0	1	1	0	8	8	0	3	0
BRCA_TCGA-E2-A10B	0	5	1	4	0	3	4	6	2	7	5	28	1	5	2
BRCA_TCGA-E2-A10C	9	0	2	41	9	0	0	21	0	0	28	409	0	0	0
BRCA_TCGA-E2-A10F	0	5	3	2	3	0	0	1	2	1	2	4	0	7	0
BRCA_TCGA-E2-A14N	0	3	4	5	1	2	0	0	0	6	10	20	40	10	8
BRCA_TCGA-E2-A14O	1	12	0	7	1	0	0	0	1	0	6	0	2	6	0
BRCA_TCGA-E2-A14P	2	9	9	10	10	0	0	3	6	3	20	26	0	14	0
BRCA_TCGA-E2-A14Q	1	11	0	0	1	0	0	0	0	6	7	6	0	6	2
BRCA_TCGA-E2-A14R	3	4	1	4	8	9	1	4	4	14	7	15	53	14	2
BRCA_TCGA-E2-A14T	0	2	6	4	6	0	0	0	0	3	0	6	5	6	5
BRCA_TCGA-E2-A14V	0	14	0	11	15	3	3	0	6	0	4	54	19	6	6
BRCA_TCGA-E2-A14W	0	3	2	5	0	8	2	3	1	4	7	12	43	9	3
BRCA_TCGA-E2-A14X	0	5	7	4	9	0	0	0	0	1	1	6	3	1	0
BRCA_TCGA-E2-A14Y	0	6	1	0	1	1	0	1	1	2	3	27	7	0	0
BRCA_TCGA-E2-A14Z	3	6	0	8	1	2	2	5	2	0	11	26	15	11	3
BRCA_TCGA-E2-A150	8	7	9	4	5	8	0	10	3	0	1	5	16	8	7
BRCA_TCGA-E2-A152	3	3	0	23	4	11	0	3	0	2	2	105	2	13	0
BRCA_TCGA-E2-A153	0	5	2	2	6	0	0	2	1	0	1	6	1	0	0
BRCA_TCGA-E2-A154	2	8	3	6	8	3	1	0	0	1	0	1	4	21	0
BRCA_TCGA-E2-A155	3	12	2	3	0	10	0	0	2	4	6	15	7	16	1
BRCA_TCGA-E2-A156	0	2	0	1	2	1	0	0	0	4	4	6	3	2	0
BRCA_TCGA-E2-A158	1	4	0	3	9	8	3	0	1	5	2	4	41	12	4
BRCA_TCGA-E2-A159	1	10	3	4	1	1	0	0	2	4	10	144	3	12	6
BRCA_TCGA-E2-A15A	3	4	5	0	10	1	0	0	1	0	8	5	4	17	4
BRCA_TCGA-E2-A15C	0	13	3	1	2	5	2	0	3	0	8	2	9	2	0
BRCA_TCGA-E2-A15D	2	5	3	2	10	3	0	0	3	2	0	0	1	1	2
BRCA_TCGA-E2-A15E	1	6	0	0	6	0	0	0	3	9	1	6	7	1	0
BRCA_TCGA-E2-A15F	0	6	0	1	3	2	0	1	1	1	2	1	10	0	0
BRCA_TCGA-E2-A15G	0	7	0	5	6	3	0	4	2	8	9	6	10	13	0
BRCA_TCGA-E2-A15H	0	7	4	2	0	2	0	0	0	5	8	0	1	4	0
BRCA_TCGA-E2-A15I	1	11	0	0	7	1	0	2	0	0	4	4	5	8	0
BRCA_TCGA-E2-A15J	0	3	6	0	0	0	0	0	1	0	4	0	3	5	0
BRCA_TCGA-E2-A15K	1	4	5	2	9	1	2	1	0	2	12	2	4	8	0
BRCA_TCGA-E2-A15L	0	6	0	1	10	0	0	0	0	6	0	3	6	2	0
BRCA_TCGA-E2-A15M	3	14	8	3	1	0	2	0	5	2	13	32	20	5	0
BRCA_TCGA-E2-A15O	0	2	1	2	9	1	0	0	0	3	1	1	10	3	1
BRCA_TCGA-E2-A15P	0	5	3	1	0	0	0	1	3	2	7	1	4	1	0
BRCA_TCGA-E2-A15R	0	12	0	5	1	1	0	1	2	0	11	4	4	6	0
BRCA_TCGA-E2-A15S	0	1	0	0	12	3	3	3	7	0	5	10	18	2	4
BRCA_TCGA-E2-A15T	0	6	0	1	10	2	0	0	3	1	3	3	4	7	0
BRCA_TCGA-E2-A1AZ	1	0	6	11	0	0	0	0	0	12	0	27	8	14	0
BRCA_TCGA-E2-A1B0	0	10	1	7	1	2	0	1	13	0	4	8	3	8	2
BRCA_TCGA-E2-A1B1	1	4	0	2	10	0	0	5	0	0	12	29	3	0	0
