Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O
BRCA_TCGA-A2-A4S2	0	4	3	0	2	3	0	1	4	3	4	6	2	11	0
BRCA_TCGA-A2-A4S3	4	7	4	3	17	6	0	3	6	7	7	16	21	6	0
BRCA_TCGA-A7-A0CE	1	0	4	1	8	2	1	1	3	3	7	6	24	0	0
BRCA_TCGA-A7-A0CH	0	1	0	1	0	0	0	0	0	3	8	0	3	1	0
BRCA_TCGA-A7-A0D9	0	0	1	0	2	0	0	1	0	0	4	3	0	0	1
BRCA_TCGA-A7-A0DA	3	8	3	5	1	9	1	0	1	8	7	16	84	32	9
BRCA_TCGA-A7-A0DB	1	7	1	1	4	1	0	3	3	0	0	20	4	5	3
BRCA_TCGA-A7-A13D	0	9	2	3	8	8	1	3	3	5	10	16	62	10	0
BRCA_TCGA-A7-A13E	0	17	5	2	23	4	0	0	0	6	0	5	9	9	0
BRCA_TCGA-A7-A13F	2	12	2	6	0	5	0	0	2	2	3	4	4	3	0
BRCA_TCGA-A7-A13G	1	4	5	0	0	2	0	0	0	2	2	8	7	0	1
BRCA_TCGA-A7-A26E	0	9	0	9	9	3	0	3	1	3	3	19	0	7	1
BRCA_TCGA-A7-A26F	1	4	0	4	15	3	0	0	0	0	4	3	7	5	0
BRCA_TCGA-A7-A26G	3	3	3	2	0	4	3	1	2	1	4	16	17	9	0
BRCA_TCGA-A7-A26H	4	19	0	4	13	1	0	0	2	2	7	80	10	8	0
BRCA_TCGA-A7-A26I	1	2	1	2	2	2	0	0	2	4	9	7	9	5	0
BRCA_TCGA-A7-A26J	2	1	0	0	12	0	0	0	0	0	5	3	14	5	0
BRCA_TCGA-A7-A2KD	1	11	4	3	0	1	0	0	1	1	10	8	14	0	1
BRCA_TCGA-A7-A3RF	0	0	1	0	12	1	0	1	2	4	3	2	6	8	0
BRCA_TCGA-A7-A425	0	3	2	0	12	0	0	2	0	1	2	0	8	3	0
BRCA_TCGA-A7-A4SC	1	5	4	3	0	0	0	0	0	2	5	2	2	12	2
BRCA_TCGA-A7-A4SD	0	19	0	3	7	6	1	0	5	0	0	2	5	9	5
BRCA_TCGA-A7-A4SE	3	2	0	0	8	17	1	0	9	0	3	39	57	4	3
BRCA_TCGA-A7-A56D	9	10	12	15	13	7	0	1	0	0	23	102	32	0	1
BRCA_TCGA-A7-A5ZV	3	25	4	6	0	6	5	0	8	25	14	34	99	24	15
BRCA_TCGA-A7-A5ZW	1	0	2	3	9	0	0	0	2	7	0	10	0	2	0
BRCA_TCGA-A7-A5ZX	1	2	2	5	1	0	0	0	3	1	5	4	11	3	4
BRCA_TCGA-A7-A6VV	0	9	0	0	4	3	3	0	0	9	14	8	10	4	0
BRCA_TCGA-A7-A6VW	0	2	0	3	11	3	1	0	7	7	13	6	33	3	3
BRCA_TCGA-A7-A6VX	0	0	3	3	18	9	0	5	4	9	22	39	35	22	8
BRCA_TCGA-A7-A6VY	3	4	4	5	2	11	2	0	7	5	12	18	54	8	1
BRCA_TCGA-A8-A075	2	0	4	2	10	0	0	1	0	4	21	24	30	0	2
BRCA_TCGA-AC-A23C	7	3	8	5	0	8	0	2	10	4	13	53	26	4	2
BRCA_TCGA-AC-A23E	1	8	0	2	0	1	0	0	0	1	2	0	7	2	0
BRCA_TCGA-AC-A23H	126	33	32	271	0	78	19	0	0	2	0	5589	0	224	4
BRCA_TCGA-AC-A2B8	1	5	0	7	4	5	0	3	1	0	9	82	2	9	0
BRCA_TCGA-AC-A2BK	0	14	13	4	0	1	3	0	8	5	7	2	36	17	0
BRCA_TCGA-AC-A2BM	0	4	2	1	0	4	0	0	0	0	0	2	6	2	5
BRCA_TCGA-AC-A2FB	0	1	1	0	1	0	0	1	2	1	5	3	2	0	0
BRCA_TCGA-AC-A2FF	0	0	0	0	5	0	0	0	0	0	1	4	1	0	0
BRCA_TCGA-AC-A2FG	0	2	0	3	11	4	0	1	1	1	1	8	6	1	0
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
