Signatures	Stability	Total Mutations
SBS96A	0.968	515
SBS96B	0.992	215
SBS96C	0.023	170
SBS96D	0.987	156
SBS96E	0.811	147
SBS96F	0.218	140
SBS96G	0.444	116
SBS96H	0.033	101
SBS96I	0.069	71
SBS96J	0.467	65
SBS96K	0.948	59
SBS96L	0.483	46
SBS96M	0.095	41
SBS96N	0.063	37
SBS96O	0.382	22
SBS96P	0.064	16
SBS96Q	0.22	14
SBS96R	0.231	13
SBS96S	0.022	11
SBS96T	0.297	8
SBS96U	0.64	4
