Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
BRCA_TCGA-AN-A0XP	4.23E-01	9.07E-01	5.78E-01	7.52E-01	1.18E+00	8.41E-01	9.78E-01	9.78E-01	1.28E+00
BRCA_TCGA-AN-A0XR	0.00E+00	7.37E-01	1.00E-01	8.41E-01	2.77E+00	7.12E-01	0.00E+00	1.01E+00	2.87E+00
BRCA_TCGA-AN-A0XS	8.17E-01	1.03E+00	6.40E-01	5.67E-01	1.78E+00	1.10E+00	0.00E+00	5.67E-01	1.78E+00
BRCA_TCGA-AN-A0XT	0.00E+00	8.72E-01	9.80E-01	7.77E-01	1.02E+00	1.77E+00	4.33E-01	3.67E-01	2.69E-01
BRCA_TCGA-AN-A0XU	1.35E+00	5.47E-01	2.26E+00	2.67E-01	8.91E+00	1.39E+00	8.00E-01	2.08E+00	9.58E+00
BRCA_TCGA-AN-A0XV	6.57E-01	1.20E+00	1.27E+00	8.17E-01	1.98E+00	7.78E-01	7.86E-01	1.29E+00	1.99E+00
BRCA_TCGA-AN-A0XW	7.61E-01	1.14E+00	1.00E-01	1.41E+00	1.08E+00	1.43E+00	1.00E-01	2.25E+00	1.93E+00
BRCA_TCGA-AO-A03M	1.96E+00	1.21E+00	1.52E+00	4.42E-01	2.23E+00	4.16E-01	8.83E-01	7.00E+00	7.10E+00
BRCA_TCGA-AO-A03N	1.11E+00	1.20E+00	2.24E+00	9.40E-01	2.05E+00	1.35E+00	2.69E-01	2.40E+00	8.79E-01
BRCA_TCGA-AO-A03U	0.00E+00	0.00E+00	0.00E+00	0.00E+00	4.01E-01	0.00E+00	4.90E-01	4.42E-01	3.07E-01
BRCA_TCGA-AO-A03V	9.24E-01	8.85E-01	9.24E-01	8.09E-01	3.10E+00	2.37E+00	3.35E-01	1.82E+00	2.63E+00
BRCA_TCGA-AO-A0JG	7.92E-01	0.00E+00	5.58E-01	2.00E-01	1.70E+00	6.46E-01	6.00E-01	9.17E-01	1.12E+00
BRCA_TCGA-AO-A124	1.79E+00	1.85E+00	2.12E+00	6.53E-01	1.44E+01	3.20E+00	1.41E+00	1.55E+00	1.53E+01
BRCA_TCGA-AO-A125	6.01E-01	7.81E-01	1.10E+00	5.00E-01	1.91E+00	1.91E+00	6.99E-01	1.11E+00	1.55E+00
BRCA_TCGA-AO-A126	1.00E-01	9.04E-01	6.80E-01	0.00E+00	1.62E+00	0.00E+00	3.06E-01	6.90E-01	1.67E+00
BRCA_TCGA-AO-A128	7.33E-01	8.42E+00	8.47E+00	1.11E+01	3.11E+00	6.62E+00	8.59E+00	2.56E+00	5.61E+00
BRCA_TCGA-AO-A129	8.83E-01	1.80E+00	6.74E-01	1.02E+00	8.93E+00	1.62E+00	1.35E+00	1.37E+00	9.41E+00
BRCA_TCGA-AO-A12A	0.00E+00	7.27E-01	2.69E-01	6.40E-01	1.08E+00	3.00E-01	3.06E-01	4.07E-01	8.54E-01
BRCA_TCGA-AO-A12B	3.06E-01	7.22E-01	7.22E-01	2.13E-01	1.54E+00	3.79E-01	1.02E+00	1.53E-01	1.60E+00
BRCA_TCGA-AO-A12D	4.00E-01	1.61E+00	3.67E-01	0.00E+00	1.82E+00	1.32E+00	0.00E+00	1.61E+00	1.57E+00
BRCA_TCGA-AO-A12E	0.00E+00	1.20E+00	6.29E-01	6.18E-01	2.60E+00	0.00E+00	2.67E-01	5.17E-01	2.28E+00
BRCA_TCGA-AO-A12F	8.47E-01	1.05E+00	1.07E+00	9.45E-01	1.83E+00	1.13E+00	9.98E-01	0.00E+00	2.70E+00
BRCA_TCGA-AO-A12G	0.00E+00	1.53E+00	1.11E+00	2.67E-01	1.98E+00	2.39E+00	8.72E-01	1.63E+00	2.67E-01
BRCA_TCGA-AO-A12H	0.00E+00	1.15E+00	2.13E-01	1.02E+00	1.69E+00	1.30E+00	1.16E+00	2.67E-01	9.98E-01
BRCA_TCGA-AO-A1KO	3.00E-01	0.00E+00	2.91E-01	0.00E+00	1.15E+00	0.00E+00	6.16E-01	0.00E+00	9.29E-01
BRCA_TCGA-AO-A1KR	7.72E-01	8.41E-01	1.46E+00	5.59E-01	6.42E+00	5.17E-01	1.58E+00	1.22E+00	7.60E+00
BRCA_TCGA-AO-A1KT	2.00E-01	1.32E+00	1.06E+00	6.18E-01	2.30E+00	4.99E-01	1.73E+00	6.51E-01	2.53E+00
BRCA_TCGA-AQ-A04H	7.63E-01	1.61E+00	1.09E+00	2.19E+00	2.60E+00	1.70E+00	9.71E-01	8.23E-01	3.04E+00
BRCA_TCGA-AQ-A0Y5	0.00E+00	2.38E+00	1.01E+00	9.91E-01	3.39E+00	7.06E-01	6.18E-01	1.35E+00	2.05E+00
BRCA_TCGA-AQ-A1H2	4.01E-01	8.75E-01	4.99E-01	7.00E-01	2.27E+00	1.00E+00	7.64E-01	8.72E-01	1.42E+00
BRCA_TCGA-AQ-A1H3	0.00E+00	6.57E-01	0.00E+00	0.00E+00	9.36E-01	0.00E+00	5.67E-01	0.00E+00	1.27E+00
BRCA_TCGA-AQ-A54O	3.94E-01	9.68E-01	8.09E-01	4.16E-01	1.40E+00	8.00E-01	5.12E-01	3.79E-01	8.19E-01
BRCA_TCGA-AQ-A7U7	0.00E+00	1.32E+00	1.40E+00	1.40E+00	4.71E-01	8.00E-01	1.05E+00	1.61E+00	6.57E-01
BRCA_TCGA-AR-A0TP	1.00E-01	5.97E-01	1.65E+00	0.00E+00	6.15E+00	1.51E+00	1.16E+00	7.31E-01	5.15E+00
BRCA_TCGA-AR-A0TQ	5.93E-01	1.35E+00	1.12E+00	6.51E-01	2.63E+00	7.63E-01	0.00E+00	2.01E+00	1.61E+00
BRCA_TCGA-AR-A0TR	0.00E+00	9.00E-01	1.45E+00	8.49E-01	1.85E+00	1.20E+00	1.70E+00	5.97E-01	1.47E+00
BRCA_TCGA-AR-A0TS	3.00E-01	9.55E-01	9.20E-01	7.92E-01	6.56E+00	1.36E+00	7.95E-01	1.61E+00	6.33E+00
BRCA_TCGA-AR-A0TT	2.00E-01	1.85E+00	0.00E+00	1.57E+00	4.39E+00	2.59E+00	1.01E+00	2.00E+00	3.81E+00
BRCA_TCGA-AR-A0TU	1.15E+00	1.03E+00	8.94E-01	1.37E+00	6.98E+00	1.21E+00	1.19E+00	1.50E+00	6.53E+00
BRCA_TCGA-AR-A0TV	7.18E-01	1.29E+00	1.40E+00	9.68E-01	3.70E+00	1.97E+00	8.09E-01	1.59E+00	3.87E+00
BRCA_TCGA-AR-A0TW	1.00E+00	9.89E-01	1.44E+00	4.27E-01	3.34E+00	1.12E+00	7.22E-01	9.20E-01	3.37E+00
BRCA_TCGA-AR-A0TX	5.33E-01	1.12E+00	0.00E+00	1.29E+00	2.74E+00	2.12E+00	9.89E-01	5.08E+00	5.50E+00
BRCA_TCGA-AR-A0TZ	1.73E+00	1.20E+00	1.59E+00	1.08E+00	1.70E+00	8.19E-01	1.44E+00	1.17E+00	9.45E-01
BRCA_TCGA-AR-A0U0	5.93E-01	6.23E-01	9.21E-01	8.43E-01	2.13E+00	1.40E+00	5.96E-01	1.16E+00	1.79E+00
BRCA_TCGA-AR-A0U1	1.23E+00	8.69E-01	6.00E-01	8.67E-01	8.79E+00	1.20E+00	2.14E+00	1.43E+00	8.77E+00
BRCA_TCGA-AR-A0U2	0.00E+00	1.78E+00	1.42E+00	1.98E+00	2.52E+00	1.81E+00	3.40E-01	0.00E+00	2.74E+00
BRCA_TCGA-AR-A0U3	8.14E-01	9.45E-01	5.63E-01	1.02E+00	2.45E+00	1.51E+00	4.99E-01	0.00E+00	1.78E+00
BRCA_TCGA-AR-A0U4	1.23E+00	1.10E+00	3.93E+00	1.23E+00	1.44E+01	1.11E+00	2.65E+00	3.39E+00	1.18E+01
BRCA_TCGA-AR-A1AH	1.85E+00	1.34E+00	1.40E+00	3.08E+00	8.87E+00	8.20E-01	1.52E+00	1.52E+00	7.93E+00
BRCA_TCGA-AR-A1AI	9.52E-01	1.51E+00	2.03E+00	1.39E+00	2.58E+00	2.14E+00	1.04E+00	1.39E+00	2.12E+00
BRCA_TCGA-AR-A1AJ	0.00E+00	1.61E+00	1.28E+00	2.13E-01	1.19E+00	0.00E+00	6.33E-01	1.54E+00	9.31E-01
