Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_dirichlet_train_fold1.40	0.9999999999999984	0.923	0.661	66.1%	0.094	38.503%	0.4974	0.906
ATP2B4_dirichlet_train_fold1.41	0.9999999999999978	0.935	0.658	65.8%	0.104	35.403%	0.56738	0.926
ATP2B4_dirichlet_train_fold1.42	0.9999999999999983	0.884	0.711	71.1%	0.114	46.997%	0.54771	0.857
ATP2B4_dirichlet_train_fold1.43	0.9999999999999978	0.928	0.659	65.9%	0.1	38.281%	0.47975	0.915
ATP2B4_dirichlet_train_fold1.44	0.9999999999999974	0.93	0.623	62.3%	0.102	36.83%	0.47128	0.919
ATP2B4_dirichlet_train_fold1.45	0.9999999999999978	0.944	0.601	60.1%	0.099	33.43%	0.39997	0.936
ATP2B4_dirichlet_train_fold1.46	0.9999999999999977	0.902	0.697	69.7%	0.11	43.335%	0.56113	0.882
ATP2B4_dirichlet_train_fold1.47	0.9999999999999976	0.879	0.696	69.6%	0.111	47.936%	0.45514	0.847
ATP2B4_dirichlet_train_fold1.48	0.999999999999998	0.917	0.577	57.7%	0.099	40.011%	0.4285	0.9
ATP2B4_dirichlet_train_fold1.49	0.9999999999999976	0.906	0.628	62.8%	0.097	42.79%	0.52573	0.881
ATP2B4_dirichlet_train_fold1.50	0.9999999999999982	0.916	0.655	65.5%	0.103	40.41%	0.43984	0.899
ATP2B4_dirichlet_train_fold1.51	0.9999999999999982	0.904	0.7	70.0%	0.104	42.63%	0.5551	0.883
ATP2B4_dirichlet_train_fold1.52	0.9999999999999982	0.951	0.566	56.6%	0.09	30.938%	0.44495	0.944
ATP2B4_dirichlet_train_fold1.53	0.9999999999999977	0.929	0.575	57.5%	0.086	37.107%	0.46595	0.911
ATP2B4_dirichlet_train_fold1.54	0.9999999999999978	0.955	0.561	56.1%	0.089	29.629%	0.46678	0.949
ATP2B4_dirichlet_train_fold1.55	0.9999999999999981	0.828	0.797	79.7%	0.124	56.091%	0.65374	0.775
ATP2B4_dirichlet_train_fold1.56	0.999999999999998	0.95	0.522	52.2%	0.084	31.14%	0.32526	0.941
ATP2B4_dirichlet_train_fold1.57	0.9999999999999979	0.897	0.698	69.8%	0.104	46.771%	0.47038	0.876
ATP2B4_dirichlet_train_fold1.58	0.9999999999999982	0.893	0.654	65.4%	0.099	45.046%	0.47889	0.862
ATP2B4_dirichlet_train_fold1.59	0.9999999999999977	0.913	0.632	63.2%	0.103	40.86%	0.55024	0.895
ATP2B4_dirichlet_train_fold1.60	0.9999999999999978	0.92	0.609	60.9%	0.096	39.345%	0.47242	0.903
ATP2B4_dirichlet_train_fold1.61	0.9999999999999986	0.871	0.718	71.8%	0.125	49.125%	0.51935	0.844
ATP2B4_dirichlet_train_fold1.62	0.9999999999999977	0.912	0.624	62.4%	0.096	41.237%	0.50662	0.89
ATP2B4_dirichlet_train_fold1.63	0.9999999999999983	0.915	0.594	59.4%	0.097	40.316%	0.4584	0.895
ATP2B4_dirichlet_train_fold1.64	0.9999999999999977	0.863	0.708	70.8%	0.122	50.848%	0.49541	0.829
ATP2B4_dirichlet_train_fold1.65	0.9999999999999982	0.947	0.565	56.5%	0.091	32.202%	0.41069	0.939
ATP2B4_dirichlet_train_fold1.66	0.9999999999999984	0.932	0.551	55.1%	0.085	36.286%	0.38502	0.916
ATP2B4_dirichlet_train_fold1.67	0.999999999999998	0.887	0.578	57.8%	0.104	46.342%	0.41884	0.855
ATP2B4_dirichlet_train_fold1.68	0.999999999999998	0.907	0.635	63.5%	0.09	42.412%	0.42712	0.877
ATP2B4_dirichlet_train_fold1.69	0.9999999999999983	0.8	0.804	80.4%	0.133	60.837%	0.61397	0.74
ATP2B4_dirichlet_train_fold1.70	0.999999999999998	0.931	0.61	61.0%	0.117	38.062%	0.45022	0.924
ATP2B4_dirichlet_train_fold1.71	0.9999999999999981	0.959	0.495	49.5%	0.072	28.594%	0.38706	0.95
ATP2B4_dirichlet_train_fold1.72	0.9999999999999982	0.853	0.726	72.6%	0.127	52.684%	0.47248	0.818
ATP2B4_dirichlet_train_fold1.73	0.9999999999999982	0.883	0.656	65.6%	0.109	47.066%	0.44749	0.853
ATP2B4_dirichlet_train_fold1.74	0.9999999999999982	0.926	0.646	64.6%	0.103	37.925%	0.42981	0.913
ATP2B4_dirichlet_train_fold1.75	0.9999999999999982	0.942	0.617	61.7%	0.095	34.443%	0.46108	0.933
ATP2B4_dirichlet_train_fold1.76	0.9999999999999968	0.943	0.555	55.5%	0.09	33.211%	0.35816	0.933
ATP2B4_dirichlet_train_fold1.77	0.9999999999999983	0.898	0.663	66.3%	0.106	44.263%	0.51539	0.874
ATP2B4_dirichlet_train_fold1.78	0.9999999999999977	0.881	0.69	69.0%	0.115	47.438%	0.56869	0.853
ATP2B4_dirichlet_train_fold1.79	0.9999999999999987	0.919	0.623	62.3%	0.098	39.877%	0.48329	0.902
ATP2B4_dirichlet_train_fold1.80	0.9999999999999979	0.91	0.597	59.7%	0.09	42.028%	0.3937	0.883
ATP2B4_dirichlet_train_fold1.81	0.999999999999998	0.86	0.723	72.3%	0.127	51.179%	0.54793	0.829
ATP2B4_dirichlet_train_fold1.82	0.9999999999999982	0.915	0.748	74.8%	0.107	40.99%	0.53678	0.899
ATP2B4_dirichlet_train_fold1.83	0.999999999999998	0.934	0.592	59.2%	0.087	35.647%	0.43792	0.92
ATP2B4_dirichlet_train_fold1.84	0.9999999999999973	0.846	0.694	69.4%	0.154	53.666%	0.53539	0.822
ATP2B4_dirichlet_train_fold1.85	0.9999999999999978	0.899	0.652	65.2%	0.104	43.891%	0.49224	0.875
ATP2B4_dirichlet_train_fold1.86	0.999999999999998	0.883	0.692	69.2%	0.127	47.314%	0.48644	0.862
ATP2B4_dirichlet_train_fold1.87	0.9999999999999979	0.918	0.622	62.2%	0.093	39.613%	0.44929	0.898
ATP2B4_dirichlet_train_fold1.88	0.9999999999999973	0.826	0.727	72.7%	0.139	56.402%	0.5597	0.786
ATP2B4_dirichlet_train_fold1.89	0.9999999999999983	0.917	0.618	61.8%	0.1	40.627%	0.39911	0.9
ATP2B4_dirichlet_train_fold1.90	0.9999999999999976	0.875	0.672	67.2%	0.115	48.54%	0.44961	0.844
ATP2B4_dirichlet_train_fold1.91	0.9999999999999977	0.942	0.629	62.9%	0.104	33.858%	0.53701	0.935
ATP2B4_dirichlet_train_fold1.92	0.9999999999999982	0.924	0.568	56.8%	0.09	38.081%	0.37883	0.906
ATP2B4_dirichlet_train_fold1.93	0.9999999999999984	0.82	0.837	83.7%	0.129	57.337%	0.68839	0.766
ATP2B4_dirichlet_train_fold1.94	0.9999999999999971	0.904	0.644	64.4%	0.101	43.205%	0.46181	0.88
ATP2B4_dirichlet_train_fold1.95	0.9999999999999983	0.855	0.725	72.5%	0.128	51.826%	0.58812	0.822
ATP2B4_dirichlet_train_fold1.96	0.9999999999999979	0.698	0.873	87.3%	0.148	71.717%	0.64928	0.567
ATP2B4_dirichlet_train_fold1.97	0.9999999999999976	0.95	0.532	53.2%	0.09	31.183%	0.44044	0.943
EXO1_dirichlet_train_fold1	0.9999999999999958	0.735	0.787	78.7%	0.112	68.322%	0.48138	0.507
EXO1_dirichlet_train_fold1.1	0.9999999999999952	0.704	0.754	75.4%	0.11	71.705%	0.52448	0.369
RNF168_dirichlet_train_fold1	0.9999999999999997	0.825	0.722	72.2%	0.103	56.91%	0.41931	0.735
RNF168_dirichlet_train_fold1.1	0.9999999999999996	0.802	0.712	71.2%	0.098	59.613%	0.45668	0.648
RNF168_dirichlet_train_fold1.2	0.9999999999999997	0.776	0.69	69.0%	0.098	63.052%	0.4125	0.548
RNF168_dirichlet_train_fold1.3	0.9999999999999996	0.772	0.732	73.2%	0.102	63.559%	0.47855	0.569
EXO1_dirichlet_train_fold1.2	0.999999999999996	0.782	0.702	70.2%	0.096	62.411%	0.43068	0.563
RNF168_dirichlet_train_fold1.4	0.9999999999999997	0.779	0.795	79.5%	0.111	62.819%	0.51042	0.647
RNF168_dirichlet_train_fold1.5	0.9999999999999996	0.788	0.75	75.0%	0.111	61.662%	0.4869	0.67
EXO1_dirichlet_train_fold1.3	0.9999999999999949	0.798	0.668	66.8%	0.089	60.97%	0.3781	0.554
RNF168_dirichlet_train_fold1.6	0.9999999999999996	0.765	0.751	75.1%	0.106	64.629%	0.48749	0.57
EXO1_dirichlet_train_fold1.4	0.9999999999999956	0.812	0.642	64.2%	0.085	59.068%	0.33215	0.582
RNF168_dirichlet_train_fold1.7	0.9999999999999996	0.778	0.723	72.3%	0.105	62.808%	0.42799	0.608
RNF168_dirichlet_train_fold1.8	0.9999999999999994	0.792	0.698	69.8%	0.102	61.146%	0.42965	0.637
EXO1_dirichlet_train_fold1.5	0.999999999999996	0.774	0.689	68.9%	0.096	64.046%	0.3975	0.537
EXO1_dirichlet_train_fold1.6	0.9999999999999956	0.771	0.677	67.7%	0.108	63.907%	0.43549	0.601
RNF168_dirichlet_train_fold1.9	0.9999999999999996	0.709	0.82	82.0%	0.11	70.88%	0.61499	0.381
EXO1_dirichlet_train_fold1.7	0.9999999999999957	0.852	0.576	57.6%	0.081	52.792%	0.334	0.722
RNF168_dirichlet_train_fold1.10	0.9999999999999996	0.803	0.668	66.8%	0.096	59.731%	0.39835	0.639
EXO1_dirichlet_train_fold1.8	0.9999999999999958	0.671	0.84	84.0%	0.122	74.419%	0.57639	0.354
RNF168_dirichlet_train_fold1.11	0.9999999999999997	0.757	0.767	76.7%	0.107	65.238%	0.47324	0.556
RNF168_dirichlet_train_fold1.12	0.9999999999999996	0.733	0.753	75.3%	0.111	67.881%	0.48634	0.494
RNF168_dirichlet_train_fold1.13	0.9999999999999994	0.749	0.742	74.2%	0.114	66.07%	0.47079	0.57
EXO1_dirichlet_train_fold1.9	0.9999999999999951	0.754	0.711	71.1%	0.1	65.727%	0.39488	0.477
RNF168_dirichlet_train_fold1.14	0.9999999999999994	0.897	0.545	54.5%	0.078	44.12%	0.3107	0.84
EXO1_dirichlet_train_fold1.10	0.9999999999999956	0.818	0.619	61.9%	0.087	58.103%	0.38425	0.63
RNF168_dirichlet_train_fold1.15	0.9999999999999996	0.86	0.603	60.3%	0.087	51.112%	0.43047	0.77
RNF168_dirichlet_train_fold1.16	0.9999999999999996	0.819	0.659	65.9%	0.095	57.547%	0.40091	0.689
EXO1_dirichlet_train_fold1.11	0.9999999999999962	0.731	0.728	72.8%	0.102	68.973%	0.40621	0.391
EXO1_dirichlet_train_fold1.12	0.9999999999999958	0.799	0.613	61.3%	0.098	60.152%	0.35804	0.645
