Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
MSH6_boot.7	0.9999999999999971	0.985	0.212	21.2%	0.032	17.191%	0.05841	0.978
MSH6_boot.8	0.9999999999999967	0.991	0.168	16.8%	0.025	13.612%	0.04953	0.987
MSH6_boot.9	0.9999999999999959	0.992	0.165	16.5%	0.024	12.744%	0.04027	0.988
MSH6_boot.10	0.9999999999999959	0.985	0.183	18.3%	0.032	17.318%	0.04585	0.979
MSH6_boot.11	0.9999999999999976	0.982	0.233	23.3%	0.036	18.964%	0.06059	0.975
MSH6_boot.12	0.9999999999999973	0.986	0.212	21.2%	0.032	17.106%	0.06334	0.98
MSH6_boot.13	0.9999999999999969	0.985	0.209	20.9%	0.032	17.116%	0.06409	0.979
MSH6_boot.14	0.9999999999999972	0.979	0.233	23.3%	0.039	20.584%	0.06288	0.97
MSH6_boot.15	0.9999999999999971	0.988	0.193	19.3%	0.029	15.587%	0.05386	0.982
MSH6_boot.16	0.9999999999999973	0.984	0.215	21.5%	0.033	17.554%	0.0645	0.977
MSH6_boot.17	0.9999999999999962	0.989	0.178	17.8%	0.029	15.195%	0.0463	0.984
MSH6_boot.18	0.9999999999999973	0.984	0.217	21.7%	0.034	17.802%	0.05859	0.977
MSH6_boot.19	0.9999999999999954	0.99	0.18	18.0%	0.026	13.972%	0.04525	0.986
MSH6_boot.20	0.9999999999999969	0.987	0.185	18.5%	0.029	15.899%	0.04065	0.981
MSH6_boot.21	0.9999999999999953	0.987	0.197	19.7%	0.03	16.246%	0.05058	0.981
MSH6_boot.22	0.9999999999999976	0.986	0.22	22.0%	0.032	16.968%	0.06059	0.98
MSH6_boot.23	0.9999999999999974	0.988	0.194	19.4%	0.028	15.611%	0.05681	0.982
MSH6_boot.24	0.9999999999999969	0.984	0.212	21.2%	0.034	17.656%	0.06037	0.978
MSH6_boot.25	0.9999999999999962	0.991	0.162	16.2%	0.024	13.387%	0.0387	0.986
MSH6_boot.26	0.9999999999999973	0.984	0.207	20.7%	0.034	17.788%	0.05923	0.978
MSH6_boot.27	0.9999999999999961	0.988	0.183	18.3%	0.029	15.667%	0.05267	0.982
MSH6_boot.28	0.9999999999999974	0.99	0.167	16.7%	0.026	13.888%	0.05498	0.986
MSH6_boot.29	0.9999999999999953	0.986	0.202	20.2%	0.031	17.233%	0.05319	0.979
MSH6_boot.30	0.9999999999999961	0.987	0.194	19.4%	0.029	16.066%	0.04646	0.981
MSH6_boot.31	0.9999999999999957	0.987	0.203	20.3%	0.03	16.31%	0.04821	0.981
MSH6_boot.32	0.9999999999999962	0.989	0.189	18.9%	0.027	14.723%	0.04604	0.984
