Samples	SBS96A	SBS96B	SBS96C
EXO1_0_multinomial_train1.32	1.50E-01	3.50E-02	1.63E-26
EXO1_0_multinomial_train1.33	1.53E-01	3.56E-02	1.63E-26
RNF168_0_multinomial_train1.41	1.67E-01	3.48E-02	8.49E-03
RNF168_0_multinomial_train1.42	1.72E-01	3.64E-02	7.76E-03
EXO1_0_multinomial_train1.34	1.54E-01	3.59E-02	1.63E-26
RNF168_0_multinomial_train1.43	1.58E-01	3.47E-02	1.11E-02
EXO1_0_multinomial_train1.35	1.50E-01	3.48E-02	2.21E-03
EXO1_0_multinomial_train1.36	1.50E-01	3.52E-02	1.63E-26
RNF168_0_multinomial_train1.44	1.63E-01	3.49E-02	1.34E-02
EXO1_0_multinomial_train1.37	1.51E-01	3.48E-02	1.63E-26
RNF168_0_multinomial_train1.45	1.59E-01	3.48E-02	1.16E-02
RNF168_0_multinomial_train1.46	1.61E-01	3.53E-02	4.82E-03
RNF168_0_multinomial_train1.47	1.69E-01	3.70E-02	3.20E-03
RNF168_0_multinomial_train1.48	1.63E-01	3.53E-02	5.55E-03
RNF168_0_multinomial_train1.49	1.63E-01	3.68E-02	1.07E-02
RNF168_0_multinomial_train1.50	1.61E-01	3.71E-02	3.52E-03
EXO1_0_multinomial_train1.38	1.54E-01	3.50E-02	3.01E-11
RNF168_0_multinomial_train1.51	1.60E-01	3.59E-02	6.24E-03
RNF168_0_multinomial_train1.52	1.53E-01	3.58E-02	3.12E-03
EXO1_0_multinomial_train1.39	1.53E-01	3.59E-02	1.63E-26
EXO1_0_multinomial_train1.40	1.50E-01	3.50E-02	1.63E-26
RNF168_0_multinomial_train1.53	1.65E-01	3.58E-02	1.49E-02
EXO1_0_multinomial_train1.41	1.51E-01	3.56E-02	1.63E-26
EXO1_0_multinomial_train1.42	1.52E-01	3.52E-02	1.63E-26
RNF168_0_multinomial_train1.54	1.66E-01	3.43E-02	2.03E-02
OGG1_0_multinomial_train1	6.61E-02	1.53E-26	1.65E-01
UNG_0_multinomial_train1	7.26E-02	8.09E-02	6.34E-02
UNG_0_multinomial_train1.1	7.20E-02	7.94E-02	5.73E-02
UNG_0_multinomial_train1.2	7.30E-02	7.73E-02	5.47E-02
OGG1_0_multinomial_train1.1	6.52E-02	1.53E-26	1.60E-01
UNG_0_multinomial_train1.3	7.57E-02	8.59E-02	5.81E-02
OGG1_0_multinomial_train1.2	6.43E-02	1.53E-26	1.57E-01
OGG1_0_multinomial_train1.3	6.65E-02	1.53E-26	1.72E-01
UNG_0_multinomial_train1.4	7.65E-02	8.33E-02	5.70E-02
UNG_0_multinomial_train1.5	7.16E-02	7.49E-02	5.50E-02
OGG1_0_multinomial_train1.4	6.41E-02	1.53E-26	1.76E-01
OGG1_0_multinomial_train1.5	6.52E-02	1.53E-26	1.62E-01
UNG_0_multinomial_train1.6	4.84E-02	6.81E-02	6.53E-02
UNG_0_multinomial_train1.7	7.09E-02	7.85E-02	6.14E-02
UNG_0_multinomial_train1.8	7.42E-02	8.03E-02	5.59E-02
OGG1_0_multinomial_train1.6	6.54E-02	1.53E-26	1.63E-01
UNG_0_multinomial_train1.9	7.44E-02	8.15E-02	5.66E-02
OGG1_0_multinomial_train1.7	6.58E-02	1.53E-26	1.67E-01
UNG_0_multinomial_train1.10	7.35E-02	7.57E-02	5.45E-02
OGG1_0_multinomial_train1.8	6.53E-02	1.53E-26	1.57E-01
UNG_0_multinomial_train1.11	7.43E-02	7.87E-02	5.58E-02
OGG1_0_multinomial_train1.9	6.56E-02	1.53E-26	1.65E-01
OGG1_0_multinomial_train1.10	6.45E-02	1.53E-26	1.67E-01
OGG1_0_multinomial_train1.11	6.38E-02	1.53E-26	1.69E-01
UNG_0_multinomial_train1.12	6.91E-02	7.23E-02	6.40E-02
UNG_0_multinomial_train1.13	7.61E-02	8.29E-02	5.59E-02
UNG_0_multinomial_train1.14	7.75E-02	7.24E-02	6.61E-02
OGG1_0_multinomial_train1.12	6.55E-02	1.53E-26	1.68E-01
OGG1_0_multinomial_train1.13	6.51E-02	1.53E-26	1.61E-01
UNG_0_multinomial_train1.15	7.54E-02	8.64E-02	5.82E-02
UNG_0_multinomial_train1.16	7.10E-02	7.43E-02	5.60E-02
UNG_0_multinomial_train1.17	7.51E-02	7.92E-02	5.58E-02
OGG1_0_multinomial_train1.14	6.53E-02	1.53E-26	1.74E-01
UNG_0_multinomial_train1.18	7.34E-02	8.14E-02	5.62E-02
OGG1_0_multinomial_train1.15	6.48E-02	1.53E-26	1.57E-01
UNG_0_multinomial_train1.19	7.70E-02	8.75E-02	5.77E-02
OGG1_0_multinomial_train1.16	6.50E-02	1.53E-26	1.59E-01
UNG_0_multinomial_train1.20	6.96E-02	7.94E-02	5.70E-02
UNG_0_multinomial_train1.21	7.31E-02	8.19E-02	5.60E-02
OGG1_0_multinomial_train1.17	6.56E-02	1.53E-26	1.66E-01
UNG_0_multinomial_train1.22	7.69E-02	8.51E-02	5.75E-02
UNG_0_multinomial_train1.23	7.74E-02	8.68E-02	5.86E-02
UNG_0_multinomial_train1.24	7.71E-02	8.46E-02	5.68E-02
OGG1_0_multinomial_train1.18	6.52E-02	1.53E-26	1.59E-01
UNG_0_multinomial_train1.25	7.21E-02	7.06E-02	5.58E-02
OGG1_0_multinomial_train1.19	6.49E-02	1.53E-26	1.58E-01
UNG_0_multinomial_train1.26	6.89E-02	8.16E-02	5.95E-02
OGG1_0_multinomial_train1.20	6.53E-02	1.53E-26	1.59E-01
UNG_0_multinomial_train1.27	6.97E-02	7.16E-02	5.37E-02
OGG1_0_multinomial_train1.21	6.07E-02	4.11E-03	1.49E-01
OGG1_0_multinomial_train1.22	6.65E-02	1.53E-26	1.67E-01
UNG_0_multinomial_train1.28	6.96E-02	7.47E-02	5.63E-02
UNG_0_multinomial_train1.29	7.60E-02	8.57E-02	5.81E-02
OGG1_0_multinomial_train1.23	6.35E-02	1.53E-26	1.68E-01
OGG1_0_multinomial_train1.24	6.45E-02	1.53E-26	1.71E-01
OGG1_0_multinomial_train1.25	6.54E-02	1.53E-26	1.58E-01
