Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P
BRCA_TCGA-B6-A0WT	1	1	2	3	7	0	0	0	0	6	0	0	2	0	0	0
BRCA_TCGA-B6-A0WV	0	1	4	0	0	6	0	0	1	3	3	2	6	3	5	3
BRCA_TCGA-B6-A0WW	1	0	2	3	15	0	3	0	0	4	3	0	3	8	5	0
BRCA_TCGA-B6-A0WX	2	0	7	3	10	3	0	0	2	3	0	0	0	1	14	0
BRCA_TCGA-B6-A0WY	0	6	2	3	0	2	0	2	3	1	0	0	1	7	8	0
BRCA_TCGA-B6-A0WZ	1	2	0	6	0	1	0	0	0	0	0	0	31	52	1	1
BRCA_TCGA-B6-A0X0	1	0	2	2	6	0	0	0	0	2	2	0	1	1	8	0
BRCA_TCGA-B6-A0X1	2	1	0	6	6	7	0	2	7	8	14	0	8	16	15	0
BRCA_TCGA-B6-A0X4	3	0	2	5	4	0	0	0	0	0	4	0	1	0	3	0
BRCA_TCGA-B6-A0X5	6	2	0	8	2	2	2	0	4	4	0	2	1	5	10	0
BRCA_TCGA-B6-A0X7	0	0	5	2	0	2	0	0	0	1	2	0	4	3	4	0
BRCA_TCGA-B6-A1KN	6	4	6	0	0	5	0	1	2	5	9	6	7	3	18	0
BRCA_TCGA-B6-A2IU	0	6	1	8	10	0	0	0	0	4	5	0	10	10	0	0
BRCA_TCGA-B6-A401	0	5	2	2	0	3	0	0	0	0	8	0	0	1	6	1
BRCA_TCGA-B6-A409	0	3	9	3	2	2	0	0	0	5	7	5	3	5	11	1
BRCA_TCGA-B6-A40B	1	4	2	1	8	1	0	0	0	5	9	0	13	12	10	0
BRCA_TCGA-B6-A40C	3	0	19	0	0	3	0	0	2	2	2	1	7	3	12	0
BRCA_TCGA-BH-A0AU	0	2	4	0	0	3	0	0	0	0	0	5	0	3	5	1
BRCA_TCGA-BH-A0AV	1	4	0	2	0	6	5	2	6	6	20	0	5	14	16	0
BRCA_TCGA-BH-A0AY	1	1	6	5	0	3	0	0	1	0	5	3	2	6	13	0
BRCA_TCGA-BH-A0AZ	1	0	0	1	6	5	4	0	0	6	2	4	5	18	15	3
BRCA_TCGA-BH-A0B0	1	6	0	12	0	0	0	0	0	0	0	0	32	47	0	1
BRCA_TCGA-BH-A0B3	1	1	2	1	3	0	0	2	0	0	0	0	1	2	5	0
BRCA_TCGA-BH-A0B6	17	4	1	87	8	0	0	2	0	0	16	0	308	843	0	4
BRCA_TCGA-BH-A0B7	0	4	3	5	6	0	0	0	0	0	9	0	0	9	2	4
BRCA_TCGA-BH-A0B8	1	1	1	1	0	5	0	0	0	0	4	1	9	1	10	0
BRCA_TCGA-BH-A0BA	0	2	3	1	0	3	3	0	0	3	0	3	3	5	3	0
BRCA_TCGA-BH-A0BC	0	4	7	3	0	0	4	0	0	1	5	1	6	8	6	0
BRCA_TCGA-BH-A0BF	0	2	3	2	1	2	0	0	0	4	4	3	0	7	4	1
BRCA_TCGA-BH-A0BG	0	4	1	0	2	0	0	2	1	1	7	0	0	9	18	0
BRCA_TCGA-BH-A0BJ	0	1	1	1	0	1	0	0	1	0	0	3	1	0	8	0
BRCA_TCGA-BH-A0BL	3	2	7	3	9	0	1	0	0	2	6	3	0	3	29	1
BRCA_TCGA-BH-A0BM	1	1	0	0	2	1	1	0	0	0	6	0	0	3	4	0
BRCA_TCGA-BH-A0BO	0	0	4	2	1	4	0	0	0	13	3	0	0	4	0	0
BRCA_TCGA-BH-A0BP	4	6	15	15	17	8	0	1	0	3	19	7	19	43	39	0
BRCA_TCGA-BH-A0BQ	1	1	4	2	4	3	0	0	0	0	5	0	0	2	8	0
BRCA_TCGA-BH-A0BS	0	1	2	0	2	2	0	0	0	3	8	0	0	1	4	0
BRCA_TCGA-BH-A0BT	1	7	3	3	7	0	0	0	0	5	7	0	8	3	4	0
BRCA_TCGA-BH-A0BV	0	1	2	1	0	1	0	0	0	1	8	0	5	3	2	0
BRCA_TCGA-BH-A0BW	0	3	7	3	0	10	4	3	6	8	6	3	3	15	29	3
BRCA_TCGA-BH-A0BZ	14	17	0	3	16	16	6	1	9	12	35	8	5	42	107	5
BRCA_TCGA-BH-A0C0	0	1	0	2	9	0	0	9	0	5	0	0	5	3	14	0
BRCA_TCGA-BH-A0C1	0	8	5	2	0	10	0	0	1	0	5	0	3	5	9	2
BRCA_TCGA-BH-A0C3	0	0	3	1	0	1	0	0	4	1	1	3	0	0	4	0
BRCA_TCGA-BH-A0C7	0	2	11	2	0	4	3	4	3	0	2	0	2	3	22	0
BRCA_TCGA-BH-A0DD	0	7	7	3	0	0	0	0	4	0	4	0	4	5	3	0
BRCA_TCGA-BH-A0DE	1	0	3	1	0	1	0	0	3	0	9	2	6	0	7	0
BRCA_TCGA-BH-A0DG	1	0	0	7	2	5	0	1	2	1	3	3	2	12	6	2
BRCA_TCGA-BH-A0DH	0	3	10	4	0	7	3	0	0	4	3	0	6	11	0	1
BRCA_TCGA-BH-A0DI	0	5	6	1	3	0	2	1	0	1	0	1	9	20	13	0
BRCA_TCGA-BH-A0DK	3	0	6	1	9	0	1	0	3	2	0	3	3	5	17	0
BRCA_TCGA-BH-A0DL	1	8	6	3	8	2	0	0	0	5	3	2	4	15	4	4
BRCA_TCGA-BH-A0DO	0	5	0	4	0	2	0	0	1	1	4	0	0	7	6	0
BRCA_TCGA-BH-A0DP	0	0	0	1	4	0	0	0	0	1	3	0	3	2	5	0
BRCA_TCGA-BH-A0DQ	0	0	3	1	15	1	0	0	1	0	8	2	0	2	2	0
BRCA_TCGA-BH-A0DT	0	0	3	0	0	3	3	0	0	0	1	0	2	2	1	0
BRCA_TCGA-BH-A0DV	0	0	0	0	0	1	0	0	2	0	4	0	2	2	3	1
BRCA_TCGA-BH-A0DX	1	2	7	4	0	0	0	0	1	0	0	0	12	32	18	0
BRCA_TCGA-BH-A0DZ	4	0	1	15	0	0	5	0	0	1	0	4	40	147	0	0
BRCA_TCGA-BH-A0E0	0	1	7	2	2	0	0	2	0	0	3	0	3	1	0	3
BRCA_TCGA-BH-A0E1	0	0	5	3	0	1	0	0	1	0	0	1	0	6	1	1
BRCA_TCGA-BH-A0E9	0	3	5	1	5	1	0	2	0	2	2	2	2	1	2	0
BRCA_TCGA-BH-A0EA	0	4	2	3	0	5	0	0	1	1	3	0	3	3	7	0
BRCA_TCGA-BH-A0EI	0	1	3	1	8	1	0	0	0	2	5	0	2	0	1	0
BRCA_TCGA-BH-A0H3	0	0	3	0	0	0	0	0	0	0	2	0	3	0	9	0
BRCA_TCGA-BH-A0H5	7	0	0	15	0	0	0	0	0	0	7	0	44	96	0	0
BRCA_TCGA-BH-A0H7	1	0	4	1	0	0	0	2	2	1	0	1	0	4	1	0
BRCA_TCGA-BH-A0H9	0	1	1	1	0	0	0	0	3	0	0	0	3	2	8	4
BRCA_TCGA-BH-A0HA	0	39	72	12	0	39	0	10	108	33	13	0	17	28	5	6
BRCA_TCGA-BH-A0HI	3	0	4	2	4	0	2	0	3	0	5	0	4	5	3	0
BRCA_TCGA-BH-A0HK	0	6	3	5	0	0	0	0	0	0	4	0	20	20	5	0
BRCA_TCGA-BH-A0HN	0	0	7	4	4	0	0	0	0	2	4	2	3	4	4	0
BRCA_TCGA-BH-A0HP	12	0	4	18	0	0	0	4	0	0	0	0	96	223	0	0
BRCA_TCGA-BH-A0RX	0	0	14	6	15	2	0	0	0	4	3	0	0	4	1	0
BRCA_TCGA-BH-A0W3	1	0	2	0	3	1	0	0	0	3	4	0	0	4	5	0
BRCA_TCGA-BH-A0W4	0	0	5	5	0	0	3	0	3	3	0	1	6	6	7	0
BRCA_TCGA-BH-A0W5	1	3	4	2	4	1	0	0	1	3	2	3	0	1	4	0
BRCA_TCGA-BH-A0W7	4	1	0	15	0	0	0	0	0	8	8	0	37	188	0	0
BRCA_TCGA-BH-A0WA	3	0	3	0	13	8	1	4	0	9	8	0	26	11	27	0
BRCA_TCGA-BH-A18F	3	0	10	7	0	2	0	2	1	0	5	0	17	10	10	0
BRCA_TCGA-BH-A18G	17	206	209	42	112	276	0	122	374	215	71	5	0	3	0	16
BRCA_TCGA-BH-A18H	0	1	2	2	4	8	0	0	4	2	1	0	15	6	7	2
BRCA_TCGA-BH-A18I	0	5	5	4	6	0	0	0	0	0	1	0	2	4	4	0
BRCA_TCGA-BH-A18J	2	5	1	3	1	1	3	2	4	1	1	0	17	65	5	0
BRCA_TCGA-BH-A18K	1	2	0	4	8	1	0	0	3	1	11	0	7	23	5	2
BRCA_TCGA-BH-A18L	2	8	11	3	5	1	2	4	3	0	6	1	4	2	13	0
BRCA_TCGA-BH-A18M	0	0	3	1	7	0	0	0	0	0	2	0	2	3	0	0
BRCA_TCGA-BH-A18N	0	7	7	2	0	0	0	0	5	6	0	0	0	1	14	1
BRCA_TCGA-BH-A18P	0	5	6	34	0	0	0	6	0	0	0	0	121	266	0	0
BRCA_TCGA-BH-A18Q	1	1	2	1	1	7	0	3	2	5	10	5	5	8	54	2
BRCA_TCGA-BH-A18R	2	0	2	1	0	3	2	0	0	8	0	1	7	5	11	0
BRCA_TCGA-BH-A18S	2	3	0	2	1	3	0	2	6	1	1	2	0	3	10	1
BRCA_TCGA-BH-A18T	1	1	3	2	8	8	2	7	6	0	4	2	3	17	38	0
BRCA_TCGA-BH-A18U	0	2	12	6	15	6	1	6	0	8	12	0	30	61	19	0
BRCA_TCGA-BH-A18V	11	0	0	4	13	5	2	2	0	16	3	6	14	96	72	6
BRCA_TCGA-BH-A1EO	0	6	15	4	0	0	0	0	0	0	7	0	2	5	11	0
BRCA_TCGA-BH-A1ET	3	1	4	1	8	2	2	0	2	2	4	0	0	1	3	0
BRCA_TCGA-BH-A1EU	0	0	6	1	0	1	1	0	6	3	1	0	5	1	9	0
BRCA_TCGA-BH-A1EV	3	3	8	12	16	0	0	0	2	4	5	0	21	52	3	0
BRCA_TCGA-BH-A1EW	0	1	1	2	0	1	0	0	1	2	0	1	10	0	2	0
BRCA_TCGA-BH-A1EX	0	3	3	5	0	0	0	0	4	3	4	0	0	0	13	0
BRCA_TCGA-BH-A1EY	0	1	6	5	3	4	0	0	5	2	3	0	1	15	10	0
BRCA_TCGA-BH-A1F0	3	3	2	4	7	0	0	3	0	6	16	0	4	18	29	0
BRCA_TCGA-BH-A1F2	3	3	9	3	16	0	0	2	0	0	8	0	7	13	7	0
BRCA_TCGA-BH-A1F5	1	0	6	3	8	0	1	2	0	0	11	0	4	2	6	0
BRCA_TCGA-BH-A1F6	0	5	8	1	3	3	3	0	1	2	4	0	5	6	10	2
BRCA_TCGA-BH-A1F8	5	0	8	11	8	2	0	0	0	2	8	2	46	95	5	0
BRCA_TCGA-BH-A1FC	3	8	13	5	0	5	6	1	9	0	2	7	9	33	24	5
BRCA_TCGA-BH-A1FE	1	3	0	2	0	0	0	0	1	0	6	1	2	4	6	0
BRCA_TCGA-BH-A1FG	0	2	4	1	0	4	3	2	0	1	1	1	1	1	0	0
BRCA_TCGA-BH-A1FH	0	0	10	1	0	2	0	0	0	0	0	2	10	1	6	1
BRCA_TCGA-BH-A1FJ	0	0	12	0	0	3	2	0	0	0	11	1	7	0	9	0
BRCA_TCGA-BH-A1FL	0	3	1	2	4	0	1	0	0	3	7	0	2	1	2	0
BRCA_TCGA-BH-A1FM	0	5	8	7	0	0	0	0	2	0	1	6	6	16	11	0
BRCA_TCGA-BH-A1FN	2	2	1	2	6	2	4	0	0	5	16	7	0	70	25	4
BRCA_TCGA-BH-A1FR	0	2	2	1	0	1	0	0	0	2	0	0	1	1	7	0
BRCA_TCGA-BH-A1FU	3	7	4	7	1	6	5	1	10	11	10	0	5	19	23	6
BRCA_TCGA-BH-A201	3	0	0	2	4	2	0	1	0	9	0	2	3	1	0	0
BRCA_TCGA-BH-A202	3	1	4	1	2	3	0	0	3	1	0	1	0	3	6	0
BRCA_TCGA-BH-A203	1	6	20	10	0	7	0	7	0	4	10	0	3	23	8	0
BRCA_TCGA-BH-A204	3	5	5	3	0	2	0	2	2	1	8	0	4	5	12	0
BRCA_TCGA-BH-A208	0	0	8	4	4	0	0	0	0	4	13	0	10	31	8	0
BRCA_TCGA-BH-A209	1	0	1	9	5	0	1	0	0	1	7	0	13	80	1	0
BRCA_TCGA-BH-A28Q	0	5	4	1	2	3	0	0	0	0	3	0	0	2	4	2
BRCA_TCGA-BH-A2L8	6	0	4	33	0	0	0	0	0	0	0	3	140	442	0	0
BRCA_TCGA-BH-A42U	0	0	2	3	0	0	0	0	0	1	0	3	12	9	2	0
BRCA_TCGA-BH-A42V	0	0	4	5	0	0	0	0	2	0	4	0	10	30	0	0
BRCA_TCGA-BH-A5IZ	3	0	11	0	7	0	0	5	6	0	3	1	17	8	34	1
BRCA_TCGA-BH-A5J0	1	7	4	10	0	0	3	2	1	4	2	0	29	34	5	0
BRCA_TCGA-BH-A6R8	0	2	8	3	0	3	0	0	1	1	0	1	7	3	8	0
BRCA_TCGA-BH-A6R9	1	0	2	2	8	0	0	0	0	1	2	2	2	0	5	0
BRCA_TCGA-BH-A8FY	1	6	0	0	0	2	0	0	0	6	5	3	13	4	15	1
BRCA_TCGA-BH-A8FZ	3	9	4	2	1	3	3	1	9	5	0	3	4	13	26	5
BRCA_TCGA-BH-A8G0	0	0	3	2	6	0	0	0	1	2	1	0	1	0	0	1
BRCA_TCGA-BH-AB28	0	8	5	2	0	3	4	5	0	2	1	0	6	3	2	2
BRCA_TCGA-C8-A12K	4	5	6	1	0	4	1	1	7	8	20	2	2	66	44	2
BRCA_TCGA-C8-A12L	0	6	3	3	0	13	0	0	0	0	12	9	0	8	35	0
BRCA_TCGA-C8-A12M	0	6	12	9	2	7	9	5	2	3	7	0	6	0	14	0
BRCA_TCGA-C8-A12N	1	0	7	0	6	3	0	0	2	0	0	0	0	4	4	0
BRCA_TCGA-C8-A12O	1	0	15	4	5	0	0	2	0	3	5	0	6	2	6	0
BRCA_TCGA-C8-A12P	4	2	10	14	17	3	4	0	1	4	5	0	29	90	14	5
BRCA_TCGA-C8-A12Q	4	3	0	14	10	0	0	0	2	5	5	6	24	62	4	0
BRCA_TCGA-C8-A12T	8	1	10	10	0	3	0	1	1	0	3	3	30	142	2	0
BRCA_TCGA-C8-A12U	0	0	11	1	18	2	0	0	0	2	11	0	0	9	7	0
BRCA_TCGA-C8-A12V	0	0	4	2	0	8	4	6	1	2	0	4	1	5	12	3
BRCA_TCGA-C8-A12W	1	0	27	8	10	4	0	0	6	1	6	1	0	5	8	0
BRCA_TCGA-C8-A12X	0	4	7	4	23	1	0	2	0	3	10	0	3	1	4	3
BRCA_TCGA-C8-A12Y	0	9	8	2	0	4	3	3	2	5	0	2	1	3	4	0
BRCA_TCGA-C8-A12Z	1	1	9	3	7	3	0	0	1	2	3	0	13	17	1	0
BRCA_TCGA-C8-A130	0	3	16	6	2	0	0	0	0	8	3	0	0	7	7	2
BRCA_TCGA-C8-A131	1	10	0	8	0	4	0	0	3	3	7	4	11	4	17	2
BRCA_TCGA-C8-A132	1	1	8	2	0	6	0	0	3	1	5	1	3	32	19	2
BRCA_TCGA-C8-A133	1	0	0	2	0	2	0	3	0	3	4	3	4	3	6	2
BRCA_TCGA-C8-A134	9	2	2	2	3	6	2	5	1	7	18	11	0	8	41	0
BRCA_TCGA-C8-A135	1	10	15	5	4	3	0	1	7	1	1	3	0	9	17	0
BRCA_TCGA-C8-A137	0	0	8	7	0	0	0	0	2	0	0	1	14	20	8	2
BRCA_TCGA-C8-A138	4	0	8	2	9	0	1	4	3	0	4	0	5	0	12	0
BRCA_TCGA-C8-A1HE	0	2	2	3	1	0	0	0	0	3	8	0	10	24	1	0
BRCA_TCGA-C8-A1HF	1	2	2	2	2	0	1	2	0	4	4	1	6	12	0	0
BRCA_TCGA-C8-A1HG	0	6	11	4	13	0	0	0	2	4	7	2	8	5	7	0
BRCA_TCGA-C8-A1HI	1	0	17	1	0	9	0	0	5	0	0	5	7	13	14	0
BRCA_TCGA-C8-A1HJ	2	1	2	2	23	7	0	2	0	12	0	9	0	15	45	4
BRCA_TCGA-C8-A1HK	3	3	1	6	13	3	0	0	1	2	3	1	0	26	11	0
BRCA_TCGA-C8-A1HL	1	7	1	1	0	4	2	1	0	1	11	2	0	0	6	0
BRCA_TCGA-C8-A1HM	12	8	9	23	8	0	0	0	0	9	14	3	42	293	26	1
BRCA_TCGA-C8-A1HN	1	2	13	2	5	2	3	0	0	8	9	3	7	3	12	0
BRCA_TCGA-C8-A1HO	3	0	6	2	0	2	2	2	3	0	7	0	4	8	10	0
BRCA_TCGA-C8-A26V	1	6	3	7	3	0	0	0	0	8	7	0	0	49	10	2
BRCA_TCGA-C8-A26W	0	2	3	8	0	0	0	0	4	5	5	1	15	25	1	0
BRCA_TCGA-C8-A26X	1	3	3	4	28	0	0	0	0	4	13	6	0	5	8	0
BRCA_TCGA-C8-A26Y	24	0	0	46	46	0	20	3	0	6	5	2	131	551	61	21
BRCA_TCGA-C8-A26Z	1	6	6	3	10	0	0	0	0	0	5	0	3	1	13	1
BRCA_TCGA-C8-A273	1	0	5	2	0	2	0	0	0	1	2	1	0	1	8	1
BRCA_TCGA-C8-A274	4	10	4	15	0	3	0	3	5	4	0	6	39	171	16	1
BRCA_TCGA-C8-A275	0	1	5	11	6	5	0	0	0	2	3	0	23	80	4	2
BRCA_TCGA-C8-A278	1	0	9	4	0	4	0	0	4	1	0	0	4	12	14	0
BRCA_TCGA-C8-A27A	4	2	4	4	0	0	3	0	0	2	7	0	1	9	4	0
BRCA_TCGA-C8-A27B	3	6	0	5	12	0	0	1	2	7	4	2	0	78	36	6
BRCA_TCGA-C8-A3M7	5	6	10	19	0	0	0	4	0	6	0	1	79	91	0	0
BRCA_TCGA-C8-A3M8	0	7	6	3	0	1	0	0	5	6	9	0	0	13	12	0
BRCA_TCGA-C8-A8HP	5	9	2	26	1	4	1	2	0	0	0	0	45	169	9	0
BRCA_TCGA-C8-A8HQ	3	0	17	37	0	0	0	8	2	2	7	0	55	240	0	1
BRCA_TCGA-C8-A8HR	0	4	5	2	10	0	6	0	0	8	10	1	4	3	2	5
BRCA_TCGA-C8-A9FZ	0	5	6	1	0	2	0	0	3	0	0	0	1	4	7	0
BRCA_TCGA-D8-A13Y	1	0	6	3	6	4	3	0	3	6	7	3	15	17	5	3
BRCA_TCGA-D8-A13Z	2	3	9	4	23	5	1	0	0	0	7	0	0	16	27	6
BRCA_TCGA-D8-A140	1	11	11	5	0	10	4	0	10	0	5	5	31	14	27	0
BRCA_TCGA-D8-A141	0	0	3	1	7	0	0	0	0	0	4	0	0	0	6	0
BRCA_TCGA-D8-A142	1	6	29	7	0	0	7	2	9	1	21	8	5	15	48	7
BRCA_TCGA-D8-A143	0	3	9	0	3	3	0	0	0	2	6	0	4	3	26	2
BRCA_TCGA-D8-A145	0	6	7	1	2	2	0	0	3	4	7	0	0	4	11	0
BRCA_TCGA-D8-A146	0	4	5	4	0	1	0	0	5	2	4	1	10	1	3	1
BRCA_TCGA-D8-A147	2	0	3	7	3	14	1	4	3	4	2	14	15	56	58	14
BRCA_TCGA-D8-A1J8	23	54	36	63	0	84	0	27	33	40	22	0	136	442	0	1
BRCA_TCGA-D8-A1J9	12	3	0	28	0	0	0	0	0	4	1	0	37	176	12	5
BRCA_TCGA-D8-A1JB	1	0	2	2	8	3	0	2	1	2	9	1	2	7	19	4
BRCA_TCGA-D8-A1JC	3	0	11	9	0	4	0	1	1	3	0	2	27	51	9	1
BRCA_TCGA-D8-A1JD	5	4	2	5	0	17	0	5	0	4	12	1	1	25	38	3
BRCA_TCGA-D8-A1JE	1	1	8	0	0	4	3	0	0	5	0	6	3	2	7	0
BRCA_TCGA-D8-A1JF	0	5	7	2	0	9	3	0	1	5	0	0	4	4	9	0
BRCA_TCGA-D8-A1JG	33	6	17	19	9	5	18	0	1	1	8	10	12	12	17	1
BRCA_TCGA-D8-A1JH	0	2	2	1	0	0	0	1	2	2	1	4	1	2	6	0
BRCA_TCGA-D8-A1JI	0	1	3	2	0	6	0	0	2	3	7	3	7	0	8	0
BRCA_TCGA-D8-A1JJ	1	5	5	8	0	5	0	0	2	4	4	0	14	38	8	4
BRCA_TCGA-D8-A1JK	5	7	0	4	12	11	17	3	13	14	33	32	23	20	49	6
BRCA_TCGA-D8-A1JL	3	2	4	5	0	7	0	4	12	8	11	2	3	13	50	3
BRCA_TCGA-D8-A1JM	0	0	7	4	8	3	0	0	0	2	2	2	1	3	21	0
BRCA_TCGA-D8-A1JN	6	4	5	24	1	0	3	0	0	2	7	0	52	100	4	0
BRCA_TCGA-D8-A1JP	2	3	0	2	0	6	8	0	16	3	13	2	9	12	52	7
BRCA_TCGA-D8-A1JS	1	2	5	1	0	2	1	0	3	2	0	0	6	0	6	0
BRCA_TCGA-D8-A1JT	0	3	7	1	2	1	0	2	1	0	12	1	1	0	10	0
BRCA_TCGA-D8-A1JU	0	0	5	1	0	1	0	0	6	0	2	0	0	1	3	1
BRCA_TCGA-D8-A1X5	6	4	9	1	1	0	0	3	8	0	3	3	3	6	16	3
BRCA_TCGA-D8-A1X6	3	4	6	1	14	1	0	0	0	1	7	0	0	3	2	0
BRCA_TCGA-D8-A1X7	0	0	4	2	2	2	0	0	0	0	1	1	9	0	11	0
BRCA_TCGA-D8-A1X9	4	0	4	0	5	9	3	9	4	4	4	0	0	10	45	1
BRCA_TCGA-D8-A1XA	0	0	4	2	8	0	1	0	3	2	3	0	2	0	3	0
BRCA_TCGA-D8-A1XB	0	7	5	4	3	0	1	1	0	5	4	0	3	7	10	0
BRCA_TCGA-D8-A1XC	1	2	1	1	20	2	0	0	0	0	3	0	4	0	0	0
BRCA_TCGA-D8-A1XF	0	6	7	6	5	0	0	0	0	1	0	10	5	2	9	0
BRCA_TCGA-D8-A1XG	0	2	0	2	0	4	0	3	2	4	0	2	1	1	6	0
BRCA_TCGA-D8-A1XK	5	67	73	10	3	1	22	23	598	315	0	18	0	12	105	48
BRCA_TCGA-D8-A1XL	4	4	4	4	0	3	1	1	6	11	4	13	1	11	40	3
BRCA_TCGA-D8-A1XM	2	0	10	8	0	0	2	0	0	0	4	2	16	15	5	0
BRCA_TCGA-D8-A1XO	0	0	3	0	3	3	0	0	0	0	3	0	1	8	7	1
BRCA_TCGA-D8-A1XQ	7	62	115	30	54	110	12	36	185	178	42	21	9	40	106	24
BRCA_TCGA-D8-A1XR	0	5	2	1	3	4	0	5	3	1	0	0	5	1	1	1
BRCA_TCGA-D8-A1XS	0	3	2	4	0	0	0	0	0	0	0	0	3	3	11	0
BRCA_TCGA-D8-A1XT	0	3	3	2	14	0	0	2	0	0	5	1	6	3	5	1
BRCA_TCGA-D8-A1XU	0	0	2	1	7	2	0	0	0	1	2	0	7	9	4	0
BRCA_TCGA-D8-A1XV	0	0	10	1	0	0	0	0	2	3	5	3	0	5	7	0
BRCA_TCGA-D8-A1XW	0	4	7	3	0	8	1	0	11	0	6	0	2	17	54	9
BRCA_TCGA-D8-A1XY	1	5	13	3	7	0	2	4	0	1	4	0	10	4	5	0
BRCA_TCGA-D8-A1XZ	1	9	22	7	2	13	0	0	0	0	7	3	0	11	21	0
BRCA_TCGA-D8-A1Y0	4	0	7	2	1	5	0	4	6	4	3	1	5	14	24	1
BRCA_TCGA-D8-A1Y1	1	18	111	12	0	14	0	9	12	18	0	0	21	16	1	0
BRCA_TCGA-D8-A1Y2	0	0	5	2	0	1	0	0	1	0	0	2	1	10	0	0
BRCA_TCGA-D8-A1Y3	0	2	17	4	12	0	3	0	0	7	15	0	0	3	4	0
BRCA_TCGA-D8-A27E	0	0	0	1	5	1	0	0	0	0	0	0	2	0	2	0
BRCA_TCGA-D8-A27F	3	0	2	1	0	7	4	0	4	2	3	0	0	12	32	0
BRCA_TCGA-D8-A27G	23	3	0	72	0	0	0	0	0	0	0	0	269	809	0	0
BRCA_TCGA-D8-A27H	0	1	9	1	2	3	1	0	9	8	0	10	5	62	48	1
BRCA_TCGA-D8-A27I	0	1	6	2	0	2	1	0	2	2	0	0	1	8	11	0
BRCA_TCGA-D8-A27K	0	0	4	1	7	1	0	0	0	2	3	0	0	1	2	0
BRCA_TCGA-D8-A27L	0	4	2	5	0	0	0	0	0	0	6	1	19	13	3	0
BRCA_TCGA-D8-A27M	4	5	0	5	14	0	5	0	0	3	2	10	0	14	28	0
BRCA_TCGA-D8-A27N	1	5	12	4	2	3	0	2	0	3	4	0	5	2	17	0
BRCA_TCGA-D8-A27P	0	7	1	1	0	3	0	0	2	2	2	0	3	1	8	0
BRCA_TCGA-D8-A27R	0	4	1	4	0	1	0	0	1	0	8	0	2	5	9	0
BRCA_TCGA-D8-A27T	0	5	4	1	3	0	2	2	0	3	2	0	5	2	2	0
BRCA_TCGA-D8-A27V	6	3	3	20	0	0	0	0	2	4	13	3	38	134	9	0
BRCA_TCGA-D8-A27W	0	7	16	4	0	4	1	0	3	0	5	0	0	5	9	1
BRCA_TCGA-D8-A3Z6	1	2	4	1	7	3	0	0	0	6	5	0	1	6	1	0
BRCA_TCGA-D8-A4Z1	1	3	0	6	0	0	0	0	0	0	2	0	11	23	0	0
BRCA_TCGA-D8-A73U	5	3	6	11	0	0	0	0	1	6	0	0	77	98	0	0
BRCA_TCGA-D8-A73W	0	10	8	1	1	6	0	0	0	0	12	0	0	5	5	4
BRCA_TCGA-D8-A73X	0	3	10	4	0	0	0	1	6	5	4	2	1	6	10	0
BRCA_TCGA-E2-A105	2	2	9	1	11	4	0	3	6	0	9	0	8	7	5	0
BRCA_TCGA-E2-A107	1	1	6	3	0	1	3	0	3	3	4	1	5	5	0	0
BRCA_TCGA-E2-A108	4	0	5	6	2	3	0	3	6	4	2	4	17	119	11	0
BRCA_TCGA-E2-A109	3	5	5	3	16	2	0	4	0	6	10	5	8	0	17	0
BRCA_TCGA-E2-A10A	0	4	0	0	1	2	0	0	0	0	5	0	6	7	3	0
BRCA_TCGA-E2-A10B	0	2	4	4	0	2	4	4	2	6	4	1	11	23	4	2
BRCA_TCGA-E2-A10C	10	0	0	38	0	0	0	0	0	0	0	0	138	333	0	0
BRCA_TCGA-E2-A10F	0	3	5	2	3	0	1	0	1	1	1	2	4	3	4	0
BRCA_TCGA-E2-A14N	0	4	1	6	4	2	0	0	0	5	16	6	0	24	33	8
BRCA_TCGA-E2-A14O	1	0	7	6	8	0	0	0	0	0	7	2	0	1	4	0
BRCA_TCGA-E2-A14P	3	7	11	9	13	0	1	0	3	4	10	3	19	19	10	0
BRCA_TCGA-E2-A14Q	1	0	7	1	6	0	0	0	0	5	7	3	1	5	3	1
BRCA_TCGA-E2-A14R	3	1	4	5	13	8	8	0	2	14	13	12	0	19	39	2
BRCA_TCGA-E2-A14T	0	6	5	4	0	1	0	0	1	1	0	0	0	8	11	6
BRCA_TCGA-E2-A14V	1	2	17	12	0	3	0	4	7	0	10	1	5	54	19	6
BRCA_TCGA-E2-A14W	0	2	0	5	9	7	6	0	0	6	8	10	4	13	30	2
BRCA_TCGA-E2-A14X	0	8	8	4	0	0	0	0	0	0	2	1	3	6	4	1
BRCA_TCGA-E2-A14Y	0	1	5	0	6	0	0	0	0	2	4	0	6	26	0	0
BRCA_TCGA-E2-A14Z	3	1	5	7	1	1	2	3	2	0	6	0	16	22	23	3
BRCA_TCGA-E2-A150	8	10	8	4	0	9	11	0	4	0	6	0	0	8	16	7
BRCA_TCGA-E2-A152	3	0	3	21	0	9	3	0	0	2	0	0	27	89	14	0
BRCA_TCGA-E2-A153	0	2	7	2	0	1	0	0	2	0	0	0	4	5	3	0
BRCA_TCGA-E2-A154	3	4	9	6	0	4	0	2	0	0	2	0	0	2	26	0
