Samples	SBS96A	SBS96B	SBS96C
EXO1_0_multinomial_train1.32	3.45E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.33	3.50E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.41	3.79E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.42	3.85E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.34	3.51E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.43	3.70E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.35	3.48E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.36	3.45E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.44	3.81E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.37	3.46E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.45	3.71E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.46	3.66E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.47	3.73E-01	3.33E-26	2.89E-26
RNF168_0_multinomial_train1.48	3.66E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.49	3.77E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.50	3.67E-01	3.33E-26	3.06E-26
EXO1_0_multinomial_train1.38	3.51E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.51	3.64E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.52	3.54E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.39	3.52E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.40	3.46E-01	3.33E-26	1.33E-41
RNF168_0_multinomial_train1.53	3.85E-01	3.33E-26	3.33E-26
EXO1_0_multinomial_train1.41	3.47E-01	3.33E-26	1.33E-41
EXO1_0_multinomial_train1.42	3.47E-01	3.33E-26	3.33E-26
RNF168_0_multinomial_train1.54	3.94E-01	3.33E-26	3.33E-26
OGG1_0_multinomial_train1	1.62E-01	2.68E-01	4.71E-123
UNG_0_multinomial_train1	7.76E-02	1.36E-01	1.81E-01
UNG_0_multinomial_train1.1	4.19E-02	1.46E-01	1.63E-01
UNG_0_multinomial_train1.2	5.59E-02	1.38E-01	1.61E-01
OGG1_0_multinomial_train1.1	1.55E-01	2.60E-01	0.00E+00
UNG_0_multinomial_train1.3	6.21E-02	1.56E-01	1.77E-01
OGG1_0_multinomial_train1.2	1.52E-01	2.53E-01	0.00E+00
OGG1_0_multinomial_train1.3	1.75E-01	2.79E-01	0.00E+00
UNG_0_multinomial_train1.4	5.88E-02	1.41E-01	1.62E-01
UNG_0_multinomial_train1.5	7.03E-02	1.27E-01	1.62E-01
OGG1_0_multinomial_train1.4	1.91E-01	2.85E-01	0.00E+00
OGG1_0_multinomial_train1.5	1.58E-01	2.60E-01	0.00E+00
UNG_0_multinomial_train1.6	1.27E-01	1.47E-01	1.67E-01
UNG_0_multinomial_train1.7	2.53E-02	1.45E-01	1.58E-01
UNG_0_multinomial_train1.8	6.46E-02	1.39E-01	1.71E-01
OGG1_0_multinomial_train1.6	1.60E-01	2.63E-01	0.00E+00
UNG_0_multinomial_train1.9	6.97E-02	1.40E-01	1.74E-01
OGG1_0_multinomial_train1.7	1.67E-01	2.71E-01	0.00E+00
UNG_0_multinomial_train1.10	6.19E-02	1.25E-01	1.52E-01
OGG1_0_multinomial_train1.8	1.51E-01	2.54E-01	0.00E+00
UNG_0_multinomial_train1.11	5.69E-02	1.29E-01	1.50E-01
OGG1_0_multinomial_train1.9	1.64E-01	2.68E-01	4.09E-161
OGG1_0_multinomial_train1.10	1.72E-01	2.73E-01	1.64E-108
OGG1_0_multinomial_train1.11	1.77E-01	2.73E-01	0.00E+00
UNG_0_multinomial_train1.12	8.71E-02	1.17E-01	1.67E-01
UNG_0_multinomial_train1.13	6.20E-02	1.49E-01	1.73E-01
UNG_0_multinomial_train1.14	8.76E-02	1.15E-01	1.69E-01
OGG1_0_multinomial_train1.12	1.70E-01	2.70E-01	0.00E+00
OGG1_0_multinomial_train1.13	1.56E-01	2.60E-01	6.77E-160
UNG_0_multinomial_train1.15	5.53E-02	1.50E-01	1.68E-01
UNG_0_multinomial_train1.16	4.07E-02	1.34E-01	1.52E-01
UNG_0_multinomial_train1.17	5.41E-02	1.43E-01	1.63E-01
OGG1_0_multinomial_train1.14	1.83E-01	2.84E-01	4.21E-126
UNG_0_multinomial_train1.18	5.89E-02	1.37E-01	1.65E-01
OGG1_0_multinomial_train1.15	1.51E-01	2.55E-01	1.10E-121
UNG_0_multinomial_train1.19	5.65E-02	1.62E-01	1.82E-01
OGG1_0_multinomial_train1.16	1.53E-01	2.57E-01	0.00E+00
UNG_0_multinomial_train1.20	6.14E-02	1.37E-01	1.68E-01
UNG_0_multinomial_train1.21	6.43E-02	1.42E-01	1.73E-01
OGG1_0_multinomial_train1.17	1.67E-01	2.69E-01	0.00E+00
UNG_0_multinomial_train1.22	6.89E-02	1.47E-01	1.81E-01
UNG_0_multinomial_train1.23	7.07E-02	1.50E-01	1.87E-01
UNG_0_multinomial_train1.24	5.77E-02	1.54E-01	1.74E-01
OGG1_0_multinomial_train1.18	1.53E-01	2.59E-01	1.46E-91
UNG_0_multinomial_train1.25	4.87E-02	1.04E-01	1.21E-01
OGG1_0_multinomial_train1.19	1.52E-01	2.56E-01	0.00E+00
UNG_0_multinomial_train1.26	7.80E-02	1.45E-01	1.76E-01
OGG1_0_multinomial_train1.20	1.53E-01	2.59E-01	3.69E-96
UNG_0_multinomial_train1.27	5.17E-02	1.19E-01	1.43E-01
OGG1_0_multinomial_train1.21	1.23E-01	2.40E-01	4.32E-02
OGG1_0_multinomial_train1.22	1.65E-01	2.71E-01	4.20E-154
UNG_0_multinomial_train1.28	7.54E-02	1.25E-01	1.64E-01
UNG_0_multinomial_train1.29	5.38E-02	1.51E-01	1.69E-01
OGG1_0_multinomial_train1.23	1.77E-01	2.73E-01	0.00E+00
OGG1_0_multinomial_train1.24	1.80E-01	2.78E-01	0.00E+00
OGG1_0_multinomial_train1.25	1.51E-01	2.58E-01	3.04E-40
OGG1_0_multinomial_train1.26	1.89E-01	2.90E-01	5.00E-112
UNG_0_multinomial_train1.30	5.26E-02	1.57E-01	1.75E-01
OGG1_0_multinomial_train1.27	1.68E-01	2.71E-01	0.00E+00
OGG1_0_multinomial_train1.28	1.62E-01	2.67E-01	2.43E-152
UNG_0_multinomial_train1.31	5.80E-02	1.22E-01	1.40E-01
UNG_0_multinomial_train1.32	5.90E-02	1.50E-01	1.72E-01
