Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_multinomial_train1.44	0.999999999999996	0.844	0.603	60.3%	0.081	63.648%	0.36174	0.688
EXO1_0_multinomial_train1.45	0.9999999999999956	0.835	0.611	61.1%	0.084	65.508%	0.35427	0.67
EXO1_0_multinomial_train1.46	0.9999999999999958	0.827	0.626	62.6%	0.086	66.936%	0.36636	0.652
EXO1_0_multinomial_train1.47	0.9999999999999962	0.806	0.651	65.1%	0.091	70.374%	0.37583	0.607
EXO1_0_multinomial_train1.48	0.9999999999999962	0.844	0.581	58.1%	0.081	62.122%	0.31952	0.683
EXO1_0_multinomial_train1.49	0.9999999999999959	0.829	0.648	64.8%	0.089	68.996%	0.39847	0.684
EXO1_0_multinomial_train1.50	0.9999999999999961	0.811	0.618	61.8%	0.089	69.573%	0.35891	0.621
EXO1_0_multinomial_train1.51	0.9999999999999959	0.813	0.628	62.8%	0.089	69.845%	0.37116	0.62
EXO1_0_multinomial_train1.52	0.9999999999999966	0.818	0.638	63.8%	0.087	68.753%	0.37207	0.629
EXO1_0_multinomial_train1.53	0.999999999999996	0.806	0.629	62.9%	0.091	69.539%	0.37944	0.613
EXO1_0_multinomial_train1.54	0.9999999999999956	0.811	0.649	64.9%	0.091	69.832%	0.40811	0.631
EXO1_0_multinomial_train1.55	0.9999999999999958	0.833	0.597	59.7%	0.084	65.618%	0.36056	0.663
EXO1_0_multinomial_train1.56	0.9999999999999963	0.824	0.64	64.0%	0.085	67.754%	0.37761	0.636
EXO1_0_multinomial_train1.57	0.9999999999999961	0.831	0.613	61.3%	0.085	67.497%	0.36156	0.669
EXO1_0_multinomial_train1.58	0.9999999999999953	0.844	0.597	59.7%	0.081	62.174%	0.33683	0.685
EXO1_0_multinomial_train1.59	0.9999999999999962	0.835	0.597	59.7%	0.084	65.445%	0.3339	0.672
EXO1_0_multinomial_train1.60	0.9999999999999962	0.829	0.606	60.6%	0.086	66.477%	0.37341	0.662
EXO1_0_multinomial_train1.61	0.9999999999999962	0.819	0.621	62.1%	0.087	67.968%	0.38673	0.636
EXO1_0_multinomial_train1.62	0.999999999999996	0.823	0.623	62.3%	0.086	68.381%	0.37265	0.636
EXO1_0_multinomial_train1.63	0.999999999999996	0.816	0.669	66.9%	0.089	70.039%	0.39767	0.639
EXO1_0_multinomial_train1.64	0.9999999999999962	0.834	0.616	61.6%	0.085	66.379%	0.36041	0.672
EXO1_0_multinomial_train1.65	0.9999999999999958	0.83	0.633	63.3%	0.086	67.068%	0.37272	0.668
EXO1_0_multinomial_train1.66	0.999999999999996	0.829	0.629	62.9%	0.085	65.822%	0.38535	0.658
EXO1_0_multinomial_train1.67	0.9999999999999959	0.807	0.691	69.1%	0.092	73.194%	0.41202	0.621
EXO1_0_multinomial_train1.68	0.9999999999999958	0.833	0.608	60.8%	0.086	64.714%	0.36528	0.679
EXO1_0_multinomial_train1.69	0.999999999999996	0.823	0.629	62.9%	0.085	67.536%	0.36405	0.635
EXO1_0_multinomial_train1.70	0.999999999999996	0.782	0.685	68.5%	0.097	74.583%	0.42076	0.571
EXO1_0_multinomial_train1.71	0.999999999999996	0.821	0.621	62.1%	0.087	66.366%	0.37541	0.637
EXO1_0_multinomial_train1.72	0.999999999999996	0.827	0.624	62.4%	0.087	67.837%	0.36224	0.662
EXO1_0_multinomial_train1.73	0.9999999999999962	0.847	0.559	55.9%	0.081	63.511%	0.30639	0.7
EXO1_0_multinomial_train1.74	0.999999999999996	0.809	0.633	63.3%	0.089	69.323%	0.36577	0.606
EXO1_0_multinomial_train1.75	0.9999999999999966	0.843	0.612	61.2%	0.083	64.923%	0.35317	0.695
