Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-AR-A1AV	1	7	3	3	0	7	0	2	0	0	3	1	8	0	1	0	0	2	3	6	2
BRCA_TCGA-AR-A1AW	1	3	0	5	6	0	0	2	0	0	4	4	2	0	2	2	0	0	4	1	5
BRCA_TCGA-AR-A1AX	0	2	4	1	0	3	0	0	3	0	2	2	6	0	0	0	0	0	2	6	1
BRCA_TCGA-AR-A1AY	1	3	3	7	3	7	0	0	3	0	6	5	7	2	9	4	0	1	9	2	0
BRCA_TCGA-AR-A24H	8	3	1	3	2	12	0	2	7	0	4	15	1	6	23	5	0	4	43	4	9
BRCA_TCGA-AR-A24K	0	1	2	1	0	5	3	0	5	3	0	2	1	0	0	2	0	0	4	5	0
BRCA_TCGA-AR-A24L	0	2	0	0	3	1	0	0	1	2	0	5	1	0	5	0	1	5	19	6	2
BRCA_TCGA-AR-A24M	0	2	0	1	1	3	1	0	1	0	4	0	0	3	1	0	0	5	1	1	1
BRCA_TCGA-AR-A24N	0	3	0	6	2	5	2	0	3	1	0	6	5	0	4	0	1	2	3	2	2
BRCA_TCGA-AR-A24O	1	0	0	6	2	3	0	0	2	0	1	1	1	1	1	0	0	0	3	0	0
BRCA_TCGA-AR-A24P	0	2	3	0	0	3	0	0	2	1	0	2	0	2	0	0	0	0	1	2	1
BRCA_TCGA-AR-A24Q	5	5	3	0	6	3	1	4	16	2	4	5	19	14	27	20	2	13	69	2	12
BRCA_TCGA-AR-A24R	0	3	1	5	0	1	2	0	2	0	4	4	0	0	1	0	0	0	3	0	0
BRCA_TCGA-AR-A24S	1	4	2	6	1	6	2	0	0	6	0	4	7	1	7	0	0	0	6	0	4
BRCA_TCGA-AR-A24T	0	2	2	5	0	2	0	0	0	0	1	2	1	0	2	0	0	2	1	4	0
BRCA_TCGA-AR-A24U	0	4	3	1	0	5	0	0	1	0	0	1	8	1	13	0	0	3	0	2	2
BRCA_TCGA-AR-A24V	0	3	3	3	0	0	0	0	0	1	1	0	1	0	4	4	0	3	2	0	3
BRCA_TCGA-AR-A24W	0	1	1	0	0	0	0	0	3	0	0	3	2	0	0	0	0	0	0	3	1
BRCA_TCGA-AR-A24X	0	3	4	2	1	4	0	0	0	0	4	0	2	2	0	0	1	0	1	10	0
BRCA_TCGA-AR-A24Z	0	3	2	7	0	1	0	0	6	0	2	1	3	0	4	1	0	0	11	12	3
BRCA_TCGA-AR-A250	4	9	12	14	2	6	4	0	4	1	1	11	6	3	53	0	0	0	14	11	0
BRCA_TCGA-AR-A251	5	4	0	4	5	3	2	0	0	1	12	19	2	17	31	11	3	2	71	9	4
BRCA_TCGA-AR-A252	0	2	0	7	1	0	0	0	1	0	3	1	3	0	0	0	0	0	1	0	0
BRCA_TCGA-AR-A254	1	3	4	5	2	6	0	0	1	0	0	0	6	0	2	0	0	0	4	6	2
BRCA_TCGA-AR-A255	6	2	6	7	2	0	0	0	5	2	4	2	3	4	29	2	0	0	3	11	1
BRCA_TCGA-AR-A256	4	5	5	2	3	5	1	3	7	3	6	16	18	5	19	17	6	6	65	20	8
BRCA_TCGA-AR-A2LE	11	2	30	6	2	0	0	0	9	0	0	0	130	0	197	0	0	2	0	5	0
BRCA_TCGA-AR-A2LH	1	3	6	1	0	3	2	0	0	0	0	0	23	2	25	0	0	0	0	1	4
BRCA_TCGA-AR-A2LK	0	4	2	7	0	3	5	0	2	2	1	2	8	0	1	0	0	0	2	7	2
BRCA_TCGA-AR-A2LL	2	0	2	6	0	14	0	0	0	0	1	4	1	0	0	3	0	0	4	0	0
BRCA_TCGA-AR-A2LM	0	0	2	0	0	2	0	0	0	0	2	1	1	0	0	1	0	0	6	2	0
BRCA_TCGA-AR-A2LN	0	2	4	4	1	1	2	0	0	2	0	2	22	0	9	0	0	2	1	0	2
BRCA_TCGA-AR-A2LO	0	1	1	2	0	1	0	0	0	0	0	0	1	0	2	0	2	0	3	1	3
BRCA_TCGA-AR-A2LQ	0	1	0	3	0	0	0	0	0	0	2	4	0	0	0	0	0	1	2	0	0
BRCA_TCGA-AR-A2LR	1	6	3	1	1	7	0	5	2	1	0	10	2	3	2	4	0	0	8	14	0
BRCA_TCGA-AR-A5QM	0	3	2	3	0	6	4	0	0	0	2	4	1	0	0	0	0	0	2	7	2
BRCA_TCGA-AR-A5QN	0	6	4	6	5	0	0	0	2	3	1	6	6	1	3	2	0	0	0	1	3
BRCA_TCGA-AR-A5QP	1	2	2	3	1	5	0	0	2	3	0	3	4	0	2	4	0	0	1	0	1
BRCA_TCGA-AR-A5QQ	1	2	1	7	6	0	0	1	4	6	6	8	2	0	9	5	4	1	22	5	6
BRCA_TCGA-B6-A0I1	0	1	4	4	0	23	0	0	3	0	0	0	5	0	3	4	0	7	18	2	6
BRCA_TCGA-B6-A0IH	0	7	3	2	3	3	0	0	2	1	0	3	4	2	0	2	0	4	0	1	4
BRCA_TCGA-B6-A0RH	0	0	2	1	0	13	0	2	4	0	0	0	7	0	10	0	0	0	4	0	2
BRCA_TCGA-B6-A0RL	1	4	3	11	1	0	0	0	10	2	0	5	5	1	12	2	2	1	0	5	4
BRCA_TCGA-B6-A0RM	0	2	2	5	4	4	0	2	1	1	0	0	4	0	4	0	0	0	0	3	4
BRCA_TCGA-B6-A0RN	0	3	2	3	1	5	2	0	3	1	2	0	2	0	1	0	1	0	4	2	1
BRCA_TCGA-B6-A0RO	0	1	5	1	1	0	1	0	5	0	3	9	0	2	3	0	1	0	8	0	3
BRCA_TCGA-B6-A0RP	0	3	0	3	0	0	0	0	2	1	1	6	3	1	0	0	0	0	2	4	4
BRCA_TCGA-B6-A0RQ	1	3	3	2	1	3	0	0	0	0	3	5	15	0	9	0	2	1	0	7	1
BRCA_TCGA-B6-A0RT	1	2	2	4	1	0	0	5	0	2	1	4	0	11	16	4	0	0	17	0	2
BRCA_TCGA-B6-A0RU	1	4	5	4	1	0	1	0	2	2	4	0	5	1	3	5	2	2	6	3	7
BRCA_TCGA-B6-A0RV	2	1	3	2	0	9	0	0	0	0	0	0	9	0	37	0	0	0	0	0	4
BRCA_TCGA-B6-A0WS	1	1	0	1	0	0	0	2	2	1	5	0	1	0	2	0	0	0	0	0	2
BRCA_TCGA-B6-A0WT	1	2	3	4	0	0	0	0	0	0	5	0	3	0	0	0	0	3	1	0	0
BRCA_TCGA-B6-A0WV	0	1	0	1	4	6	0	0	2	0	2	4	5	0	3	0	2	0	7	0	0
BRCA_TCGA-B6-A0WW	1	2	2	6	0	0	0	2	0	1	3	1	4	0	8	1	0	6	7	1	2
BRCA_TCGA-B6-A0WX	1	2	3	4	2	7	0	0	1	3	2	0	0	0	1	3	0	3	10	3	0
BRCA_TCGA-B6-A0WY	0	4	3	0	3	4	1	0	0	2	1	0	1	0	5	4	0	0	4	1	2
BRCA_TCGA-B6-A0WZ	1	2	6	1	0	1	0	0	4	0	0	0	28	0	46	0	0	1	0	1	4
BRCA_TCGA-B6-A0X0	1	0	2	5	0	0	0	0	0	0	1	0	2	1	1	3	0	2	3	3	1
BRCA_TCGA-B6-A0X1	1	1	5	3	3	0	2	0	6	5	6	11	7	0	13	0	0	0	29	0	0
BRCA_TCGA-B6-A0X4	2	0	5	4	0	0	0	0	1	0	0	2	2	0	0	1	0	0	2	3	0
BRCA_TCGA-B6-A0X5	5	2	7	0	0	1	0	0	4	3	3	0	3	1	3	0	0	11	3	2	0
BRCA_TCGA-B6-A0X7	0	1	2	3	3	3	0	0	0	0	1	1	3	0	3	0	0	0	0	3	0
BRCA_TCGA-B6-A1KN	5	4	0	4	0	5	1	1	6	1	4	7	7	5	2	2	0	0	6	10	2
BRCA_TCGA-B6-A2IU	0	5	7	4	5	0	0	0	0	0	2	4	9	0	9	3	0	3	0	1	2
BRCA_TCGA-B6-A401	0	4	2	1	1	3	0	0	3	0	0	4	0	0	1	5	1	0	1	2	0
BRCA_TCGA-B6-A409	0	4	3	5	0	8	0	0	2	0	3	4	4	3	5	4	1	3	4	3	0
BRCA_TCGA-B6-A40B	1	4	1	6	3	0	0	0	2	0	3	7	11	1	10	2	0	0	9	3	3
BRCA_TCGA-B6-A40C	2	2	0	8	1	16	0	0	1	0	2	1	6	0	3	1	0	1	3	7	0
BRCA_TCGA-BH-A0AU	0	2	0	1	2	4	0	0	1	0	0	0	0	5	3	0	1	0	0	3	1
BRCA_TCGA-BH-A0AV	1	2	2	0	4	0	2	4	4	3	5	18	2	0	11	0	0	0	26	0	3
BRCA_TCGA-BH-A0AY	1	2	5	2	0	8	0	0	3	0	0	4	1	2	5	0	0	5	1	4	3
BRCA_TCGA-BH-A0AZ	1	0	1	2	2	0	0	3	3	0	3	0	5	4	13	7	3	5	8	3	7
BRCA_TCGA-BH-A0B0	1	4	11	0	0	1	0	0	1	0	0	0	29	0	44	0	0	0	0	2	6
BRCA_TCGA-BH-A0B3	1	2	1	3	0	0	2	0	0	0	0	0	1	0	2	0	0	0	4	2	0
BRCA_TCGA-BH-A0B6	18	6	83	21	10	0	0	0	18	0	0	23	297	0	798	0	0	12	0	4	0
BRCA_TCGA-BH-A0B7	0	4	5	5	0	0	0	0	1	1	0	6	1	0	7	0	4	0	8	0	0
BRCA_TCGA-BH-A0B8	1	1	1	0	3	4	0	0	3	0	0	4	7	0	1	0	0	0	2	7	0
BRCA_TCGA-BH-A0BA	0	2	1	1	2	2	0	2	2	0	2	0	2	2	6	0	0	0	3	1	1
BRCA_TCGA-BH-A0BC	0	4	3	2	0	8	0	2	1	0	0	3	5	0	7	0	0	2	1	1	6
BRCA_TCGA-BH-A0BF	0	2	2	3	2	2	0	0	1	0	3	2	0	3	6	0	0	0	4	2	1
BRCA_TCGA-BH-A0BG	0	3	0	2	0	0	2	0	1	1	1	5	0	1	7	0	0	0	13	6	3
BRCA_TCGA-BH-A0BJ	0	1	1	0	0	1	0	0	2	1	0	0	1	2	0	0	0	2	0	3	3
BRCA_TCGA-BH-A0BL	3	3	3	3	0	7	0	1	0	1	0	2	0	2	2	11	1	3	19	8	0
BRCA_TCGA-BH-A0BM	1	1	0	0	0	0	0	0	2	0	0	5	0	0	2	0	0	7	0	0	1
BRCA_TCGA-BH-A0BO	0	1	2	3	2	2	0	0	3	0	10	3	0	0	4	0	0	0	0	1	0
BRCA_TCGA-BH-A0BP	4	7	13	14	6	7	0	0	7	0	0	12	17	6	37	9	0	8	37	7	5
BRCA_TCGA-BH-A0BQ	1	2	2	4	2	0	0	0	2	0	0	2	0	0	2	2	0	0	0	4	7
BRCA_TCGA-BH-A0BS	0	1	0	3	0	0	0	0	3	1	3	4	1	0	1	0	0	0	4	2	0
BRCA_TCGA-BH-A0BT	1	6	3	5	0	0	0	0	3	1	4	5	7	0	2	0	0	0	7	1	3
BRCA_TCGA-BH-A0BV	0	1	1	0	1	4	0	0	0	0	1	9	4	0	3	0	0	0	0	0	0
BRCA_TCGA-BH-A0BW	0	3	3	4	5	6	3	2	6	3	5	4	2	1	13	3	3	1	14	10	12
BRCA_TCGA-BH-A0BZ	11	11	2	0	14	10	0	5	7	6	7	25	5	7	33	24	4	14	92	19	0
BRCA_TCGA-BH-A0C0	0	2	2	2	2	1	6	0	0	0	4	0	4	0	3	9	0	0	11	1	1
BRCA_TCGA-BH-A0C1	0	6	1	4	5	2	0	0	6	1	0	4	3	0	5	0	1	0	0	10	2
BRCA_TCGA-BH-A0C3	0	0	1	0	0	6	0	0	1	3	1	1	0	2	0	0	0	0	0	3	0
BRCA_TCGA-BH-A0C7	0	3	3	4	5	13	3	2	0	0	1	2	1	0	4	2	0	0	2	13	0
BRCA_TCGA-BH-A0DD	0	6	3	3	0	6	0	0	1	3	0	3	3	0	5	0	0	0	1	1	2
BRCA_TCGA-BH-A0DE	1	0	1	0	2	6	0	0	0	1	0	10	4	1	0	1	0	0	2	4	0
BRCA_TCGA-BH-A0DG	1	0	6	1	4	1	2	0	1	1	2	3	2	1	12	0	2	2	5	1	0
BRCA_TCGA-BH-A0DH	0	3	3	6	1	5	0	2	6	0	3	2	5	0	8	0	1	2	0	0	5
BRCA_TCGA-BH-A0DI	0	4	0	2	0	6	2	0	0	0	0	0	8	0	15	0	0	10	11	0	4
BRCA_TCGA-BH-A0DK	2	1	0	4	0	6	0	0	1	3	1	0	4	1	4	0	0	11	7	5	3
BRCA_TCGA-BH-A0DL	1	7	3	8	4	0	0	0	1	1	3	0	5	3	12	2	4	0	1	3	7
BRCA_TCGA-BH-A0DO	0	3	3	0	0	3	0	0	3	1	0	3	0	0	4	5	0	0	2	0	3
BRCA_TCGA-BH-A0DP	0	0	1	2	0	0	0	0	1	1	1	1	4	0	2	0	0	0	3	3	0
BRCA_TCGA-BH-A0DQ	0	2	1	6	5	0	0	0	0	3	0	7	0	4	2	0	0	0	1	2	2
BRCA_TCGA-BH-A0DT	0	1	0	1	0	3	0	2	2	0	0	1	1	0	2	0	0	0	1	0	1
BRCA_TCGA-BH-A0DV	0	0	0	0	2	0	0	0	0	0	0	3	2	0	2	1	1	0	1	1	2
BRCA_TCGA-BH-A0DX	1	2	4	2	0	9	0	0	0	0	0	0	11	0	28	0	0	2	0	13	5
BRCA_TCGA-BH-A0DZ	4	1	15	2	0	2	0	4	1	0	0	0	41	3	141	0	0	2	0	1	0
BRCA_TCGA-BH-A0E0	0	2	2	5	0	3	2	0	0	0	0	1	2	0	1	0	3	0	3	0	0
BRCA_TCGA-BH-A0E1	0	1	3	0	0	9	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0
BRCA_TCGA-BH-A0E9	0	4	1	7	0	0	1	0	3	0	1	0	3	2	0	1	0	0	4	1	0
BRCA_TCGA-BH-A0EA	0	3	3	1	4	1	0	0	2	0	1	3	2	0	3	0	0	0	1	4	4
BRCA_TCGA-BH-A0EI	0	2	1	3	1	2	0	0	1	1	2	4	2	0	0	0	0	3	1	1	0
BRCA_TCGA-BH-A0H3	0	1	0	0	0	6	0	0	0	0	0	3	2	0	0	1	0	0	1	3	0
BRCA_TCGA-BH-A0H5	6	1	15	0	0	1	0	0	0	0	0	10	41	0	91	0	0	4	0	0	0
BRCA_TCGA-BH-A0H7	1	1	1	0	0	6	1	0	0	1	2	0	0	0	4	0	0	0	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	0	0	2	0	0	0	2	0	0	3	0	1	4	4	0	3	2	0
BRCA_TCGA-BH-A0HA	0	36	12	39	36	54	7	0	17	65	35	7	18	0	26	8	5	1	0	5	11
BRCA_TCGA-BH-A0HI	2	1	2	7	1	1	0	2	0	2	0	3	4	0	4	0	0	2	2	2	0
BRCA_TCGA-BH-A0HK	0	4	4	1	0	4	0	0	3	0	0	4	17	0	19	0	0	0	0	6	1
BRCA_TCGA-BH-A0HN	0	2	4	7	0	2	0	0	0	0	1	2	3	2	3	1	0	0	3	2	2
BRCA_TCGA-BH-A0HP	12	2	18	6	0	4	4	0	1	0	0	0	95	0	215	0	0	0	0	0	0
BRCA_TCGA-BH-A0RX	0	3	6	17	1	1	0	0	3	1	3	0	1	1	4	0	0	0	5	2	1
BRCA_TCGA-BH-A0W3	1	0	0	3	0	0	0	0	1	0	3	3	0	0	3	1	0	0	2	4	2
BRCA_TCGA-BH-A0W4	0	1	5	1	0	6	0	2	0	1	2	0	5	0	5	3	0	0	7	0	1
BRCA_TCGA-BH-A0W5	1	3	2	6	0	0	0	0	3	2	2	0	0	3	1	0	0	0	3	3	0
BRCA_TCGA-BH-A0W7	4	1	15	3	3	0	0	0	0	0	4	5	39	0	178	3	0	2	0	4	0
BRCA_TCGA-BH-A0WA	3	0	0	7	1	0	3	0	9	0	5	7	18	0	7	1	0	6	33	0	13
BRCA_TCGA-BH-A18F	2	0	6	6	3	9	2	0	0	0	0	4	16	0	9	0	0	1	1	7	1
BRCA_TCGA-BH-A18G	19	175	41	158	195	129	97	0	167	271	208	59	0	0	5	69	16	0	10	0	49
BRCA_TCGA-BH-A18H	0	1	2	3	6	1	0	0	5	2	2	2	12	0	6	0	2	0	3	6	1
BRCA_TCGA-BH-A18I	0	4	3	6	0	0	0	0	2	1	0	0	3	0	4	1	0	2	2	2	1
BRCA_TCGA-BH-A18J	2	4	2	2	3	0	1	2	2	2	0	0	17	0	58	0	0	6	0	3	7
BRCA_TCGA-BH-A18K	1	2	4	2	1	0	0	0	2	3	1	9	6	0	21	1	2	0	7	1	5
BRCA_TCGA-BH-A18L	1	7	2	5	1	10	4	0	2	2	0	4	4	0	1	0	0	9	9	0	4
BRCA_TCGA-BH-A18M	0	1	1	5	2	0	0	0	0	0	0	1	3	0	3	2	0	0	0	0	0
BRCA_TCGA-BH-A18N	0	6	2	3	0	5	0	0	1	4	5	0	0	0	1	1	0	0	6	6	3
BRCA_TCGA-BH-A18P	1	5	33	7	2	7	5	0	7	0	0	0	116	0	254	0	0	0	0	1	0
BRCA_TCGA-BH-A18Q	1	1	1	0	5	6	2	0	3	0	2	5	5	4	7	12	2	2	31	16	2
BRCA_TCGA-BH-A18R	1	0	1	2	0	2	0	2	3	0	5	0	6	0	3	0	0	0	17	0	0
BRCA_TCGA-BH-A18S	1	2	2	0	1	1	2	0	3	4	1	1	0	0	2	0	0	3	6	3	5
BRCA_TCGA-BH-A18T	1	2	2	3	6	2	4	2	4	4	0	3	3	2	13	8	0	0	35	8	0
BRCA_TCGA-BH-A18U	0	5	6	14	1	2	4	0	10	0	5	7	30	0	56	3	0	8	8	12	7
BRCA_TCGA-BH-A18V	9	0	3	1	0	3	4	1	8	0	11	3	14	3	74	0	5	18	90	3	0
BRCA_TCGA-BH-A1EO	0	6	3	10	0	7	0	0	0	0	0	3	3	0	4	4	0	0	3	5	2
BRCA_TCGA-BH-A1ET	3	2	1	5	3	1	0	2	0	2	2	3	0	0	1	1	0	0	4	2	1
BRCA_TCGA-BH-A1EU	0	1	1	1	0	9	0	0	1	3	3	1	5	0	0	0	0	2	0	5	2
BRCA_TCGA-BH-A1EV	2	5	11	11	0	0	0	0	5	4	1	2	20	0	48	6	0	0	14	0	0
BRCA_TCGA-BH-A1EW	0	1	2	0	0	2	0	0	3	1	1	1	7	1	0	0	0	0	1	1	0
BRCA_TCGA-BH-A1EX	0	3	5	3	0	1	0	0	1	4	3	2	1	0	0	0	0	0	5	6	1
BRCA_TCGA-BH-A1EY	0	2	5	5	3	2	0	0	2	4	2	1	1	0	13	2	0	4	6	3	0
BRCA_TCGA-BH-A1F0	3	3	4	4	0	0	3	0	0	2	4	13	4	0	16	0	0	7	19	13	0
BRCA_TCGA-BH-A1F2	3	5	2	12	3	0	2	0	1	3	0	5	7	0	12	0	0	2	4	6	4
BRCA_TCGA-BH-A1F5	1	1	3	7	0	2	2	0	1	0	0	6	4	0	2	1	0	3	1	2	8
BRCA_TCGA-BH-A1F6	0	4	1	5	5	6	0	2	0	0	1	2	4	0	5	3	2	0	8	3	2
BRCA_TCGA-BH-A1F8	5	1	10	10	3	2	0	0	4	0	0	6	43	2	89	0	0	3	0	7	7
BRCA_TCGA-BH-A1FC	3	8	5	2	1	19	0	4	5	4	0	3	9	2	27	9	4	1	18	3	3
BRCA_TCGA-BH-A1FE	1	2	2	0	0	0	0	0	0	1	0	6	3	1	3	2	1	0	0	3	1
BRCA_TCGA-BH-A1FG	0	2	1	2	0	3	2	2	2	0	1	1	1	0	0	0	0	0	1	0	3
BRCA_TCGA-BH-A1FH	0	2	1	0	0	15	0	0	1	0	0	1	8	0	1	0	1	0	2	1	0
BRCA_TCGA-BH-A1FJ	0	1	1	7	2	8	0	1	1	0	0	8	6	1	0	0	0	0	0	8	1
BRCA_TCGA-BH-A1FL	0	3	2	2	1	0	0	0	0	0	3	7	2	0	1	0	0	2	0	3	0
BRCA_TCGA-BH-A1FM	0	5	7	5	1	6	0	0	1	1	0	0	6	6	13	1	0	0	4	6	0
BRCA_TCGA-BH-A1FN	2	2	1	1	0	3	0	3	2	0	3	13	0	7	68	5	3	8	8	9	8
BRCA_TCGA-BH-A1FR	0	2	1	2	0	0	0	0	1	0	2	0	1	0	1	0	0	0	6	1	0
BRCA_TCGA-BH-A1FU	3	5	6	1	4	7	1	2	4	5	8	8	5	0	15	4	5	9	22	0	4
BRCA_TCGA-BH-A201	2	1	2	2	0	0	1	0	3	1	5	0	3	2	1	0	0	0	2	0	2
BRCA_TCGA-BH-A202	2	2	1	3	0	2	0	0	4	2	0	0	0	1	2	0	0	2	5	0	2
BRCA_TCGA-BH-A203	1	7	9	12	0	11	4	0	7	0	2	6	3	0	17	7	0	0	3	4	6
BRCA_TCGA-BH-A204	3	4	3	2	0	5	2	0	3	1	1	7	3	0	4	0	0	0	10	3	1
BRCA_TCGA-BH-A208	0	1	4	8	0	2	0	0	2	1	3	10	9	0	28	0	0	0	9	5	0
BRCA_TCGA-BH-A209	1	0	8	3	3	0	0	0	0	0	0	6	12	0	76	0	0	6	0	2	2
BRCA_TCGA-BH-A28Q	0	4	1	5	1	0	0	0	3	0	0	1	1	0	2	0	2	0	2	4	0
BRCA_TCGA-BH-A2L8	7	1	32	5	0	10	0	0	9	0	0	0	140	1	423	0	0	0	0	0	0
BRCA_TCGA-BH-A42U	0	0	3	0	0	5	0	0	0	0	0	0	11	2	9	0	0	0	0	1	1
BRCA_TCGA-BH-A42V	0	0	5	4	0	0	0	0	1	1	0	2	11	0	29	0	0	0	0	1	1
BRCA_TCGA-BH-A5IZ	3	2	0	5	1	11	4	0	1	2	0	4	13	0	6	0	0	5	23	8	8
BRCA_TCGA-BH-A5J0	1	6	10	5	1	2	2	2	0	0	2	1	28	0	33	0	0	0	0	6	3
BRCA_TCGA-BH-A6R8	0	3	3	3	2	8	0	0	1	0	1	0	6	0	2	0	0	0	4	4	0
BRCA_TCGA-BH-A6R9	1	1	2	3	0	0	0	0	1	0	1	2	2	2	0	0	0	0	10	0	0
BRCA_TCGA-BH-A8FY	1	4	0	0	1	4	0	0	2	0	2	5	9	1	3	5	0	0	11	1	7
BRCA_TCGA-BH-A8FZ	2	6	2	3	4	2	2	2	1	4	3	0	4	2	9	0	4	0	24	5	12
BRCA_TCGA-BH-A8G0	0	1	2	4	1	0	0	0	0	1	1	0	2	0	0	3	1	0	0	0	1
BRCA_TCGA-BH-AB28	0	5	2	3	3	3	3	2	1	0	1	0	4	0	2	3	2	2	0	0	7
BRCA_TCGA-C8-A12K	3	4	0	0	3	12	2	0	2	2	6	17	2	0	52	0	2	10	53	0	3
BRCA_TCGA-C8-A12L	0	4	3	1	7	7	0	0	6	0	0	9	0	6	5	2	0	1	28	5	5
BRCA_TCGA-C8-A12M	0	5	8	6	6	9	2	6	2	1	2	6	4	0	0	9	0	0	12	1	3
BRCA_TCGA-C8-A12N	1	2	0	5	0	3	0	0	3	2	0	0	0	0	4	2	0	2	2	1	0
BRCA_TCGA-C8-A12O	1	2	3	13	0	6	1	0	0	0	1	2	5	0	1	3	0	0	3	2	6
BRCA_TCGA-C8-A12P	4	4	12	12	4	2	0	1	5	2	1	3	28	0	82	2	4	11	9	6	10
BRCA_TCGA-C8-A12Q	4	3	13	4	4	0	1	0	0	2	3	5	23	5	57	1	0	9	0	2	3
BRCA_TCGA-C8-A12T	7	2	10	2	4	14	2	0	1	0	0	6	28	0	132	0	0	0	3	3	0
BRCA_TCGA-C8-A12U	0	1	0	14	5	1	0	0	0	0	1	6	1	1	8	5	0	3	9	1	5
BRCA_TCGA-C8-A12V	0	0	2	0	2	8	5	2	4	0	2	1	0	1	4	4	2	0	8	0	7
BRCA_TCGA-C8-A12W	1	3	7	18	2	16	0	0	2	4	1	2	0	1	4	0	0	0	9	2	5
BRCA_TCGA-C8-A12X	0	6	3	13	1	0	1	0	4	0	2	7	4	0	0	6	4	7	3	0	4
BRCA_TCGA-C8-A12Y	0	8	2	3	2	8	4	2	4	2	4	0	1	0	2	0	0	2	0	1	1
BRCA_TCGA-C8-A12Z	1	3	3	8	3	2	0	0	3	1	1	3	11	0	13	0	0	0	9	0	0
BRCA_TCGA-C8-A130	0	4	6	10	0	8	0	0	1	1	7	1	0	0	6	0	1	0	3	5	1
BRCA_TCGA-C8-A131	1	7	7	0	1	4	0	0	6	1	2	6	9	3	2	4	2	3	6	5	5
BRCA_TCGA-C8-A132	1	2	2	0	0	14	0	0	4	1	0	5	3	0	27	7	1	0	13	4	0
BRCA_TCGA-C8-A133	1	0	2	0	0	0	3	0	3	0	2	4	3	2	3	0	1	2	1	4	2
BRCA_TCGA-C8-A134	8	2	2	2	3	5	4	3	3	0	5	11	0	7	5	6	0	0	37	5	9
BRCA_TCGA-C8-A135	1	8	5	10	7	8	2	0	0	4	1	0	0	2	9	0	0	2	6	7	5
BRCA_TCGA-C8-A137	0	2	7	0	0	13	0	0	0	0	0	2	11	0	19	0	1	3	1	3	0
BRCA_TCGA-C8-A138	3	1	1	7	0	4	3	0	2	3	0	3	5	0	0	0	0	8	7	5	0
BRCA_TCGA-C8-A1HE	0	2	3	3	0	0	0	0	2	0	1	5	10	0	20	2	0	0	0	2	4
BRCA_TCGA-C8-A1HF	1	2	2	3	2	0	2	1	0	0	3	3	5	0	9	0	0	0	2	0	4
BRCA_TCGA-C8-A1HG	0	6	3	13	3	1	0	0	2	5	2	3	7	3	4	3	0	2	10	2	0
BRCA_TCGA-C8-A1HI	1	1	2	3	5	24	0	0	2	0	0	1	7	0	13	0	0	0	7	6	0
BRCA_TCGA-C8-A1HJ	2	3	2	5	3	2	3	0	6	4	8	0	0	7	11	5	4	2	44	9	4
BRCA_TCGA-C8-A1HK	2	3	6	5	7	0	0	0	0	2	2	2	0	3	25	0	0	0	9	7	0
BRCA_TCGA-C8-A1HL	1	5	1	1	1	0	2	2	4	0	2	8	1	2	0	0	0	2	3	2	0
BRCA_TCGA-C8-A1HM	11	7	20	8	4	6	0	0	4	0	5	12	43	1	268	0	0	16	35	8	0
BRCA_TCGA-C8-A1HN	1	3	1	9	1	8	0	2	2	0	6	6	6	2	2	0	0	4	12	5	0
BRCA_TCGA-C8-A1HO	2	0	2	4	4	4	2	2	0	1	0	6	3	0	10	1	0	1	0	7	0
BRCA_TCGA-C8-A26V	1	5	7	4	1	1	0	0	0	0	6	5	0	0	46	0	2	5	9	4	0
BRCA_TCGA-C8-A26W	0	2	7	2	1	3	0	0	1	2	3	5	13	1	20	0	0	0	5	0	4
BRCA_TCGA-C8-A26X	1	5	3	9	0	0	0	0	6	1	3	7	2	8	4	5	1	10	6	2	2
BRCA_TCGA-C8-A26Y	19	3	38	3	7	0	4	0	5	0	0	6	136	0	514	0	19	120	0	15	27
BRCA_TCGA-C8-A26Z	1	6	3	8	0	1	0	0	3	0	0	2	4	1	0	1	1	2	7	7	2
BRCA_TCGA-C8-A273	1	1	2	1	2	5	0	0	0	0	1	2	0	0	1	0	1	0	3	4	0
BRCA_TCGA-C8-A274	4	7	14	5	5	2	3	0	4	0	1	0	39	4	156	3	0	3	0	11	20
BRCA_TCGA-C8-A275	0	2	10	6	6	1	0	0	3	0	1	3	21	0	75	1	2	0	8	3	0
BRCA_TCGA-C8-A278	1	1	4	5	3	7	0	0	1	1	1	0	4	0	11	0	0	0	6	7	1
BRCA_TCGA-C8-A27A	4	2	4	2	0	3	0	2	0	0	2	5	1	0	6	1	0	0	5	1	2
BRCA_TCGA-C8-A27B	3	4	4	0	4	3	2	0	0	2	4	5	0	0	64	0	4	6	56	1	0
BRCA_TCGA-C8-A3M7	5	7	18	12	0	0	3	0	6	0	1	0	72	1	83	0	0	0	0	8	5
BRCA_TCGA-C8-A3M8	0	5	3	0	0	10	0	0	1	4	4	9	0	0	13	2	0	0	8	3	0
