Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U
BRCA_TCGA-A2-A0YG	0	3	4	8	0	4	1	2	7	1	4	6	11	6	4	4	0	0	8	3	2
BRCA_TCGA-A2-A0YH	3	3	5	0	2	15	0	0	2	0	2	8	7	0	36	0	0	5	12	0	0
BRCA_TCGA-A2-A0YI	0	1	1	0	0	2	2	0	0	1	0	1	2	0	0	0	0	0	3	4	1
BRCA_TCGA-A2-A0YJ	2	5	3	10	0	6	1	0	11	3	1	4	0	2	4	3	6	6	29	0	2
BRCA_TCGA-A2-A0YK	11	1	25	2	1	7	0	0	1	0	0	0	76	0	334	0	0	20	0	0	0
BRCA_TCGA-A2-A0YL	0	1	1	1	0	3	0	0	2	0	1	7	9	0	16	0	0	1	0	0	1
BRCA_TCGA-A2-A0YM	0	8	6	10	1	7	0	0	0	0	4	0	16	0	29	8	0	10	10	0	0
BRCA_TCGA-A2-A0YT	1	9	10	3	0	6	0	0	2	0	2	0	15	0	9	5	0	2	16	0	1
BRCA_TCGA-A2-A1FV	0	3	2	2	0	12	0	0	1	1	2	5	7	0	5	0	0	2	5	1	2
BRCA_TCGA-A2-A1FW	4	4	5	10	5	11	2	0	6	3	0	3	8	0	4	0	4	4	9	13	0
BRCA_TCGA-A2-A1FX	2	3	2	3	0	0	0	0	0	0	2	4	3	0	0	0	0	0	3	3	3
BRCA_TCGA-A2-A1FZ	0	2	0	3	0	5	0	0	4	2	3	0	3	0	1	2	0	2	1	1	0
BRCA_TCGA-A2-A1G0	0	0	2	0	0	4	0	0	0	0	1	5	0	0	2	0	0	3	2	2	2
BRCA_TCGA-A2-A1G1	0	0	1	3	1	4	0	2	3	0	1	2	3	0	2	2	0	5	4	3	3
BRCA_TCGA-A2-A1G6	0	1	0	0	1	2	0	0	0	0	0	0	0	2	1	0	0	0	3	0	0
BRCA_TCGA-A2-A259	0	1	2	1	1	3	0	0	0	0	0	4	8	0	1	0	0	0	4	4	0
BRCA_TCGA-A2-A25A	5	3	2	3	1	7	2	0	0	0	0	0	32	0	53	12	0	0	2	6	1
BRCA_TCGA-A2-A25B	4	6	5	3	0	0	7	3	11	2	0	7	13	4	2	9	0	2	28	11	11
BRCA_TCGA-A2-A25C	3	0	0	0	1	0	0	0	2	7	1	0	4	15	1	0	0	0	3	2	0
BRCA_TCGA-A2-A25D	0	2	2	3	6	3	0	0	1	0	3	7	5	2	7	5	4	0	4	9	1
BRCA_TCGA-A2-A25E	1	1	2	3	8	1	0	2	1	1	4	0	3	4	5	2	0	0	15	1	7
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1
BRCA_TCGA-A2-A3KD	0	1	0	2	0	4	0	0	0	2	0	4	2	0	1	1	0	0	0	0	1
BRCA_TCGA-A2-A3XT	4	1	0	2	6	8	0	0	0	0	10	9	0	0	28	1	3	0	37	13	0
BRCA_TCGA-A2-A3XU	0	2	1	6	0	1	2	0	4	2	2	0	0	0	1	0	0	1	6	0	3
BRCA_TCGA-A2-A3XV	0	5	3	0	2	4	0	0	4	6	0	9	1	2	0	0	2	0	6	3	1
BRCA_TCGA-A2-A3XW	0	1	2	2	0	0	0	2	0	0	3	0	1	0	1	1	0	0	3	0	1
BRCA_TCGA-A2-A3XX	0	5	4	1	1	8	0	2	2	0	1	2	2	2	2	1	0	0	15	2	2
BRCA_TCGA-A2-A3XZ	0	2	5	5	1	3	0	0	3	0	2	1	4	0	17	0	0	0	6	0	3
BRCA_TCGA-A2-A3Y0	4	9	4	6	4	5	3	0	9	15	13	19	0	7	44	1	5	0	77	17	1
BRCA_TCGA-A2-A4S1	6	6	0	10	5	0	1	0	0	5	1	0	1	2	6	2	2	5	23	14	9
BRCA_TCGA-A2-A4S2	0	3	0	3	1	3	0	0	3	2	2	2	3	0	5	3	0	1	0	10	2
BRCA_TCGA-A2-A4S3	4	5	3	5	5	15	0	2	3	3	4	5	7	2	13	8	0	3	13	2	5
BRCA_TCGA-A7-A0CE	1	3	1	0	0	3	1	0	4	2	2	3	8	5	2	2	0	3	16	0	5
BRCA_TCGA-A7-A0CH	0	0	1	2	0	0	0	0	0	0	2	5	2	0	0	3	0	0	1	1	0
BRCA_TCGA-A7-A0D9	0	1	0	0	0	3	0	0	0	0	0	1	4	0	2	0	1	0	0	0	0
BRCA_TCGA-A7-A0DA	3	4	5	7	3	0	1	4	8	1	8	6	2	11	14	0	7	0	68	25	10
BRCA_TCGA-A7-A0DB	1	3	2	5	1	4	0	2	1	1	1	0	7	0	12	0	3	0	3	6	1
BRCA_TCGA-A7-A13D	0	4	3	8	2	5	1	4	7	2	5	7	6	8	13	3	0	1	54	3	4
BRCA_TCGA-A7-A13E	0	8	2	12	3	19	3	0	2	0	3	0	5	0	3	0	0	4	13	3	0
BRCA_TCGA-A7-A13F	1	4	5	7	1	1	0	0	4	2	2	2	3	0	3	4	0	3	3	0	0
BRCA_TCGA-A7-A13G	1	4	0	3	0	0	0	0	3	0	1	1	2	0	9	0	1	0	2	1	4
BRCA_TCGA-A7-A26E	0	2	8	8	2	6	1	0	2	0	2	0	12	0	13	0	1	0	0	8	2
BRCA_TCGA-A7-A26F	2	0	4	4	1	14	1	0	1	0	0	2	2	0	3	0	0	0	3	8	1
BRCA_TCGA-A7-A26G	2	3	2	1	0	0	0	2	4	2	0	2	2	2	14	14	0	0	7	8	3
BRCA_TCGA-A7-A26H	4	3	5	16	3	9	0	0	0	0	2	1	21	1	67	1	0	3	7	7	0
BRCA_TCGA-A7-A26I	1	1	2	2	1	3	0	0	0	1	2	4	5	0	5	10	0	0	5	3	1
BRCA_TCGA-A7-A26J	3	1	0	1	0	9	0	0	1	0	0	0	8	0	1	2	0	0	9	7	0
BRCA_TCGA-A7-A2KD	1	5	3	9	3	0	0	0	0	0	2	6	4	0	6	2	1	0	7	0	6
BRCA_TCGA-A7-A3RF	0	2	0	0	0	10	0	0	2	1	2	2	1	1	2	5	0	2	3	4	3
BRCA_TCGA-A7-A425	0	3	0	3	0	7	0	0	0	0	1	0	3	4	0	0	0	2	2	1	7
BRCA_TCGA-A7-A4SC	1	4	3	4	0	0	0	1	0	0	2	2	4	1	0	0	1	2	4	8	1
BRCA_TCGA-A7-A4SD	0	4	3	14	0	4	2	0	7	5	0	0	0	3	2	0	5	1	5	6	1
BRCA_TCGA-A7-A4SE	3	1	1	1	6	7	1	4	10	6	0	5	5	2	34	6	2	0	42	6	4
BRCA_TCGA-A7-A56D	9	10	13	12	4	6	2	0	9	0	0	7	42	2	77	0	0	0	18	6	8
BRCA_TCGA-A7-A5ZV	3	9	6	19	5	0	1	1	3	5	17	14	3	15	30	16	13	3	87	11	7
BRCA_TCGA-A7-A5ZW	1	2	3	0	1	9	0	0	0	1	5	1	0	0	11	0	0	2	0	0	0
BRCA_TCGA-A7-A5ZX	1	2	4	3	1	0	0	0	1	2	1	0	9	2	1	1	3	0	7	3	1
BRCA_TCGA-A7-A6VV	0	2	1	8	0	5	3	0	4	0	5	14	0	0	8	0	0	0	10	4	0
BRCA_TCGA-A7-A6VW	0	1	3	2	0	11	0	0	2	5	4	12	0	5	7	10	2	1	18	0	9
BRCA_TCGA-A7-A6VX	1	3	3	1	6	8	0	2	5	1	7	10	24	15	26	10	7	0	25	18	5
BRCA_TCGA-A7-A6VY	3	3	4	5	9	2	1	3	4	4	5	8	10	2	13	5	0	1	49	4	1
