Signatures	Stability	Total Mutations
SBS96A	0.972	356
SBS96B	0.05	291
SBS96C	0.97	250
SBS96D	0.956	248
SBS96E	0.529	175
SBS96F	0.325	114
SBS96G	0.192	98
SBS96H	0.937	92
SBS96I	0.135	58
SBS96J	0.574	53
SBS96K	0.392	40
SBS96L	0.02	40
SBS96M	0.065	35
SBS96N	0.21	21
SBS96O	0.369	18
SBS96P	0.425	18
SBS96Q	0.065	17
SBS96R	-0.035	16
SBS96S	0.186	15
SBS96T	0.147	12
