	0	1	2	3	4	5	6	7	8	9
10000	[8.997644697261448, 3.8288803525628947, 51.68764344698553, 1.0, 0.0]	[8.716504591726224, 3.7852948345856525, 49.312097571405715, 0.9991666674613953, 0.0]	[5.719096776571886, 4.775153115778448, 9.439436607934386, 0.9991666674613953, 0.0]	[8.054992447914053, 3.805179553606215, 42.49812894307837, 1.0, 0.0]	[11.901256975756132, 4.160824127087138, 77.40432848668993, 0.9983333349227905, 0.0]	[10.739584678042615, 3.8916209369816945, 68.4796374106092, 0.9991666674613953, 0.0]	[14.410308136998568, 4.187469384551621, 102.22838752446947, 0.9991666674613953, 0.0]	[16.109147682769024, 7.310379933763107, 87.98767749005916, 0.996666669845581, 0.0]	[9.815849730538698, 7.774723021284767, 20.411267092539305, 0.9900000095367432, 0.0]	[9.337347434510374, 3.5464127405181416, 57.909346939922315, 0.9991666674613953, 0.0]
11000	[9.825790233792173, 3.846918457595947, 59.788717761962246, 0.9991666674613953, 0.0]	[9.115402540448482, 3.970653326401388, 51.447492140470935, 0.9991666674613953, 0.0]	[5.578404072299772, 4.958885130867177, 6.195189414325947, 1.0, 0.0]	[7.9869999355141355, 3.396837527414135, 45.901624081, 0.9975000023841858, 0.0]	[11.901437997945427, 4.242820710414924, 76.58617287530502, 0.9983333349227905, 0.0]	[10.551563229059111, 3.8705474379262204, 66.8101579113289, 0.9991666674613953, 0.0]	[10.994902359814603, 3.5254879370110026, 74.694144228036, 0.9991666674613953, 0.0]	[15.606932786406517, 7.333266517515804, 82.73666268890713, 0.996666669845581, 0.0]	[13.854697173106365, 8.840506618912823, 50.141905541935415, 0.9983333349227905, 0.0]	[9.535430390375936, 3.584273375459107, 59.51157014916828, 0.9991666674613953, 0.0]
12000	[8.939499282888987, 3.816885832146754, 51.22613450742232, 1.0, 0.0]	[9.065342647292068, 3.7910819545088175, 52.74260692783251, 0.9991666674613953, 0.0]	[5.586687965129008, 4.954436351191292, 6.322516139377155, 1.0, 0.0]	[9.558305486025311, 3.914407742754812, 56.43897743270498, 0.9983333349227905, 0.0]	[11.707671715540833, 4.10380498731316, 76.03866728227672, 0.9983333349227905, 0.0]	[10.595360886377758, 3.8673566798835526, 67.28004206494205, 1.0, 0.0]	[13.763533242037028, 4.316839033444816, 94.4669420859221, 0.9983333349227905, 0.0]	[16.202991618318237, 7.3275629007840095, 88.75428717534228, 0.9941666722297668, 0.0]	[11.373205405439261, 8.647173285205557, 27.26032120233704, 0.9983333349227905, 0.0]	[10.006801749022607, 3.5830774221740027, 64.23724326848603, 0.9991666674613953, 0.0]
13000	[9.544179729246046, 3.8265332881643976, 57.17646441081648, 1.0, 0.0]	[9.861513566188535, 4.128325585453666, 57.33187980734867, 0.9975000023841858, 0.0]	[5.706081252881129, 4.845010709714441, 8.610705431666876, 0.9983333349227905, 0.0]	[7.575284449352997, 3.4005078959713093, 41.747765533816874, 0.9991666674613953, 0.0]	[11.170373564624537, 4.231550717973413, 69.38822846651125, 0.9991666674613953, 0.0]	[10.521968932388145, 3.851260102063866, 66.70708830324278, 0.9991666674613953, 0.0]	[10.996849286346578, 3.5535405932373845, 74.43308693109194, 0.9983333349227905, 0.0]	[15.35210163737953, 7.197217894596473, 81.54883742783058, 0.9941666722297668, 0.0]	[11.3077859380922, 8.346382491118252, 29.61403446973948, 0.9975000023841858, 0.0]	[9.580266229487044, 3.5612792590754787, 60.18986970411565, 1.0, 0.0]
14000	[8.982215021309585, 3.83113008061622, 51.51084940693366, 1.0, 0.0]	[9.3770479382482, 3.877444259050291, 54.99603679197909, 0.9991666674613953, 0.0]	[5.760760162445419, 4.8412342267528174, 9.195259356926016, 0.9991666674613953, 0.0]	[8.063881010300756, 3.427206240897551, 46.36674769403204, 0.9975000023841858, 0.0]	[10.828881114444712, 4.130511647450537, 66.98369466994174, 0.9991666674613953, 0.0]	[10.578084021877345, 3.8570356843280194, 67.21048337549325, 0.9991666674613953, 0.0]	[13.91616591264698, 4.173590578150952, 97.42575334496027, 0.9991666674613953, 0.0]	[15.090852240149275, 7.114577698816086, 79.76274541333188, 0.9958333373069763, 0.0]	[11.436204647578212, 7.900420076503767, 35.357845710744435, 0.9891666769981384, 0.0]	[9.501686542367784, 3.57437144950728, 59.273150928605034, 0.9983333349227905, 0.0]
15000	[8.836753835285032, 3.8160770982525087, 50.206767370325224, 1.0, 0.0]	[8.97935852871566, 3.778198143102897, 52.01160385612762, 0.9991666674613953, 0.0]	[5.6107566014737245, 4.9735117319345, 6.372448695392247, 1.0, 0.0]	[7.198215233366405, 3.401800203021047, 37.96415030345357, 1.0, 0.0]	[10.744897665086212, 4.152056094788211, 65.92841570298, 0.9991666674613953, 0.0]	[10.372965655055946, 3.8367452839042318, 65.36220371151714, 1.0, 0.0]	[12.900891053972483, 3.928619622307907, 89.72271431664575, 0.996666669845581, 0.0]	[15.16975850896226, 7.13247983777432, 80.3727867118794, 0.996666669845581, 0.0]	[16.576280539332302, 9.520069945241405, 70.56210594090898, 0.996666669845581, 0.0]	[9.354942285400536, 3.5116389871457523, 58.43303298254783, 0.9991666674613953, 0.0]
16000	[8.878050503616004, 3.8356436686818682, 50.424068349341354, 1.0, 0.0]			[7.6436206299601, 3.4076531738703078, 42.35967456089793, 0.9991666674613953, 0.0]					[11.028352092581155, 8.617039861510428, 24.113122310707276, 0.9983333349227905, 0.0]	[9.462027873871872, 3.580131900226956, 58.818959736449145, 0.9991666674613953, 0.0]
17000	[8.78011813309809, 3.8184022556989174, 49.617158773991726, 1.0, 0.0]			[7.5184071204465335, 3.4013071680746076, 41.17099952371925, 0.9975000023841858, 0.0]					[13.116598450693534, 8.333435121937335, 47.83163328756199, 0.996666669845581, 0.0]	[9.359505915231782, 3.5047845963518554, 58.54721318879926, 0.9983333349227905, 0.0]
18000	[8.71830782626914, 3.8130729241908012, 49.05234902078337, 1.0, 0.0]			[8.676174903714134, 3.8519893439773476, 48.241855597367866, 0.9991666674613953, 0.0]					[15.514006371463466, 9.489292834361533, 60.24713537101933, 0.9941666722297668, 0.0]	[9.319752858366545, 3.5723705866400124, 57.47382271726533, 1.0, 0.0]
19000	[9.214505709566922, 3.960061436353562, 52.544442732133604, 0.9975000023841858, 0.0]			[8.507433211580722, 3.6230098212786674, 48.84423390302053, 0.9975000023841858, 0.0]					[11.371824812007944, 8.976825781700617, 23.949990303073275, 0.9991666674613953, 0.0]	[9.416127516198982, 3.548335642207429, 58.677918739915526, 0.9975000023841858, 0.0]
20000	[8.897938757526155, 3.816440267180554, 50.81498490345602, 0.9991666674613953, 0.0]			[7.90774203810333, 3.4819977092119663, 44.257443288913635, 0.9983333349227905, 0.0]					[11.34562606238523, 8.800280522951889, 25.45345539433342, 0.9983333349227905, 0.0]	[9.479832304196037, 3.533172727577137, 59.466595766189, 0.9975000023841858, 0.0]
21000				[7.627027999937194, 3.3862600316114873, 42.40767968325707, 0.9991666674613953, 0.0]					[11.229579043576807, 8.556700316676524, 26.72878726900283, 0.9991666674613953, 0.0]	
22000				[8.25194969519525, 3.3744391987574778, 48.77510496437772, 0.9950000047683716, 0.0]					[13.82131938022752, 8.877733548487488, 49.43585831740032, 0.9958333373069763, 0.0]	
23000				[7.574371192566492, 3.3688443027522594, 42.055268898142316, 0.9975000023841858, 0.0]					[12.824769145566842, 9.395823090845354, 34.28946054721488, 0.9975000023841858, 0.0]	
24000				[7.2742377370177165, 3.3916085544178385, 38.82629182599878, 0.9991666674613953, 0.0]					[12.633740016869119, 9.37060716049758, 32.6313285637154, 0.9983333349227905, 0.0]	
25000				[7.486977600555075, 3.479375300229456, 40.076023003256196, 0.9975000023841858, 0.0]					[12.77763838447556, 9.104361340850303, 36.73277043625257, 0.9983333349227905, 0.0]	
26000				[9.498013689755236, 3.9743533853640214, 55.23660304391213, 0.9983333349227905, 0.0]						
27000				[7.646976072177937, 3.383723962589252, 42.632521095886844, 0.9975000023841858, 0.0]						
28000				[8.824464567689198, 3.7848699803370707, 50.39594587352127, 0.9983333349227905, 0.0]						
29000				[7.781192440697369, 3.3881817041554783, 43.930107365418905, 0.9975000023841858, 0.0]						
30000				[7.321701410656104, 3.389091561566951, 39.326098490891525, 0.9991666674613953, 0.0]						
