acc_mean,f1_mean,Lrec_mean,Lce_mean,Ltot_mean,epochs_mean,n_filter,stability_mean_refit0,stability_min_refit0,rec_refit0,acc_refit0,f1_refit0,Lrec_refit0,Lce_refit0,Ltot_refit0,epochs_refit0,stability_mean_refit1,stability_min_refit1,rec_refit1,acc_refit1,f1_refit1,Lrec_refit1,Lce_refit1,Ltot_refit1,epochs_refit1,acc_test,f1_test,rec_test,k,lr,lambda_c,lambda_p,fold,bootstrap,run
0.9630833089351654,0.9630304004168397,2.1911522457565824,148.56145320207028,2.1911522457565824,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.1911339407200323,148.50871762301966,2.1911339407200323,15000,,,,,,,,,,0.96075,0.9606987386140516,4.35122250437899,5,0.005,0.0,0.0001,_all,multinomial,0
0.962833309173584,0.9627829784548398,2.191146145693017,148.57025267041348,2.191146145693017,15000.0,0,1.0,0.99,0.2681,0.9633333086967468,0.963277823787464,2.1911250889583074,148.47653249933097,2.1911250889583074,15000,,,,,,,,,,0.96075,0.9606987386140516,4.3511610809024965,5,0.005,0.0,0.0001,_all,multinomial,1
0.9630833089351654,0.96303040041684,2.1911399827116123,148.5357424793928,2.1911399827116123,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.191125513061845,148.49752825562365,2.191125513061845,15000,,,,,,,,,,0.96075,0.9606987386140516,4.351065764112549,5,0.005,0.0,0.0001,_all,multinomial,2
0.962833309173584,0.962782977515757,2.191164481297201,148.64264507157654,2.191164481297201,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.191145785281326,148.59185782637766,2.191145785281326,15000,,,,,,,,,,0.96075,0.9606987386140516,4.35129033692537,5,0.005,0.0,0.0001,_all,multinomial,3
0.9630833089351654,0.9630304004168397,2.1911449488264916,148.5536263444423,2.1911449488264916,15000.0,0,1.0,1.0,0.2681,0.9624999761581421,0.9624530792187168,2.1911323700972027,148.49390258940423,2.1911323700972027,15000,,,,,,,,,,0.96075,0.9606987386140516,4.351214867807466,5,0.005,0.0,0.0001,_all,multinomial,4
0.962666642665863,0.9626165133278342,2.1911403115481756,148.64053885682466,2.1911403115481756,15000.0,0,1.0,0.98,0.2681,0.9624999761581421,0.9624530792187168,2.191122825759289,148.53521928307038,2.191122825759289,15000,,,,,,,,,,0.96075,0.9606987386140516,4.351014900098064,5,0.005,0.0,0.0001,_all,multinomial,5
0.9629999756813049,0.9629479264295066,2.191141869514406,148.60677309057337,2.191141869514406,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.191129669884898,148.54815260321993,2.191129669884898,15000,,,,,,,,,,0.96075,0.9606987386140516,4.351049773731425,5,0.005,0.0,0.0001,_all,multinomial,6
0.9625833094120025,0.962535962138688,2.1911698616679973,148.76526846296488,2.1911698616679973,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.191152439183053,148.72383040877543,2.191152439183053,15000,,,,,,,,,,0.9605,0.9604371072779776,4.351168695425116,5,0.005,0.0,0.0001,_all,multinomial,7
0.962833309173584,0.962783111502513,2.19116107721779,148.67432183060563,2.19116107721779,15000.0,0,1.0,0.99,0.2681,0.9624999761581421,0.9624530792187168,2.1911444307726358,148.6059383619383,2.1911444307726358,15000,,,,,,,,,,0.96075,0.9606987386140516,4.35123991832904,5,0.005,0.0,0.0001,_all,multinomial,8
0.9627499759197236,0.9627024588839189,2.1911926271690514,148.45407986826882,2.1911926271690514,15000.0,0,1.0,0.98,0.2681,0.9633333086967468,0.963277823787464,2.1911412647060815,148.38406836008022,2.1911412647060815,15000,,,,,,,,,,0.96075,0.9606987386140516,4.351197863963636,5,0.005,0.0,0.0001,_all,multinomial,9
1.0,1.0,2.4074467583268886,2.2323298509090357,2.6306797434177924,37000.0,0,0.88,0.49,0.2804,0.9758333563804626,0.9759107934565872,2.289801160925762,96.66105907097914,2.289801160925762,15000,,,,,,,,,,0.927,0.9272456710094314,4.639982286833827,5,0.005,0.1,0.0001,_all,multinomial,0
1.0,1.0,2.367889216939689,2.465769401730511,2.61446615711274,67000.0,0,0.94,0.73,0.2784,0.9808333516120911,0.9808551358811116,2.272860772811225,78.69830953100615,2.272860772811225,15000,,,,,,,,,,0.95675,0.956651776764894,4.599105628233899,5,0.005,0.1,0.0001,_all,multinomial,1
1.0,1.0,2.3937025208657325,2.5866298547736775,2.6523655063431,51500.0,0,0.88,0.49,0.2806,0.9791666865348816,0.979222399767234,2.29140673104438,92.45207261240915,2.29140673104438,15000,,,,,,,,,,0.926,0.9262229075089687,4.644564468160152,5,0.005,0.1,0.0001,_all,multinomial,2
1.0,1.0,2.383988630269392,2.111087712287717,2.5950974014981627,28000.0,0,0.94,0.73,0.2784,0.9791666865348816,0.9792051926020351,2.272653250343718,80.40447534971112,2.272653250343718,15000,,,,,,,,,,0.9545,0.9543951033954334,4.598214422115066,5,0.005,0.1,0.0001,_all,multinomial,3
1.0,1.0,2.3523295067586334,2.1009628542939907,2.5624257921880327,44000.0,0,1.0,1.0,0.2773,0.9800000190734863,0.9800208579139434,2.263387791778485,75.78636366720936,2.263387791778485,15000,,,,,,,,,,0.96875,0.9686462744075938,4.568360041419913,5,0.005,0.1,0.0001,_all,multinomial,4
1.0,1.0,2.3742319938422467,2.321876009898552,2.6064195948321016,24000.0,0,0.93,0.73,0.2785,0.9791666865348816,0.9792051926020351,2.273774608465658,77.69900289609396,2.273774608465658,15000,,,,,,,,,,0.9565,0.9563996445352674,4.6035320460989695,5,0.005,0.1,0.0001,_all,multinomial,5
