Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K
BRCA_TCGA-A2-A3XX	0	8	0	7	5	0	0	0	27	5	0
BRCA_TCGA-A2-A3XZ	0	11	8	0	6	0	0	0	0	27	0
BRCA_TCGA-A2-A3Y0	4	14	16	10	1	4	24	2	110	52	6
BRCA_TCGA-A2-A4S1	9	14	0	6	0	0	9	0	51	9	0
BRCA_TCGA-A2-A4S2	0	4	0	3	0	6	5	0	18	7	0
BRCA_TCGA-A2-A4S3	7	13	0	5	0	17	13	0	34	18	0
BRCA_TCGA-A7-A0CE	0	0	0	6	0	13	0	6	27	9	0
BRCA_TCGA-A7-A0CH	0	0	0	0	2	8	0	0	7	0	0
BRCA_TCGA-A7-A0D9	0	0	0	2	0	5	0	0	0	5	0
BRCA_TCGA-A7-A0DA	3	6	8	5	5	9	3	1	117	20	10
BRCA_TCGA-A7-A0DB	0	12	0	0	0	0	0	0	13	23	5
BRCA_TCGA-A7-A13D	0	13	0	0	0	22	0	0	82	23	0
BRCA_TCGA-A7-A13E	0	35	15	0	0	0	0	0	22	8	0
BRCA_TCGA-A7-A13F	2	15	9	0	7	7	0	0	0	5	0
BRCA_TCGA-A7-A13G	0	5	0	6	0	0	0	0	9	12	0
BRCA_TCGA-A7-A26E	0	12	0	0	11	10	0	0	13	21	0
BRCA_TCGA-A7-A26F	3	7	0	0	4	14	0	0	15	3	0
BRCA_TCGA-A7-A26G	3	6	12	0	0	0	0	0	29	18	0
BRCA_TCGA-A7-A26H	6	24	0	0	4	21	0	0	0	95	0
BRCA_TCGA-A7-A26I	0	3	0	0	3	11	0	0	20	9	0
BRCA_TCGA-A7-A26J	4	4	0	0	0	9	0	0	21	4	0
BRCA_TCGA-A7-A2KD	0	9	0	6	3	13	0	0	14	10	0
BRCA_TCGA-A7-A3RF	0	6	0	0	0	7	6	0	21	0	0
BRCA_TCGA-A7-A425	0	11	0	0	0	6	0	0	16	0	0
BRCA_TCGA-A7-A4SC	2	6	0	4	4	0	0	0	22	0	0
BRCA_TCGA-A7-A4SD	0	21	8	0	3	8	0	0	16	0	6
BRCA_TCGA-A7-A4SE	0	0	21	0	0	15	0	0	62	48	0
BRCA_TCGA-A7-A56D	13	0	0	22	19	52	0	0	0	119	0
BRCA_TCGA-A7-A5ZV	2	30	20	1	5	5	15	3	130	39	18
BRCA_TCGA-A7-A5ZW	2	8	0	0	3	0	9	0	0	14	0
BRCA_TCGA-A7-A5ZX	0	0	0	4	6	8	0	0	14	5	5
BRCA_TCGA-A7-A6VV	0	11	8	0	0	17	0	0	19	9	0
BRCA_TCGA-A7-A6VW	0	5	0	0	3	19	13	0	44	8	0
BRCA_TCGA-A7-A6VX	0	0	0	9	0	32	0	0	78	46	12
BRCA_TCGA-A7-A6VY	0	0	0	9	6	25	12	0	62	22	0
BRCA_TCGA-A8-A075	0	0	0	6	3	25	0	0	36	30	0
BRCA_TCGA-AC-A23C	9	0	0	12	6	20	13	0	28	57	0
BRCA_TCGA-AC-A23E	2	7	0	0	2	4	0	0	9	0	0
BRCA_TCGA-AC-A23H	0	0	0	0	289	0	0	0	0	6089	0
BRCA_TCGA-AC-A2B8	0	0	0	0	9	24	0	0	0	95	0
BRCA_TCGA-AC-A2BK	0	18	0	15	4	0	10	0	63	0	0
BRCA_TCGA-AC-A2BM	0	4	5	3	0	0	0	0	7	2	5
BRCA_TCGA-AC-A2FB	0	2	0	0	0	6	4	0	0	5	0
BRCA_TCGA-AC-A2FF	0	0	0	0	0	5	0	0	0	6	0
BRCA_TCGA-AC-A2FG	0	6	0	0	3	9	0	0	11	10	0
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	0	3	0
BRCA_TCGA-AC-A2FO	2	0	0	0	3	8	0	0	0	14	0
BRCA_TCGA-AC-A2QH	0	10	0	5	0	0	0	6	0	6	0
BRCA_TCGA-AC-A3HN	0	3	0	5	1	0	0	0	7	3	3
BRCA_TCGA-AC-A3OD	4	0	0	7	6	15	0	0	0	7	0
BRCA_TCGA-AC-A3QP	0	3	0	0	3	0	5	0	24	0	0
BRCA_TCGA-AC-A3QQ	2	4	0	7	0	15	0	0	8	0	0
BRCA_TCGA-AC-A3W5	0	0	0	19	9	27	0	0	86	70	0
