	0	1	2	3	4	5	6	7	8	9
13000	[3.6795532174073937, 3.6795532174073937, 411.6892271984002, 0.8708333373069763, 0.0]	[3.6795517880117727, 3.6795517880117727, 411.67939551799674, 0.8708333373069763, 0.0]	[3.679552711403212, 3.679552711403212, 411.6347359497273, 0.8708333373069763, 0.0]	[3.714984809595876, 3.714984809595876, 554.1440861258985, 0.8333333134651184, 0.0]	[3.679551311401968, 3.679551311401968, 411.68807341705894, 0.8708333373069763, 0.0]	[3.679632209719638, 3.679632209719638, 412.4138276837575, 0.8700000047683716, 0.0]	[3.6795529355347565, 3.6795529355347565, 411.6708428944436, 0.8708333373069763, 0.0]	[3.6795519093796125, 3.6795519093796125, 411.67337597249434, 0.8708333373069763, 0.0]	[3.6795653871971314, 3.6795653871971314, 411.59240995052755, 0.8708333373069763, 0.0]	[3.67955214298103, 3.67955214298103, 411.6726923664805, 0.8708333373069763, 0.0]
14000	[3.6795529826447257, 3.6795529826447257, 411.6727212048505, 0.8708333373069763, 0.0]	[3.6795517310139485, 3.6795517310139485, 411.6792179094865, 0.8708333373069763, 0.0]	[3.679551750523355, 3.679551750523355, 411.6450632782836, 0.8708333373069763, 0.0]	[3.7149847229867423, 3.7149847229867423, 554.146299488465, 0.8333333134651184, 0.0]	[3.6795512718217416, 3.6795512718217416, 411.6882214623291, 0.8708333373069763, 0.0]	[3.679603755024041, 3.679603755024041, 412.1231902745697, 0.8708333373069763, 0.0]	[3.6795522494523536, 3.6795522494523536, 411.67835154887064, 0.8708333373069763, 0.0]	[3.679551839870371, 3.679551839870371, 411.67339139314316, 0.8708333373069763, 0.0]	[3.6795632435805468, 3.6795632435805468, 411.6345673085101, 0.8708333373069763, 0.0]	[3.679551845440759, 3.679551845440759, 411.6717368981893, 0.8708333373069763, 0.0]
15000	[3.6795528622349276, 3.6795528622349276, 411.66948442768546, 0.8708333373069763, 0.0]	[3.679551263965339, 3.679551263965339, 411.67428876143225, 0.8708333373069763, 0.0]	[3.6795515434720643, 3.6795515434720643, 411.66099620980333, 0.8708333373069763, 0.0]	[3.7149835189167497, 3.7149835189167497, 554.1038690967628, 0.8333333134651184, 0.0]	[3.679551253581665, 3.679551253581665, 411.6880138980921, 0.8708333373069763, 0.0]	[3.67959210246102, 3.67959210246102, 411.8597736855672, 0.8708333373069763, 0.0]	[3.679551969333713, 3.679551969333713, 411.67820196077093, 0.8708333373069763, 0.0]	[3.6795518026171425, 3.6795518026171425, 411.6730276986798, 0.8708333373069763, 0.0]	[3.6795627574035015, 3.6795627574035015, 411.631661562639, 0.8708333373069763, 0.0]	[3.6795517636227797, 3.6795517636227797, 411.6717445268304, 0.8708333373069763, 0.0]
16000	[3.6795524827508856, 3.6795524827508856, 411.6768457130757, 0.8708333373069763, 0.0]		[3.6795515241510413, 3.6795515241510413, 411.6644688628295, 0.8708333373069763, 0.0]			[3.6795898711962, 3.6795898711962, 411.7520278199755, 0.8708333373069763, 0.0]	[3.679551885228258, 3.679551885228258, 411.68052630471755, 0.8708333373069763, 0.0]		[3.6795589828089414, 3.6795589828089414, 411.6641729029831, 0.8708333373069763, 0.0]	[3.679551742721126, 3.679551742721126, 411.6713996908271, 0.8708333373069763, 0.0]
17000	[3.6795524184848274, 3.6795524184848274, 411.67651429278703, 0.8708333373069763, 0.0]		[3.6795515165031385, 3.6795515165031385, 411.66469548633023, 0.8708333373069763, 0.0]			[3.679560033001347, 3.679560033001347, 411.90734359297795, 0.8708333373069763, 0.0]	[3.6795517914904505, 3.6795517914904505, 411.67765113524365, 0.8708333373069763, 0.0]		[3.6795558055398434, 3.6795558055398434, 411.71424376510936, 0.8708333373069763, 0.0]	[3.679551731618338, 3.679551731618338, 411.6712150938008, 0.8708333373069763, 0.0]
18000	[3.6795522415447626, 3.6795522415447626, 411.6809842955836, 0.8708333373069763, 0.0]		[3.679551473149907, 3.679551473149907, 411.6687242196736, 0.8708333373069763, 0.0]			[3.6795584776745507, 3.6795584776745507, 411.8288876202099, 0.8708333373069763, 0.0]	[3.6795517788915455, 3.6795517788915455, 411.6768637163757, 0.8708333373069763, 0.0]		[3.679555318133151, 3.679555318133151, 411.7166567512429, 0.8708333373069763, 0.0]	[3.6795512474735816, 3.6795512474735816, 411.6714477747821, 0.8708333373069763, 0.0]
19000	[3.679552222871014, 3.679552222871014, 411.6804495592559, 0.8708333373069763, 0.0]		[3.679551378498544, 3.679551378498544, 411.6774563512455, 0.8708333373069763, 0.0]			[3.679557826762018, 3.679557826762018, 411.8124321495729, 0.8708333373069763, 0.0]	[3.6795517729171485, 3.6795517729171485, 411.6767414429306, 0.8708333373069763, 0.0]		[3.679554994623725, 3.679554994623725, 411.7057036267885, 0.8708333373069763, 0.0]	[3.679551244203929, 3.679551244203929, 411.67162761857423, 0.8708333373069763, 0.0]
20000	[3.6795522134587606, 3.6795522134587606, 411.6806729508173, 0.8708333373069763, 0.0]		[3.679551320455239, 3.679551320455239, 411.6784889378922, 0.8708333373069763, 0.0]			[3.679555354243638, 3.679555354243638, 411.7936813403381, 0.8708333373069763, 0.0]	[3.679551769260226, 3.679551769260226, 411.67660569186364, 0.8708333373069763, 0.0]		[3.6795546782839206, 3.6795546782839206, 411.6989860151873, 0.8708333373069763, 0.0]	[3.6795512424771366, 3.6795512424771366, 411.67159137936625, 0.8708333373069763, 0.0]
21000	[3.6795522102921634, 3.6795522102921634, 411.6807102361813, 0.8708333373069763, 0.0]					[3.6795545788297055, 3.6795545788297055, 411.7905495455918, 0.8708333373069763, 0.0]	[3.6795517618346967, 3.6795517618346967, 411.67314203178205, 0.8708333373069763, 0.0]		[3.679554662363083, 3.679554662363083, 411.70075204254204, 0.8708333373069763, 0.0]	[3.679551241474971, 3.679551241474971, 411.6715689729032, 0.8708333373069763, 0.0]
22000	[3.679552201770538, 3.679552201770538, 411.6807513075004, 0.8708333373069763, 0.0]					[3.679554476681981, 3.679554476681981, 411.77428656133554, 0.8708333373069763, 0.0]	[3.6795517608882538, 3.6795517608882538, 411.67264451412893, 0.8708333373069763, 0.0]		[3.679554204299814, 3.679554204299814, 411.6994540889533, 0.8708333373069763, 0.0]	[3.679551237124882, 3.679551237124882, 411.6719338522356, 0.8708333373069763, 0.0]
