Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_multinomial_train1.44	0.999999999999996	0.91	0.418	41.8%	0.057	44.789%	0.16663	0.787
EXO1_0_multinomial_train1.45	0.9999999999999956	0.892	0.456	45.6%	0.063	49.131%	0.18691	0.747
EXO1_0_multinomial_train1.46	0.9999999999999958	0.891	0.48	48.0%	0.063	49.034%	0.18529	0.743
EXO1_0_multinomial_train1.47	0.9999999999999962	0.895	0.45	45.0%	0.062	47.947%	0.17049	0.752
EXO1_0_multinomial_train1.48	0.9999999999999962	0.908	0.419	41.9%	0.058	44.482%	0.15445	0.782
EXO1_0_multinomial_train1.49	0.9999999999999959	0.903	0.466	46.6%	0.061	47.289%	0.18411	0.788
EXO1_0_multinomial_train1.50	0.9999999999999961	0.89	0.455	45.5%	0.063	49.249%	0.16835	0.741
EXO1_0_multinomial_train1.51	0.9999999999999959	0.9	0.439	43.9%	0.06	47.086%	0.1695	0.762
EXO1_0_multinomial_train1.52	0.9999999999999966	0.9	0.439	43.9%	0.06	47.416%	0.16949	0.758
EXO1_0_multinomial_train1.53	0.999999999999996	0.89	0.446	44.6%	0.064	48.907%	0.17946	0.745
EXO1_0_multinomial_train1.54	0.9999999999999956	0.886	0.45	45.0%	0.065	49.88%	0.19569	0.74
EXO1_0_multinomial_train1.55	0.9999999999999958	0.893	0.457	45.7%	0.062	48.432%	0.18167	0.746
EXO1_0_multinomial_train1.56	0.9999999999999963	0.896	0.459	45.9%	0.061	48.624%	0.17311	0.744
EXO1_0_multinomial_train1.57	0.9999999999999961	0.895	0.468	46.8%	0.062	49.233%	0.17731	0.754
EXO1_0_multinomial_train1.58	0.9999999999999953	0.913	0.426	42.6%	0.056	42.984%	0.15558	0.795
EXO1_0_multinomial_train1.59	0.9999999999999962	0.916	0.418	41.8%	0.055	42.851%	0.14625	0.804
EXO1_0_multinomial_train1.60	0.9999999999999962	0.896	0.458	45.8%	0.062	47.925%	0.18335	0.758
EXO1_0_multinomial_train1.61	0.9999999999999962	0.892	0.446	44.6%	0.062	48.437%	0.19426	0.744
EXO1_0_multinomial_train1.62	0.999999999999996	0.893	0.453	45.3%	0.062	49.298%	0.18213	0.741
EXO1_0_multinomial_train1.63	0.999999999999996	0.897	0.475	47.5%	0.062	48.791%	0.18015	0.761
EXO1_0_multinomial_train1.64	0.9999999999999962	0.911	0.44	44.0%	0.057	44.513%	0.16012	0.791
EXO1_0_multinomial_train1.65	0.9999999999999958	0.896	0.465	46.5%	0.062	48.351%	0.18033	0.76
EXO1_0_multinomial_train1.66	0.999999999999996	0.904	0.454	45.4%	0.059	45.688%	0.16985	0.774
EXO1_0_multinomial_train1.67	0.9999999999999959	0.891	0.481	48.1%	0.063	50.122%	0.18968	0.748
EXO1_0_multinomial_train1.68	0.9999999999999958	0.888	0.469	46.9%	0.065	48.912%	0.18588	0.751
EXO1_0_multinomial_train1.69	0.999999999999996	0.89	0.47	47.0%	0.063	50.056%	0.16906	0.732
EXO1_0_multinomial_train1.70	0.999999999999996	0.867	0.507	50.7%	0.07	53.823%	0.20535	0.694
EXO1_0_multinomial_train1.71	0.999999999999996	0.887	0.472	47.2%	0.064	48.821%	0.18949	0.736
EXO1_0_multinomial_train1.72	0.999999999999996	0.899	0.452	45.2%	0.061	47.564%	0.16543	0.767
EXO1_0_multinomial_train1.73	0.9999999999999962	0.9	0.443	44.3%	0.061	47.829%	0.15906	0.767
EXO1_0_multinomial_train1.74	0.999999999999996	0.895	0.463	46.3%	0.061	47.514%	0.17764	0.746
EXO1_0_multinomial_train1.75	0.9999999999999966	0.917	0.421	42.1%	0.055	43.021%	0.15998	0.809
EXO1_0_multinomial_train1.76	0.9999999999999959	0.902	0.431	43.1%	0.06	47.565%	0.16404	0.769
EXO1_0_multinomial_train1.77	0.9999999999999956	0.905	0.434	43.4%	0.059	44.621%	0.16555	0.781
EXO1_0_multinomial_train1.78	0.9999999999999961	0.893	0.473	47.3%	0.063	48.248%	0.18471	0.753
EXO1_0_multinomial_train1.79	0.9999999999999967	0.902	0.441	44.1%	0.06	46.17%	0.18094	0.772
EXO1_0_multinomial_train1.80	0.9999999999999963	0.916	0.413	41.3%	0.055	42.936%	0.15538	0.799
EXO1_0_multinomial_train1.81	0.999999999999996	0.903	0.439	43.9%	0.06	47.695%	0.17024	0.777
EXO1_0_multinomial_train1.82	0.9999999999999962	0.894	0.454	45.4%	0.062	48.096%	0.17746	0.752
EXO1_0_multinomial_train1.83	0.9999999999999962	0.902	0.45	45.0%	0.061	47.432%	0.17752	0.775
EXO1_0_multinomial_train1.84	0.9999999999999964	0.879	0.512	51.2%	0.066	50.492%	0.21112	0.719
EXO1_0_multinomial_train1.85	0.9999999999999962	0.889	0.462	46.2%	0.063	50.268%	0.17389	0.73
EXO1_0_multinomial_train1.86	0.999999999999996	0.9	0.444	44.4%	0.06	46.082%	0.1633	0.766
EXO1_0_multinomial_train1.87	0.9999999999999959	0.9	0.457	45.7%	0.061	47.538%	0.17261	0.767
