Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
PMS2_boot.7	0.9999999999999951	0.818	0.546	54.6%	0.093	57.985%	0.23943	0.674
PMS2_boot.8	0.9999999999999954	0.799	0.586	58.6%	0.099	60.645%	0.27331	0.646
PMS2_boot.9	0.9999999999999952	0.8	0.581	58.1%	0.097	60.62%	0.2698	0.636
PMS2_boot.10	0.9999999999999952	0.819	0.533	53.3%	0.093	57.495%	0.24943	0.679
PMS2_boot.11	0.9999999999999949	0.821	0.569	56.9%	0.091	57.114%	0.25345	0.673
PMS2_boot.12	0.9999999999999951	0.809	0.576	57.6%	0.096	58.891%	0.25819	0.661
PMS2_boot.13	0.9999999999999957	0.809	0.569	56.9%	0.097	59.068%	0.26041	0.666
PMS2_boot.14	0.9999999999999967	0.761	0.723	72.3%	0.113	64.687%	0.37117	0.602
PMS2_boot.15	0.9999999999999969	0.784	0.671	67.1%	0.109	62.15%	0.33747	0.647
PMS2_boot.16	0.9999999999999964	0.764	0.708	70.8%	0.113	64.457%	0.348	0.611
PMS2_boot.17	0.9999999999999961	0.768	0.709	70.9%	0.112	64.329%	0.37112	0.613
PMS2_boot.18	0.9999999999999963	0.774	0.693	69.3%	0.108	63.242%	0.35508	0.617
PMS2_boot.19	0.9999999999999969	0.787	0.701	70.1%	0.105	61.779%	0.35103	0.636
PMS2_boot.20	0.9999999999999962	0.762	0.726	72.6%	0.113	64.753%	0.37096	0.604
PMS2_boot.21	0.9999999999999966	0.788	0.676	67.6%	0.106	61.569%	0.33813	0.646
PMS2_boot.22	0.9999999999999969	0.756	0.686	68.6%	0.116	65.436%	0.33788	0.602
PMS2_boot.23	0.9999999999999964	0.768	0.712	71.2%	0.116	64.317%	0.36269	0.629
PMS2_boot.24	0.9999999999999962	0.743	0.724	72.4%	0.119	67.295%	0.37604	0.577
PMS2_boot.25	0.9999999999999966	0.776	0.671	67.1%	0.112	63.196%	0.31777	0.636
PMS2_boot.26	0.9999999999999967	0.774	0.683	68.3%	0.108	63.428%	0.3414	0.615
PMS2_boot.27	0.9999999999999964	0.784	0.707	70.7%	0.106	61.964%	0.34048	0.634
PMS2_boot.28	0.9999999999999968	0.774	0.7	70.0%	0.112	63.264%	0.35545	0.633
PMS2_boot.29	0.9999999999999968	0.788	0.688	68.8%	0.106	61.324%	0.33341	0.648
PMS2_boot.30	0.9999999999999967	0.759	0.723	72.3%	0.115	65.383%	0.36575	0.602
PMS2_boot.31	0.9999999999999964	0.785	0.692	69.2%	0.107	61.764%	0.33598	0.643
PMS2_boot.32	0.9999999999999964	0.771	0.689	68.9%	0.113	63.599%	0.33771	0.63
PMS2_boot.33	0.9999999999999958	0.77	0.709	70.9%	0.11	63.761%	0.35588	0.615
PMS2_boot.34	0.9999999999999963	0.775	0.676	67.6%	0.109	63.329%	0.32018	0.622
PMS2_boot.35	0.9999999999999953	0.786	0.659	65.9%	0.106	62.036%	0.31734	0.637
PMS2_boot.36	0.9999999999999958	0.772	0.651	65.1%	0.109	63.357%	0.32762	0.615
PMS2_boot.37	0.9999999999999958	0.771	0.659	65.9%	0.109	63.51%	0.32261	0.611
PMS2_boot.38	0.9999999999999956	0.779	0.648	64.8%	0.106	62.902%	0.33217	0.617
PMS2_boot.39	0.9999999999999957	0.773	0.676	67.6%	0.11	63.232%	0.34872	0.621
PMS2_boot.40	0.9999999999999958	0.765	0.669	66.9%	0.112	64.396%	0.34704	0.608
PMS2_boot.41	0.9999999999999958	0.757	0.675	67.5%	0.11	65.592%	0.33586	0.575
PMS2_boot.42	0.9999999999999958	0.783	0.635	63.5%	0.106	62.072%	0.30484	0.632
PMS2_boot.43	0.9999999999999957	0.761	0.676	67.6%	0.113	65.07%	0.33742	0.599
PMS2_boot.44	0.9999999999999961	0.768	0.658	65.8%	0.111	64.396%	0.33521	0.608
PMS2_boot.45	0.9999999999999961	0.756	0.649	64.9%	0.111	65.449%	0.32818	0.577
PMS2_boot.46	0.9999999999999956	0.756	0.691	69.1%	0.113	65.346%	0.3565	0.587
PMS2_boot.47	0.9999999999999961	0.766	0.665	66.5%	0.11	64.709%	0.33839	0.597
PMS2_real	0.9999999999999952	0.809	0.563	56.3%	0.095	58.967%	0.24114	0.657
PMS2_real.1	0.9999999999999968	0.78	0.677	67.7%	0.108	62.714%	0.3151	0.63
PMS2_real.2	0.9999999999999957	0.777	0.639	63.9%	0.107	63.058%	0.3014	0.618
