Signatures	Stability	Total Mutations
SBS96A	0.97	442
SBS96B	0.944	302
SBS96C	0.963	272
SBS96D	0.695	163
SBS96E	-0.012	115
SBS96F	0.027	107
SBS96G	0.92	88
SBS96H	0.719	74
SBS96I	0.339	63
SBS96J	0.14	51
SBS96K	0.018	46
SBS96L	0.636	39
SBS96M	0.019	33
SBS96N	0.046	30
SBS96O	0.07	27
SBS96P	0.073	27
SBS96Q	0.173	22
SBS96R	0.085	20
SBS96S	0.248	13
SBS96T	0.251	12
SBS96U	0.284	12
SBS96V	0.345	9
