Signatures	Stability	Total Mutations
SBS96A	0.955	402
SBS96B	0.96	259
SBS96C	0.913	238
SBS96D	0.089	184
SBS96E	0.744	177
SBS96F	0.874	106
SBS96G	0.053	89
SBS96H	0.023	86
SBS96I	0.518	84
SBS96J	0.247	84
SBS96K	0.197	72
SBS96L	0.096	45
SBS96M	0.58	39
SBS96N	0.092	31
SBS96O	0.122	28
SBS96P	-0.056	25
SBS96Q	0.247	18
