Samples	SBS96A	SBS96B	SBS96C
EXO1_0_multinomial_train1.26	0.6445365803066658	0.3554634196933342	5.5e-322
EXO1_0_multinomial_train1.27	0.6933955401288112	0.30660445987118873	4.84e-322
EXO1_0_multinomial_train1.28	0.6853113953699717	0.3146886046300282	5.3e-322
EXO1_0_multinomial_train1.29	0.7084526276757614	0.2915473723242385	4.8e-322
EXO1_0_multinomial_train1.30	0.6783611457477003	0.3216388542522996	4.84e-322
RNF168_0_multinomial_train1.39	0.7113559187395528	0.2886440812604471	6.8e-322
RNF168_0_multinomial_train1.40	0.964704361213364	0.03529563878663602	8.74e-322
EXO1_0_multinomial_train1.31	0.6243112447194108	0.37568875528058915	5.14e-322
EXO1_0_multinomial_train1.32	0.6708495076488625	0.3291504923511375	5.2e-322
EXO1_0_multinomial_train1.33	0.6734206326834931	0.32657936731650683	4.94e-322
RNF168_0_multinomial_train1.41	0.8760759533869876	0.12392404661301248	4.9e-322
RNF168_0_multinomial_train1.42	0.8183643358970192	0.18163566410298074	4.6e-322
EXO1_0_multinomial_train1.34	0.6693106388581194	0.33068936114188063	4.74e-322
RNF168_0_multinomial_train1.43	0.868010832574942	0.13198916742505795	5.14e-322
EXO1_0_multinomial_train1.35	0.7388868787507785	0.2611131212492216	4.74e-322
EXO1_0_multinomial_train1.36	0.6630174193400753	0.33698258065992465	5.2e-322
RNF168_0_multinomial_train1.44	0.8891892255370548	0.11081077446294534	6.13e-322
EXO1_0_multinomial_train1.37	0.6483135906111872	0.35168640938881274	5.4e-322
RNF168_0_multinomial_train1.45	0.8682650081822456	0.13173499181775453	5e-322
RNF168_0_multinomial_train1.46	0.8115142513714353	0.1884857486285647	5.73e-322
RNF168_0_multinomial_train1.47	0.7446564185488249	0.255343581451175	3.36e-322
RNF168_0_multinomial_train1.48	0.8035177494415341	0.19648225055846605	3.6e-322
RNF168_0_multinomial_train1.49	0.7887878613297665	0.2112121386702335	6.4e-322
RNF168_0_multinomial_train1.50	0.7024438371191511	0.29755616288084885	5.7e-322
EXO1_0_multinomial_train1.38	0.7508512255336244	0.24914877446637557	4.7e-322
RNF168_0_multinomial_train1.51	0.7725992424612602	0.22740075753873965	3.66e-322
RNF168_0_multinomial_train1.52	0.6940460952127309	0.305953904787269	6.5e-322
EXO1_0_multinomial_train1.39	0.6530122143351392	0.34698778566486077	6.87e-322
EXO1_0_multinomial_train1.40	0.6657781376097294	0.3342218623902706	7.66e-322
RNF168_0_multinomial_train1.53	0.8613901966383406	0.1386098033616594	5.8e-322
EXO1_0_multinomial_train1.41	0.5987936213986238	0.40120637860137615	5.04e-322
EXO1_0_multinomial_train1.42	0.696433233838158	0.3035667661618419	4.9e-322
RNF168_0_multinomial_train1.54	0.9511194727484744	0.04888052725152573	6.6e-322
OGG1_0_multinomial_train1	5.4e-322	4.2e-322	1.0
UNG_0_multinomial_train1	0.5148972118500795	0.41647000276847024	0.06863278538145008
UNG_0_multinomial_train1.1	0.6064421549386141	0.27099817790489744	0.12255966715648846
UNG_0_multinomial_train1.2	0.740428540420431	0.22627595113095114	0.03329550844861777
OGG1_0_multinomial_train1.1	5.73e-322	8.94e-322	0.9999999999999999
UNG_0_multinomial_train1.3	0.6787221447947518	0.27814858556187794	0.04312926964337033
OGG1_0_multinomial_train1.2	4.5e-322	7.07e-322	1.0
OGG1_0_multinomial_train1.3	3.75e-322	3.9e-322	1.0
UNG_0_multinomial_train1.4	0.7629213938323798	0.2138912485365754	0.02318735763104491
UNG_0_multinomial_train1.5	0.7690669811400519	0.23093301885994805	8.158066506428035e-168
OGG1_0_multinomial_train1.4	3e-322	1.9e-322	1.0
OGG1_0_multinomial_train1.5	4.25e-322	6.6e-322	1.0
UNG_0_multinomial_train1.6	0.5831703491086989	0.3953963417873462	0.02143330910395477
UNG_0_multinomial_train1.7	0.35884648323255175	0.35532178151199784	0.2858317352554502
UNG_0_multinomial_train1.8	0.768475340394961	0.23152465960503898	2.1163405112385648e-66
OGG1_0_multinomial_train1.6	4.15e-322	6.5e-322	1.0
UNG_0_multinomial_train1.9	0.7252314990382313	0.27476850096176864	7.124629071710701e-32
OGG1_0_multinomial_train1.7	4.6e-322	4.1e-322	1.0
UNG_0_multinomial_train1.10	0.8426034606047255	0.1573965393952745	1.5488832340257465e-244
OGG1_0_multinomial_train1.8	6e-322	4.64e-322	1.0
UNG_0_multinomial_train1.11	0.8262528027383678	0.1737471972616321	6.7961345204928e-17
OGG1_0_multinomial_train1.9	5.4e-322	4.2e-322	1.0
OGG1_0_multinomial_train1.10	5.24e-322	4.1e-322	1.0
OGG1_0_multinomial_train1.11	3.9e-322	4.05e-322	0.9999999999999999
UNG_0_multinomial_train1.12	0.7252534166778545	0.2747465833221455	7.6e-322
UNG_0_multinomial_train1.13	0.7685729877848024	0.2288343635506288	0.002592648664568684
UNG_0_multinomial_train1.14	0.6959614253230668	0.30403857467693324	9.7e-322
OGG1_0_multinomial_train1.12	3.95e-322	4.15e-322	0.9999999999999999
OGG1_0_multinomial_train1.13	5.7e-322	6.67e-322	0.9999999999999999
UNG_0_multinomial_train1.15	0.6405655455965145	0.27882406932270615	0.08061038508077939
UNG_0_multinomial_train1.16	0.6745949747493503	0.22112094074746746	0.10428408450318222
UNG_0_multinomial_train1.17	0.6974765190760932	0.23717706256281434	0.0653464183610926
OGG1_0_multinomial_train1.14	4.25e-322	3.8e-322	1.0
