Signatures	Stability	Total Mutations
SBS96A	0.8853488970815613	398
SBS96B	0.6996960100223827	339
SBS96C	0.9977704384971088	327
SBS96D	0.9906373072276439	278
SBS96E	0.966332342772095	271
SBS96F	0.892819143043817	255
SBS96G	0.9950626728230749	239
SBS96H	0.9328352312971514	238
SBS96I	0.022807949585851618	227
SBS96J	0.17159961424277326	139
SBS96K	-0.82436521228448	84
