Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_dirichlet_train_fold1.41	0.9999999999999986	0.901	0.728	72.8%	0.117	43.305%	0.61713	0.883
ATP2B4_dirichlet_train_fold1.42	0.9999999999999981	0.908	0.744	74.4%	0.111	42.367%	0.61556	0.891
ATP2B4_dirichlet_train_fold1.43	0.9999999999999991	0.883	0.802	80.2%	0.133	47.263%	0.63896	0.864
ATP2B4_dirichlet_train_fold1.44	0.9999999999999989	0.92	0.644	64.4%	0.112	39.73%	0.63087	0.907
ATP2B4_dirichlet_train_fold1.45	0.9999999999999989	0.802	0.915	91.5%	0.159	59.859%	0.7491	0.763
ATP2B4_dirichlet_train_fold1.46	0.9999999999999989	0.916	0.697	69.7%	0.131	40.465%	0.68674	0.906
ATP2B4_dirichlet_train_fold1.47	0.9999999999999987	0.875	0.711	71.1%	0.118	48.229%	0.64457	0.846
ATP2B4_dirichlet_train_fold1.48	0.9999999999999977	0.935	0.653	65.3%	0.101	35.579%	0.49092	0.925
ATP2B4_dirichlet_train_fold1.49	0.9999999999999986	0.95	0.545	54.5%	0.087	31.384%	0.41842	0.942
ATP2B4_dirichlet_train_fold1.50	0.9999999999999978	0.867	0.766	76.6%	0.156	50.243%	0.5773	0.851
ATP2B4_dirichlet_train_fold1.51	0.9999999999999992	0.768	0.937	93.7%	0.187	64.138%	0.88856	0.73
ATP2B4_dirichlet_train_fold1.52	0.9999999999999987	0.909	0.747	74.7%	0.107	41.901%	0.55843	0.891
ATP2B4_dirichlet_train_fold1.53	0.9999999999999989	0.936	0.573	57.3%	0.098	35.374%	0.55893	0.925
ATP2B4_dirichlet_train_fold1.54	0.9999999999999989	0.905	0.732	73.2%	0.121	42.522%	0.59852	0.891
ATP2B4_dirichlet_train_fold1.55	0.9999999999999978	0.911	0.653	65.3%	0.107	41.23%	0.59803	0.894
ATP2B4_dirichlet_train_fold1.56	0.9999999999999989	0.926	0.665	66.5%	0.097	37.715%	0.56146	0.912
ATP2B4_dirichlet_train_fold1.57	0.9999999999999981	0.952	0.577	57.7%	0.097	30.649%	0.43041	0.946
ATP2B4_dirichlet_train_fold1.58	0.999999999999998	0.968	0.524	52.4%	0.083	26.241%	0.43847	0.965
ATP2B4_dirichlet_train_fold1.59	0.999999999999999	0.89	0.7	70.0%	0.13	45.791%	0.64119	0.873
ATP2B4_dirichlet_train_fold1.60	0.9999999999999991	0.939	0.599	59.9%	0.104	34.245%	0.51723	0.931
ATP2B4_dirichlet_train_fold1.61	0.9999999999999976	0.944	0.612	61.2%	0.101	33.036%	0.53334	0.936
ATP2B4_dirichlet_train_fold1.62	0.9999999999999988	0.808	0.876	87.6%	0.152	58.809%	0.70548	0.767
ATP2B4_dirichlet_train_fold1.63	0.9999999999999979	0.954	0.563	56.3%	0.091	30.658%	0.35862	0.948
ATP2B4_dirichlet_train_fold1.64	0.9999999999999989	0.907	0.714	71.4%	0.121	42.23%	0.55527	0.893
ATP2B4_dirichlet_train_fold1.65	0.9999999999999978	0.952	0.511	51.1%	0.084	30.91%	0.3876	0.943
ATP2B4_dirichlet_train_fold1.66	0.9999999999999978	0.871	0.669	66.9%	0.131	49.248%	0.55934	0.847
ATP2B4_dirichlet_train_fold1.67	0.999999999999998	0.929	0.717	71.7%	0.116	38.11%	0.54	0.921
ATP2B4_dirichlet_train_fold1.68	0.999999999999998	0.964	0.565	56.5%	0.084	26.619%	0.43723	0.959
ATP2B4_dirichlet_train_fold1.69	0.9999999999999982	0.902	0.731	73.1%	0.127	42.949%	0.5868	0.888
ATP2B4_dirichlet_train_fold1.70	0.9999999999999989	0.863	0.747	74.7%	0.124	50.367%	0.64173	0.832
ATP2B4_dirichlet_train_fold1.71	0.9999999999999989	0.91	0.672	67.2%	0.114	41.429%	0.60547	0.895
ATP2B4_dirichlet_train_fold1.72	0.9999999999999972	0.898	0.727	72.7%	0.118	44.153%	0.5168	0.879
ATP2B4_dirichlet_train_fold1.73	0.9999999999999977	0.938	0.577	57.7%	0.124	35.391%	10.75875	0.933
ATP2B4_dirichlet_train_fold1.74	0.9999999999999977	0.91	0.625	62.5%	0.111	42.306%	0.44301	0.894
ATP2B4_dirichlet_train_fold1.75	0.9999999999999988	0.9	0.705	70.5%	0.114	43.77%	0.66791	0.881
ATP2B4_dirichlet_train_fold1.76	0.9999999999999989	0.952	0.605	60.5%	0.085	30.626%	0.49642	0.945
ATP2B4_dirichlet_train_fold1.77	0.999999999999998	0.958	0.495	49.5%	0.079	29.032%	0.40108	0.951
ATP2B4_dirichlet_train_fold1.78	0.9999999999999989	0.909	0.662	66.2%	0.115	41.536%	0.59412	0.894
ATP2B4_dirichlet_train_fold1.79	0.9999999999999978	0.935	0.625	62.5%	0.098	35.538%	0.49629	0.925
ATP2B4_dirichlet_train_fold1.80	0.9999999999999979	0.923	0.635	63.5%	0.108	38.689%	0.49948	0.91
ATP2B4_dirichlet_train_fold1.81	0.9999999999999992	0.913	0.688	68.8%	0.1	40.872%	0.57657	0.894
ATP2B4_dirichlet_train_fold1.82	0.9999999999999972	0.898	0.668	66.8%	0.106	44.182%	0.59323	0.874
ATP2B4_dirichlet_train_fold1.83	0.999999999999999	0.913	0.724	72.4%	0.114	41.506%	0.69801	0.899
ATP2B4_dirichlet_train_fold1.84	0.9999999999999988	0.866	0.781	78.1%	0.142	50.165%	0.65592	0.844
ATP2B4_dirichlet_train_fold1.85	0.9999999999999988	0.82	0.895	89.5%	0.13	58.297%	0.76089	0.768
ATP2B4_dirichlet_train_fold1.86	0.9999999999999989	0.888	0.747	74.7%	0.117	46.151%	0.63728	0.865
ATP2B4_dirichlet_train_fold1.87	0.9999999999999991	0.884	0.77	77.0%	0.126	46.696%	0.75258	0.863
ATP2B4_dirichlet_train_fold1.88	0.9999999999999991	0.843	0.781	78.1%	0.149	54.556%	0.69381	0.817
ATP2B4_dirichlet_train_fold1.89	0.999999999999998	0.93	0.631	63.1%	0.103	36.861%	0.58983	0.919
ATP2B4_dirichlet_train_fold1.90	0.9999999999999989	0.842	0.801	80.1%	0.134	54.095%	0.67763	0.806
ATP2B4_dirichlet_train_fold1.91	0.9999999999999989	0.92	0.653	65.3%	0.119	39.568%	0.5264	0.909
ATP2B4_dirichlet_train_fold1.92	0.9999999999999973	0.715	0.829	82.9%	0.195	69.768%	0.68002	0.66
ATP2B4_dirichlet_train_fold1.93	0.9999999999999978	0.962	0.48	48.0%	0.086	27.777%	0.37476	0.957
ATP2B4_dirichlet_train_fold1.94	0.999999999999999	0.902	0.679	67.9%	0.116	43.073%	0.54126	0.885
ATP2B4_dirichlet_train_fold1.95	0.9999999999999976	0.912	0.66	66.0%	0.108	41.175%	0.48915	0.895
ATP2B4_dirichlet_train_fold1.96	0.9999999999999972	0.945	0.582	58.2%	0.095	33.762%	0.45373	0.937
ATP2B4_dirichlet_train_fold1.97	0.9999999999999991	0.911	0.64	64.0%	0.11	41.166%	0.52996	0.895
RNF168_dirichlet_train_fold1	0.9999999999999997	0.839	0.633	63.3%	0.096	54.808%	0.3668	0.746
RNF168_dirichlet_train_fold1.1	0.9999999999999996	0.741	0.803	80.3%	0.114	67.003%	0.52738	0.546
RNF168_dirichlet_train_fold1.2	0.9999999999999996	0.742	0.736	73.6%	0.11	67.436%	0.54061	0.516
RNF168_dirichlet_train_fold1.3	0.9999999999999994	0.833	0.685	68.5%	0.1	55.33%	0.42142	0.742
RNF168_dirichlet_train_fold1.4	0.9999999999999996	0.818	0.733	73.3%	0.095	57.593%	0.46068	0.681
RNF168_dirichlet_train_fold1.5	0.9999999999999996	0.801	0.69	69.0%	0.1	60.466%	0.43044	0.659
RNF168_dirichlet_train_fold1.6	0.9999999999999994	0.748	0.75	75.0%	0.119	66.415%	0.46875	0.59
EXO1_dirichlet_train_fold1	0.999999999999996	0.818	0.674	67.4%	0.092	58.103%	0.43297	0.665
EXO1_dirichlet_train_fold1.1	0.9999999999999954	0.814	0.611	61.1%	0.084	58.46%	0.35571	0.58
EXO1_dirichlet_train_fold1.2	0.9999999999999958	0.78	0.648	64.8%	0.1	62.934%	0.38692	0.58
RNF168_dirichlet_train_fold1.7	0.9999999999999996	0.804	0.675	67.5%	0.095	59.4%	0.3931	0.635
EXO1_dirichlet_train_fold1.3	0.9999999999999962	0.665	0.83	83.0%	0.12	76.233%	0.59126	0.323
RNF168_dirichlet_train_fold1.8	0.9999999999999996	0.764	0.782	78.2%	0.122	64.492%	0.54736	0.642
EXO1_dirichlet_train_fold1.4	0.9999999999999956	0.673	0.726	72.6%	0.125	74.955%	0.56275	0.398
EXO1_dirichlet_train_fold1.5	0.9999999999999954	0.717	0.759	75.9%	0.106	70.796%	0.48619	0.381
EXO1_dirichlet_train_fold1.6	0.999999999999996	0.867	0.594	59.4%	0.08	49.662%	0.327	0.766
EXO1_dirichlet_train_fold1.7	0.9999999999999957	0.779	0.695	69.5%	0.1	62.52%	0.42153	0.58
RNF168_dirichlet_train_fold1.9	0.9999999999999996	0.796	0.734	73.4%	0.107	60.867%	0.54649	0.675
RNF168_dirichlet_train_fold1.10	0.9999999999999996	0.73	0.809	80.9%	0.12	69.457%	0.55554	0.554
EXO1_dirichlet_train_fold1.8	0.9999999999999958	0.786	0.692	69.2%	0.105	61.675%	0.41944	0.637
EXO1_dirichlet_train_fold1.9	0.9999999999999956	0.732	0.727	72.7%	0.112	68.657%	0.46415	0.508
RNF168_dirichlet_train_fold1.11	0.9999999999999996	0.798	0.684	68.4%	0.099	60.197%	0.42905	0.64
EXO1_dirichlet_train_fold1.10	0.9999999999999954	0.797	0.651	65.1%	0.094	60.784%	0.38843	0.598
EXO1_dirichlet_train_fold1.11	0.9999999999999961	0.733	0.812	81.2%	0.111	68.704%	0.50161	0.493
EXO1_dirichlet_train_fold1.12	0.9999999999999948	0.73	0.773	77.3%	0.104	69.464%	0.44559	0.411
RNF168_dirichlet_train_fold1.12	0.9999999999999997	0.877	0.647	64.7%	0.089	48.224%	0.39811	0.817
RNF168_dirichlet_train_fold1.13	0.9999999999999996	0.794	0.682	68.2%	0.107	61.084%	0.47458	0.669
EXO1_dirichlet_train_fold1.13	0.999999999999996	0.816	0.674	67.4%	0.091	58.423%	0.43103	0.657
EXO1_dirichlet_train_fold1.14	0.9999999999999958	0.775	0.767	76.7%	0.113	64.25%	0.53772	0.642
EXO1_dirichlet_train_fold1.15	0.9999999999999958	0.744	0.75	75.0%	0.11	66.919%	0.52925	0.531
EXO1_dirichlet_train_fold1.16	0.999999999999996	0.748	0.713	71.3%	0.105	66.769%	0.46314	0.498
RNF168_dirichlet_train_fold1.14	0.9999999999999997	0.787	0.693	69.3%	0.107	61.699%	0.45415	0.646
RNF168_dirichlet_train_fold1.15	0.9999999999999996	0.805	0.707	70.7%	0.099	59.95%	0.46934	0.663
RNF168_dirichlet_train_fold1.16	0.9999999999999996	0.845	0.679	67.9%	0.089	53.747%	0.40745	0.734
RNF168_dirichlet_train_fold1.17	0.9999999999999996	0.847	0.616	61.6%	0.085	52.812%	0.37294	0.727
