Signatures	Stability	Total Mutations
SBS96A	0.968	353
SBS96B	0.943	312
SBS96C	0.906	308
SBS96D	0.468	180
SBS96E	0.023	150
SBS96F	0.019	79
SBS96G	0.034	77
SBS96H	0.592	73
SBS96I	0.093	71
SBS96J	0.873	63
SBS96K	0.074	60
SBS96L	0.21	55
SBS96M	0.074	39
SBS96N	0.076	36
SBS96O	0.532	32
SBS96P	0.088	25
SBS96Q	0.101	22
SBS96R	0.14	20
SBS96S	0.438	12
