	0	1	2	3	4	5	6	7	8	9
48000						[3.1909685486326955, 2.7671733055407457, 4.237952430919496, 1.0, 0.0]				
49000						[3.190955092084058, 2.767156023129157, 4.237990689549006, 1.0, 0.0]				
50000						[3.1909677665971956, 2.7671361448779748, 4.238316217192209, 1.0, 0.0]				
51000						[3.190955555708393, 2.7671111054047683, 4.238444503036245, 1.0, 0.0]				
52000						[3.190943275196779, 2.767097094636659, 4.238461805601199, 1.0, 0.0]				
53000						[3.190942910183986, 2.7670868202865364, 4.238560898974497, 1.0, 0.0]				
54000						[3.1909263025600785, 2.767078050762391, 4.238482517976873, 1.0, 0.0]				
55000						[3.1909311815113686, 2.7670664723541845, 4.238647091571841, 1.0, 0.0]				
56000						[3.190934068101454, 2.767057735316478, 4.238763327849764, 1.0, 0.0]				
57000						[3.190935150591573, 2.767048996479948, 4.238861541116252, 1.0, 0.0]				
58000						[3.1909274028787706, 2.7670439757787846, 4.238834270999858, 1.0, 0.0]				
59000						[3.1909285354627905, 2.7670374591781473, 4.238910762846433, 1.0, 0.0]				
60000						[3.190930838279655, 2.7670300613383274, 4.239007769413275, 1.0, 0.0]				
61000						[3.190938248530064, 2.7670219133969525, 4.239163351331115, 1.0, 0.0]				
62000						[3.1909399329504917, 2.767013466683516, 4.239264662669756, 1.0, 0.0]				
63000						[3.1909485067243577, 2.767003712735051, 4.239447939893069, 1.0, 0.0]				
64000						[3.1909446466317255, 2.7669975154381454, 4.2394713119358, 1.0, 0.0]				
65000						[3.1909408754308886, 2.7669919571185497, 4.239489183123387, 1.0, 0.0]				
66000						[3.190951093592237, 2.7669828173542617, 4.239682762379752, 1.0, 0.0]				
67000						[3.1909517338882734, 2.7669734258644283, 4.23978308023845, 1.0, 0.0]				
68000						[3.1909486414177533, 2.766961737784618, 4.239869036331353, 1.0, 0.0]				
69000						[3.190941872856665, 2.7669557173251085, 4.239861555315565, 1.0, 0.0]				
70000						[3.190937989874624, 2.7669513311085074, 4.239866587661167, 1.0, 0.0]				
71000						[3.190939802236037, 2.76694612514988, 4.239936770861566, 1.0, 0.0]				
72000						[3.1909500031889473, 2.7669373205038825, 4.240126826850648, 1.0, 0.0]				
73000						[3.1909530444491514, 2.766929512476002, 4.240235319731495, 1.0, 0.0]				
74000						[3.1909514234661147, 2.7669243155301353, 4.240271079359792, 1.0, 0.0]				
75000						[3.1909475533635923, 2.766920649078035, 4.240269042855571, 1.0, 0.0]				
76000						[3.190943919285715, 2.7669188902685646, 4.2402502901715025, 1.0, 0.0]				
77000						[3.190941614644538, 2.7669180428548046, 4.240235717897333, 1.0, 0.0]				
78000						[3.1909425712925743, 2.766916346774097, 4.240262245184772, 1.0, 0.0]				
79000						[3.1909443845297814, 2.766913603047717, 4.240307814820645, 1.0, 0.0]				
80000						[3.1909391838639714, 2.7669129450739, 4.240262387900713, 1.0, 0.0]				
81000						[3.1909458073940917, 2.7669098195113997, 4.24035987882692, 1.0, 0.0]				
82000						[3.1909446207803818, 2.7669064196002053, 4.240382011801765, 1.0, 0.0]				
83000						[3.1909433541873757, 2.7669037255575826, 4.24039628629793, 1.0, 0.0]				
84000						[3.1909436353153025, 2.766902145082079, 4.240414902332233, 1.0, 0.0]				
85000						[3.1909436788135133, 2.7669011847322085, 4.240424940813048, 1.0, 0.0]				
86000						[3.190941881146094, 2.7668997452706092, 4.240421358754846, 1.0, 0.0]				
87000						[3.1909471052606064, 2.766897690547475, 4.240494147131316, 1.0, 0.0]				
88000						[3.1909491968954047, 2.7668944737837755, 4.2405472311162935, 1.0, 0.0]				
89000						[3.190950381398125, 2.766891130445166, 4.2405925095295895, 1.0, 0.0]				
90000						[3.190953309893266, 2.7668835335099997, 4.240697763832664, 1.0, 0.0]				
91000						[3.190947353329249, 2.766881190130264, 4.240661631989849, 1.0, 0.0]				
92000						[3.1909459293026226, 2.766879293723079, 4.240666355795435, 1.0, 0.0]				
93000						[3.190944680980576, 2.7668776623542555, 4.240670186263204, 1.0, 0.0]				
94000						[3.1909458270335502, 2.7668767171266624, 4.240691099068879, 1.0, 0.0]				
95000						[3.190951052484757, 2.7668755113597854, 4.240755411249715, 1.0, 0.0]				
