Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-A1-A0SI	3	1	15	3	1	4	1	5	0	1	4	0	1	50	172	11	0	0	0	5	0	1
BRCA_TCGA-A1-A0SJ	0	6	0	2	1	5	0	0	2	0	1	0	0	4	6	0	0	2	4	1	6	0
BRCA_TCGA-A1-A0SK	1	3	3	12	0	1	0	0	2	0	2	0	9	2	2	3	6	0	23	3	9	3
BRCA_TCGA-A1-A0SM	1	3	4	0	0	4	1	0	1	2	0	1	0	0	0	0	8	0	1	2	0	4
BRCA_TCGA-A1-A0SN	1	5	7	2	3	5	0	0	0	0	0	0	5	4	18	0	8	1	12	3	0	2
BRCA_TCGA-A1-A0SO	16	4	5	12	2	1	13	0	17	4	7	39	29	10	19	8	0	6	84	12	30	35
BRCA_TCGA-A1-A0SP	0	6	0	3	0	5	1	0	13	1	1	1	8	7	0	3	0	0	17	1	1	2
BRCA_TCGA-A2-A04N	0	2	6	3	0	4	4	0	2	0	1	6	6	3	3	2	3	1	1	2	2	2
BRCA_TCGA-A2-A04R	5	4	3	4	2	0	6	1	1	3	1	15	6	4	7	0	0	3	23	4	2	8
BRCA_TCGA-A2-A04U	0	3	4	9	0	0	2	2	1	2	3	0	4	2	3	0	2	3	11	0	7	9
BRCA_TCGA-A2-A04W	0	7	18	0	0	7	0	1	7	4	6	0	4	31	88	5	0	1	0	1	7	0
BRCA_TCGA-A2-A0CK	0	3	1	5	0	3	1	0	0	0	1	2	0	4	1	2	2	0	0	0	2	0
BRCA_TCGA-A2-A0CL	0	4	13	9	0	8	0	4	0	0	2	0	0	30	102	15	0	1	0	10	0	2
BRCA_TCGA-A2-A0CR	0	0	9	3	0	3	0	9	0	1	0	0	0	44	107	26	0	0	0	0	0	8
BRCA_TCGA-A2-A0CS	0	6	2	5	0	3	0	0	5	0	2	2	2	0	0	1	4	0	2	2	11	1
