Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q	SBS96R	SBS96S	SBS96T	SBS96U	SBS96V
BRCA_TCGA-AR-A1AL	0	2	1	1	0	2	0	0	0	1	6	1	1	4	4	3	0	0	0	0	3	1
BRCA_TCGA-AR-A1AN	0	4	2	7	0	0	0	0	2	2	0	0	0	2	4	0	1	0	4	0	2	1
BRCA_TCGA-AR-A1AO	1	4	6	5	0	3	0	3	5	2	3	8	3	10	19	5	0	4	34	1	6	0
BRCA_TCGA-AR-A1AP	1	5	4	7	4	5	0	0	0	2	0	0	2	6	7	0	1	1	0	0	4	2
BRCA_TCGA-AR-A1AQ	0	3	1	1	0	7	0	0	8	0	5	0	0	2	2	2	0	0	8	0	2	0
BRCA_TCGA-AR-A1AR	2	6	0	3	0	3	0	0	0	2	0	1	9	2	8	0	2	4	3	0	14	4
BRCA_TCGA-AR-A1AS	1	4	3	1	1	0	0	1	4	0	0	0	0	7	6	5	1	0	2	0	3	2
BRCA_TCGA-AR-A1AT	0	2	1	0	1	6	0	2	1	0	2	1	2	0	1	4	1	0	8	0	0	0
BRCA_TCGA-AR-A1AU	0	3	0	5	0	0	0	0	1	2	2	0	0	5	0	0	0	0	6	0	1	1
BRCA_TCGA-AR-A1AV	1	7	3	6	0	1	0	2	0	0	3	0	3	8	1	1	0	0	3	2	6	2
BRCA_TCGA-AR-A1AW	1	3	0	1	6	5	0	2	0	1	4	0	3	2	2	0	2	0	4	0	1	4
BRCA_TCGA-AR-A1AX	0	2	4	2	0	1	0	0	3	0	1	0	2	5	0	0	3	0	0	0	6	3
BRCA_TCGA-AR-A1AY	1	3	3	7	3	5	0	1	4	0	6	2	6	8	9	0	0	0	8	2	2	2
BRCA_TCGA-AR-A24H	8	3	1	7	1	3	0	1	8	0	4	6	16	3	23	9	4	0	39	2	2	12
BRCA_TCGA-AR-A24K	0	1	2	3	0	0	3	0	5	3	0	0	3	0	0	1	4	0	5	0	4	0
BRCA_TCGA-AR-A24L	0	2	0	1	3	1	0	0	1	2	0	0	5	1	6	0	4	1	18	4	2	2
BRCA_TCGA-AR-A24M	0	2	0	2	0	0	1	0	1	0	6	4	0	0	0	3	1	0	0	3	1	1
BRCA_TCGA-AR-A24N	0	3	1	5	1	5	1	0	3	1	0	0	4	4	2	10	0	0	2	2	1	2
BRCA_TCGA-AR-A24O	1	0	0	5	2	3	0	0	3	0	1	1	0	0	1	0	2	0	2	0	1	0
BRCA_TCGA-AR-A24P	0	2	2	2	0	0	0	0	2	2	0	2	3	0	0	0	0	0	1	0	1	2
BRCA_TCGA-AR-A24Q	4	5	4	2	3	3	3	5	19	4	6	13	8	18	25	6	7	2	68	11	0	16
BRCA_TCGA-AR-A24R	0	3	1	3	0	4	1	1	1	0	4	0	4	0	1	1	0	0	2	0	0	0
BRCA_TCGA-AR-A24S	1	4	2	6	0	4	1	0	0	5	0	2	3	5	6	4	7	0	3	0	0	4
BRCA_TCGA-AR-A24T	0	2	2	4	0	3	0	0	0	0	1	0	2	1	2	0	2	0	0	2	3	0
BRCA_TCGA-AR-A24U	0	4	3	4	0	0	0	0	2	0	0	2	1	8	13	0	0	0	0	3	0	4
BRCA_TCGA-AR-A24V	0	3	3	1	0	5	0	0	0	1	2	0	0	1	4	0	0	0	2	2	0	4
BRCA_TCGA-AR-A24W	0	1	1	0	0	0	0	0	3	0	0	0	3	2	0	0	0	0	0	0	2	2
BRCA_TCGA-AR-A24X	0	3	4	3	2	0	0	0	0	1	3	2	1	1	0	0	2	1	0	0	11	0
BRCA_TCGA-AR-A24Z	0	3	2	3	0	5	0	1	6	0	1	0	1	3	4	1	2	0	9	0	13	2
BRCA_TCGA-AR-A250	3	9	12	10	2	10	2	0	5	2	0	3	9	9	56	0	4	0	6	0	11	2
BRCA_TCGA-AR-A251	5	4	0	2	4	7	2	0	0	0	11	15	19	3	33	7	9	2	64	0	8	10
BRCA_TCGA-AR-A252	0	2	0	1	1	6	0	0	1	0	2	0	0	1	0	0	5	0	0	0	0	0
BRCA_TCGA-AR-A254	1	3	4	6	2	3	0	0	1	0	0	1	0	5	2	1	0	0	3	0	5	5
BRCA_TCGA-AR-A255	6	2	6	2	0	7	0	1	5	1	3	3	1	4	25	6	2	0	0	0	12	3
BRCA_TCGA-AR-A256	3	5	5	3	2	4	3	3	8	5	6	3	20	19	18	3	4	5	68	6	19	12
BRCA_TCGA-AR-A2LE	2	1	29	3	0	2	0	10	6	0	0	0	0	127	171	31	0	0	0	7	1	4
BRCA_TCGA-AR-A2LH	0	3	6	2	0	1	1	1	0	1	0	2	0	22	21	5	0	0	0	0	0	6
BRCA_TCGA-AR-A2LK	0	5	2	6	0	6	5	0	2	3	0	0	1	7	0	0	0	0	2	0	7	2
BRCA_TCGA-AR-A2LL	3	0	2	12	0	3	0	0	1	0	1	1	6	1	0	1	1	0	5	0	0	0
BRCA_TCGA-AR-A2LM	0	0	2	1	0	0	0	0	0	0	2	0	1	1	0	0	2	0	5	0	3	0
BRCA_TCGA-AR-A2LN	0	2	5	2	0	4	1	1	0	3	0	0	1	18	8	4	0	0	0	1	0	4
BRCA_TCGA-AR-A2LO	0	1	1	1	0	1	0	0	0	0	0	0	0	1	2	0	0	2	3	0	0	5
BRCA_TCGA-AR-A2LQ	0	1	0	1	0	2	0	0	0	0	1	0	3	0	0	0	2	0	2	0	1	0
BRCA_TCGA-AR-A2LR	1	6	3	4	1	1	0	5	3	2	0	3	12	2	2	0	0	0	8	1	15	1
BRCA_TCGA-AR-A5QM	0	3	2	5	0	1	3	0	1	0	2	1	6	1	0	0	0	0	2	0	6	3
BRCA_TCGA-AR-A5QN	0	6	4	3	4	8	0	0	1	2	0	0	5	4	2	2	5	0	0	0	1	2
BRCA_TCGA-AR-A5QP	1	2	2	6	1	1	0	0	2	4	1	0	4	4	1	0	2	0	2	0	0	1
BRCA_TCGA-AR-A5QQ	1	2	1	2	6	8	0	1	5	6	5	0	7	3	9	0	9	3	20	1	2	5
BRCA_TCGA-B6-A0I1	0	1	5	15	0	0	0	0	5	3	0	1	2	5	2	0	3	0	21	7	2	8
BRCA_TCGA-B6-A0IH	0	6	3	2	2	2	0	0	2	1	0	2	3	2	0	5	3	0	0	2	1	5
BRCA_TCGA-B6-A0RH	0	0	2	7	0	0	0	3	4	0	0	0	0	7	9	5	2	0	4	0	0	2
BRCA_TCGA-B6-A0RL	1	4	3	4	0	11	0	2	9	1	0	0	3	6	9	5	3	1	0	1	3	3
BRCA_TCGA-B6-A0RM	0	2	2	4	3	3	0	3	1	1	0	0	0	3	2	3	4	0	0	0	2	3
BRCA_TCGA-B6-A0RN	0	3	2	7	1	3	1	0	4	1	1	0	0	2	0	0	2	0	4	0	2	0
BRCA_TCGA-B6-A0RO	0	1	5	0	1	2	1	0	5	0	3	2	8	0	3	0	1	1	7	0	0	3
BRCA_TCGA-B6-A0RP	0	3	0	0	0	4	0	0	2	1	1	0	6	2	0	0	2	0	1	0	5	3
BRCA_TCGA-B6-A0RQ	0	3	3	3	1	1	0	0	0	0	3	0	5	14	7	1	8	2	0	2	3	0
BRCA_TCGA-B6-A0RT	1	2	2	0	2	6	0	4	0	2	1	9	5	0	18	0	0	0	14	0	2	4
BRCA_TCGA-B6-A0RU	1	4	5	1	0	4	2	0	2	2	4	1	0	5	2	2	0	2	7	2	2	10
BRCA_TCGA-B6-A0RV	1	0	3	5	0	0	0	2	0	0	0	0	0	11	34	7	1	0	0	0	0	3
BRCA_TCGA-B6-A0WS	1	1	0	0	0	1	0	2	2	1	4	0	0	1	2	0	1	0	0	0	0	2
BRCA_TCGA-B6-A0WT	1	2	3	1	0	4	0	0	0	0	6	0	0	2	0	0	1	0	0	2	0	0
BRCA_TCGA-B6-A0WV	0	1	0	4	4	0	0	0	2	0	2	1	3	4	4	0	5	2	4	0	0	1
BRCA_TCGA-B6-A0WW	1	2	3	1	0	7	0	3	0	1	3	0	0	4	5	5	2	0	6	3	1	0
BRCA_TCGA-B6-A0WX	1	2	3	5	2	3	0	0	2	3	2	0	1	0	1	6	0	0	9	2	3	0
BRCA_TCGA-B6-A0WY	0	4	3	2	3	0	2	1	0	2	1	0	1	2	5	1	0	0	5	0	2	1
BRCA_TCGA-B6-A0WZ	0	1	5	1	0	1	0	4	2	0	0	0	0	25	36	15	0	0	0	1	0	4
BRCA_TCGA-B6-A0X0	1	0	2	1	0	4	0	0	0	0	1	1	0	1	1	1	2	0	2	2	5	1
BRCA_TCGA-B6-A0X1	1	1	5	1	3	4	2	0	6	5	5	0	9	7	14	0	5	0	24	0	0	0
BRCA_TCGA-B6-A0X4	3	0	4	1	0	4	0	0	1	0	0	0	2	1	0	0	1	0	1	0	3	1
BRCA_TCGA-B6-A0X5	5	2	7	1	0	0	0	0	3	3	3	2	0	2	3	2	6	0	2	7	0	0
BRCA_TCGA-B6-A0X7	0	1	2	3	3	2	0	0	0	0	1	0	2	3	3	0	0	0	0	0	3	0
BRCA_TCGA-B6-A1KN	5	4	0	5	0	3	1	0	7	1	3	5	6	6	3	0	5	0	4	1	9	4
BRCA_TCGA-B6-A2IU	0	4	7	1	3	5	0	2	0	0	2	0	3	7	6	10	2	0	0	1	0	1
BRCA_TCGA-B6-A401	0	4	2	2	1	1	0	0	3	0	0	0	8	0	1	0	1	1	1	0	2	1
BRCA_TCGA-B6-A409	0	4	3	7	0	4	0	0	2	0	3	4	6	3	5	2	2	1	4	2	4	0
BRCA_TCGA-B6-A40B	0	4	1	0	3	7	0	1	1	0	3	0	4	13	9	1	3	0	7	0	5	4
BRCA_TCGA-B6-A40C	2	2	1	14	1	4	0	0	1	0	1	0	3	5	2	4	2	0	3	2	6	1
BRCA_TCGA-BH-A0AU	0	2	0	3	2	0	0	0	1	0	0	6	0	0	3	0	0	0	0	0	4	2
BRCA_TCGA-BH-A0AV	1	2	2	1	4	0	2	3	3	4	5	0	17	4	12	0	0	0	21	0	0	6
BRCA_TCGA-BH-A0AY	1	2	5	5	0	1	0	0	3	1	0	2	5	2	3	4	0	0	1	4	4	3
BRCA_TCGA-BH-A0AZ	1	0	1	1	1	3	0	4	3	0	3	3	0	4	11	8	3	2	7	4	4	7
BRCA_TCGA-BH-A0B0	0	4	11	1	0	0	0	3	0	0	0	0	0	29	34	10	1	0	0	0	1	5
BRCA_TCGA-BH-A0B3	1	2	1	1	0	2	1	0	0	0	0	0	0	1	2	0	0	0	5	0	2	0
BRCA_TCGA-BH-A0B6	0	2	76	1	0	24	0	33	11	0	0	0	0	296	682	122	0	0	0	17	0	26
BRCA_TCGA-BH-A0B7	0	4	5	1	0	5	0	0	1	1	0	0	5	2	6	0	1	3	7	0	1	0
BRCA_TCGA-BH-A0B8	1	1	1	2	3	0	0	0	4	0	0	1	5	6	1	0	0	0	2	0	7	0
BRCA_TCGA-BH-A0BA	0	2	1	2	2	0	0	3	2	0	2	2	0	2	4	1	1	0	3	0	1	1
BRCA_TCGA-BH-A0BC	0	4	3	5	0	1	0	3	2	0	1	0	4	4	6	3	1	0	1	1	1	5
BRCA_TCGA-BH-A0BF	0	2	2	2	2	2	0	0	1	0	3	3	3	0	6	0	0	0	3	0	2	2
BRCA_TCGA-BH-A0BG	0	3	0	1	0	2	2	1	0	1	0	1	5	0	6	3	1	0	11	0	6	2
BRCA_TCGA-BH-A0BJ	0	1	1	1	0	0	0	0	2	1	0	2	0	1	0	0	0	0	0	1	4	3
BRCA_TCGA-BH-A0BL	3	3	3	5	0	3	0	0	0	0	0	2	5	0	1	8	5	0	20	3	8	0
BRCA_TCGA-BH-A0BM	1	1	0	0	0	1	0	1	2	1	0	0	5	1	1	1	0	0	0	4	0	0
BRCA_TCGA-BH-A0BO	0	1	2	2	2	2	0	0	3	0	9	0	2	0	5	0	1	0	0	0	1	1
BRCA_TCGA-BH-A0BP	3	7	14	10	6	13	0	0	8	2	1	6	14	17	37	0	0	0	31	6	9	12
BRCA_TCGA-BH-A0BQ	1	2	2	2	1	3	0	0	2	0	0	0	3	0	1	2	0	0	0	0	4	7
BRCA_TCGA-BH-A0BS	0	1	0	1	0	3	0	1	2	1	2	0	5	1	0	0	0	0	4	0	2	0
BRCA_TCGA-BH-A0BT	1	6	3	1	0	6	0	0	3	1	3	0	2	5	2	0	5	0	6	0	1	3
BRCA_TCGA-BH-A0BV	0	1	1	2	1	0	0	0	0	0	1	0	9	3	2	3	0	0	0	0	0	1
BRCA_TCGA-BH-A0BW	0	3	3	5	5	2	3	4	6	4	5	2	5	3	11	2	3	2	12	1	9	13
BRCA_TCGA-BH-A0BZ	12	11	2	5	12	4	1	4	9	8	8	7	30	7	33	6	7	4	91	13	17	5
BRCA_TCGA-BH-A0C0	0	2	2	1	1	2	7	0	0	0	4	0	0	3	2	9	1	0	10	0	3	1
BRCA_TCGA-BH-A0C1	0	6	2	4	6	2	0	1	6	1	0	0	4	4	3	0	0	1	0	0	9	1
BRCA_TCGA-BH-A0C3	0	0	1	4	0	0	0	0	1	3	1	2	2	0	0	0	0	0	1	0	3	0
BRCA_TCGA-BH-A0C7	0	3	3	10	6	1	3	2	0	1	0	0	4	1	4	1	1	0	1	1	16	0
BRCA_TCGA-BH-A0DD	0	8	3	5	0	1	0	0	1	4	0	0	4	3	4	0	0	0	1	0	1	2
BRCA_TCGA-BH-A0DE	1	0	1	3	2	0	0	0	0	2	0	1	10	4	0	3	1	0	3	0	2	0
BRCA_TCGA-BH-A0DG	1	0	6	1	5	1	2	0	1	2	2	1	3	3	11	0	0	2	3	1	2	0
BRCA_TCGA-BH-A0DH	0	3	3	6	0	4	0	3	5	0	3	0	1	4	8	5	0	0	0	1	0	6
BRCA_TCGA-BH-A0DI	0	4	1	5	0	1	1	1	0	0	1	1	0	8	13	2	2	0	10	7	0	5
BRCA_TCGA-BH-A0DK	2	0	1	5	0	3	0	0	0	3	1	2	0	3	4	6	3	0	6	8	4	2
BRCA_TCGA-BH-A0DL	1	7	3	3	3	7	0	2	1	0	2	2	0	4	10	5	4	3	0	0	4	4
BRCA_TCGA-BH-A0DO	0	3	3	1	0	0	0	0	3	1	0	0	4	0	8	2	0	0	2	0	0	3
BRCA_TCGA-BH-A0DP	0	0	1	0	0	3	0	1	1	1	1	0	1	2	1	1	0	0	3	0	3	0
BRCA_TCGA-BH-A0DQ	0	2	1	2	4	5	0	0	0	3	0	3	6	0	2	3	0	0	1	0	1	2
BRCA_TCGA-BH-A0DT	0	1	0	2	0	1	0	1	2	0	0	0	1	1	1	2	0	0	2	0	0	1
BRCA_TCGA-BH-A0DV	0	0	0	0	2	0	0	1	0	0	0	0	3	1	1	1	3	0	1	0	1	1
BRCA_TCGA-BH-A0DX	0	2	4	6	0	0	0	3	0	0	0	0	0	12	23	8	0	0	0	3	11	5
BRCA_TCGA-BH-A0DZ	0	0	14	2	0	1	0	7	1	0	1	0	0	46	131	7	0	0	0	4	1	2
BRCA_TCGA-BH-A0E0	0	2	2	4	0	4	2	0	0	0	0	0	1	2	1	0	1	2	2	0	0	1
BRCA_TCGA-BH-A0E1	0	1	3	4	0	0	0	0	0	0	0	0	1	1	5	1	2	0	1	0	0	0
BRCA_TCGA-BH-A0E9	0	4	1	2	0	6	1	0	3	0	1	2	0	2	0	0	0	0	4	0	1	1
BRCA_TCGA-BH-A0EA	0	3	3	2	4	0	0	0	1	0	0	0	3	2	3	0	5	0	0	0	3	3
BRCA_TCGA-BH-A0EI	0	2	1	2	0	4	0	0	2	1	2	0	3	2	0	2	0	0	1	2	0	0
BRCA_TCGA-BH-A0H3	0	1	0	3	0	0	0	0	0	0	0	0	3	2	0	0	2	0	0	0	5	1
BRCA_TCGA-BH-A0H5	3	0	14	1	0	0	0	3	0	0	0	0	6	43	81	10	0	0	0	5	0	3
BRCA_TCGA-BH-A0H7	1	1	1	3	0	0	1	0	0	1	1	0	0	0	5	3	0	0	0	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	1	0	0	0	0	0	2	0	0	1	2	1	4	1	3	3	0	3	0
BRCA_TCGA-BH-A0HA	0	37	13	47	39	22	8	1	18	67	31	0	8	16	24	3	30	5	0	5	3	5
BRCA_TCGA-BH-A0HI	2	1	2	3	2	5	0	3	0	3	0	0	3	4	3	0	0	0	1	2	1	0
BRCA_TCGA-BH-A0HK	0	4	4	3	0	0	0	2	3	0	0	0	4	16	15	5	0	0	0	1	4	2
BRCA_TCGA-BH-A0HN	0	2	4	4	0	4	0	0	0	0	1	2	2	3	3	1	2	0	3	0	1	2
BRCA_TCGA-BH-A0HP	4	2	17	5	0	3	2	5	1	0	0	0	0	100	200	17	0	0	0	1	0	0
BRCA_TCGA-BH-A0RX	0	3	6	7	1	15	0	0	3	1	2	0	0	1	3	0	0	0	4	0	2	1
BRCA_TCGA-BH-A0W3	1	0	0	1	0	4	0	0	1	0	2	0	3	0	3	2	0	0	2	0	2	2
BRCA_TCGA-BH-A0W4	0	1	4	4	0	1	0	2	1	2	2	0	0	4	5	1	2	0	5	0	2	3
BRCA_TCGA-BH-A0W5	1	3	2	2	0	4	0	0	3	2	2	3	0	0	1	0	0	0	3	0	3	0
BRCA_TCGA-BH-A0W7	0	0	13	1	0	3	0	8	0	0	5	0	2	47	153	25	0	0	0	2	1	1
BRCA_TCGA-BH-A0WA	2	0	0	3	1	6	3	0	9	1	5	0	5	17	7	3	4	0	27	4	0	16
BRCA_TCGA-BH-A18F	1	0	6	8	2	3	1	1	1	0	0	0	4	18	6	6	1	0	3	1	5	0
BRCA_TCGA-BH-A18G	19	182	44	139	185	113	102	0	180	273	200	11	52	0	5	56	42	15	8	0	0	42
BRCA_TCGA-BH-A18H	0	1	2	2	6	2	0	0	5	3	2	0	2	8	6	2	0	2	1	0	7	3
BRCA_TCGA-BH-A18I	0	5	4	2	0	3	0	0	2	1	0	0	0	3	3	0	2	0	1	2	2	1
BRCA_TCGA-BH-A18J	1	3	2	1	0	2	1	7	1	1	1	0	0	18	46	16	1	0	0	5	1	4
BRCA_TCGA-BH-A18K	1	2	4	0	0	4	0	1	1	2	0	0	6	6	16	9	4	1	4	0	1	6
BRCA_TCGA-BH-A18L	1	7	3	8	1	3	3	0	3	3	0	1	4	3	2	0	4	0	7	7	0	5
BRCA_TCGA-BH-A18M	0	1	1	1	2	4	0	0	0	0	0	0	0	2	3	0	4	0	0	0	0	0
BRCA_TCGA-BH-A18N	0	6	2	5	0	1	0	0	1	4	4	0	0	0	1	0	2	0	6	0	8	3
BRCA_TCGA-BH-A18P	0	4	30	7	0	4	2	11	5	0	0	0	0	110	217	36	0	0	0	2	0	10
BRCA_TCGA-BH-A18Q	1	1	1	3	5	1	4	0	4	0	2	3	8	4	8	0	8	1	31	2	17	3
BRCA_TCGA-BH-A18R	1	0	1	2	0	0	0	2	3	0	6	1	0	6	3	0	1	0	16	0	0	0
BRCA_TCGA-BH-A18S	1	2	2	1	0	0	1	0	3	4	1	1	1	0	2	2	0	0	4	2	2	8
BRCA_TCGA-BH-A18T	1	2	2	3	6	3	5	2	4	4	0	2	3	3	13	2	7	0	34	0	6	0
BRCA_TCGA-BH-A18U	0	5	6	7	0	11	4	4	9	0	4	0	4	29	46	16	9	0	5	7	7	5
BRCA_TCGA-BH-A18V	8	0	4	3	0	2	3	0	9	0	12	5	1	19	77	0	6	5	77	14	1	4
BRCA_TCGA-BH-A1EO	0	6	4	8	0	6	0	1	0	1	0	0	5	3	2	3	0	0	5	0	4	2
BRCA_TCGA-BH-A1ET	3	2	1	2	3	4	0	2	0	1	1	0	3	0	0	3	4	0	4	0	0	0
BRCA_TCGA-BH-A1EU	0	1	1	5	0	0	0	0	1	4	3	0	2	4	1	0	2	0	0	2	5	3
BRCA_TCGA-BH-A1EV	1	5	11	3	0	12	0	1	5	5	1	0	0	21	45	2	3	0	12	0	0	2
BRCA_TCGA-BH-A1EW	0	1	2	1	0	0	0	0	3	1	1	0	1	6	0	2	0	0	1	0	1	1
BRCA_TCGA-BH-A1EX	0	3	5	2	0	2	0	0	1	4	2	0	3	1	0	0	0	0	5	0	6	1
BRCA_TCGA-BH-A1EY	0	2	5	4	3	4	0	0	2	5	1	0	2	2	13	0	0	0	4	4	2	2
BRCA_TCGA-BH-A1F0	2	3	4	2	0	4	3	0	0	2	3	0	13	4	18	0	7	0	14	5	7	4
BRCA_TCGA-BH-A1F2	2	5	3	5	2	10	1	1	1	3	0	0	4	8	11	2	0	0	4	1	5	3
BRCA_TCGA-BH-A1F5	1	1	3	4	0	6	1	0	0	0	0	0	7	4	1	4	2	0	0	2	1	7
BRCA_TCGA-BH-A1F6	0	4	1	5	5	4	0	2	0	0	0	0	3	3	5	2	3	1	8	0	4	3
BRCA_TCGA-BH-A1F8	2	1	10	5	0	8	0	6	3	0	0	0	2	42	72	25	3	0	0	3	4	6
BRCA_TCGA-BH-A1FC	2	8	5	11	0	0	1	5	7	6	0	3	5	9	27	3	5	4	17	4	3	5
BRCA_TCGA-BH-A1FE	1	2	2	0	0	1	0	0	0	1	0	1	5	3	3	1	1	0	0	0	5	0
BRCA_TCGA-BH-A1FG	0	2	1	2	0	0	2	2	3	0	1	0	1	1	1	0	1	0	1	0	0	3
BRCA_TCGA-BH-A1FH	0	2	1	8	0	0	0	0	2	0	0	0	2	7	1	4	0	1	2	0	2	1
BRCA_TCGA-BH-A1FJ	0	1	1	8	3	4	0	2	1	0	0	1	10	6	0	0	0	0	0	0	7	1
BRCA_TCGA-BH-A1FL	0	3	2	1	0	2	0	0	0	0	2	0	5	2	0	3	3	0	0	2	1	0
BRCA_TCGA-BH-A1FM	0	5	7	6	0	2	0	1	1	2	0	5	0	6	13	2	1	0	4	1	4	2
BRCA_TCGA-BH-A1FN	2	1	1	2	0	3	0	6	1	0	3	5	13	4	58	17	0	2	3	6	9	10
BRCA_TCGA-BH-A1FR	0	2	1	1	0	1	0	0	1	0	2	0	0	1	1	0	0	0	6	0	1	0
BRCA_TCGA-BH-A1FU	2	5	6	4	4	1	1	1	4	5	8	0	8	5	17	0	11	5	18	6	1	6
BRCA_TCGA-BH-A201	2	1	2	0	0	3	1	0	3	1	3	2	0	3	1	0	2	0	2	0	0	1
BRCA_TCGA-BH-A202	3	2	1	2	0	2	0	1	3	3	0	1	0	0	1	0	0	0	5	2	0	2
BRCA_TCGA-BH-A203	1	7	10	12	0	8	5	1	7	0	2	0	6	5	16	2	5	0	2	0	4	6
BRCA_TCGA-BH-A204	2	4	3	3	0	2	2	0	4	2	1	0	6	3	5	0	1	0	8	0	4	2
BRCA_TCGA-BH-A208	0	0	4	5	0	7	0	1	2	1	3	0	8	10	28	3	0	0	6	0	4	0
BRCA_TCGA-BH-A209	0	0	8	1	3	4	0	1	1	0	0	0	4	17	67	0	1	0	0	6	0	6
BRCA_TCGA-BH-A28Q	0	4	1	2	1	4	0	0	3	0	0	0	1	1	2	0	0	2	1	0	4	0
BRCA_TCGA-BH-A2L8	0	0	29	7	0	1	0	17	2	0	0	0	0	138	357	62	0	0	0	0	0	15
BRCA_TCGA-BH-A42U	0	0	3	3	0	0	0	1	0	0	1	2	0	8	7	3	0	0	0	0	2	2
BRCA_TCGA-BH-A42V	0	0	4	2	0	3	0	2	0	1	0	0	1	11	23	6	1	0	0	0	1	0
BRCA_TCGA-BH-A5IZ	2	2	0	8	0	3	3	0	1	3	0	0	3	11	6	8	3	0	22	3	8	10
BRCA_TCGA-BH-A5J0	0	5	9	3	0	3	1	6	0	0	2	0	0	26	26	9	5	0	0	1	5	1
BRCA_TCGA-BH-A6R8	0	3	3	6	2	1	0	0	2	1	1	1	0	5	3	0	0	0	5	0	4	0
BRCA_TCGA-BH-A6R9	1	1	2	1	0	3	0	0	1	0	0	2	0	1	0	1	2	0	9	0	0	1
BRCA_TCGA-BH-A8FY	1	4	0	2	1	0	0	0	3	0	3	2	7	8	4	0	1	0	9	0	1	10
BRCA_TCGA-BH-A8FZ	2	6	2	3	4	2	1	3	1	4	2	2	0	3	7	3	6	3	21	0	5	11
BRCA_TCGA-BH-A8G0	0	1	2	1	2	4	0	0	0	1	1	0	0	1	0	0	3	0	0	0	1	0
BRCA_TCGA-BH-AB28	0	6	2	3	3	2	3	3	2	0	1	0	0	4	1	1	2	2	0	2	0	6
BRCA_TCGA-C8-A12K	2	4	1	6	4	0	1	0	2	3	6	0	17	6	53	0	7	2	42	7	0	10
BRCA_TCGA-C8-A12L	0	4	3	4	7	1	0	0	6	0	1	7	11	0	6	0	0	0	26	2	5	6
BRCA_TCGA-C8-A12M	0	5	8	8	6	5	3	6	3	2	2	0	7	2	1	1	1	0	14	0	2	6
BRCA_TCGA-C8-A12N	1	2	0	4	0	4	0	0	3	3	0	0	0	0	3	1	2	0	2	2	0	0
BRCA_TCGA-C8-A12O	1	2	4	10	0	8	1	0	0	0	1	0	2	4	1	0	4	0	3	0	2	6
BRCA_TCGA-C8-A12P	2	4	13	7	1	10	0	5	6	3	1	0	0	30	76	9	0	3	4	10	4	14
BRCA_TCGA-C8-A12Q	2	2	12	0	2	5	1	2	0	3	3	4	2	24	52	8	0	0	0	7	4	6
BRCA_TCGA-C8-A12T	5	2	9	9	3	0	1	4	2	0	0	0	4	35	120	10	0	0	0	0	4	6
BRCA_TCGA-C8-A12U	0	1	1	6	5	14	0	0	0	0	1	0	6	1	7	3	2	0	8	2	0	4
BRCA_TCGA-C8-A12V	0	0	2	4	2	0	5	2	5	0	2	2	2	0	4	0	3	2	9	0	1	7
BRCA_TCGA-C8-A12W	1	3	7	18	3	12	0	0	2	4	0	2	2	0	5	2	1	0	9	0	1	5
BRCA_TCGA-C8-A12X	0	6	4	3	0	13	1	0	5	1	2	0	4	3	2	1	3	3	1	5	3	5
BRCA_TCGA-C8-A12Y	0	8	2	6	2	1	3	2	5	3	5	1	0	1	2	0	0	0	1	2	1	1
BRCA_TCGA-C8-A12Z	0	3	3	5	3	6	0	0	2	2	1	0	1	11	16	0	0	0	8	0	0	0
BRCA_TCGA-C8-A130	0	5	6	10	0	6	0	0	2	1	6	1	1	1	6	0	0	1	2	0	5	1
BRCA_TCGA-C8-A131	1	7	7	2	0	0	0	1	6	1	2	3	6	8	1	5	6	2	7	2	4	3
BRCA_TCGA-C8-A132	1	2	2	7	0	0	0	0	5	1	0	0	6	4	28	4	8	1	10	0	4	1
BRCA_TCGA-C8-A133	1	0	2	1	0	0	3	1	3	0	2	2	2	3	2	1	2	1	1	1	3	2
BRCA_TCGA-C8-A134	8	2	2	3	3	2	5	2	4	0	5	7	13	0	6	1	4	0	35	0	5	10
BRCA_TCGA-C8-A135	1	9	5	10	8	6	1	0	0	3	0	2	0	0	8	0	8	0	5	2	6	3
BRCA_TCGA-C8-A137	0	2	7	7	0	0	0	0	0	2	0	0	3	12	19	0	0	2	0	4	3	1
BRCA_TCGA-C8-A138	3	1	2	6	0	5	3	0	2	4	0	0	2	4	0	0	4	0	6	5	4	1
BRCA_TCGA-C8-A1HE	0	2	2	1	0	4	0	2	1	0	1	0	3	9	13	6	5	0	0	0	2	3
BRCA_TCGA-C8-A1HF	1	2	2	1	2	2	1	1	0	0	2	1	2	5	10	1	1	0	1	0	0	4
BRCA_TCGA-C8-A1HG	0	7	4	6	3	10	0	0	1	5	2	3	3	7	4	0	0	0	9	2	1	2
BRCA_TCGA-C8-A1HI	1	1	2	13	6	0	0	0	3	2	0	3	3	6	12	0	8	0	6	0	6	0
BRCA_TCGA-C8-A1HJ	3	3	2	3	2	5	3	0	6	3	7	6	0	0	11	11	0	3	40	0	10	6
BRCA_TCGA-C8-A1HK	3	3	6	0	8	6	0	0	0	2	1	2	2	0	26	0	0	0	5	0	7	2
