Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
RNF168_boot.121	3.82E-02	4.23E-02	2.47E-01	1.53E-01	1.08E-01	1.03E-01	1.39E-01	1.33E-26
RNF168_boot.122	2.05E-02	4.26E-02	2.30E-01	1.60E-01	1.09E-01	1.01E-01	1.40E-01	1.53E-26
RNF168_boot.123	1.11E-01	6.18E-02	6.34E-08	2.31E-02	4.45E-02	2.92E-02	9.75E-02	4.21E-02
RNF168_boot.124	1.00E-01	8.49E-02	1.25E-27	2.06E-02	4.61E-02	3.27E-02	8.89E-02	9.97E-03
RNF168_boot.125	3.85E-02	4.46E-02	1.63E-01	1.49E-01	8.96E-02	9.16E-02	1.11E-01	0.00E+00
RNF168_boot.126	1.13E-01	5.88E-02	1.33E-26	2.47E-02	3.88E-02	2.67E-02	1.12E+00	1.12E-01
RNF168_boot.127	1.01E-01	6.04E-02	5.81E-64	1.57E-02	5.40E-02	1.57E-02	9.44E-02	1.75E-02
RNF168_boot.128	7.16E-02	6.31E-02	9.90E-27	9.87E-03	4.22E-02	2.95E-02	1.43E-01	8.26E-03
RNF168_boot.129	1.01E-01	6.97E-02	6.69E-10	2.10E-02	4.84E-02	1.55E-02	1.00E-01	1.50E-02
RNF168_boot.130	9.40E-02	6.07E-02	1.26E-03	2.07E-02	4.82E-02	2.92E-02	8.10E-02	1.90E-02
RNF168_boot.131	2.12E-02	3.78E-02	2.14E-01	1.47E-01	9.70E-02	9.95E-02	9.72E-02	0.00E+00
RNF168_boot.132	1.11E-01	4.93E-02	1.56E-27	2.24E-02	5.89E-02	9.10E-07	1.85E-01	2.21E-04
RNF168_boot.133	2.57E-02	4.19E-02	1.91E-01	1.68E-01	9.53E-02	9.37E-02	1.18E-01	1.33E-26
RNF168_boot.134	4.46E-02	3.99E-02	1.17E-01	1.47E-01	6.93E-02	7.99E-02	8.16E-02	0.00E+00
RNF168_boot.135	9.55E-02	5.83E-02	3.64E-16	2.15E-02	4.73E-02	3.27E-02	1.30E-01	6.68E-02
RNF168_boot.136	9.25E-02	6.12E-02	1.86E-03	1.90E-02	5.17E-02	3.01E-02	7.37E-02	3.95E-02
RNF168_boot.137	5.74E-02	3.84E-02	2.59E-01	1.59E-01	1.17E-01	1.10E-01	1.46E-01	1.49E-26
RNF168_boot.138	1.94E-02	4.02E-02	2.38E-01	1.48E-01	1.04E-01	1.03E-01	1.36E-01	1.33E-26
RNF168_boot.139	4.36E-02	4.00E-02	1.47E-01	1.38E-01	7.85E-02	8.51E-02	9.46E-02	0.00E+00
RNF168_boot.140	2.04E-02	4.23E-02	2.21E-01	1.65E-01	1.01E-01	1.00E-01	1.35E-01	1.33E-26
RNF168_boot.141	1.06E-01	5.81E-02	4.38E-09	2.02E-02	4.95E-02	1.57E-02	1.23E-01	1.30E-02
RNF168_boot.142	3.98E-02	3.96E-02	1.71E-01	1.50E-01	8.62E-02	9.07E-02	1.08E-01	1.33E-26
RNF168_boot.143	1.07E-01	6.13E-02	9.87E-27	2.13E-02	4.70E-02	3.23E-02	1.23E-01	1.15E-02
RNF168_boot.144	3.64E-02	4.58E-02	1.59E-01	1.70E-01	8.35E-02	8.82E-02	1.05E-01	0.00E+00
RNF168_boot.145	6.46E-02	5.77E-02	9.92E-27	9.59E-03	5.76E-02	1.13E-19	1.93E-01	4.55E-19
RNF168_boot.146	3.54E-14	4.60E-02	4.23E-01	2.02E-01	1.71E-01	1.30E-01	2.10E-01	1.50E-26
RNF168_boot.147	1.52E-08	3.67E-02	3.33E-01	1.67E-01	1.38E-01	1.18E-01	1.70E-01	1.49E-26
RNF168_boot.148	9.84E-02	5.73E-02	1.70E-03	2.03E-02	4.96E-02	1.97E-02	7.99E-02	4.33E-02
RNF168_boot.149	4.13E-02	3.73E-02	1.67E-01	1.52E-01	8.25E-02	8.96E-02	1.10E-01	0.00E+00
RNF168_boot.150	1.63E-02	3.94E-02	1.93E-01	1.57E-01	9.22E-02	9.61E-02	1.26E-01	1.00E-26
RNF168_boot.151	9.40E-02	6.04E-02	8.21E-04	2.21E-02	4.93E-02	2.23E-02	8.60E-02	1.97E-02
RNF168_boot.152	9.54E-02	5.45E-02	1.31E-27	2.08E-02	5.12E-02	2.27E-02	1.26E-01	3.46E-03
RNF168_boot.153	4.07E-02	4.30E-02	1.38E-01	1.59E-01	7.47E-02	8.37E-02	9.14E-02	0.00E+00
RNF168_boot.154	9.65E-02	5.80E-02	9.94E-27	2.45E-02	5.02E-02	1.70E-02	1.19E-01	4.33E-08
RNF168_boot.155	3.39E-02	4.21E-02	1.45E-01	1.59E-01	7.24E-02	8.46E-02	8.22E-02	0.00E+00
RNF168_boot.156	3.54E-02	3.74E-02	1.14E-01	1.45E-01	6.76E-02	8.13E-02	7.31E-02	0.00E+00
RNF168_boot.157	3.63E-02	4.10E-02	1.28E-01	1.57E-01	7.12E-02	8.02E-02	8.79E-02	0.00E+00
RNF168_boot.158	3.31E-02	3.96E-02	1.54E-01	1.62E-01	7.79E-02	8.65E-02	1.05E-01	0.00E+00
RNF168_boot.159	3.57E-02	4.12E-02	1.39E-01	1.55E-01	7.52E-02	8.76E-02	7.79E-02	0.00E+00
RNF168_boot.160	9.36E-02	5.86E-02	1.86E-03	2.26E-02	5.00E-02	2.78E-02	8.98E-02	4.11E-02
RNF168_boot.161	4.14E-02	4.02E-02	9.83E-02	1.39E-01	6.18E-02	7.43E-02	7.26E-02	0.00E+00
RNF168_boot.162	9.42E-02	7.03E-02	8.09E-04	2.33E-02	4.94E-02	2.28E-02	7.82E-02	1.91E-02
RNF168_boot.163	3.21E-02	4.10E-02	1.61E-01	1.29E-01	7.94E-02	8.86E-02	1.08E-01	0.00E+00
RNF168_boot.164	3.31E-02	3.54E-02	1.47E-01	1.62E-01	7.64E-02	8.42E-02	1.04E-01	0.00E+00
RNF168_boot.165	3.23E-02	4.37E-02	1.68E-01	1.32E-01	8.46E-02	8.95E-02	1.34E-01	1.00E-26
RNF168_boot.166	3.25E-02	4.13E-02	1.80E-01	1.51E-01	8.46E-02	9.24E-02	1.13E-01	1.00E-26
RNF168_boot.167	9.62E-02	5.71E-02	2.85E-05	2.43E-02	6.58E-02	4.74E-19	1.17E-01	2.25E-02
RNF168_boot.168	3.71E-02	3.92E-02	1.19E-01	1.48E-01	6.70E-02	7.84E-02	8.80E-02	0.00E+00
RNF168_boot.169	5.83E-02	5.99E-02	9.87E-27	1.05E-02	5.39E-02	6.59E-21	1.52E-01	2.09E-02
RNF168_boot.170	8.93E-02	7.52E-02	9.14E-17	2.26E-02	5.03E-02	2.75E-02	7.17E-02	2.08E-02
RNF168_boot.171	3.77E-02	4.12E-02	1.12E-01	1.37E-01	6.65E-02	8.04E-02	7.18E-02	0.00E+00
RNF168_boot.172	3.53E-02	3.58E-02	1.19E-01	1.47E-01	6.46E-02	7.65E-02	7.95E-02	0.00E+00
RNF168_boot.173	9.60E-02	7.45E-02	1.83E-03	2.14E-02	5.01E-02	2.37E-02	6.46E-02	4.15E-02
