	0	1	2	3	4	5	6	7	8	9
1000	[0.6928606297401891, 0.49428799824806174, 1.9857263149212738, 1.0, 0.0]	[0.655915169658588, 0.5382500869596375, 1.1766508269895044, 1.0, 0.0]	[0.7040165414227834, 0.5175457554866884, 1.86470785936095, 1.0, 0.0]	[0.678262195855946, 0.48642016950360845, 1.9184202635233754, 1.0, 0.0]	[0.8936427509661152, 0.7790796387752941, 1.1456311219082116, 1.0, 0.0]	[0.7596444025492202, 0.49295317637019953, 2.6669122617902055, 1.0, 0.0]	[0.6849383878456426, 0.4943873601590491, 1.9055102768659355, 1.0, 0.0]	[0.5776106008090599, 0.4844021258891085, 0.9320847491995135, 1.0, 0.0]	[0.73496013806467, 0.5379930840914394, 1.9696705397323053, 1.0, 0.0]	[0.8274001649282398, 0.5538582331190656, 2.7354193180917417, 1.0, 0.0]
2000	[0.6157343676262436, 0.46627095606765556, 1.4946341155858802, 1.0, 0.0]	[0.5375458832714153, 0.47161575053922405, 0.6593013273219128, 1.0, 0.0]	[0.6215417291611619, 0.47638441428007905, 1.4515731488108283, 1.0, 0.0]	[0.6107777543067261, 0.4609944385749264, 1.4978331573179964, 1.0, 0.0]	[0.8332049663669588, 0.7580857463761371, 0.7511921999082167, 1.0, 0.0]	[0.6257805791247081, 0.46471697071918594, 1.610636084055221, 1.0, 0.0]	[0.6120785365099182, 0.46271270486136323, 1.4936583164855493, 1.0, 0.0]	[0.5164296804828579, 0.4484998228600652, 0.6792985762279273, 1.0, 0.0]	[0.6639822609241723, 0.512574920281761, 1.5140734064241133, 1.0, 0.0]	[0.652284191079444, 0.47953695340978014, 1.727472376696639, 1.0, 0.0]
3000	[0.5928349843418337, 0.45883920847218845, 1.3399577586964517, 1.0, 0.0]	[0.5074901456067908, 0.4471155842884703, 0.6037456131832051, 1.0, 0.0]	[0.592726566699473, 0.4588695496663701, 1.3385701703310282, 1.0, 0.0]	[0.5898382467772783, 0.4539539726688033, 1.3588427410847497, 1.0, 0.0]	[0.8013038920493097, 0.7401779502404106, 0.6112594180889923, 1.0, 0.0]	[0.5982438965266598, 0.45702745660868055, 1.412164399179792, 1.0, 0.0]	[0.590276988668149, 0.45437141219294436, 1.3590557647520471, 1.0, 0.0]	[0.49813026039421515, 0.4361531317034071, 0.6197712869080809, 1.0, 0.0]	[0.6401555718261966, 0.5037418280738208, 1.3641374375237583, 1.0, 0.0]	[0.6192692806556627, 0.4713232045769555, 1.4794607607870718, 1.0, 0.0]
4000	[0.583753057026415, 0.4558812232723389, 1.2787183375407616, 1.0, 0.0]	[0.4978984924443769, 0.44061583752688294, 0.5728265491749396, 1.0, 0.0]	[0.5822719821085025, 0.4525749074350431, 1.2969707467345941, 1.0, 0.0]	[0.5814207116908903, 0.45138276344220585, 1.3003794824868438, 1.0, 0.0]	[0.7861390977648424, 0.7301061630164493, 0.5603293474839309, 1.0, 0.0]	[0.5882842285681147, 0.45432367245847305, 1.339605561096416, 1.0, 0.0]	[0.581608766201019, 0.4514836407490422, 1.3012512545197685, 1.0, 0.0]	[0.48985451971687227, 0.42534010928376303, 0.6451441043310925, 1.0, 0.0]	[0.6300426064394498, 0.5000083542515686, 1.3003425218788107, 1.0, 0.0]	[0.6078931591334491, 0.46839138083045756, 1.3950177830299149, 1.0, 0.0]
5000	[0.5797018490189049, 0.45443444910008207, 1.2526739991882283, 1.0, 0.0]	[0.4937567260541092, 0.4371658906251762, 0.5659083542893302, 1.0, 0.0]	[0.5780893543536505, 0.45071148638688635, 1.2737786796676414, 1.0, 0.0]	[0.5777921800196064, 0.45050050864795416, 1.2729167137165223, 1.0, 0.0]	[0.778944536154318, 0.7242521356591378, 0.5469240049518023, 1.0, 0.0]	[0.584140760737377, 0.4533022301318606, 1.3083853060551642, 1.0, 0.0]	[0.5777651750049081, 0.4503660928490218, 1.2739908215588631, 1.0, 0.0]	[0.4877642795420645, 0.42445051956091123, 0.6331375998115327, 1.0, 0.0]	[0.6254461887862459, 0.4983402473666502, 1.2710594141959566, 1.0, 0.0]	[0.6064527651049347, 0.47089329298974875, 1.3555947211518604, 1.0, 0.0]
6000	[0.577729788420962, 0.45365601595052846, 1.2407377247043354, 1.0, 0.0]	[0.4911806725190297, 0.4355561876337601, 0.5562448488526961, 1.0, 0.0]	[0.5761539052831413, 0.45003711809582575, 1.2611678718731552, 1.0, 0.0]	[0.5759963670897479, 0.45004395323853164, 1.259524138512163, 1.0, 0.0]	[0.7752947835298919, 0.7209242952723003, 0.5437048825759164, 1.0, 0.0]	[0.5823406471261038, 0.45294186810519604, 1.2939877902090775, 1.0, 0.0]	[0.5760245965572873, 0.44997352500400345, 1.2605107155328386, 1.0, 0.0]	[0.48703729613956215, 0.4240056529740009, 0.6303164316556127, 1.0, 0.0]	[0.623276039568146, 0.4975894393442183, 1.2568660022392768, 1.0, 0.0]	[0.6039537293337569, 0.46997063364886577, 1.3398309568489108, 1.0, 0.0]
7000	[0.5767130343783728, 0.45321053148874935, 1.235025028896235, 1.0, 0.0]	[0.4902765240231224, 0.434567270412984, 0.5570925361013837, 1.0, 0.0]	[0.5752045129927951, 0.4497642902268395, 1.2544022276595554, 1.0, 0.0]	[0.5751290621062696, 0.4498569596366913, 1.2527210246957825, 1.0, 0.0]	[0.7733843701546113, 0.7190392349709793, 0.5434513518363189, 1.0, 0.0]	[0.581457848763182, 0.45274893473723193, 1.2870891402595002, 1.0, 0.0]	[0.5751020985279923, 0.4497419509669798, 1.2536014756101252, 1.0, 0.0]	[0.4865437142836714, 0.4236907165535208, 0.6285299773015056, 1.0, 0.0]	[0.6222333398787823, 0.4972616100439519, 1.249717298348303, 1.0, 0.0]	[0.6027937229166863, 0.46954353706562907, 1.3325018585105721, 1.0, 0.0]
8000	[0.5761772534811722, 0.45292473484818074, 1.232525186329914, 1.0, 0.0]	[0.4894739172599557, 0.4360438072812122, 0.534301099787435, 1.0, 0.0]	[0.5747235341820089, 0.44965327157944346, 1.2507026260256544, 1.0, 0.0]	[0.5747065938201779, 0.4497877502172135, 1.2491884360296437, 1.0, 0.0]	[0.7723635898780539, 0.7179570955024266, 0.5440649437562723, 1.0, 0.0]	[0.5812045257840567, 0.4528858353073998, 1.2831869047665692, 1.0, 0.0]	[0.5746510451018163, 0.44965747645800486, 1.2499356864381146, 1.0, 0.0]	[0.48626606103914766, 0.42347315187055456, 0.6279290916859309, 1.0, 0.0]	[0.6217330004203918, 0.49713336678112274, 1.24599633639269, 1.0, 0.0]	[0.6022309706357256, 0.4693236789021591, 1.3290729173356657, 1.0, 0.0]
9000	[0.5759080675184548, 0.45267625641045467, 1.232318111080001, 1.0, 0.0]	[0.48989838231309357, 0.4364302508838335, 0.5346813142926007, 1.0, 0.0]	[0.5744741956413866, 0.4496124831044658, 1.2486171253692075, 1.0, 0.0]	[0.5744838666633094, 0.4497549433971475, 1.247289232661619, 1.0, 0.0]	[0.7718075511554547, 0.7173217063517457, 0.5448584480370899, 1.0, 0.0]	[0.5811300958560839, 0.45302249263459665, 1.2810760322148718, 1.0, 0.0]	[0.574524568294533, 0.44975382754712345, 1.2477074074740955, 1.0, 0.0]	[0.4860869146724952, 0.4233097292542208, 0.627771854182744, 1.0, 0.0]	[0.6214993348319416, 0.49709955395652455, 1.2439978087541705, 1.0, 0.0]	[0.6019518390894923, 0.46921235955472396, 1.3273947953476841, 1.0, 0.0]
10000	[0.5757145760213022, 0.4525326008776898, 1.2318197514361233, 1.0, 0.0]	[0.4904830089481006, 0.43699805804936587, 0.534849508987347, 1.0, 0.0]	[0.5743425933192225, 0.4496029134567263, 1.2473967986249617, 1.0, 0.0]	[0.5743696292371965, 0.4497445472649464, 1.246250819722501, 1.0, 0.0]	[0.7714982167068173, 0.7169374768185808, 0.5456073988823651, 1.0, 0.0]	[0.5809819618261316, 0.45296547157643785, 1.2801649024969373, 1.0, 0.0]	[0.5743864812100519, 0.4497279622976683, 1.246585189123836, 1.0, 0.0]	[0.48595799526122596, 0.4231806035157919, 0.6277739174543406, 1.0, 0.0]	[0.621398393395141, 0.49710980929261717, 1.242885841025239, 1.0, 0.0]	[0.6018087510246843, 0.4691502442657978, 1.3265850675888655, 1.0, 0.0]
11000	[0.5755942157710283, 0.4524023296309153, 1.2319188614011303, 1.0, 0.0]	[0.49110851711848796, 0.4376276228373199, 0.5348089428116808, 1.0, 0.0]	[0.5742720833895762, 0.44960690524119795, 1.2466517814837828, 1.0, 0.0]	[0.5743102275765996, 0.4497434363367381, 1.245667912398615, 1.0, 0.0]	[0.771321832334029, 0.7166969327315197, 0.5462489960250925, 1.0, 0.0]	[0.5809068512481771, 0.45293994659057685, 1.2796690465760028, 1.0, 0.0]	[0.574317321735684, 0.44972358245517935, 1.245937392805046, 1.0, 0.0]	[0.4858583598179992, 0.42307564587804675, 0.6278271393995245, 1.0, 0.0]	[0.6213635914663204, 0.497139659241696, 1.2422393222462436, 1.0, 0.0]	[0.6017327326154286, 0.46911295216206367, 1.3261978045336495, 1.0, 0.0]
12000	[0.5755115279063058, 0.45231544084796865, 1.2319608705833711, 1.0, 0.0]	[0.4917246312891911, 0.4382617928014611, 0.5346283848772996, 1.0, 0.0]	[0.574353221389057, 0.4497224252305038, 1.246307961585532, 1.0, 0.0]	[0.5742790114726304, 0.4497459519770339, 1.2453305949559648, 1.0, 0.0]	[0.7712667691300406, 0.7164742433291867, 0.5479252580085379, 1.0, 0.0]	[0.580877860368817, 0.45293680548206855, 1.2794105488674834, 1.0, 0.0]	[0.5742905446701614, 0.4497323649884541, 1.2455817968170728, 1.0, 0.0]	[0.48577814490522564, 0.4229890088796234, 0.6278913602560228, 1.0, 0.0]	[0.6213608645867482, 0.4971769360632842, 1.2418392852346403, 1.0, 0.0]	[0.6016906802923868, 0.4690889346375977, 1.3260174565478908, 1.0, 0.0]
13000	[0.575456035224249, 0.4522483140828654, 1.2320772114138356, 1.0, 0.0]	[0.49230912876510685, 0.43887211526696635, 0.5343701349814051, 1.0, 0.0]	[0.5742525547879074, 0.44965775438881084, 1.2459480039909656, 1.0, 0.0]	[0.5742624680706735, 0.4497496268687512, 1.245128412019223, 1.0, 0.0]	[0.7711721247977963, 0.716364264926611, 0.5480785987118535, 1.0, 0.0]	[0.5808470800329396, 0.4529239227595481, 1.279231572733915, 1.0, 0.0]	[0.5742695846292433, 0.4497377860503865, 1.2453179857885672, 1.0, 0.0]	[0.485712135765028, 0.42291688383413373, 0.6279525193089422, 1.0, 0.0]	[0.6213730120777825, 0.4972153618327088, 1.241576502450737, 1.0, 0.0]	[0.6016716188690607, 0.4690715142302719, 1.3260010463878882, 1.0, 0.0]
14000	[0.5754170417102028, 0.45219577146648116, 1.232212702437216, 1.0, 0.0]	[0.4928531547557334, 0.4394455452267984, 0.5340760952893499, 1.0, 0.0]	[0.5742121929107001, 0.44964134837111547, 1.2457084453958465, 1.0, 0.0]	[0.5742536371044943, 0.4497533996336524, 1.2450023747084191, 1.0, 0.0]	[0.771117476254698, 0.7162763523523364, 0.5484112390236147, 1.0, 0.0]	[0.5808301860755875, 0.45291856347591636, 1.2791162259967108, 1.0, 0.0]	[0.5742568606968704, 0.44974154116823845, 1.2451531952863202, 1.0, 0.0]	[0.4856571830903017, 0.4228565401923747, 0.62800642897927, 1.0, 0.0]	[0.6213850516272501, 0.4972456340241783, 1.2413941760307172, 1.0, 0.0]	[0.6016534350647265, 0.4690566380094404, 1.3259679705528604, 1.0, 0.0]
15000	[0.5753885676547332, 0.452154435223234, 1.2323413243149917, 1.0, 0.0]	[0.49335399002380464, 0.43997672944537775, 0.5337726057842687, 1.0, 0.0]	[0.5741954527300087, 0.44964146591636195, 1.245539868136468, 1.0, 0.0]	[0.5742488907692911, 0.4497568423373529, 1.244920484319382, 1.0, 0.0]	[0.7711601841439916, 0.7161805496242067, 0.5497963451978483, 1.0, 0.0]	[0.5808196422332766, 0.45291577778541353, 1.2790386444786308, 1.0, 0.0]	[0.574250503932801, 0.4497464248403362, 1.2450407909246475, 1.0, 0.0]	[0.48561114180260984, 0.4228058906988167, 0.6280525110379314, 1.0, 0.0]	[0.62139921222073, 0.4972725832362642, 1.2412662898446576, 1.0, 0.0]	[0.6016423148661619, 0.46904627580119723, 1.3259603906496467, 1.0, 0.0]
16000	[0.5753672061349906, 0.452121811466797, 1.2324539466819358, 1.0, 0.0]		[0.5743085885767688, 0.4497860635311865, 1.245225250455823, 1.0, 0.0]	[0.5742463212879341, 0.4497598145890187, 1.2448650669891541, 1.0, 0.0]	[0.7711166836668636, 0.7161344474177195, 0.5498223624914416, 1.0, 0.0]	[0.580812567080789, 0.45291418322323806, 1.2789838385755092, 1.0, 0.0]	[0.5742472162044735, 0.4497511082225754, 1.2449610798189812, 1.0, 0.0]	[0.485572417989658, 0.42276327778556794, 0.6280914020409006, 1.0, 0.0]		[0.6016350383685758, 0.46903867452737164, 1.325963638412042, 1.0, 0.0]
17000	[0.575350880825473, 0.4520960115282847, 1.2325486929718834, 1.0, 0.0]		[0.574277618193596, 0.4497663258809006, 1.2451129231269535, 1.0, 0.0]	[0.5742449185241545, 0.44976230415503116, 1.2448261436912331, 1.0, 0.0]	[0.7710939190614908, 0.716099600167911, 0.549943188935799, 1.0, 0.0]	[0.5808075465035083, 0.45291318252564994, 1.278943639778583, 1.0, 0.0]	[0.5742454618754347, 0.44975518795318753, 1.2449027392224714, 1.0, 0.0]	[0.48553976246397595, 0.42272735672923756, 0.6281240573473839, 1.0, 0.0]		[0.6016299870777486, 0.4690329021245721, 1.3259708495317648, 1.0, 0.0]
18000	[0.5753382468040462, 0.452075581280915, 1.2326266552313125, 1.0, 0.0]		[0.5742659113604176, 0.44976260017519915, 1.2450331118521842, 1.0, 0.0]	[0.5742441446730993, 0.4497643521677157, 1.2447979250538357, 1.0, 0.0]	[0.7710803418810884, 0.7160728479943502, 0.5500749388673816, 1.0, 0.0]	[0.5808038390900359, 0.45291250428433494, 1.2789133480570096, 1.0, 0.0]	[0.5742444981983228, 0.44975859923260125, 1.2448589896572149, 1.0, 0.0]	[0.4855121669097968, 0.42269702376187884, 0.62815143147918, 1.0, 0.0]		[0.6016263116190368, 0.46902842137216, 1.3259789024687683, 1.0, 0.0]
19000	[0.5753283865222287, 0.45205938921311645, 1.2326899730911225, 1.0, 0.0]		[0.5742613276809143, 0.44976398224875885, 1.2449734543215547, 1.0, 0.0]	[0.574243712023182, 0.4497660179544882, 1.244776940686939, 1.0, 0.0]	[0.7710713245069192, 0.7160520922811254, 0.5501923222579375, 1.0, 0.0]	[0.5808010267443922, 0.4529120172467636, 1.2788900949762858, 1.0, 0.0]	[0.5742439535912371, 0.44976139462521264, 1.2448255896602451, 1.0, 0.0]	[0.48548880465843547, 0.4226713669664613, 0.6281743769197417, 1.0, 0.0]		[0.6016235429150736, 0.4690248960652238, 1.3259864684984972, 1.0, 0.0]
20000	[0.5753206473164845, 0.4520465488080311, 1.2327409850845334, 1.0, 0.0]		[0.5742594291470164, 0.44976667151813127, 1.2449275762888519, 1.0, 0.0]	[0.574243465937806, 0.4497673628707283, 1.2447610306707761, 1.0, 0.0]	[0.7710648788747815, 0.716035873789564, 0.5502900508521746, 1.0, 0.0]	[0.5807988555284711, 0.4529116531253239, 1.2788720240314726, 1.0, 0.0]	[0.5742436367034869, 0.4497636603135963, 1.244799763898905, 1.0, 0.0]	[0.48546899237023805, 0.42264963004632694, 0.628193623239111, 1.0, 0.0]		[0.6016214064114879, 0.46902209978151665, 1.3259930662997121, 1.0, 0.0]
21000	[0.5753145498390515, 0.45203636240460143, 1.232781874344501, 1.0, 0.0]		[0.5742585751329571, 0.44976939941725497, 1.2448917571570208, 1.0, 0.0]	[0.5742433228854806, 0.44976844335999067, 1.2447487952549001, 1.0, 0.0]	[0.7710600623688622, 0.7160231398888717, 0.5503692247999051, 1.0, 0.0]	[0.5807971602387685, 0.4529113734686291, 1.2788578677013933, 1.0, 0.0]	[0.5742434465370436, 0.4497654848187335, 1.244779617183101, 1.0, 0.0]	[0.4854521626183487, 0.4226311842354657, 0.6282097838288301, 1.0, 0.0]		[0.6016197311240892, 0.4690198709222666, 1.3259986020182262, 1.0, 0.0]
22000	[0.5753097336209756, 0.45202827936412926, 1.2328145425684631, 1.0, 0.0]		[0.5742581481270719, 0.44977179108036597, 1.244863570467059, 1.0, 0.0]	[0.57424323747558, 0.4497693084800778, 1.2447392899550223, 1.0, 0.0]	[0.7710563713673555, 0.7160131097528093, 0.5504326161454616, 1.0, 0.0]	[0.5807958269927335, 0.4529111548673387, 1.2788467212539474, 1.0, 0.0]	[0.5742433286185606, 0.449766948063765, 1.244763805547956, 1.0, 0.0]	[0.4854378429295952, 0.4226155058748438, 0.6282233705475136, 1.0, 0.0]		[0.6016184038880932, 0.4690180892251628, 1.3260031466293032, 1.0, 0.0]
23000	[0.5753059229646236, 0.4520218642492158, 1.2328405871540777, 1.0, 0.0]		[0.5742579088723643, 0.44977377890745346, 1.2448412996491083, 1.0, 0.0]	[0.5742431848587372, 0.44976999953521485, 1.2447318532352234, 1.0, 0.0]	[0.7710535028312074, 0.7160051922509473, 0.5504831058026018, 1.0, 0.0]	[0.5807947736749091, 0.45291098202992636, 1.278837916449827, 1.0, 0.0]	[0.5742432529717441, 0.4497681183982707, 1.244751345734734, 1.0, 0.0]	[0.4854256391372369, 0.4226021582147031, 0.6282348092253378, 1.0, 0.0]		[0.6016173456203551, 0.4690166626197634, 1.3260068300059171, 1.0, 0.0]
