Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
BRCA_TCGA-A2-A0YT	8	2	12	12	0	0	0	1	4	2	22	18	0
BRCA_TCGA-A2-A1FV	7	0	2	3	0	0	4	3	11	1	11	8	0
BRCA_TCGA-A2-A1FW	17	4	4	0	11	0	6	2	13	0	27	7	4
BRCA_TCGA-A2-A1FX	2	3	2	3	0	0	0	0	7	2	9	0	0
BRCA_TCGA-A2-A1FZ	8	0	0	0	3	0	3	1	3	5	4	2	0
BRCA_TCGA-A2-A1G0	0	0	2	0	0	0	0	1	8	4	6	2	0
BRCA_TCGA-A2-A1G1	3	0	1	0	6	0	0	5	6	3	12	3	0
BRCA_TCGA-A2-A1G6	1	0	0	2	0	1	0	0	0	0	5	1	0
BRCA_TCGA-A2-A259	0	0	3	2	0	0	1	1	10	0	8	4	0
BRCA_TCGA-A2-A25A	6	5	4	2	0	6	2	0	15	0	15	74	0
BRCA_TCGA-A2-A25B	0	3	7	9	6	12	2	2	23	0	56	8	0
BRCA_TCGA-A2-A25C	0	3	0	0	0	6	10	0	7	0	10	3	0
BRCA_TCGA-A2-A25D	3	0	2	3	5	0	2	1	13	5	18	8	4
BRCA_TCGA-A2-A25E	3	2	2	2	9	0	5	3	3	1	23	7	1
BRCA_TCGA-A2-A25F	0	0	0	0	0	0	0	0	1	0	5	0	0
BRCA_TCGA-A2-A3KD	4	0	0	0	0	0	3	1	9	0	0	1	0
BRCA_TCGA-A2-A3XT	6	4	0	0	7	0	5	0	2	11	53	29	5
BRCA_TCGA-A2-A3XU	9	0	0	0	5	1	2	0	3	2	8	1	0
BRCA_TCGA-A2-A3XV	1	0	4	9	1	0	6	1	10	0	14	0	2
BRCA_TCGA-A2-A3XW	2	0	2	1	0	0	1	2	2	4	2	1	0
BRCA_TCGA-A2-A3XX	5	0	4	6	2	0	0	4	4	0	24	3	0
BRCA_TCGA-A2-A3XZ	8	0	6	0	5	0	0	0	2	0	9	22	0
BRCA_TCGA-A2-A3Y0	10	3	3	10	7	4	21	0	14	14	104	47	6
BRCA_TCGA-A2-A4S1	13	7	0	4	1	1	8	0	5	3	47	7	2
BRCA_TCGA-A2-A4S2	5	0	0	2	3	0	4	1	4	3	13	7	1
BRCA_TCGA-A2-A4S3	13	5	3	3	8	0	9	5	11	4	30	16	0
BRCA_TCGA-A7-A0CE	0	1	2	5	1	4	5	0	11	1	23	7	1
BRCA_TCGA-A7-A0CH	0	0	1	0	0	0	0	0	9	4	3	0	0
BRCA_TCGA-A7-A0D9	0	0	0	2	0	0	0	1	4	0	0	4	1
BRCA_TCGA-A7-A0DA	6	2	5	4	7	2	2	1	14	4	114	17	9
BRCA_TCGA-A7-A0DB	9	1	1	0	2	0	3	3	0	0	10	21	3
BRCA_TCGA-A7-A13D	9	0	3	3	7	2	5	5	17	0	72	17	0
BRCA_TCGA-A7-A13E	32	0	1	0	11	1	0	4	0	5	19	7	0
BRCA_TCGA-A7-A13F	11	2	5	1	5	0	3	0	6	3	5	4	0
BRCA_TCGA-A7-A13G	4	1	0	5	2	0	0	0	3	1	5	10	1
BRCA_TCGA-A7-A26E	12	0	9	0	3	1	3	2	6	1	10	18	2
BRCA_TCGA-A7-A26F	8	2	3	0	4	0	0	3	7	0	16	3	0
BRCA_TCGA-A7-A26G	3	2	2	3	5	2	2	1	4	0	27	17	0
BRCA_TCGA-A7-A26H	22	4	5	0	0	0	3	2	13	3	18	80	0
BRCA_TCGA-A7-A26I	2	1	2	1	1	0	3	0	11	4	14	7	0
BRCA_TCGA-A7-A26J	4	3	0	0	0	0	1	1	7	0	22	4	0
BRCA_TCGA-A7-A2KD	9	1	3	5	0	0	1	0	15	2	10	8	1
BRCA_TCGA-A7-A3RF	5	0	0	0	3	0	3	4	3	3	17	2	0
BRCA_TCGA-A7-A425	9	0	0	1	0	2	2	2	4	0	13	0	0
BRCA_TCGA-A7-A4SC	4	1	3	4	0	0	0	0	7	4	12	1	2
BRCA_TCGA-A7-A4SD	20	0	2	0	7	2	5	0	4	0	15	2	5
BRCA_TCGA-A7-A4SE	4	3	1	0	20	0	9	5	5	0	57	40	2
BRCA_TCGA-A7-A56D	14	10	17	12	6	2	1	0	28	0	30	104	1
BRCA_TCGA-A7-A5ZV	24	2	6	4	3	5	10	0	23	26	115	34	16
BRCA_TCGA-A7-A5ZW	5	1	2	1	1	0	3	2	0	8	1	12	0
BRCA_TCGA-A7-A5ZX	1	1	5	3	0	1	3	0	7	0	13	4	4
BRCA_TCGA-A7-A6VV	11	0	0	0	3	2	0	0	17	10	13	8	0
BRCA_TCGA-A7-A6VW	5	0	3	0	3	3	9	2	17	6	34	7	3
BRCA_TCGA-A7-A6VX	0	1	4	6	6	6	7	3	28	6	61	40	9
BRCA_TCGA-A7-A6VY	2	3	5	5	11	0	8	3	17	1	61	19	1
BRCA_TCGA-A8-A075	1	3	3	5	0	1	1	0	26	0	31	26	3
BRCA_TCGA-AC-A23C	3	7	6	9	7	0	12	0	15	1	27	55	3
BRCA_TCGA-AC-A23E	7	1	1	0	0	0	0	0	5	1	9	0	0
BRCA_TCGA-AC-A23H	36	131	359	26	66	0	0	5	0	142	113	5500	0
BRCA_TCGA-AC-A2B8	6	2	8	0	5	0	1	2	10	2	11	81	0
BRCA_TCGA-AC-A2BK	13	0	3	14	0	2	7	0	11	10	47	3	0
BRCA_TCGA-AC-A2BM	3	0	1	2	4	0	0	0	1	0	8	2	5
BRCA_TCGA-AC-A2FB	1	0	0	1	0	0	3	0	6	1	1	4	0
BRCA_TCGA-AC-A2FF	0	0	0	0	0	1	0	1	3	0	1	5	0
BRCA_TCGA-AC-A2FG	6	0	3	0	5	0	2	2	2	0	10	9	0
BRCA_TCGA-AC-A2FK	0	0	0	0	0	0	0	0	1	0	1	1	0
BRCA_TCGA-AC-A2FO	0	2	3	0	0	0	0	1	5	0	5	11	0
BRCA_TCGA-AC-A2QH	6	1	0	3	4	2	0	2	0	0	5	4	0
BRCA_TCGA-AC-A3HN	3	0	1	4	0	0	3	0	1	0	5	3	2
BRCA_TCGA-AC-A3OD	2	3	5	6	2	3	0	0	10	0	2	6	0
BRCA_TCGA-AC-A3QP	2	0	3	0	1	0	2	0	1	8	18	0	0
BRCA_TCGA-AC-A3QQ	5	2	0	6	0	0	0	0	13	0	7	1	2
BRCA_TCGA-AC-A3W5	2	1	8	15	6	0	0	0	25	6	79	62	7
BRCA_TCGA-AC-A3YI	1	0	2	2	0	0	2	0	2	2	7	0	0
BRCA_TCGA-AC-A3YJ	6	1	1	3	0	0	3	0	17	1	2	4	0
BRCA_TCGA-AC-A4ZE	7	0	2	7	5	0	1	2	6	12	24	8	0
BRCA_TCGA-AC-A5EH	8	7	5	3	14	3	5	0	24	21	82	26	7
BRCA_TCGA-AC-A5EI	7	0	3	0	0	0	4	2	8	3	6	10	0
BRCA_TCGA-AC-A5XS	0	16	71	5	0	2	0	0	62	0	21	538	0
BRCA_TCGA-AC-A5XU	26	1	3	11	0	4	3	4	17	0	25	19	0
BRCA_TCGA-AC-A62V	19	6	3	23	0	0	0	0	19	2	25	9	0
BRCA_TCGA-AC-A62X	34	6	0	4	0	2	5	0	12	3	15	4	2
BRCA_TCGA-AC-A62Y	14	0	2	0	6	3	5	2	4	3	18	29	3
BRCA_TCGA-AC-A6IV	3	0	4	0	3	1	0	0	5	3	8	0	0
BRCA_TCGA-AC-A6IW	12	0	6	15	0	0	0	0	33	17	52	91	5
BRCA_TCGA-AC-A6IX	4	0	2	6	0	0	4	1	16	7	0	31	0
BRCA_TCGA-AC-A6NO	8	0	2	1	6	0	4	3	4	4	8	3	0
BRCA_TCGA-AC-A7VB	8	0	0	5	1	0	0	2	7	8	4	0	0
BRCA_TCGA-AC-A7VC	6	0	3	0	3	0	2	0	3	0	9	0	0
BRCA_TCGA-AC-A8OP	33	8	13	5	20	22	12	7	17	5	73	26	3
BRCA_TCGA-AC-A8OQ	18	1	10	8	4	4	6	7	16	0	39	19	5
BRCA_TCGA-AC-A8OR	3	0	0	6	0	3	0	0	7	1	10	1	1
BRCA_TCGA-AC-A8OS	8	0	1	0	3	0	6	3	15	5	16	17	5
BRCA_TCGA-AN-A0XL	5	3	2	0	0	3	3	0	12	6	6	0	0
BRCA_TCGA-AN-A0XN	7	5	4	5	12	6	15	0	10	3	82	16	10
BRCA_TCGA-AN-A0XO	1	0	6	3	0	0	6	1	3	3	9	11	0
BRCA_TCGA-AN-A0XP	4	1	1	2	1	1	7	0	2	0	6	7	2
BRCA_TCGA-AN-A0XR	5	0	0	0	5	0	0	0	9	0	13	6	0
BRCA_TCGA-AN-A0XS	2	0	3	1	5	0	1	1	3	0	10	6	0
BRCA_TCGA-AN-A0XT	6	0	1	0	2	1	1	2	6	0	2	1	0
BRCA_TCGA-AN-A0XU	7	10	3	0	10	2	1	4	11	12	59	18	0
BRCA_TCGA-AN-A0XV	5	0	4	7	0	0	4	0	3	1	15	5	0
BRCA_TCGA-AN-A0XW	8	4	12	0	3	2	0	2	0	0	0	390	2
BRCA_TCGA-AO-A03M	11	16	72	0	0	0	0	0	0	0	13	1038	0
BRCA_TCGA-AO-A03N	11	4	10	2	11	5	0	3	5	0	7	76	0
BRCA_TCGA-AO-A03U	0	0	0	0	0	0	0	0	0	2	1	2	0
BRCA_TCGA-AO-A03V	2	2	5	2	3	0	1	5	17	3	14	16	2
BRCA_TCGA-AO-A0JG	0	3	0	0	1	2	2	0	2	1	6	2	2
BRCA_TCGA-AO-A124	7	7	5	5	9	0	0	3	20	20	87	9	6
BRCA_TCGA-AO-A125	10	1	4	0	5	3	1	0	8	1	8	4	0
BRCA_TCGA-AO-A126	4	0	2	0	1	0	0	2	0	2	11	3	0
BRCA_TCGA-AO-A128	314	0	7	74	159	72	169	0	0	365	0	24	26
BRCA_TCGA-AO-A129	11	2	1	0	6	10	7	4	3	8	51	34	7
BRCA_TCGA-AO-A12A	6	0	0	2	0	0	0	0	3	1	2	5	0
BRCA_TCGA-AO-A12B	8	0	0	0	0	2	1	4	0	0	7	1	0
BRCA_TCGA-AO-A12D	4	0	11	0	0	0	0	1	19	1	8	29	0
BRCA_TCGA-AO-A12E	8	0	2	3	0	0	0	0	6	1	11	2	0
BRCA_TCGA-AO-A12F	7	1	2	10	0	1	0	5	3	0	11	0	0
BRCA_TCGA-AO-A12G	9	0	0	0	5	0	6	3	4	0	8	7	0
BRCA_TCGA-AO-A12H	6	0	2	0	4	0	3	2	4	0	9	0	0
BRCA_TCGA-AO-A1KO	0	0	1	0	2	0	1	0	0	1	5	0	0
BRCA_TCGA-AO-A1KR	8	1	3	0	8	0	4	0	6	7	40	12	0
BRCA_TCGA-AO-A1KT	10	0	3	0	3	1	11	0	3	4	13	3	0
BRCA_TCGA-AQ-A04H	27	3	3	3	6	0	8	2	3	0	18	6	2
BRCA_TCGA-AQ-A0Y5	17	0	6	2	0	2	4	0	1	1	17	19	1
BRCA_TCGA-AQ-A1H2	9	0	3	0	4	0	2	1	0	2	9	2	2
BRCA_TCGA-AQ-A1H3	14	0	0	0	0	0	2	1	5	0	3	0	2
BRCA_TCGA-AQ-A54O	5	1	0	0	5	0	0	0	2	1	5	4	2
BRCA_TCGA-AQ-A7U7	4	0	9	5	6	0	0	3	0	4	5	58	2
BRCA_TCGA-AR-A0TP	2	0	1	0	7	2	5	1	4	5	34	8	2
BRCA_TCGA-AR-A0TQ	5	2	2	1	4	0	0	0	10	1	10	13	1
BRCA_TCGA-AR-A0TR	8	0	3	0	6	0	5	0	10	6	2	2	0
BRCA_TCGA-AR-A0TS	8	0	0	4	0	7	0	0	17	4	34	13	3
BRCA_TCGA-AR-A0TT	6	0	5	9	0	0	7	0	16	0	16	14	2
BRCA_TCGA-AR-A0TU	7	5	0	5	4	4	3	1	3	0	44	12	2
BRCA_TCGA-AR-A0TV	13	2	1	0	9	0	5	2	17	0	24	6	0
BRCA_TCGA-AR-A0TW	15	4	3	0	9	2	2	1	0	2	25	4	0
BRCA_TCGA-AR-A0TX	8	1	39	0	5	0	3	0	1	0	11	339	0
BRCA_TCGA-AR-A0TZ	8	4	8	2	5	0	0	4	0	2	10	24	0
BRCA_TCGA-AR-A0U0	3	3	2	2	5	0	0	2	8	0	14	9	2
BRCA_TCGA-AR-A0U1	2	3	1	2	0	3	12	0	6	12	53	13	2
BRCA_TCGA-AR-A0U2	8	0	2	12	2	2	0	1	6	3	20	0	0
BRCA_TCGA-AR-A0U3	3	3	3	9	2	1	0	0	8	0	11	0	0
BRCA_TCGA-AR-A0U4	5	9	4	3	7	1	5	0	14	8	85	56	4
BRCA_TCGA-AR-A1AH	6	8	1	10	3	6	13	1	0	9	49	10	4
BRCA_TCGA-AR-A1AI	6	1	8	6	7	1	5	2	16	1	19	17	0
BRCA_TCGA-AR-A1AJ	11	0	4	0	5	0	2	2	1	1	2	25	0
BRCA_TCGA-AR-A1AK	8	2	6	2	0	0	1	2	9	6	13	33	0
BRCA_TCGA-AR-A1AL	3	0	1	2	0	0	2	0	4	8	3	7	0
BRCA_TCGA-AR-A1AN	11	0	1	1	2	0	1	2	0	0	9	4	0
BRCA_TCGA-AR-A1AO	6	1	8	4	2	3	4	3	9	0	51	26	5
BRCA_TCGA-AR-A1AP	13	2	4	4	0	0	3	0	8	0	6	10	1
BRCA_TCGA-AR-A1AQ	7	0	0	1	9	0	0	0	5	6	10	3	0
BRCA_TCGA-AR-A1AR	6	3	0	6	0	1	0	0	9	1	24	8	5
BRCA_TCGA-AR-A1AS	0	1	4	7	4	0	0	0	3	0	7	15	0
BRCA_TCGA-AR-A1AT	4	0	1	2	2	0	0	1	6	4	10	2	0
BRCA_TCGA-AR-A1AU	6	0	0	2	0	0	2	1	3	1	8	2	1
BRCA_TCGA-AR-A1AV	8	2	3	7	0	0	0	5	6	5	9	4	0
BRCA_TCGA-AR-A1AW	3	2	0	5	2	0	3	1	10	7	6	2	0
BRCA_TCGA-AR-A1AX	1	0	5	3	1	0	0	0	9	2	10	1	0
BRCA_TCGA-AR-A1AY	11	2	2	0	7	0	0	1	12	8	16	13	0
BRCA_TCGA-AR-A24H	7	10	0	2	10	0	3	4	20	2	67	27	0
BRCA_TCGA-AR-A24K	3	0	2	0	5	3	4	1	4	0	12	0	0
BRCA_TCGA-AR-A24L	0	0	0	4	1	0	3	1	6	2	29	6	1
BRCA_TCGA-AR-A24M	3	0	0	2	1	3	0	1	0	9	5	1	0
BRCA_TCGA-AR-A24N	10	0	0	2	5	1	4	1	11	0	6	6	1
BRCA_TCGA-AR-A24O	4	1	0	0	4	0	1	1	7	0	4	0	0
BRCA_TCGA-AR-A24P	2	0	3	2	1	1	1	1	2	0	6	0	0
BRCA_TCGA-AR-A24Q	0	6	5	8	23	6	6	5	21	4	104	41	3
BRCA_TCGA-AR-A24R	7	0	0	2	1	2	0	0	6	7	0	1	0
BRCA_TCGA-AR-A24S	11	1	1	1	0	4	10	1	9	0	7	11	1
