Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M
BRCA_TCGA-BH-A0DE	0	1	1	0	0	1	4	1	15	0	9	1	0
BRCA_TCGA-BH-A0DG	1	1	7	0	6	2	2	0	3	2	8	13	2
BRCA_TCGA-BH-A0DH	12	0	4	1	8	0	0	4	6	3	0	12	2
BRCA_TCGA-BH-A0DI	8	0	0	4	0	2	0	3	2	4	17	22	0
BRCA_TCGA-BH-A0DK	7	3	0	0	0	0	5	3	4	6	19	6	0
BRCA_TCGA-BH-A0DL	12	1	2	7	2	0	2	0	3	6	7	19	4
BRCA_TCGA-BH-A0DO	1	0	4	5	2	0	0	1	3	0	8	6	0
BRCA_TCGA-BH-A0DP	0	0	1	0	0	0	1	0	8	1	5	3	0
BRCA_TCGA-BH-A0DQ	6	0	0	1	2	1	6	0	11	0	7	1	0
BRCA_TCGA-BH-A0DT	3	0	0	0	2	0	0	4	2	0	1	3	0
BRCA_TCGA-BH-A0DV	0	0	0	0	1	0	2	0	4	0	4	3	1
BRCA_TCGA-BH-A0DX	9	1	5	0	0	0	1	3	2	0	16	40	0
BRCA_TCGA-BH-A0DZ	3	4	19	0	0	2	0	6	0	1	5	177	0
BRCA_TCGA-BH-A0E0	10	0	2	0	0	2	0	0	4	0	2	1	3
BRCA_TCGA-BH-A0E1	5	0	3	0	1	0	0	2	0	0	2	6	0
BRCA_TCGA-BH-A0E9	9	0	0	2	2	3	0	0	5	2	4	1	0
BRCA_TCGA-BH-A0EA	1	0	3	5	5	0	1	1	5	1	7	3	0
BRCA_TCGA-BH-A0EI	5	0	1	1	1	0	3	0	8	3	2	0	0
BRCA_TCGA-BH-A0H3	2	0	0	1	0	0	0	2	5	0	6	1	0
BRCA_TCGA-BH-A0H5	0	7	20	1	0	0	0	0	18	0	0	123	0
BRCA_TCGA-BH-A0H7	3	1	1	0	0	2	2	2	0	1	0	5	0
BRCA_TCGA-BH-A0H9	0	0	1	1	0	0	3	0	3	0	8	3	4
BRCA_TCGA-BH-A0HA	95	0	6	21	53	0	111	8	5	38	2	36	7
BRCA_TCGA-BH-A0HI	5	3	2	0	0	0	4	3	8	0	4	6	0
BRCA_TCGA-BH-A0HK	1	0	6	8	0	0	0	1	14	0	5	28	0
BRCA_TCGA-BH-A0HN	8	0	4	0	0	1	0	0	6	2	9	4	0
BRCA_TCGA-BH-A0HP	5	12	26	0	0	8	2	0	17	0	0	287	0
BRCA_TCGA-BH-A0RX	19	0	5	0	4	0	2	0	6	3	7	3	0
BRCA_TCGA-BH-A0W3	2	1	0	0	1	0	0	0	6	4	6	3	0
BRCA_TCGA-BH-A0W4	4	0	6	0	0	0	3	4	3	1	10	8	0
BRCA_TCGA-BH-A0W5	6	1	2	1	2	1	3	0	2	3	8	0	0
BRCA_TCGA-BH-A0W7	4	4	18	0	3	0	0	0	0	14	0	218	0
BRCA_TCGA-BH-A0WA	2	3	0	0	9	1	3	0	27	5	45	18	0
BRCA_TCGA-BH-A18F	7	3	8	0	2	1	2	3	16	0	9	16	0
BRCA_TCGA-BH-A18G	331	13	15	156	365	59	426	0	36	244	0	0	23
BRCA_TCGA-BH-A18H	0	0	3	3	8	0	6	0	12	0	9	10	3
BRCA_TCGA-BH-A18I	10	0	4	3	0	0	0	0	2	0	7	5	0
BRCA_TCGA-BH-A18J	3	3	3	6	3	0	3	3	1	6	3	77	0
BRCA_TCGA-BH-A18K	0	1	5	3	0	0	5	0	14	0	12	26	2
BRCA_TCGA-BH-A18L	13	1	3	6	0	5	4	3	9	2	16	3	0
BRCA_TCGA-BH-A18M	5	0	1	0	1	0	2	0	4	0	0	5	0
BRCA_TCGA-BH-A18N	10	0	1	5	0	0	5	0	0	6	14	1	1
BRCA_TCGA-BH-A18P	1	0	44	10	0	7	2	1	39	0	0	334	0
BRCA_TCGA-BH-A18Q	1	1	1	2	8	4	2	0	13	3	62	8	2
BRCA_TCGA-BH-A18R	1	2	1	0	2	0	0	3	4	5	17	7	0
BRCA_TCGA-BH-A18S	1	1	2	3	3	2	6	0	0	1	15	2	1
BRCA_TCGA-BH-A18T	5	1	2	1	11	5	7	2	4	0	48	16	0
BRCA_TCGA-BH-A18U	17	0	7	0	11	3	3	1	23	13	25	75	0
BRCA_TCGA-BH-A18V	3	11	4	0	8	1	0	1	0	21	101	94	6
BRCA_TCGA-BH-A1EO	17	0	3	2	0	0	1	0	6	0	15	6	0
BRCA_TCGA-BH-A1ET	5	3	0	1	2	0	5	2	5	1	9	0	0
BRCA_TCGA-BH-A1EU	4	0	1	0	0	0	6	2	5	4	10	2	0
BRCA_TCGA-BH-A1EV	14	3	13	1	2	0	8	0	13	0	14	61	0
BRCA_TCGA-BH-A1EW	0	0	3	2	1	0	2	0	7	0	3	3	0
BRCA_TCGA-BH-A1EX	5	0	5	2	0	0	4	0	2	3	13	0	1
BRCA_TCGA-BH-A1EY	8	0	5	0	5	0	6	0	1	4	12	14	0
BRCA_TCGA-BH-A1F0	2	3	4	3	0	2	0	0	17	12	35	17	0
BRCA_TCGA-BH-A1F2	15	3	2	1	1	1	5	0	15	0	11	17	0
BRCA_TCGA-BH-A1F5	6	1	3	0	0	2	1	1	18	0	10	2	0
BRCA_TCGA-BH-A1F6	8	0	0	4	3	0	2	4	6	0	17	7	2
BRCA_TCGA-BH-A1F8	7	6	14	0	3	1	4	0	28	0	9	119	1
BRCA_TCGA-BH-A1FC	14	3	5	6	6	2	7	10	2	0	34	36	5
BRCA_TCGA-BH-A1FE	0	1	3	3	0	1	0	0	6	0	7	4	1
BRCA_TCGA-BH-A1FG	4	0	1	1	5	2	0	4	1	0	2	1	0
BRCA_TCGA-BH-A1FH	7	0	1	0	2	0	0	5	8	0	6	4	0
BRCA_TCGA-BH-A1FJ	8	0	0	0	2	0	0	5	20	0	9	1	0
BRCA_TCGA-BH-A1FL	2	0	2	4	0	0	0	0	9	7	1	1	0
BRCA_TCGA-BH-A1FM	11	0	7	3	0	3	2	1	1	0	16	18	0
BRCA_TCGA-BH-A1FN	4	3	1	1	3	0	0	4	6	12	35	73	4
BRCA_TCGA-BH-A1FR	3	0	1	1	1	0	0	0	0	2	8	1	0
BRCA_TCGA-BH-A1FU	4	3	7	7	5	0	9	5	9	16	28	19	6
BRCA_TCGA-BH-A201	2	3	2	0	3	2	2	0	2	8	0	3	0
BRCA_TCGA-BH-A202	6	3	0	0	3	0	3	0	0	0	10	3	0
BRCA_TCGA-BH-A203	26	1	9	0	12	4	0	1	6	4	13	23	0
BRCA_TCGA-BH-A204	4	3	3	4	1	2	2	0	10	0	18	5	0
BRCA_TCGA-BH-A208	7	0	4	0	0	0	2	0	18	3	13	35	0
BRCA_TCGA-BH-A209	3	1	10	0	2	0	0	0	4	6	3	90	0
BRCA_TCGA-BH-A28Q	6	0	0	3	4	0	0	0	3	0	5	3	2
BRCA_TCGA-BH-A2L8	5	7	41	1	3	1	0	0	24	0	0	546	0
BRCA_TCGA-BH-A42U	1	0	4	0	0	1	0	1	7	0	3	15	0
BRCA_TCGA-BH-A42V	3	0	6	0	0	0	2	0	7	0	0	37	0
BRCA_TCGA-BH-A5IZ	10	3	0	0	0	5	8	2	17	0	39	12	0
BRCA_TCGA-BH-A5J0	3	1	12	8	0	2	2	4	14	4	4	48	0
BRCA_TCGA-BH-A6R8	11	0	3	0	4	0	2	1	1	0	10	5	0
BRCA_TCGA-BH-A6R9	3	1	2	0	0	1	1	0	6	0	10	0	1
BRCA_TCGA-BH-A8FY	0	1	0	8	1	0	0	0	13	3	21	8	1
BRCA_TCGA-BH-A8FZ	6	3	2	8	2	2	9	3	0	0	38	13	5
BRCA_TCGA-BH-A8G0	5	0	2	0	0	0	3	0	3	3	0	0	1
BRCA_TCGA-BH-AB28	5	0	2	8	3	3	0	5	4	3	3	5	2
BRCA_TCGA-C8-A12K	5	3	0	4	4	0	4	3	8	12	68	60	2
BRCA_TCGA-C8-A12L	3	0	3	6	12	0	0	1	11	0	48	5	0
BRCA_TCGA-C8-A12M	11	0	9	5	8	1	3	11	11	1	21	1	0
BRCA_TCGA-C8-A12N	9	1	0	0	4	0	3	0	0	0	6	4	0
BRCA_TCGA-C8-A12O	16	1	3	0	0	1	0	2	11	2	11	2	0
BRCA_TCGA-C8-A12P	16	5	15	0	7	0	6	3	11	6	22	105	6
BRCA_TCGA-C8-A12Q	1	4	16	5	0	3	5	0	15	12	1	76	1
BRCA_TCGA-C8-A12T	12	8	11	0	8	1	1	1	2	0	10	160	0
BRCA_TCGA-C8-A12U	14	0	0	0	3	0	2	0	16	2	16	8	0
BRCA_TCGA-C8-A12V	2	0	2	0	10	5	0	6	1	0	20	4	2
BRCA_TCGA-C8-A12W	26	1	6	0	4	0	8	3	9	0	17	3	0
BRCA_TCGA-C8-A12X	15	0	4	4	2	0	1	0	17	10	7	1	4
BRCA_TCGA-C8-A12Y	10	0	1	8	4	3	2	5	0	7	3	3	0
BRCA_TCGA-C8-A12Z	10	1	3	1	4	0	4	0	12	0	6	20	0
BRCA_TCGA-C8-A130	20	0	5	0	1	0	1	0	0	10	8	7	2
BRCA_TCGA-C8-A131	0	1	9	12	1	1	2	0	15	4	21	6	2
BRCA_TCGA-C8-A132	8	1	1	0	7	0	3	2	2	0	27	32	1
BRCA_TCGA-C8-A133	0	1	2	0	3	4	0	0	6	5	6	4	2
BRCA_TCGA-C8-A134	2	8	2	2	6	9	2	2	15	5	59	5	0
BRCA_TCGA-C8-A135	21	1	4	6	4	2	8	1	0	0	22	8	0
BRCA_TCGA-C8-A137	6	0	9	0	0	0	2	4	5	0	9	26	1
BRCA_TCGA-C8-A138	8	4	1	0	0	3	5	1	13	2	15	0	0
BRCA_TCGA-C8-A1HE	2	0	3	2	0	0	0	0	13	3	4	26	1
BRCA_TCGA-C8-A1HF	2	1	2	3	0	2	0	1	7	4	3	14	0
BRCA_TCGA-C8-A1HG	16	0	3	4	0	1	7	0	13	3	15	7	0
BRCA_TCGA-C8-A1HI	13	1	1	0	10	0	4	6	5	0	17	15	0
BRCA_TCGA-C8-A1HJ	9	2	1	0	10	4	8	0	0	8	64	13	5
BRCA_TCGA-C8-A1HK	6	3	6	3	5	0	4	0	0	3	17	26	0
BRCA_TCGA-C8-A1HL	0	1	1	8	1	2	0	2	12	4	6	0	0
BRCA_TCGA-C8-A1HM	18	12	24	4	5	0	0	0	0	20	46	318	1
BRCA_TCGA-C8-A1HN	14	2	1	0	2	0	0	4	14	11	17	5	0
BRCA_TCGA-C8-A1HO	4	3	2	0	3	1	2	4	9	2	9	10	0
BRCA_TCGA-C8-A26V	7	1	7	5	0	0	0	0	0	14	12	48	2
BRCA_TCGA-C8-A26W	1	0	9	3	0	0	5	0	13	3	5	29	1
BRCA_TCGA-C8-A26X	11	1	4	3	1	2	0	0	19	13	16	5	0
BRCA_TCGA-C8-A26Y	6	26	53	5	0	0	3	19	7	76	54	647	20
BRCA_TCGA-C8-A26Z	10	1	3	5	0	0	0	0	9	0	19	1	1
BRCA_TCGA-C8-A273	5	1	2	0	3	0	0	1	2	1	7	1	1
BRCA_TCGA-C8-A274	10	5	17	9	8	5	5	0	0	7	17	197	1
BRCA_TCGA-C8-A275	6	0	12	1	8	0	2	0	8	0	10	92	3
BRCA_TCGA-C8-A278	9	1	4	0	4	0	3	2	2	0	15	13	0
BRCA_TCGA-C8-A27A	4	4	4	1	0	0	0	3	6	3	7	8	0
BRCA_TCGA-C8-A27B	2	3	4	6	1	1	3	0	0	6	60	71	5
BRCA_TCGA-C8-A3M7	8	5	25	7	0	7	2	0	36	0	0	131	0
BRCA_TCGA-C8-A3M8	6	0	3	6	0	0	5	1	4	8	17	12	0
BRCA_TCGA-C8-A8HP	8	6	30	7	9	0	0	0	0	4	11	198	0
BRCA_TCGA-C8-A8HQ	20	2	43	0	4	8	3	1	5	3	0	281	2
BRCA_TCGA-C8-A8HR	8	0	2	3	0	0	2	5	12	8	10	4	6
BRCA_TCGA-C8-A9FZ	8	0	0	4	2	0	3	0	0	0	8	4	0
BRCA_TCGA-D8-A13Y	4	1	4	2	3	0	7	4	19	3	11	21	3
BRCA_TCGA-D8-A13Z	17	2	3	0	9	0	0	0	5	0	45	15	7
BRCA_TCGA-D8-A140	6	2	7	15	7	2	9	7	28	0	26	25	0
BRCA_TCGA-D8-A141	4	0	1	0	0	0	0	0	7	0	9	0	0
BRCA_TCGA-D8-A142	28	1	6	0	0	6	9	13	23	0	61	13	6
BRCA_TCGA-D8-A143	9	0	0	2	4	0	0	1	10	0	29	4	2
BRCA_TCGA-D8-A145	10	0	0	4	3	0	4	0	4	4	15	3	0
BRCA_TCGA-D8-A146	5	0	5	5	0	0	5	1	11	2	2	4	1
BRCA_TCGA-D8-A147	4	2	7	0	17	7	2	2	5	0	82	59	13
BRCA_TCGA-D8-A1J8	53	25	69	53	119	3	32	1	36	45	5	518	2
BRCA_TCGA-D8-A1J9	2	13	32	3	0	0	0	0	0	7	12	203	6
BRCA_TCGA-D8-A1JB	2	1	2	1	3	1	4	0	12	1	26	6	4
BRCA_TCGA-D8-A1JC	8	3	11	0	6	1	1	3	9	0	15	65	0
BRCA_TCGA-D8-A1JD	3	5	5	4	21	1	0	2	7	1	47	23	3
BRCA_TCGA-D8-A1JE	8	1	0	0	5	0	1	5	0	5	12	3	0
BRCA_TCGA-D8-A1JF	6	0	2	5	10	0	1	5	0	1	13	6	0
BRCA_TCGA-D8-A1JG	14	35	21	7	4	3	4	21	18	0	27	14	1
BRCA_TCGA-D8-A1JH	3	0	1	1	0	3	2	0	1	3	7	2	1
BRCA_TCGA-D8-A1JI	0	0	3	2	6	0	2	2	15	6	6	0	0
BRCA_TCGA-D8-A1JJ	8	1	9	5	6	0	3	0	8	1	10	43	4
BRCA_TCGA-D8-A1JK	0	5	5	10	5	19	19	14	48	19	71	26	8
BRCA_TCGA-D8-A1JL	2	3	5	3	7	2	12	1	11	7	60	11	3
BRCA_TCGA-D8-A1JM	8	0	4	0	3	0	0	1	6	4	25	2	0
BRCA_TCGA-D8-A1JN	4	7	29	5	0	0	0	2	26	6	2	127	0
BRCA_TCGA-D8-A1JP	0	2	3	3	5	0	15	5	11	5	66	13	7
BRCA_TCGA-D8-A1JS	4	2	1	1	1	0	3	1	6	1	7	2	0
BRCA_TCGA-D8-A1JT	6	0	1	3	0	2	2	2	12	0	13	0	0
BRCA_TCGA-D8-A1JU	4	0	1	0	1	0	5	1	2	0	5	1	0
BRCA_TCGA-D8-A1X5	13	6	1	0	0	5	9	0	4	0	17	8	3
BRCA_TCGA-D8-A1X6	11	3	0	3	2	0	2	0	9	0	9	3	0
BRCA_TCGA-D8-A1X7	2	0	3	2	1	0	1	2	9	0	10	2	0
BRCA_TCGA-D8-A1X9	3	4	0	0	14	3	1	6	2	18	42	9	0
BRCA_TCGA-D8-A1XA	5	0	2	0	0	0	5	1	6	5	4	0	0
BRCA_TCGA-D8-A1XB	8	0	4	7	0	1	0	1	3	9	9	8	0
BRCA_TCGA-D8-A1XC	6	2	1	3	3	0	4	0	11	0	4	0	0
BRCA_TCGA-D8-A1XF	12	0	7	5	0	6	0	0	2	0	15	4	0
BRCA_TCGA-D8-A1XG	0	0	2	2	5	3	2	0	0	4	8	1	0
BRCA_TCGA-D8-A1XK	110	5	0	31	0	5	624	1	0	391	74	0	59
BRCA_TCGA-D8-A1XL	7	4	4	2	3	7	7	2	2	9	50	10	3
BRCA_TCGA-D8-A1XM	7	2	9	0	0	0	0	4	15	2	5	20	0
BRCA_TCGA-D8-A1XO	4	0	0	0	4	0	0	1	2	0	8	9	1
BRCA_TCGA-D8-A1XQ	166	8	14	30	149	5	215	17	15	214	128	41	29
BRCA_TCGA-D8-A1XR	5	0	1	5	5	4	3	0	1	1	3	3	1
BRCA_TCGA-D8-A1XS	2	0	4	3	0	0	0	1	0	0	12	4	0
BRCA_TCGA-D8-A1XT	7	0	2	3	0	3	3	0	10	0	11	4	2
BRCA_TCGA-D8-A1XU	3	0	1	0	2	0	2	0	8	0	7	12	0
BRCA_TCGA-D8-A1XV	9	0	0	0	0	0	2	2	7	3	9	4	0
BRCA_TCGA-D8-A1XW	8	0	3	2	8	0	9	3	4	0	60	16	9
BRCA_TCGA-D8-A1XY	15	1	2	3	2	4	0	3	11	1	9	8	0
BRCA_TCGA-D8-A1XZ	29	2	5	2	17	0	0	2	2	0	27	10	0
BRCA_TCGA-D8-A1Y0	6	4	2	0	7	3	6	0	8	0	30	14	1
BRCA_TCGA-D8-A1Y1	121	1	5	0	28	2	16	15	3	9	10	23	0
BRCA_TCGA-D8-A1Y2	6	0	2	0	2	0	1	1	0	0	0	10	0
BRCA_TCGA-D8-A1Y3	22	0	2	0	0	0	0	3	14	12	12	1	1
BRCA_TCGA-D8-A27E	1	0	1	0	2	0	0	0	2	0	4	1	0
BRCA_TCGA-D8-A27F	3	3	1	0	7	0	3	5	0	1	36	11	0
BRCA_TCGA-D8-A27G	0	26	93	10	2	2	0	0	33	6	3	1001	0
BRCA_TCGA-D8-A27H	9	0	0	0	4	2	9	4	0	0	74	57	1
BRCA_TCGA-D8-A27I	6	0	1	0	3	0	2	2	0	1	13	8	0
BRCA_TCGA-D8-A27K	5	0	1	0	1	0	0	1	5	4	4	0	0
BRCA_TCGA-D8-A27L	0	0	6	6	0	1	0	0	17	0	3	20	0
BRCA_TCGA-D8-A27M	3	4	5	6	0	3	3	5	2	4	41	14	0
BRCA_TCGA-D8-A27N	15	1	4	2	4	2	0	0	7	2	18	4	1
BRCA_TCGA-D8-A27P	2	0	1	8	2	0	1	0	4	1	10	1	0
BRCA_TCGA-D8-A27R	0	0	4	4	0	0	0	0	7	0	16	4	0
BRCA_TCGA-D8-A27T	8	0	0	4	0	2	0	2	4	5	2	4	0
BRCA_TCGA-D8-A27V	2	7	23	4	0	0	2	0	20	9	11	157	0
BRCA_TCGA-D8-A27W	22	0	2	2	6	0	3	1	2	0	11	5	1
BRCA_TCGA-D8-A3Z6	7	1	0	2	4	0	0	0	6	9	1	7	0
BRCA_TCGA-D8-A4Z1	0	1	7	4	0	0	0	0	6	1	0	27	0
BRCA_TCGA-D8-A73U	0	5	15	7	0	0	5	0	37	0	0	138	0
BRCA_TCGA-D8-A73W	13	0	0	9	5	0	0	0	9	1	7	4	4
BRCA_TCGA-D8-A73X	12	0	3	0	0	2	7	2	2	7	11	6	0
BRCA_TCGA-E2-A105	12	2	0	1	4	2	9	0	17	0	12	8	0
BRCA_TCGA-E2-A107	6	1	3	0	0	0	4	4	8	3	1	6	0
BRCA_TCGA-E2-A108	7	3	6	0	5	3	7	2	0	3	25	125	0
BRCA_TCGA-E2-A109	8	2	3	7	2	6	1	0	20	8	25	1	1
BRCA_TCGA-E2-A10A	0	0	0	5	1	0	1	0	8	0	4	9	0
BRCA_TCGA-E2-A10B	5	0	4	1	2	3	2	3	6	10	4	31	2
BRCA_TCGA-E2-A10C	0	11	50	3	0	1	2	1	25	0	0	425	1
BRCA_TCGA-E2-A10F	8	0	1	2	0	0	2	1	3	3	5	5	0
BRCA_TCGA-E2-A14N	2	0	6	4	1	1	1	0	12	5	48	21	8
BRCA_TCGA-E2-A14O	10	1	6	0	0	1	1	0	9	0	8	0	0
BRCA_TCGA-E2-A14P	12	3	10	8	0	0	6	2	23	11	10	27	0
BRCA_TCGA-E2-A14Q	9	1	0	0	0	0	0	0	12	8	3	5	2
BRCA_TCGA-E2-A14R	4	3	4	3	8	1	5	8	11	17	61	16	2
BRCA_TCGA-E2-A14T	6	0	4	5	1	0	0	1	0	1	12	7	6
BRCA_TCGA-E2-A14V	20	0	12	0	5	4	6	2	5	0	27	54	6
BRCA_TCGA-E2-A14W	0	0	5	4	6	3	2	4	12	2	49	12	3
BRCA_TCGA-E2-A14X	10	0	4	6	0	1	0	1	1	0	6	7	1
BRCA_TCGA-E2-A14Y	7	0	0	0	1	0	2	1	5	2	5	27	0
BRCA_TCGA-E2-A14Z	5	3	8	0	1	2	2	2	14	0	26	28	4
BRCA_TCGA-E2-A150	8	8	4	9	8	0	3	12	4	0	21	7	7
BRCA_TCGA-E2-A152	4	3	24	0	13	0	0	4	0	2	17	104	0
BRCA_TCGA-E2-A153	9	0	1	0	1	0	3	2	1	0	2	7	0
BRCA_TCGA-E2-A154	12	3	5	1	6	1	0	2	0	1	25	2	0
BRCA_TCGA-E2-A155	11	3	3	2	10	0	2	0	10	4	21	14	1
BRCA_TCGA-E2-A156	3	0	1	0	1	0	0	0	5	5	4	5	1
BRCA_TCGA-E2-A158	7	1	3	0	11	3	2	5	5	2	50	4	4
BRCA_TCGA-E2-A159	11	1	6	2	0	0	1	0	8	8	18	140	6
BRCA_TCGA-E2-A15A	6	3	0	4	1	2	2	1	11	0	23	5	4
BRCA_TCGA-E2-A15C	13	0	1	3	4	2	4	0	11	0	10	2	0
BRCA_TCGA-E2-A15D	10	3	1	2	5	0	5	1	0	0	4	1	2
BRCA_TCGA-E2-A15E	9	1	0	0	0	0	5	1	2	9	7	6	0
BRCA_TCGA-E2-A15F	7	0	1	0	2	0	2	0	6	0	9	1	0
BRCA_TCGA-E2-A15G	9	0	5	0	2	0	4	4	13	8	22	6	0
BRCA_TCGA-E2-A15H	6	0	1	5	0	0	0	0	10	7	4	0	0
BRCA_TCGA-E2-A15I	11	2	0	0	1	0	1	1	9	0	14	4	0
BRCA_TCGA-E2-A15J	2	0	0	6	0	0	1	0	6	0	7	0	0
BRCA_TCGA-E2-A15K	7	1	2	5	1	4	1	2	13	3	12	2	0
BRCA_TCGA-E2-A15L	11	0	1	0	0	0	1	2	0	7	8	4	0
BRCA_TCGA-E2-A15M	14	2	3	7	0	3	5	0	17	3	23	31	0
BRCA_TCGA-E2-A15O	7	0	2	0	3	0	0	2	1	2	14	2	1
BRCA_TCGA-E2-A15P	4	0	1	3	0	0	3	0	8	3	5	1	0
BRCA_TCGA-E2-A15R	12	0	5	0	0	0	2	0	15	2	7	4	0
BRCA_TCGA-E2-A15S	5	0	1	0	5	4	8	6	6	0	18	11	4
BRCA_TCGA-E2-A15T	9	0	1	0	2	0	4	3	6	1	11	3	0
BRCA_TCGA-E2-A1AZ	1	1	11	7	0	0	0	0	0	13	22	24	0
BRCA_TCGA-E2-A1B0	11	0	7	1	0	0	14	0	7	1	9	8	2
BRCA_TCGA-E2-A1B1	5	2	3	0	0	0	0	5	18	0	1	32	0
BRCA_TCGA-E2-A1B4	0	0	4	8	0	2	2	0	5	0	15	6	0
BRCA_TCGA-E2-A1B5	5	0	5	3	0	0	4	3	4	0	0	20	2
BRCA_TCGA-E2-A1B6	8	0	0	3	4	2	1	1	0	0	33	4	0
BRCA_TCGA-E2-A1BC	2	0	0	8	0	0	0	3	5	6	15	2	0
BRCA_TCGA-E2-A1BD	12	1	2	0	2	0	0	0	11	7	8	0	0
BRCA_TCGA-E2-A1IE	5	0	1	0	4	3	2	0	6	0	7	0	2
BRCA_TCGA-E2-A1IF	2	0	1	2	0	0	2	1	2	7	7	0	0
BRCA_TCGA-E2-A1IG	6	0	7	1	0	1	3	4	15	0	13	7	0
BRCA_TCGA-E2-A1IH	5	2	3	4	0	0	6	2	5	10	13	34	1
BRCA_TCGA-E2-A1II	4	0	0	3	0	0	0	14	0	1	11	1	0
BRCA_TCGA-E2-A1IJ	5	0	0	0	2	0	0	4	1	2	3	0	1
BRCA_TCGA-E2-A1IK	2	0	4	1	0	0	2	1	0	0	6	1	0
BRCA_TCGA-E2-A1IL	2	1	3	6	0	0	0	0	5	4	9	0	1
BRCA_TCGA-E2-A1IN	13	1	12	2	11	0	2	0	0	4	27	174	2
BRCA_TCGA-E2-A1IO	6	0	1	0	0	0	1	3	0	0	4	1	0
BRCA_TCGA-E2-A1IU	2	0	7	0	2	0	0	0	1	0	13	5	1
BRCA_TCGA-E2-A1L6	1	0	6	2	3	0	0	0	5	5	5	1	0
BRCA_TCGA-E2-A1L7	4	3	1	0	3	2	5	8	9	5	32	5	4
BRCA_TCGA-E2-A1L8	4	0	0	0	0	3	6	3	6	0	9	7	0
BRCA_TCGA-E2-A1L9	5	0	2	1	3	1	1	0	2	2	7	3	1
BRCA_TCGA-E2-A1LA	6	1	1	2	8	0	3	0	7	19	44	10	6
BRCA_TCGA-E2-A1LB	3	3	4	0	2	2	3	4	5	0	6	23	0
BRCA_TCGA-E2-A1LG	8	2	19	0	6	2	0	0	3	0	12	164	3
BRCA_TCGA-E2-A1LH	12	10	3	0	0	7	15	0	9	9	98	59	9
BRCA_TCGA-E2-A1LI	1	0	2	1	1	3	0	0	0	2	16	11	0
BRCA_TCGA-E2-A1LK	22	0	7	8	0	0	0	4	0	6	3	3	1
BRCA_TCGA-E2-A1LL	7	1	0	4	1	1	5	0	6	0	25	5	6
BRCA_TCGA-E2-A2P6	1	1	22	16	0	0	0	0	35	0	0	111	0
BRCA_TCGA-E2-A56Z	6	1	4	6	1	0	10	8	8	0	15	1	0
BRCA_TCGA-E2-A570	5	0	1	0	0	0	3	0	13	0	6	1	1
BRCA_TCGA-E2-A572	8	0	0	0	0	0	5	3	0	0	10	3	0
BRCA_TCGA-E2-A573	5	3	2	8	4	1	6	7	3	0	25	6	2
BRCA_TCGA-E2-A574	9	2	16	11	0	2	3	3	23	0	25	60	2
BRCA_TCGA-E2-A576	17	0	3	0	10	0	1	2	15	0	20	1	1
BRCA_TCGA-E2-A9RU	23	6	10	9	0	0	3	0	15	7	14	19	1
BRCA_TCGA-E9-A1N3	2	3	0	3	3	2	0	0	0	4	9	3	2
BRCA_TCGA-E9-A1N4	5	0	4	0	2	0	0	2	0	1	9	11	0
BRCA_TCGA-E9-A1N5	2	0	1	2	10	0	3	0	0	0	8	12	1
BRCA_TCGA-E9-A1N8	0	3	5	1	0	0	8	0	0	1	8	10	0
BRCA_TCGA-E9-A1N9	12	1	1	0	0	5	0	0	10	11	17	8	1
BRCA_TCGA-E9-A1NA	5	3	6	3	5	3	0	5	14	6	46	21	0
BRCA_TCGA-E9-A1NE	0	6	0	8	2	0	3	0	5	0	31	7	0
BRCA_TCGA-E9-A1NF	2	0	6	1	3	0	1	2	17	3	5	21	0
BRCA_TCGA-E9-A1NG	4	0	1	0	4	0	1	0	4	0	6	1	0
BRCA_TCGA-E9-A1NH	6	1	0	0	1	0	6	1	7	4	8	2	1
BRCA_TCGA-E9-A1QZ	2	0	1	2	0	1	4	1	0	1	11	0	0
BRCA_TCGA-E9-A1R0	9	0	4	3	0	0	1	0	8	0	2	8	0
BRCA_TCGA-E9-A1R2	5	0	1	1	0	0	7	0	3	11	24	13	1
BRCA_TCGA-E9-A1R3	5	0	2	1	2	0	1	0	0	5	6	3	0
BRCA_TCGA-E9-A1R4	3	5	10	6	1	1	1	0	19	10	14	83	0
BRCA_TCGA-E9-A1R5	10	1	2	0	2	0	2	5	4	3	17	5	0
BRCA_TCGA-E9-A1R6	9	3	5	0	2	0	2	0	4	1	8	1	1
BRCA_TCGA-E9-A1R7	0	1	1	7	2	0	2	0	16	2	18	10	4
BRCA_TCGA-E9-A1RA	3	1	1	0	0	0	0	0	8	1	3	5	3
BRCA_TCGA-E9-A1RB	6	0	0	2	3	3	0	0	5	11	8	0	0
BRCA_TCGA-E9-A1RC	11	0	4	5	0	1	3	3	3	8	15	1	1
BRCA_TCGA-E9-A1RD	3	0	1	2	2	0	0	0	3	0	5	7	0
BRCA_TCGA-E9-A1RE	15	0	3	6	6	0	5	4	8	0	16	3	0
BRCA_TCGA-E9-A1RF	17	6	4	5	9	1	2	4	10	4	87	21	0
BRCA_TCGA-E9-A1RG	4	0	1	1	0	3	4	1	4	0	15	8	0
BRCA_TCGA-E9-A1RH	12	3	5	0	5	2	10	2	21	0	36	14	1
