,split,accuracy,f1_score,recall,best_C
mean,5.0,0.8697272727272728,0.8680381543377574,0.8697272727272728,49.6909437318711
std,3.3166247903554,0.03511044263204582,0.035677105655757727,0.03511044263204583,33.936621978556836
