run,seed,f1_score,accuracy,best_C
1,777031,0.9742109458614885,0.97425,0.01
2,205114,0.973710799855586,0.97375,0.01
3,237475,0.9739626516915219,0.974,0.01
4,705009,0.9742109527911317,0.97425,0.01
5,496374,0.973710799855586,0.97375,0.01
6,625687,0.9739626516915219,0.974,0.01
7,3301,0.9742125841998159,0.97425,0.01
8,922113,0.97396088515042,0.974,0.01
9,99801,0.973710799855586,0.97375,0.01
10,184253,0.9737125716525868,0.97375,0.01
