Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-AR-A5QP	1	2	2	6	0	2	0	0	0	5	1	1	7	2	0	4	1
BRCA_TCGA-AR-A5QQ	2	0	1	1	18	8	0	1	0	9	0	6	7	10	4	24	5
BRCA_TCGA-B6-A0I1	0	0	4	18	0	4	0	1	1	3	0	0	3	6	0	29	11
BRCA_TCGA-B6-A0IH	0	9	3	3	3	1	0	1	1	2	6	0	5	0	0	4	3
BRCA_TCGA-B6-A0RH	0	0	2	8	0	3	0	3	1	1	4	0	1	14	0	8	0
BRCA_TCGA-B6-A0RL	1	3	3	5	21	9	0	0	0	2	0	0	6	14	2	0	3
BRCA_TCGA-B6-A0RM	0	2	1	6	3	1	0	3	0	1	8	0	2	4	0	2	3
BRCA_TCGA-B6-A0RN	0	2	2	7	4	4	1	0	1	2	0	2	0	1	1	4	2
BRCA_TCGA-B6-A0RO	0	1	5	0	0	6	1	0	2	0	0	4	9	2	1	12	0
BRCA_TCGA-B6-A0RP	0	3	0	0	7	1	0	0	0	1	0	2	8	0	0	2	6
BRCA_TCGA-B6-A0RQ	1	2	3	3	1	0	0	0	0	0	8	4	12	15	2	0	5
BRCA_TCGA-B6-A0RT	0	1	2	0	9	0	0	6	9	2	0	1	2	17	0	21	2
BRCA_TCGA-B6-A0RU	1	3	6	0	12	0	2	0	2	2	3	5	0	4	2	11	5
BRCA_TCGA-B6-A0RV	2	0	4	7	0	0	0	0	0	1	5	0	0	48	0	0	0
BRCA_TCGA-B6-A0WS	1	1	0	0	3	1	0	2	0	1	0	6	0	3	0	0	0
BRCA_TCGA-B6-A0WT	1	1	3	1	9	0	0	1	0	0	0	6	0	0	0	0	0
BRCA_TCGA-B6-A0WV	0	1	0	4	0	4	0	0	1	0	4	3	5	4	2	9	0
BRCA_TCGA-B6-A0WW	1	0	3	1	15	0	0	3	0	1	3	4	1	8	0	3	4
BRCA_TCGA-B6-A0WX	2	1	3	7	4	3	0	0	0	3	3	3	0	0	0	9	7
BRCA_TCGA-B6-A0WY	0	5	3	2	0	2	3	0	0	2	2	1	0	6	0	7	2
BRCA_TCGA-B6-A0WZ	1	1	6	0	3	0	0	0	0	0	18	0	9	57	0	0	0
BRCA_TCGA-B6-A0X0	1	0	2	1	8	0	0	0	0	0	1	2	0	1	0	3	6
BRCA_TCGA-B6-A0X1	1	1	6	0	2	7	2	0	1	6	0	6	15	16	0	29	0
BRCA_TCGA-B6-A0X4	3	0	5	1	7	0	0	0	0	0	0	0	3	0	0	1	2
BRCA_TCGA-B6-A0X5	6	2	8	0	0	3	0	2	2	4	0	5	0	5	0	1	10
BRCA_TCGA-B6-A0X7	0	0	2	4	1	1	0	0	0	0	4	1	2	4	0	0	4
BRCA_TCGA-B6-A1KN	5	4	0	4	5	6	0	0	7	2	0	4	12	4	0	7	12
BRCA_TCGA-B6-A2IU	0	4	8	1	9	0	0	0	0	0	12	3	6	10	0	0	1
BRCA_TCGA-B6-A401	0	5	2	3	0	3	1	0	0	0	0	0	6	0	1	4	3
BRCA_TCGA-B6-A409	0	4	3	7	5	2	0	0	3	0	0	4	10	6	2	2	8
BRCA_TCGA-B6-A40B	1	3	1	0	13	0	0	0	0	0	9	4	11	13	0	7	4
BRCA_TCGA-B6-A40C	3	1	0	16	1	0	0	0	1	0	8	2	5	4	0	6	7
BRCA_TCGA-BH-A0AU	0	2	0	4	0	3	0	0	4	0	2	0	0	3	1	0	4
BRCA_TCGA-BH-A0AV	1	3	2	0	0	6	3	4	0	4	0	5	18	12	0	29	0
BRCA_TCGA-BH-A0AY	1	2	5	6	0	2	0	0	2	1	0	1	6	6	0	3	11
BRCA_TCGA-BH-A0AZ	1	0	1	0	7	3	0	4	3	0	5	4	2	17	3	13	7
BRCA_TCGA-BH-A0B0	1	4	13	0	2	0	0	0	0	0	13	0	8	58	0	0	0
BRCA_TCGA-BH-A0B3	1	1	1	1	4	0	2	0	0	0	0	0	0	2	0	4	2
BRCA_TCGA-BH-A0B6	19	0	87	0	39	0	0	0	0	0	132	0	97	916	0	0	0
BRCA_TCGA-BH-A0B7	0	4	5	2	7	0	0	0	0	1	0	0	7	6	4	6	0
BRCA_TCGA-BH-A0B8	1	1	1	1	0	4	0	0	1	0	6	0	7	3	0	1	8
BRCA_TCGA-BH-A0BA	0	2	1	3	0	2	0	2	2	0	3	3	0	6	0	4	1
BRCA_TCGA-BH-A0BC	0	4	3	6	0	1	0	3	1	0	1	1	7	10	0	6	2
BRCA_TCGA-BH-A0BF	0	2	2	3	1	2	0	0	2	0	0	4	2	6	1	6	2
BRCA_TCGA-BH-A0BG	0	3	0	1	2	0	3	0	0	1	0	1	5	7	0	15	7
BRCA_TCGA-BH-A0BJ	0	1	1	1	0	2	0	1	2	1	0	0	1	0	0	1	6
BRCA_TCGA-BH-A0BL	3	3	3	6	7	0	1	1	0	2	1	0	3	1	1	22	15
BRCA_TCGA-BH-A0BM	2	1	0	0	1	1	0	1	0	1	0	0	5	3	0	0	4
BRCA_TCGA-BH-A0BO	0	1	2	3	2	4	0	0	0	0	0	12	2	4	0	0	1
BRCA_TCGA-BH-A0BP	3	6	14	11	19	9	0	0	6	0	4	1	22	46	0	41	14
BRCA_TCGA-BH-A0BQ	1	1	2	3	7	3	0	0	0	0	1	0	2	2	0	4	4
BRCA_TCGA-BH-A0BS	0	1	0	2	2	2	0	0	0	0	0	3	7	0	1	3	2
BRCA_TCGA-BH-A0BT	1	6	3	1	12	1	0	0	0	1	0	4	7	4	0	8	0
BRCA_TCGA-BH-A0BV	0	1	1	2	0	0	0	0	0	0	5	1	10	3	0	0	1
BRCA_TCGA-BH-A0BW	0	3	3	6	1	9	5	3	2	4	2	7	6	13	3	26	10
BRCA_TCGA-BH-A0BZ	13	13	3	2	3	16	4	4	3	10	4	7	31	35	5	105	38
BRCA_TCGA-BH-A0C0	0	1	2	0	6	0	10	0	0	0	7	3	0	3	0	12	4
BRCA_TCGA-BH-A0C1	0	7	2	5	1	9	0	0	0	1	2	0	7	6	2	0	8
BRCA_TCGA-BH-A0C3	0	0	1	4	0	1	0	0	2	4	0	1	1	0	0	0	4
BRCA_TCGA-BH-A0C7	0	3	2	12	0	2	5	3	0	1	7	1	2	3	0	0	17
BRCA_TCGA-BH-A0DD	0	6	3	6	0	0	0	0	0	4	0	1	6	6	0	3	2
BRCA_TCGA-BH-A0DE	1	0	1	3	0	0	0	0	1	1	6	0	12	0	0	4	4
BRCA_TCGA-BH-A0DG	1	0	7	1	0	4	1	0	2	1	2	2	3	13	2	4	4
BRCA_TCGA-BH-A0DH	0	3	4	8	4	6	0	3	0	0	3	4	5	11	1	0	0
BRCA_TCGA-BH-A0DI	0	5	1	6	0	0	1	2	2	0	2	1	4	20	0	14	4
BRCA_TCGA-BH-A0DK	3	0	1	6	5	0	0	1	2	4	4	2	1	6	0	5	13
BRCA_TCGA-BH-A0DL	1	7	3	4	13	1	0	0	1	0	8	4	0	15	4	1	3
BRCA_TCGA-BH-A0DO	0	4	3	1	0	2	1	0	0	1	0	0	3	5	0	9	1
BRCA_TCGA-BH-A0DP	0	0	1	0	5	0	0	0	0	1	1	1	3	3	0	0	4
BRCA_TCGA-BH-A0DQ	0	1	0	3	11	1	0	0	2	3	5	0	5	0	0	1	3
BRCA_TCGA-BH-A0DT	0	1	0	3	0	2	0	2	0	0	1	0	2	2	0	2	0
BRCA_TCGA-BH-A0DV	0	0	0	0	0	0	0	0	0	1	4	0	3	2	1	2	2
BRCA_TCGA-BH-A0DX	1	2	4	7	0	0	0	0	0	0	7	0	4	36	0	0	16
BRCA_TCGA-BH-A0DZ	4	0	16	1	6	0	0	4	5	0	8	1	6	166	0	0	0
BRCA_TCGA-BH-A0E0	0	1	2	6	4	0	2	0	0	0	0	0	2	1	3	3	0
BRCA_TCGA-BH-A0E1	0	0	3	5	0	1	0	0	0	0	0	0	0	6	1	3	0
BRCA_TCGA-BH-A0E9	0	3	1	3	9	2	1	0	3	0	0	1	1	1	0	2	1
BRCA_TCGA-BH-A0EA	0	3	3	2	0	4	0	0	0	0	4	2	4	3	0	3	4
BRCA_TCGA-BH-A0EI	0	1	1	3	5	1	0	0	0	1	2	2	6	0	0	0	2
BRCA_TCGA-BH-A0H3	0	1	0	3	0	0	0	0	0	0	1	0	4	1	0	2	5
BRCA_TCGA-BH-A0H5	7	0	16	0	0	0	0	0	0	0	13	0	22	111	0	0	0
BRCA_TCGA-BH-A0H7	1	1	1	4	0	0	2	0	0	2	0	1	0	5	0	0	0
BRCA_TCGA-BH-A0H9	0	1	1	1	0	0	0	0	0	2	3	0	2	2	4	3	4
BRCA_TCGA-BH-A0HA	0	40	10	66	11	35	15	0	0	85	25	38	16	30	6	0	5
BRCA_TCGA-BH-A0HI	3	0	2	5	5	0	0	2	0	3	2	0	5	5	0	0	3
BRCA_TCGA-BH-A0HK	0	5	5	3	0	0	0	0	0	0	8	0	11	26	0	0	5
BRCA_TCGA-BH-A0HN	0	1	4	5	7	0	0	0	2	0	0	2	3	4	0	5	1
BRCA_TCGA-BH-A0HP	11	0	20	2	13	0	0	0	9	0	29	0	17	256	0	0	0
BRCA_TCGA-BH-A0RX	0	1	5	10	20	3	0	0	0	1	0	3	0	3	0	2	1
BRCA_TCGA-BH-A0W3	1	0	0	1	5	1	0	0	0	0	0	3	3	3	0	4	2
BRCA_TCGA-BH-A0W4	0	0	5	4	0	0	0	2	1	2	2	2	2	7	0	11	1
BRCA_TCGA-BH-A0W5	1	2	2	3	7	2	0	0	2	2	0	3	0	0	0	2	3
BRCA_TCGA-BH-A0W7	4	0	15	0	5	0	1	0	0	0	14	6	12	204	0	0	0
BRCA_TCGA-BH-A0WA	3	0	0	2	10	6	3	0	1	0	8	6	15	13	0	46	0
BRCA_TCGA-BH-A18F	3	0	7	10	0	0	2	0	0	0	14	0	11	13	0	0	7
BRCA_TCGA-BH-A18G	18	193	32	190	129	262	151	0	11	334	72	215	37	0	16	8	0
BRCA_TCGA-BH-A18H	0	0	2	2	2	5	0	0	0	1	12	3	7	9	2	3	6
BRCA_TCGA-BH-A18I	0	4	4	3	10	1	0	0	0	1	0	0	0	4	0	1	3
BRCA_TCGA-BH-A18J	3	3	2	0	5	0	2	3	0	0	16	1	2	69	0	0	5
BRCA_TCGA-BH-A18K	1	2	4	0	4	0	0	0	0	3	6	1	11	22	2	12	0
BRCA_TCGA-BH-A18L	2	8	3	10	2	2	4	2	1	4	1	0	7	3	0	11	5
BRCA_TCGA-BH-A18M	0	0	1	1	10	0	0	0	0	0	3	0	0	3	0	0	0
BRCA_TCGA-BH-A18N	0	7	2	6	0	0	0	0	0	5	0	6	0	1	1	8	7
BRCA_TCGA-BH-A18P	0	2	35	5	8	0	0	0	6	0	51	0	33	298	0	0	0
BRCA_TCGA-BH-A18Q	1	0	1	1	4	6	4	0	4	0	3	3	8	8	2	37	25
BRCA_TCGA-BH-A18R	1	0	1	2	0	3	0	2	1	0	0	6	3	6	0	16	1
BRCA_TCGA-BH-A18S	1	2	2	0	0	3	1	0	1	5	0	1	1	2	0	15	3
BRCA_TCGA-BH-A18T	1	1	2	3	6	6	7	1	1	4	6	0	2	14	0	38	10
BRCA_TCGA-BH-A18U	0	2	6	8	23	3	5	0	1	0	18	7	15	68	0	9	13
BRCA_TCGA-BH-A18V	10	0	4	1	0	7	2	1	6	0	0	12	7	90	6	89	15
BRCA_TCGA-BH-A1EO	0	6	3	11	8	0	0	0	0	1	0	0	6	4	0	6	5
BRCA_TCGA-BH-A1ET	3	1	1	3	6	1	0	2	0	2	4	2	2	0	0	4	2
BRCA_TCGA-BH-A1EU	0	0	1	6	0	1	0	0	0	5	1	4	4	2	0	3	7
BRCA_TCGA-BH-A1EV	3	3	12	4	24	2	0	0	0	5	3	2	6	55	0	10	0
BRCA_TCGA-BH-A1EW	0	1	2	1	0	0	0	0	1	0	5	2	4	2	0	1	2
BRCA_TCGA-BH-A1EX	0	3	5	3	2	0	0	0	0	4	0	3	3	0	0	5	7
BRCA_TCGA-BH-A1EY	0	2	5	5	5	4	0	0	0	6	0	2	2	14	0	5	5
BRCA_TCGA-BH-A1F0	3	3	4	2	4	0	4	0	0	2	0	5	16	18	0	20	14
BRCA_TCGA-BH-A1F2	3	3	3	7	17	0	2	0	0	3	5	0	7	14	0	1	6
BRCA_TCGA-BH-A1F5	2	0	3	5	11	0	2	1	0	0	1	0	9	2	0	6	2
BRCA_TCGA-BH-A1F6	0	4	0	6	5	1	0	2	0	0	8	1	3	5	2	14	2
BRCA_TCGA-BH-A1F8	5	0	11	5	13	0	0	0	1	0	28	0	18	106	0	0	5
BRCA_TCGA-BH-A1FC	2	8	5	12	0	6	1	5	5	8	0	0	6	35	5	24	8
BRCA_TCGA-BH-A1FE	1	2	2	0	2	0	0	0	1	1	0	0	7	4	1	0	5
BRCA_TCGA-BH-A1FG	0	2	1	3	0	3	2	3	1	0	0	1	1	1	0	3	0
BRCA_TCGA-BH-A1FH	0	1	0	10	0	0	0	0	1	0	8	0	3	3	1	4	2
BRCA_TCGA-BH-A1FJ	0	1	0	11	0	2	0	2	1	0	5	0	14	1	0	0	8
BRCA_TCGA-BH-A1FL	0	3	2	1	2	0	0	1	0	0	2	3	8	1	0	0	3
BRCA_TCGA-BH-A1FM	0	5	7	7	4	0	0	0	5	1	3	0	2	15	0	6	7
BRCA_TCGA-BH-A1FN	2	2	1	2	1	3	0	4	4	1	0	4	13	73	4	16	16
BRCA_TCGA-BH-A1FR	0	2	1	1	2	1	0	0	0	0	0	2	0	1	0	5	2
BRCA_TCGA-BH-A1FU	3	6	7	4	0	7	2	3	0	8	0	10	11	19	6	27	5
BRCA_TCGA-BH-A201	2	0	2	0	8	2	1	0	3	1	0	6	0	2	0	0	0
BRCA_TCGA-BH-A202	3	1	1	3	4	2	0	0	1	3	0	1	0	2	0	5	2
BRCA_TCGA-BH-A203	1	6	10	16	10	6	8	0	0	0	0	3	7	22	0	8	2
BRCA_TCGA-BH-A204	3	4	3	4	0	2	2	0	1	2	0	2	9	5	0	12	3
BRCA_TCGA-BH-A208	0	0	4	6	8	1	0	0	0	1	1	4	13	34	0	7	3
BRCA_TCGA-BH-A209	1	0	9	1	5	2	0	0	0	0	0	1	8	89	0	0	3
BRCA_TCGA-BH-A28Q	0	4	1	3	5	3	0	0	0	0	0	0	2	2	2	0	4
BRCA_TCGA-BH-A2L8	6	0	33	5	0	0	0	0	2	0	59	0	36	487	0	0	0
BRCA_TCGA-BH-A42U	0	0	3	2	0	0	0	0	2	0	6	1	4	12	0	0	2
BRCA_TCGA-BH-A42V	0	0	5	3	4	0	0	0	0	1	4	0	5	33	0	0	0
BRCA_TCGA-BH-A5IZ	3	2	0	10	0	0	4	0	1	3	11	0	11	10	0	28	13
BRCA_TCGA-BH-A5J0	1	5	10	3	5	0	0	2	2	0	14	3	11	41	0	0	5
BRCA_TCGA-BH-A6R8	0	3	3	8	0	2	0	0	1	0	4	2	1	5	0	3	5
BRCA_TCGA-BH-A6R9	1	0	2	1	5	0	0	0	2	0	2	0	2	0	0	10	0
BRCA_TCGA-BH-A8FY	1	5	0	1	0	2	0	0	2	0	4	4	10	6	0	19	2
BRCA_TCGA-BH-A8FZ	2	6	2	3	4	1	0	2	3	5	7	4	0	10	4	32	6
BRCA_TCGA-BH-A8G0	0	0	2	1	9	0	0	0	0	1	2	1	0	0	1	0	0
BRCA_TCGA-BH-AB28	0	6	2	4	4	1	5	3	0	0	6	1	1	4	2	4	0
BRCA_TCGA-C8-A12K	3	4	0	6	0	5	3	0	0	4	0	6	13	57	2	67	3
BRCA_TCGA-C8-A12L	0	5	3	3	0	12	0	0	6	0	0	1	10	5	0	34	10
BRCA_TCGA-C8-A12M	0	5	8	11	3	5	5	7	0	1	6	2	8	0	0	20	1
BRCA_TCGA-C8-A12N	1	1	0	4	8	2	0	0	0	3	0	0	0	4	0	2	2
BRCA_TCGA-C8-A12O	1	0	3	11	13	0	2	0	1	0	1	2	4	2	0	8	1
BRCA_TCGA-C8-A12P	5	2	14	8	20	2	0	3	0	2	13	2	9	98	5	12	7
BRCA_TCGA-C8-A12Q	4	2	14	0	9	0	0	0	6	1	13	5	11	69	0	0	5
BRCA_TCGA-C8-A12T	8	2	9	10	0	2	1	0	2	0	12	0	11	152	0	5	0
BRCA_TCGA-C8-A12U	0	0	0	8	19	2	0	0	0	0	5	2	6	7	0	10	2
BRCA_TCGA-C8-A12V	0	0	2	4	0	7	6	3	3	1	0	2	0	4	2	18	0
BRCA_TCGA-C8-A12W	1	1	7	23	14	4	0	0	1	6	0	1	2	4	0	12	1
BRCA_TCGA-C8-A12X	0	4	4	4	27	3	1	1	0	1	0	3	7	1	4	0	5
BRCA_TCGA-C8-A12Y	0	8	2	8	0	5	4	3	2	3	0	5	0	3	0	0	3
BRCA_TCGA-C8-A12Z	1	2	3	6	8	2	0	0	0	1	6	1	7	18	0	6	0
BRCA_TCGA-C8-A130	0	4	6	12	7	0	0	0	0	1	0	8	1	6	2	1	6
BRCA_TCGA-C8-A131	1	8	8	0	1	4	0	0	3	2	5	3	13	5	2	9	10
BRCA_TCGA-C8-A132	1	1	1	8	0	5	1	0	0	3	0	1	4	30	2	21	6
BRCA_TCGA-C8-A133	1	0	2	0	0	3	3	0	3	0	0	3	5	4	2	2	5
BRCA_TCGA-C8-A134	7	2	2	2	0	6	5	2	9	1	0	6	12	5	0	49	9
BRCA_TCGA-C8-A135	1	9	4	13	7	3	1	0	2	6	3	1	0	8	0	9	10
BRCA_TCGA-C8-A137	0	1	8	8	0	0	0	0	1	2	2	0	6	24	2	1	7
BRCA_TCGA-C8-A138	4	0	1	8	6	0	4	0	0	4	3	0	7	0	0	4	11
BRCA_TCGA-C8-A1HE	0	1	3	1	7	0	0	0	0	0	5	2	9	23	0	2	1
BRCA_TCGA-C8-A1HF	1	2	2	1	4	0	1	1	2	0	3	3	4	11	0	4	0
BRCA_TCGA-C8-A1HG	0	5	4	7	19	1	0	0	2	5	1	2	6	6	0	9	2
BRCA_TCGA-C8-A1HI	1	0	1	17	0	6	0	0	3	2	9	0	2	15	0	7	9
BRCA_TCGA-C8-A1HJ	2	2	2	2	9	8	2	0	8	4	0	9	0	12	4	48	12
BRCA_TCGA-C8-A1HK	2	3	6	2	7	5	0	0	1	3	0	2	0	26	0	8	8
BRCA_TCGA-C8-A1HL	1	6	1	1	0	4	1	2	2	0	0	2	11	0	0	0	6
BRCA_TCGA-C8-A1HM	12	8	22	10	2	6	0	0	2	0	0	8	21	316	1	26	14
BRCA_TCGA-C8-A1HN	1	3	1	11	5	2	0	3	2	0	3	7	11	4	0	7	10
BRCA_TCGA-C8-A1HO	3	0	2	6	0	0	3	2	0	1	7	0	7	10	0	0	8
BRCA_TCGA-C8-A26V	1	6	7	3	1	0	0	0	0	0	0	8	4	49	2	9	6
BRCA_TCGA-C8-A26W	0	2	8	3	1	0	0	0	1	1	8	4	10	25	0	6	0
BRCA_TCGA-C8-A26X	1	3	4	0	31	3	0	1	6	1	0	4	6	4	0	1	10
BRCA_TCGA-C8-A26Y	26	0	47	0	18	0	3	15	0	0	61	5	39	612	21	0	69
BRCA_TCGA-C8-A26Z	1	6	3	4	15	0	0	0	0	0	0	0	4	0	1	7	8
BRCA_TCGA-C8-A273	1	0	2	4	0	2	0	0	0	0	1	1	2	1	1	5	4
BRCA_TCGA-C8-A274	4	6	15	3	12	0	4	0	4	0	35	3	3	179	0	0	13
BRCA_TCGA-C8-A275	0	1	11	4	7	4	0	0	0	0	10	1	9	87	2	6	0
BRCA_TCGA-C8-A278	1	0	4	9	1	3	0	0	0	2	4	1	1	13	0	5	9
BRCA_TCGA-C8-A27A	4	2	4	3	0	0	0	2	0	0	1	2	7	7	0	7	1
BRCA_TCGA-C8-A27B	3	5	4	1	0	2	3	0	0	3	0	4	0	69	5	59	4
BRCA_TCGA-C8-A3M7	4	3	20	4	26	0	0	0	7	0	32	2	17	106	0	0	0
BRCA_TCGA-C8-A3M8	0	6	3	6	0	1	1	0	0	5	0	6	7	11	0	11	5
BRCA_TCGA-C8-A8HP	6	6	27	0	16	4	1	0	0	0	12	0	5	187	0	0	9
BRCA_TCGA-C8-A8HQ	3	0	37	15	9	0	8	0	1	0	22	1	15	260	1	0	0
BRCA_TCGA-C8-A8HR	0	3	2	3	12	0	0	5	1	2	0	6	8	3	4	11	0
BRCA_TCGA-C8-A9FZ	0	4	1	5	1	1	0	0	0	2	2	0	0	4	0	8	1
BRCA_TCGA-D8-A13Y	1	1	3	6	3	1	0	2	3	1	13	7	12	17	2	10	0
BRCA_TCGA-D8-A13Z	2	3	4	5	25	6	0	1	0	0	0	0	0	13	6	31	7
BRCA_TCGA-D8-A140	1	10	6	11	0	5	0	3	5	4	26	0	19	21	0	0	23
BRCA_TCGA-D8-A141	0	0	1	1	9	1	0	0	0	0	0	0	3	0	0	1	5
BRCA_TCGA-D8-A142	0	8	6	26	0	0	2	7	7	8	0	3	23	14	7	31	24
BRCA_TCGA-D8-A143	0	3	0	7	5	3	0	0	0	0	1	1	7	3	1	22	8
BRCA_TCGA-D8-A145	0	5	0	5	6	3	0	0	0	3	0	4	4	3	0	10	4
BRCA_TCGA-D8-A146	0	4	5	4	3	1	0	0	1	4	2	2	9	3	1	0	2
BRCA_TCGA-D8-A147	1	0	7	3	1	13	3	0	13	3	0	2	7	57	12	63	15
BRCA_TCGA-D8-A1J8	24	42	62	35	22	61	33	0	0	4	103	38	49	484	0	4	0
BRCA_TCGA-D8-A1J9	12	2	28	0	3	0	0	0	0	0	16	2	9	190	5	0	11
BRCA_TCGA-D8-A1JB	1	0	2	2	1	2	2	0	0	1	7	2	9	5	4	15	10
BRCA_TCGA-D8-A1JC	2	0	10	11	0	1	0	0	4	0	11	2	7	61	0	11	2
BRCA_TCGA-D8-A1JD	4	3	4	3	0	14	7	0	0	0	4	3	7	22	3	38	10
BRCA_TCGA-D8-A1JE	1	1	0	8	1	2	0	3	4	0	4	5	0	2	0	4	5
BRCA_TCGA-D8-A1JF	0	4	1	6	0	5	0	2	0	0	11	4	0	3	0	9	4
BRCA_TCGA-D8-A1JG	33	6	19	16	3	0	0	16	8	0	21	1	11	11	1	16	7
BRCA_TCGA-D8-A1JH	0	2	1	1	2	0	0	0	3	1	0	2	1	2	0	6	3
BRCA_TCGA-D8-A1JI	0	1	2	3	0	5	0	0	2	1	3	4	13	0	0	0	8
BRCA_TCGA-D8-A1JJ	1	4	8	3	10	3	0	0	0	0	10	4	6	40	3	0	6
BRCA_TCGA-D8-A1JK	2	6	5	0	7	10	0	16	32	11	14	14	38	22	6	38	28
BRCA_TCGA-D8-A1JL	3	2	4	4	0	4	6	0	0	7	10	7	8	10	3	39	20
BRCA_TCGA-D8-A1JM	0	0	4	5	11	3	0	0	1	1	0	2	1	2	0	6	17
BRCA_TCGA-D8-A1JN	7	2	25	2	14	0	0	1	0	0	20	0	21	112	0	0	4
BRCA_TCGA-D8-A1JP	2	2	2	0	0	7	1	6	0	13	0	3	15	12	6	44	22
BRCA_TCGA-D8-A1JS	1	2	1	4	0	1	0	0	0	2	3	2	4	2	0	6	1
BRCA_TCGA-D8-A1JT	0	3	1	7	0	1	2	0	0	1	3	0	10	0	0	9	4
BRCA_TCGA-D8-A1JU	0	1	1	4	0	1	0	0	0	3	0	1	2	1	1	4	1
BRCA_TCGA-D8-A1X5	6	4	1	7	7	0	2	0	4	8	0	0	3	7	3	0	14
BRCA_TCGA-D8-A1X6	3	4	1	3	18	2	0	0	0	1	0	0	2	1	0	7	0
BRCA_TCGA-D8-A1X7	0	0	2	4	0	0	0	0	0	0	9	0	5	1	0	5	6
BRCA_TCGA-D8-A1X9	5	0	0	5	0	9	12	3	0	5	0	3	3	10	1	15	31
BRCA_TCGA-D8-A1XA	0	0	2	3	9	0	0	1	0	5	0	1	3	0	0	0	4
BRCA_TCGA-D8-A1XB	0	7	4	4	5	0	2	1	0	0	3	4	3	7	0	3	7
BRCA_TCGA-D8-A1XC	1	1	1	0	20	2	0	0	1	0	7	0	0	0	0	0	1
BRCA_TCGA-D8-A1XF	0	6	7	5	9	1	0	0	9	0	1	0	0	4	0	1	8
BRCA_TCGA-D8-A1XG	0	1	2	0	0	2	3	0	1	0	6	3	0	0	0	7	2
BRCA_TCGA-D8-A1XK	6	66	7	59	26	17	46	21	9	504	0	318	0	3	48	138	32
BRCA_TCGA-D8-A1XL	3	4	4	3	4	3	1	1	11	5	0	9	3	9	3	32	15
BRCA_TCGA-D8-A1XM	2	0	9	9	2	0	0	1	1	0	5	0	10	21	0	0	4
BRCA_TCGA-D8-A1XO	0	0	0	3	3	2	0	0	0	0	2	0	2	9	1	2	5
BRCA_TCGA-D8-A1XQ	7	63	24	102	50	97	54	11	13	154	42	167	33	28	23	123	40
BRCA_TCGA-D8-A1XR	0	4	1	1	7	4	5	0	0	3	0	1	0	2	1	3	0
BRCA_TCGA-D8-A1XS	0	3	4	2	0	0	0	0	0	0	2	0	0	4	0	1	10
BRCA_TCGA-D8-A1XT	0	3	2	1	15	0	0	0	4	2	1	0	5	4	1	3	4
BRCA_TCGA-D8-A1XU	0	0	1	1	7	1	0	0	0	0	7	1	3	8	0	6	0
BRCA_TCGA-D8-A1XV	0	0	0	11	1	1	0	0	2	1	0	3	5	4	0	5	3
BRCA_TCGA-D8-A1XW	0	4	3	7	0	7	1	1	0	9	0	0	6	15	8	44	17
BRCA_TCGA-D8-A1XY	1	5	2	9	14	0	3	2	2	0	5	0	4	6	0	3	3
BRCA_TCGA-D8-A1XZ	1	9	6	21	8	12	0	0	2	0	0	0	4	10	0	13	10
BRCA_TCGA-D8-A1Y0	4	0	1	5	5	4	4	0	2	4	3	2	3	13	1	26	4
BRCA_TCGA-D8-A1Y1	1	24	9	91	30	4	11	0	0	4	26	15	1	17	0	0	0
BRCA_TCGA-D8-A1Y2	0	0	2	4	3	0	0	0	1	0	3	0	0	9	0	0	0
BRCA_TCGA-D8-A1Y3	0	4	3	12	19	0	0	3	0	0	0	7	9	0	0	10	0
BRCA_TCGA-D8-A27E	0	0	1	0	3	1	0	0	0	0	2	0	0	0	0	3	1
BRCA_TCGA-D8-A27F	3	1	1	3	0	6	1	3	0	3	0	2	1	11	0	20	15
BRCA_TCGA-D8-A27G	24	0	74	0	12	0	0	0	1	0	112	0	58	895	0	0	0
BRCA_TCGA-D8-A27H	0	1	0	7	0	3	0	1	7	6	0	5	1	54	1	71	3
BRCA_TCGA-D8-A27I	0	2	2	6	0	2	0	1	0	1	1	2	0	8	0	6	5
BRCA_TCGA-D8-A27K	0	0	1	3	7	2	0	0	0	0	0	2	2	1	0	0	3
BRCA_TCGA-D8-A27L	0	4	5	2	2	0	0	0	1	0	5	0	13	18	0	0	3
BRCA_TCGA-D8-A27M	3	4	4	0	10	2	0	5	7	3	0	2	0	13	0	22	15
BRCA_TCGA-D8-A27N	1	6	4	9	8	3	2	0	1	0	0	3	5	3	0	7	8
BRCA_TCGA-D8-A27P	0	7	1	1	2	4	0	0	0	2	0	1	3	1	0	4	4
BRCA_TCGA-D8-A27R	0	2	3	1	0	1	0	0	0	0	3	0	6	3	0	15	1
BRCA_TCGA-D8-A27T	0	4	1	2	11	0	1	2	1	0	0	3	1	3	0	0	2
BRCA_TCGA-D8-A27V	7	3	21	3	0	0	0	0	3	1	9	4	26	149	0	0	9
BRCA_TCGA-D8-A27W	0	8	3	13	7	4	0	0	0	4	0	0	3	5	1	0	7
BRCA_TCGA-D8-A3Z6	1	2	1	3	8	3	0	0	0	0	3	6	3	6	0	0	1
