Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N	SBS96O	SBS96P	SBS96Q
BRCA_TCGA-A2-A0T5	0	2	1	4	0	0	0	0	0	0	0	0	1	1	1	1	2
BRCA_TCGA-A2-A0T6	0	4	2	6	5	1	0	0	1	0	1	0	1	2	0	4	1
BRCA_TCGA-A2-A0T7	0	1	3	5	6	0	0	0	1	2	0	1	3	2	2	3	0
BRCA_TCGA-A2-A0YC	0	1	1	1	10	0	2	0	0	1	2	0	0	4	0	6	4
BRCA_TCGA-A2-A0YD	2	2	13	7	0	0	1	0	0	0	7	0	9	42	1	0	3
BRCA_TCGA-A2-A0YE	2	5	2	4	5	0	0	1	0	0	2	2	6	7	0	0	7
BRCA_TCGA-A2-A0YF	4	2	1	0	10	0	0	0	4	0	2	1	3	1	0	3	8
BRCA_TCGA-A2-A0YG	0	1	4	6	11	6	0	2	7	2	1	5	12	7	0	10	4
BRCA_TCGA-A2-A0YH	3	3	5	9	0	5	0	0	1	0	0	3	9	44	0	14	4
BRCA_TCGA-A2-A0YI	0	1	1	1	0	0	1	0	1	1	0	0	2	1	0	5	4
BRCA_TCGA-A2-A0YJ	2	4	3	10	12	9	1	0	4	4	0	1	4	4	7	32	1
BRCA_TCGA-A2-A0YK	12	0	27	6	0	0	0	0	0	0	23	2	15	393	0	0	0
BRCA_TCGA-A2-A0YL	0	1	1	2	0	0	0	0	0	0	6	2	10	21	0	0	0
BRCA_TCGA-A2-A0YM	0	7	7	9	21	0	0	1	1	2	3	6	2	35	0	7	8
BRCA_TCGA-A2-A0YT	1	10	11	5	3	0	0	0	0	0	7	2	3	14	0	22	3
BRCA_TCGA-A2-A1FV	0	3	1	8	0	0	0	0	0	1	8	3	8	6	0	8	4
BRCA_TCGA-A2-A1FW	4	4	5	14	3	8	1	0	0	5	5	0	11	6	4	9	16
BRCA_TCGA-A2-A1FX	3	3	2	1	3	0	0	0	0	0	0	2	6	0	0	6	2
BRCA_TCGA-A2-A1FZ	0	2	0	6	3	3	0	1	0	3	0	4	2	2	0	0	3
BRCA_TCGA-A2-A1G0	0	0	2	2	0	0	0	0	0	0	0	2	7	2	0	3	5
BRCA_TCGA-A2-A1G1	0	0	1	4	0	5	0	4	1	0	2	2	5	3	0	6	6
