Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
MSH2_0_multinomial_train1.94	1.01E-01	1.69E-01	8.74E-02	9.33E-02	2.24E-26	5.27E-03	2.24E-26	1.43E-02
MSH2_0_multinomial_train1.95	1.01E-01	1.69E-01	8.71E-02	9.35E-02	2.24E-26	1.63E-03	2.24E-26	1.23E-02
MSH2_0_multinomial_train1.96	1.00E-01	1.70E-01	8.82E-02	9.26E-02	2.24E-26	2.06E-03	2.24E-26	1.47E-02
MSH2_0_multinomial_train1.97	1.05E-01	1.76E-01	8.77E-02	9.87E-02	2.24E-26	7.57E-04	2.24E-26	1.47E-02
MSH2_0_multinomial_train1.98	1.01E-01	1.69E-01	8.85E-02	9.27E-02	2.24E-26	1.60E-03	2.24E-26	1.45E-02
MSH6_1_multinomial_train1	1.05E-01	1.67E-01	2.65E-03	9.10E-02	1.78E-01	1.71E-01	1.06E-01	8.76E-02
MSH6_1_multinomial_train1.1	1.01E-01	1.61E-01	2.96E-03	8.65E-02	1.71E-01	1.65E-01	1.02E-01	8.75E-02
MSH6_0_multinomial_train1	1.00E-01	1.61E-01	9.59E-57	8.71E-02	1.73E-01	1.65E-01	1.04E-01	8.76E-02
MSH6_0_multinomial_train1.1	9.70E-02	1.56E-01	4.91E-11	8.43E-02	1.69E-01	1.59E-01	1.02E-01	8.76E-02
MSH6_1_multinomial_train1.2	1.03E-01	1.63E-01	2.89E-03	8.81E-02	1.73E-01	1.67E-01	1.03E-01	8.81E-02
MSH6_0_multinomial_train1.2	1.01E-01	1.61E-01	1.95E-161	8.79E-02	1.73E-01	1.65E-01	1.05E-01	8.70E-02
MSH6_0_multinomial_train1.3	9.89E-02	1.58E-01	1.15E-03	8.54E-02	1.71E-01	1.62E-01	1.02E-01	8.72E-02
MSH6_0_multinomial_train1.4	1.01E-01	1.61E-01	1.28E-14	8.71E-02	1.73E-01	1.65E-01	1.04E-01	8.75E-02
MSH6_1_multinomial_train1.3	1.04E-01	1.64E-01	2.82E-03	8.92E-02	1.75E-01	1.69E-01	1.05E-01	8.78E-02
MSH6_0_multinomial_train1.5	9.66E-02	1.55E-01	8.35E-45	8.53E-02	1.68E-01	1.59E-01	1.02E-01	8.66E-02
MSH6_0_multinomial_train1.6	1.03E-01	1.64E-01	1.96E-03	8.85E-02	1.75E-01	1.68E-01	1.04E-01	8.81E-02
MSH6_0_multinomial_train1.7	1.00E-01	1.59E-01	5.36E-53	8.61E-02	1.71E-01	1.63E-01	1.02E-01	8.68E-02
MSH6_1_multinomial_train1.4	1.03E-01	1.64E-01	3.47E-03	8.86E-02	1.75E-01	1.68E-01	1.03E-01	8.82E-02
MSH6_1_multinomial_train1.5	1.02E-01	1.62E-01	2.45E-03	8.83E-02	1.74E-01	1.66E-01	1.04E-01	8.73E-02
MSH6_0_multinomial_train1.8	9.75E-02	1.55E-01	2.02E-04	8.39E-02	1.69E-01	1.59E-01	1.01E-01	8.75E-02
MSH6_1_multinomial_train1.6	1.01E-01	1.60E-01	1.82E-03	8.66E-02	1.71E-01	1.65E-01	1.03E-01	8.81E-02
MSH6_1_multinomial_train1.7	1.06E-01	1.68E-01	3.41E-03	9.36E-02	1.79E-01	1.73E-01	1.08E-01	8.68E-02
MSH6_0_multinomial_train1.9	1.02E-01	1.63E-01	8.85E-05	8.92E-02	1.76E-01	1.67E-01	1.06E-01	8.72E-02
MSH6_1_multinomial_train1.8	1.04E-01	1.65E-01	9.91E-04	8.95E-02	1.77E-01	1.69E-01	1.05E-01	8.80E-02
MSH6_1_multinomial_train1.9	1.01E-01	1.59E-01	4.40E-03	8.59E-02	1.68E-01	1.63E-01	1.01E-01	8.59E-02
MSH6_1_multinomial_train1.10	1.02E-01	1.62E-01	3.45E-03	8.87E-02	1.74E-01	1.66E-01	1.03E-01	8.79E-02
MSH6_1_multinomial_train1.11	9.96E-02	1.56E-01	3.05E-03	8.52E-02	1.67E-01	1.60E-01	1.00E-01	8.72E-02
MSH6_0_multinomial_train1.10	1.00E-01	1.61E-01	1.67E-04	8.76E-02	1.73E-01	1.64E-01	1.05E-01	8.70E-02
MSH6_1_multinomial_train1.12	1.00E-01	1.60E-01	2.73E-03	8.64E-02	1.72E-01	1.64E-01	1.01E-01	8.75E-02
MSH6_1_multinomial_train1.13	1.01E-01	1.61E-01	3.67E-03	8.59E-02	1.72E-01	1.65E-01	1.02E-01	8.83E-02
MSH6_1_multinomial_train1.14	1.03E-01	1.65E-01	2.90E-03	9.08E-02	1.77E-01	1.69E-01	1.06E-01	8.76E-02
MSH6_1_multinomial_train1.15	1.00E-01	1.60E-01	3.42E-03	8.71E-02	1.72E-01	1.64E-01	1.02E-01	8.74E-02
MSH6_0_multinomial_train1.11	1.03E-01	1.64E-01	1.60E-03	9.02E-02	1.76E-01	1.68E-01	1.06E-01	8.72E-02
MSH6_1_multinomial_train1.16	9.93E-02	1.56E-01	4.69E-03	8.42E-02	1.66E-01	1.60E-01	9.89E-02	8.70E-02
MSH6_1_multinomial_train1.17	1.03E-01	1.64E-01	3.57E-03	9.02E-02	1.76E-01	1.68E-01	1.05E-01	8.67E-02
MSH6_1_multinomial_train1.18	1.03E-01	1.63E-01	4.38E-03	8.84E-02	1.74E-01	1.67E-01	1.03E-01	8.62E-02
MSH6_1_multinomial_train1.19	9.96E-02	1.53E-01	7.12E-03	8.42E-02	1.62E-01	1.56E-01	9.71E-02	8.63E-02
MSH6_0_multinomial_train1.12	1.02E-01	1.62E-01	1.46E-82	8.76E-02	1.75E-01	1.66E-01	1.05E-01	8.73E-02
MSH6_1_multinomial_train1.20	1.05E-01	1.66E-01	2.56E-03	9.13E-02	1.77E-01	1.70E-01	1.06E-01	8.76E-02
