Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_0_multinomial_train1.44	0.999999999999996	0.948	0.313	31.3%	0.042	33.003%	0.10112	0.86
EXO1_0_multinomial_train1.45	0.9999999999999956	0.945	0.311	31.1%	0.043	33.534%	0.09729	0.855
EXO1_0_multinomial_train1.46	0.9999999999999958	0.944	0.328	32.8%	0.043	33.468%	0.09928	0.853
EXO1_0_multinomial_train1.47	0.9999999999999962	0.941	0.315	31.5%	0.045	34.8%	0.0976	0.844
EXO1_0_multinomial_train1.48	0.9999999999999962	0.953	0.308	30.8%	0.04	30.677%	0.08648	0.876
EXO1_0_multinomial_train1.49	0.9999999999999959	0.947	0.316	31.6%	0.043	33.335%	0.10366	0.867
EXO1_0_multinomial_train1.50	0.9999999999999961	0.933	0.346	34.6%	0.047	36.741%	0.10217	0.821
EXO1_0_multinomial_train1.51	0.9999999999999959	0.943	0.337	33.7%	0.043	33.745%	0.10093	0.846
EXO1_0_multinomial_train1.52	0.9999999999999966	0.942	0.312	31.2%	0.044	34.772%	0.09725	0.844
EXO1_0_multinomial_train1.53	0.999999999999996	0.944	0.317	31.7%	0.044	33.623%	0.09592	0.856
EXO1_0_multinomial_train1.54	0.9999999999999956	0.933	0.345	34.5%	0.048	36.835%	0.11838	0.829
EXO1_0_multinomial_train1.55	0.9999999999999958	0.944	0.335	33.5%	0.043	33.59%	0.09777	0.85
EXO1_0_multinomial_train1.56	0.9999999999999963	0.95	0.3	30.0%	0.041	32.681%	0.08587	0.86
EXO1_0_multinomial_train1.57	0.9999999999999961	0.936	0.355	35.5%	0.046	36.528%	0.10539	0.828
EXO1_0_multinomial_train1.58	0.9999999999999953	0.949	0.32	32.0%	0.042	32.238%	0.09236	0.867
EXO1_0_multinomial_train1.59	0.9999999999999962	0.955	0.301	30.1%	0.039	30.385%	0.08612	0.88
EXO1_0_multinomial_train1.60	0.9999999999999962	0.937	0.355	35.5%	0.046	35.557%	0.10505	0.838
EXO1_0_multinomial_train1.61	0.9999999999999962	0.931	0.354	35.4%	0.048	37.5%	0.1274	0.816
EXO1_0_multinomial_train1.62	0.999999999999996	0.941	0.323	32.3%	0.044	34.986%	0.1063	0.839
EXO1_0_multinomial_train1.63	0.999999999999996	0.949	0.308	30.8%	0.041	32.265%	0.09588	0.864
EXO1_0_multinomial_train1.64	0.9999999999999962	0.951	0.291	29.1%	0.041	32.018%	0.09118	0.87
EXO1_0_multinomial_train1.65	0.9999999999999958	0.941	0.333	33.3%	0.045	35.094%	0.1033	0.847
EXO1_0_multinomial_train1.66	0.999999999999996	0.942	0.335	33.5%	0.044	34.073%	0.10438	0.848
EXO1_0_multinomial_train1.67	0.9999999999999959	0.931	0.376	37.6%	0.048	38.188%	0.11301	0.815
EXO1_0_multinomial_train1.68	0.9999999999999958	0.929	0.362	36.2%	0.05	37.625%	0.11299	0.825
EXO1_0_multinomial_train1.69	0.999999999999996	0.934	0.336	33.6%	0.047	37.344%	0.09252	0.817
EXO1_0_multinomial_train1.70	0.999999999999996	0.91	0.384	38.4%	0.055	42.289%	0.13048	0.771
EXO1_0_multinomial_train1.71	0.999999999999996	0.944	0.316	31.6%	0.044	33.565%	0.10511	0.855
EXO1_0_multinomial_train1.72	0.999999999999996	0.943	0.326	32.6%	0.044	34.309%	0.08959	0.852
EXO1_0_multinomial_train1.73	0.9999999999999962	0.944	0.327	32.7%	0.043	33.716%	0.09022	0.851
EXO1_0_multinomial_train1.74	0.999999999999996	0.945	0.337	33.7%	0.043	33.493%	0.10315	0.851
EXO1_0_multinomial_train1.75	0.9999999999999966	0.944	0.328	32.8%	0.043	33.635%	0.10372	0.853
EXO1_0_multinomial_train1.76	0.9999999999999959	0.948	0.311	31.1%	0.041	32.503%	0.09118	0.86
EXO1_0_multinomial_train1.77	0.9999999999999956	0.948	0.307	30.7%	0.042	31.764%	0.09254	0.87
EXO1_0_multinomial_train1.78	0.9999999999999961	0.944	0.337	33.7%	0.043	32.931%	0.09979	0.857
EXO1_0_multinomial_train1.79	0.9999999999999967	0.937	0.339	33.9%	0.046	35.397%	0.114	0.837
EXO1_0_multinomial_train1.80	0.9999999999999963	0.952	0.308	30.8%	0.04	31.226%	0.09265	0.869
EXO1_0_multinomial_train1.81	0.999999999999996	0.951	0.302	30.2%	0.041	32.592%	0.08531	0.872
EXO1_0_multinomial_train1.82	0.9999999999999962	0.943	0.332	33.2%	0.044	34.132%	0.09533	0.851
EXO1_0_multinomial_train1.83	0.9999999999999962	0.948	0.321	32.1%	0.042	32.658%	0.09646	0.863
EXO1_0_multinomial_train1.84	0.9999999999999964	0.928	0.368	36.8%	0.05	38.251%	0.13157	0.814
EXO1_0_multinomial_train1.85	0.9999999999999962	0.934	0.334	33.4%	0.047	37.502%	0.10082	0.818
EXO1_0_multinomial_train1.86	0.999999999999996	0.945	0.325	32.5%	0.043	33.025%	0.09639	0.858
EXO1_0_multinomial_train1.87	0.9999999999999959	0.942	0.337	33.7%	0.044	34.289%	0.09931	0.845
EXO1_0_multinomial_train1.88	0.9999999999999962	0.938	0.33	33.0%	0.046	36.345%	0.09283	0.838
EXO1_0_multinomial_train1.89	0.9999999999999963	0.941	0.343	34.3%	0.045	35.205%	0.1191	0.843
EXO1_0_multinomial_train1.90	0.9999999999999967	0.941	0.326	32.6%	0.045	34.871%	0.09101	0.845
EXO1_0_multinomial_train1.91	0.9999999999999961	0.95	0.324	32.4%	0.04	32.191%	0.0862	0.862
EXO1_0_multinomial_train1.92	0.9999999999999967	0.945	0.333	33.3%	0.043	33.012%	0.09205	0.86
EXO1_0_multinomial_train1.93	0.9999999999999964	0.924	0.355	35.5%	0.049	39.539%	0.11642	0.787
EXO1_0_multinomial_train1.94	0.9999999999999962	0.911	0.377	37.7%	0.055	42.258%	0.14764	0.77
EXO1_0_multinomial_train1.95	0.9999999999999961	0.94	0.328	32.8%	0.045	35.289%	0.10148	0.839
EXO1_0_multinomial_train1.96	0.999999999999996	0.932	0.373	37.3%	0.049	36.075%	0.11822	0.837
EXO1_0_multinomial_train1.97	0.9999999999999962	0.94	0.329	32.9%	0.045	35.492%	0.09998	0.842
EXO1_0_multinomial_train1.98	0.9999999999999961	0.935	0.348	34.8%	0.047	36.86%	0.10782	0.833
OGG1_0_multinomial_train1	0.9999999999999978	0.996	0.214	21.4%	0.038	9.427%	0.10733	0.995
OGG1_0_multinomial_train1.1	0.9999999999999981	0.993	0.267	26.7%	0.048	11.756%	0.11736	0.993
OGG1_0_multinomial_train1.2	0.9999999999999972	0.995	0.26	26.0%	0.044	11.133%	0.12884	0.994
OGG1_0_multinomial_train1.3	0.9999999999999979	0.993	0.247	24.7%	0.049	11.52%	0.13494	0.993
OGG1_0_multinomial_train1.4	0.9999999999999976	0.991	0.282	28.2%	0.061	13.897%	0.13778	0.99
OGG1_0_multinomial_train1.5	0.9999999999999978	0.993	0.258	25.8%	0.054	12.877%	0.12393	0.992
OGG1_0_multinomial_train1.6	0.9999999999999979	0.997	0.204	20.4%	0.031	7.869%	0.10739	0.997
OGG1_0_multinomial_train1.7	0.9999999999999977	0.992	0.271	27.1%	0.052	13.142%	0.13478	0.991
OGG1_0_multinomial_train1.8	0.9999999999999973	0.987	0.303	30.3%	0.074	16.73%	0.14005	0.986
OGG1_0_multinomial_train1.9	0.9999999999999977	0.99	0.264	26.4%	0.059	13.851%	0.11699	0.99
OGG1_0_multinomial_train1.10	0.999999999999998	0.992	0.294	29.4%	0.058	13.534%	0.16514	0.991
OGG1_0_multinomial_train1.11	0.9999999999999977	0.994	0.249	24.9%	0.047	10.872%	0.12639	0.994
OGG1_0_multinomial_train1.12	0.9999999999999976	0.996	0.225	22.5%	0.036	9.362%	0.11836	0.995
OGG1_0_multinomial_train1.13	0.9999999999999977	0.994	0.244	24.4%	0.046	11.486%	0.15508	0.993
OGG1_0_multinomial_train1.14	0.9999999999999979	0.996	0.218	21.8%	0.035	8.77%	0.12962	0.996
OGG1_0_multinomial_train1.15	0.9999999999999972	0.994	0.248	24.8%	0.045	10.971%	0.14176	0.994
OGG1_0_multinomial_train1.16	0.9999999999999977	0.992	0.253	25.3%	0.053	12.881%	0.11723	0.991
OGG1_0_multinomial_train1.17	0.9999999999999976	0.993	0.25	25.0%	0.047	11.678%	0.12651	0.993
OGG1_0_multinomial_train1.18	0.9999999999999976	0.995	0.234	23.4%	0.043	10.279%	0.13743	0.994
OGG1_0_multinomial_train1.19	0.9999999999999978	0.99	0.29	29.0%	0.058	14.016%	0.14815	0.99
OGG1_0_multinomial_train1.20	0.9999999999999978	0.994	0.246	24.6%	0.047	11.256%	0.12278	0.993
OGG1_0_multinomial_train1.21	0.9999999999999976	0.996	0.205	20.5%	0.035	8.836%	0.10977	0.996
OGG1_0_multinomial_train1.22	0.9999999999999979	0.996	0.217	21.7%	0.036	8.667%	0.11875	0.996
OGG1_0_multinomial_train1.23	0.9999999999999977	0.996	0.223	22.3%	0.041	9.843%	0.10608	0.996
OGG1_0_multinomial_train1.24	0.9999999999999978	0.994	0.233	23.3%	0.042	11.232%	0.12733	0.994
OGG1_0_multinomial_train1.25	0.9999999999999974	0.991	0.261	26.1%	0.062	14.251%	0.11646	0.99
OGG1_0_multinomial_train1.26	0.9999999999999978	0.994	0.255	25.5%	0.046	11.256%	0.13425	0.994
OGG1_0_multinomial_train1.27	0.9999999999999973	0.992	0.284	28.4%	0.052	12.503%	0.16363	0.992
OGG1_0_multinomial_train1.28	0.9999999999999977	0.997	0.197	19.7%	0.033	8.07%	0.12183	0.997
OGG1_0_multinomial_train1.29	0.9999999999999976	0.995	0.242	24.2%	0.042	10.294%	0.12581	0.994
OGG1_0_multinomial_train1.30	0.9999999999999969	0.996	0.223	22.3%	0.038	9.4%	0.13366	0.995
OGG1_0_multinomial_train1.31	0.9999999999999977	0.997	0.229	22.9%	0.037	9.235%	0.11462	0.996
OGG1_0_multinomial_train1.32	0.9999999999999976	0.994	0.282	28.2%	0.045	11.308%	0.15705	0.993
OGG1_0_multinomial_train1.33	0.9999999999999976	0.994	0.24	24.0%	0.051	11.731%	0.10474	0.993
OGG1_0_multinomial_train1.34	0.9999999999999972	0.996	0.216	21.6%	0.035	8.724%	0.11012	0.996
OGG1_0_multinomial_train1.35	0.999999999999998	0.994	0.242	24.2%	0.045	10.735%	0.11248	0.994
OGG1_0_multinomial_train1.36	0.9999999999999976	0.992	0.239	23.9%	0.052	12.407%	0.1027	0.992
OGG1_0_multinomial_train1.37	0.9999999999999972	0.992	0.277	27.7%	0.052	12.79%	0.14826	0.991
OGG1_0_multinomial_train1.38	0.9999999999999976	0.986	0.294	29.4%	0.063	16.816%	0.15043	0.985
OGG1_0_multinomial_train1.39	0.9999999999999977	0.995	0.226	22.6%	0.043	10.462%	0.1248	0.995
OGG1_0_multinomial_train1.40	0.9999999999999973	0.991	0.257	25.7%	0.055	13.556%	0.14063	0.99
OGG1_0_multinomial_train1.41	0.9999999999999976	0.991	0.268	26.8%	0.059	13.483%	0.13537	0.991
OGG1_0_multinomial_train1.42	0.9999999999999977	0.995	0.248	24.8%	0.037	9.938%	0.14083	0.995
OGG1_0_multinomial_train1.43	0.9999999999999974	0.996	0.212	21.2%	0.035	8.7%	0.11311	0.996
OGG1_0_multinomial_train1.44	0.999999999999998	0.997	0.206	20.6%	0.035	8.204%	0.11089	0.997
OGG1_0_multinomial_train1.45	0.9999999999999977	0.995	0.228	22.8%	0.041	10.053%	0.11135	0.995
OGG1_0_multinomial_train1.46	0.9999999999999974	0.992	0.26	26.0%	0.052	12.817%	0.15249	0.991
OGG1_0_multinomial_train1.47	0.9999999999999979	0.996	0.216	21.6%	0.034	8.553%	0.12673	0.996
OGG1_0_multinomial_train1.48	0.9999999999999977	0.994	0.22	22.0%	0.042	10.488%	0.11156	0.994
OGG1_0_multinomial_train1.49	0.999999999999998	0.989	0.294	29.4%	0.06	14.952%	0.1267	0.989
OGG1_0_multinomial_train1.50	0.9999999999999977	0.992	0.251	25.1%	0.05	12.785%	0.12124	0.992
OGG1_0_multinomial_train1.51	0.9999999999999976	0.996	0.205	20.5%	0.035	8.733%	0.12771	0.996
OGG1_0_multinomial_train1.52	0.9999999999999978	0.993	0.233	23.3%	0.048	11.454%	0.13492	0.993
OGG1_0_multinomial_train1.53	0.9999999999999979	0.995	0.216	21.6%	0.04	9.669%	0.12337	0.995
OGG1_0_multinomial_train1.54	0.9999999999999974	0.991	0.282	28.2%	0.058	13.592%	0.13542	0.99
OGG1_0_multinomial_train1.55	0.9999999999999978	0.989	0.295	29.5%	0.055	14.863%	0.16511	0.988
OGG1_0_multinomial_train1.56	0.9999999999999977	0.997	0.22	22.0%	0.033	8.75%	0.1234	0.997
OGG1_0_multinomial_train1.57	0.9999999999999974	0.99	0.288	28.8%	0.055	13.944%	0.15866	0.989
OGG1_0_multinomial_train1.58	0.9999999999999982	0.992	0.297	29.7%	0.049	12.852%	0.16755	0.991
OGG1_0_multinomial_train1.59	0.9999999999999977	0.994	0.238	23.8%	0.044	11.27%	0.11985	0.994
OGG1_0_multinomial_train1.60	0.9999999999999973	0.988	0.295	29.5%	0.059	15.908%	0.15462	0.987
OGG1_0_multinomial_train1.61	0.9999999999999978	0.991	0.291	29.1%	0.055	13.935%	0.14403	0.99
OGG1_0_multinomial_train1.62	0.9999999999999976	0.995	0.23	23.0%	0.04	9.535%	0.11193	0.995
OGG1_0_multinomial_train1.63	0.9999999999999971	0.995	0.221	22.1%	0.04	9.794%	0.14042	0.995
OGG1_0_multinomial_train1.64	0.9999999999999977	0.991	0.26	26.0%	0.054	13.337%	0.12483	0.991
OGG1_0_multinomial_train1.65	0.9999999999999979	0.994	0.254	25.4%	0.042	11.265%	0.13984	0.993
OGG1_0_multinomial_train1.66	0.9999999999999981	0.989	0.268	26.8%	0.058	14.737%	0.14563	0.988
OGG1_0_multinomial_train1.67	0.9999999999999976	0.995	0.255	25.5%	0.042	10.916%	0.14534	0.994
OGG1_0_multinomial_train1.68	0.9999999999999982	0.997	0.179	17.9%	0.03	7.283%	0.11038	0.997
OGG1_0_multinomial_train1.69	0.9999999999999972	0.996	0.194	19.4%	0.036	9.055%	0.10639	0.996
OGG1_0_multinomial_train1.70	0.9999999999999978	0.994	0.245	24.5%	0.046	10.833%	0.12715	0.994
OGG1_0_multinomial_train1.71	0.9999999999999973	0.995	0.238	23.8%	0.043	10.033%	0.11965	0.995
OGG1_0_multinomial_train1.72	0.9999999999999974	0.994	0.242	24.2%	0.046	11.445%	0.1213	0.993
OGG1_0_multinomial_train1.73	0.9999999999999979	0.995	0.234	23.4%	0.04	9.863%	0.15341	0.995
OGG1_0_multinomial_train1.74	0.9999999999999974	0.995	0.228	22.8%	0.042	10.494%	0.12756	0.994
OGG1_0_multinomial_train1.75	0.9999999999999973	0.994	0.23	23.0%	0.046	10.885%	0.1233	0.994
OGG1_0_multinomial_train1.76	0.9999999999999978	0.993	0.274	27.4%	0.058	13.476%	0.12585	0.993
OGG1_0_multinomial_train1.77	0.9999999999999976	0.993	0.26	26.0%	0.048	11.411%	0.14623	0.993
