Samples	Stability	Total Mutations
SBS96A	0.8331343610301478	445
SBS96B	0.0879263159736885	368
SBS96C	0.7510984019516909	364
SBS96D	0.9757289355492402	348
SBS96E	0.8005658112274137	318
SBS96F	0.9984511764009011	317
SBS96G	0.9200145033926835	286
SBS96H	0.15877420226151617	250
SBS96I	-0.761787081221968	100
