Signatures	Stability	Total Mutations
SBS96A	0.981	152072
SBS96B	0.969	122518
SBS96C	0.996	114240
SBS96D	-0.201	102520
SBS96E	0.671	97543
SBS96F	0.435	78930
SBS96G	0.841	71462
SBS96H	0.743	68543
SBS96I	0.501	66117
SBS96J	0.919	64538
SBS96K	0.34	55687
SBS96L	0.944	51558
SBS96M	0.82	43671
SBS96N	0.908	34916
SBS96O	-0.08	34388
SBS96P	0.993	24363
SBS96Q	0.765	19605
SBS96R	0.469	18420
