Signatures	Stability	Total Mutations
SBS96A	0.955	327
SBS96B	0.807	296
SBS96C	0.965	214
SBS96D	0.102	174
SBS96E	0.067	154
SBS96F	0.663	125
SBS96G	0.709	113
SBS96H	0.306	88
SBS96I	0.081	86
SBS96J	0.204	82
SBS96K	0.206	60
SBS96L	0.027	58
SBS96M	0.272	43
SBS96N	-0.029	43
SBS96O	0.053	41
SBS96P	0.528	30
SBS96Q	-0.023	27
SBS96R	0.345	6
