Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
MSH6_boot.82	0.00E+00	8.88E-02	8.98E-02	0.00E+00	5.84E-03	1.55E-26	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.83	0.00E+00	8.20E-02	9.18E-02	1.20E-02	4.16E-03	1.31E-02	0.00E+00	7.02E-90	4.42E-60
MSH6_boot.84	0.00E+00	8.53E-02	9.03E-02	4.37E-152	4.74E-03	1.26E-02	0.00E+00	6.24E-108	6.22E-85
MSH6_boot.85	0.00E+00	8.88E-02	9.00E-02	0.00E+00	5.79E-03	4.41E-19	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.86	0.00E+00	8.22E-02	9.23E-02	1.16E-02	5.15E-03	1.27E-02	0.00E+00	0.00E+00	9.74E-159
MSH6_boot.87	0.00E+00	8.07E-02	9.12E-02	1.13E-02	3.55E-03	1.56E-02	0.00E+00	2.82E-28	1.85E-03
MSH6_boot.88	0.00E+00	8.47E-02	9.10E-02	0.00E+00	6.35E-03	1.25E-02	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.89	0.00E+00	8.16E-02	9.02E-02	1.22E-02	3.74E-03	1.29E-02	0.00E+00	0.00E+00	2.26E-107
MSH6_boot.90	0.00E+00	8.33E-02	8.84E-02	0.00E+00	5.13E-03	1.46E-02	0.00E+00	0.00E+00	1.90E-101
MSH6_boot.91	0.00E+00	8.40E-02	8.81E-02	0.00E+00	4.47E-03	1.39E-02	0.00E+00	0.00E+00	7.66E-111
MSH6_boot.92	0.00E+00	8.86E-02	8.97E-02	0.00E+00	6.98E-03	9.17E-60	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.93	0.00E+00	8.17E-02	9.21E-02	1.35E-02	5.32E-03	1.25E-02	0.00E+00	2.91E-145	9.99E-108
MSH6_boot.94	0.00E+00	8.87E-02	8.90E-02	0.00E+00	5.78E-03	1.46E-79	0.00E+00	0.00E+00	0.00E+00
MSH6_boot.95	0.00E+00	8.06E-02	9.09E-02	1.14E-02	4.37E-03	1.44E-02	0.00E+00	1.68E-95	3.48E-60
MSH6_boot.96	0.00E+00	8.95E-02	9.09E-02	0.00E+00	6.01E-03	2.82E-88	0.00E+00	0.00E+00	0.00E+00
