Signatures	Stability	Total Mutations
SBS96A	0.974	149454
SBS96B	0.986	123293
SBS96C	0.999	111216
SBS96D	0.731	91812
SBS96E	0.535	80294
SBS96F	0.135	79435
SBS96G	0.939	67610
SBS96H	0.698	63269
SBS96I	0.647	60308
SBS96J	0.942	58031
SBS96K	0.941	47628
SBS96L	0.724	43439
SBS96M	0.599	36261
SBS96N	0.385	34771
SBS96O	0.808	31185
SBS96P	-0.008	28481
SBS96Q	0.421	24066
SBS96R	0.983	21574
SBS96S	0.724	20103
SBS96T	0.283	18650
SBS96U	0.439	15747
SBS96V	0.823	14464
