Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I	SBS96J	SBS96K	SBS96L	SBS96M	SBS96N
UCEC_TCGA-AJ-A8CV	4.34E+00	6.15E-01	4.79E+00	1.73E+00	3.56E+00	3.32E+00	9.36E-01	3.84E+00	3.26E+00	4.10E+00	3.72E+00	2.13E+00	4.27E-01	1.63E+00
UCEC_TCGA-AJ-A8CW	1.38E+01	1.78E+00	7.97E+00	4.51E+00	8.62E+00	9.34E+00	2.40E+00	5.41E+00	8.99E+00	1.11E+01	5.41E+00	4.63E+00	1.78E+00	1.12E+00
UCEC_TCGA-AP-A059	1.20E+02	1.71E+02	1.18E+02	2.12E+01	1.11E+02	6.09E+02	2.55E+01	2.72E+01	8.92E+02	5.29E+01	2.80E+02	0.00E+00	1.90E+00	2.09E+01
UCEC_TCGA-AP-A0LE	7.13E+00	5.26E-01	6.87E+00	2.57E+00	9.56E+00	1.13E+01	2.57E+00	5.44E+00	4.33E+00	8.37E+00	4.91E+00	3.63E+00	7.00E-01	1.31E+00
UCEC_TCGA-AP-A0LF	3.36E+00	9.04E-01	2.60E+00	1.42E+00	1.33E-01	1.69E+00	2.47E+00	9.07E-01	2.31E+00	2.00E-01	2.62E+00	2.43E+00	4.48E+00	6.18E-01
UCEC_TCGA-AP-A0LL	2.34E+00	9.48E-01	9.29E-01	2.21E-01	8.17E-01	0.00E+00	8.36E-01	6.87E-01	1.43E+00	0.00E+00	1.42E+00	2.10E+00	1.32E+00	0.00E+00
UCEC_TCGA-AP-A0LM	2.04E+02	8.09E+01	1.20E+02	7.65E+01	2.33E+01	2.53E+02	8.43E+01	7.36E+01	3.23E+02	2.25E+01	7.78E+01	0.00E+00	2.21E+00	1.68E+01
UCEC_TCGA-AP-A0LP	5.67E+00	1.00E-01	4.14E+00	2.12E+00	5.39E+00	3.65E+00	2.23E+00	1.86E+00	3.91E+00	3.20E+00	3.15E+00	3.24E+00	1.33E+00	3.65E-01
UCEC_TCGA-AP-A0LQ	2.33E+00	0.00E+00	8.20E-01	6.29E-01	8.44E-01	0.00E+00	1.29E+00	1.29E+00	1.48E+00	8.41E-01	1.84E+00	1.16E+00	5.59E-01	0.00E+00
UCEC_TCGA-AP-A0LS	7.03E+00	1.43E+00	5.03E+00	1.99E+00	9.38E+00	1.18E+01	1.20E+00	3.80E+00	5.83E+00	9.21E+00	3.42E+00	1.86E+00	4.01E-01	1.45E+00
