Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
OGG1_boot.60	6.14E-02	5.47E-02	2.97E-02	1.85E-02	3.53E-02	1.05E-01
OGG1_boot.61	1.46E-01	5.42E-02	2.71E-02	4.69E-02	0.00E+00	1.61E-01
OGG1_boot.62	6.11E-02	5.41E-02	2.93E-02	1.79E-02	3.49E-02	1.05E-01
OGG1_boot.63	1.48E-01	5.38E-02	2.72E-02	4.60E-02	0.00E+00	1.62E-01
OGG1_boot.64	6.51E-02	5.31E-02	2.71E-02	1.60E-02	3.40E-02	1.11E-01
OGG1_boot.65	1.42E-01	5.46E-02	2.79E-02	4.79E-02	7.85E-56	1.57E-01
OGG1_boot.66	1.49E-01	5.39E-02	2.68E-02	4.57E-02	0.00E+00	1.63E-01
OGG1_boot.67	1.51E-01	5.44E-02	2.67E-02	4.60E-02	0.00E+00	1.65E-01
OGG1_boot.68	1.44E-01	5.37E-02	2.74E-02	4.72E-02	0.00E+00	1.58E-01
OGG1_boot.69	1.48E-01	5.38E-02	2.71E-02	4.54E-02	0.00E+00	1.62E-01
OGG1_boot.70	6.37E-02	5.33E-02	2.79E-02	1.58E-02	3.46E-02	1.09E-01
OGG1_boot.71	6.42E-02	5.39E-02	2.77E-02	1.63E-02	3.44E-02	1.09E-01
OGG1_boot.72	1.44E-01	5.36E-02	2.70E-02	4.66E-02	0.00E+00	1.59E-01
OGG1_boot.73	1.49E-01	5.39E-02	2.72E-02	4.59E-02	0.00E+00	1.63E-01
OGG1_boot.74	1.44E-01	5.40E-02	2.74E-02	4.71E-02	2.62E-130	1.59E-01
OGG1_boot.75	6.41E-02	5.37E-02	2.79E-02	1.60E-02	3.49E-02	1.09E-01
OGG1_boot.76	6.78E-02	5.37E-02	2.62E-02	1.48E-02	3.42E-02	1.15E-01
OGG1_boot.77	1.45E-01	5.41E-02	2.73E-02	4.70E-02	2.27E-155	1.59E-01
OGG1_boot.78	6.65E-02	5.35E-02	2.66E-02	1.54E-02	3.44E-02	1.13E-01
OGG1_boot.79	1.47E-01	5.40E-02	2.69E-02	4.69E-02	0.00E+00	1.61E-01
OGG1_boot.80	1.48E-01	5.42E-02	2.73E-02	4.66E-02	0.00E+00	1.63E-01
OGG1_boot.81	6.67E-02	5.39E-02	2.68E-02	1.57E-02	3.44E-02	1.13E-01
OGG1_boot.82	1.50E-01	5.46E-02	2.70E-02	4.66E-02	0.00E+00	1.65E-01
