	0	1	2	3	4	5	6	7	8	9
7000	[7.799678282058773, 3.712111985628608, 40.875662964301654, 0.9991666674613953, 0.0]	[10.269375820477325, 5.045561807151334, 52.23814013325992, 0.9983333349227905, 0.0]	[8.311435199378238, 3.637128323631633, 46.74306875746604, 0.9991666674613953, 0.0]	[7.849608997847588, 4.274199620629745, 35.75409377217842, 0.9975000023841858, 0.0]	[8.10268604184989, 4.108193527659869, 39.9449251419002, 0.9975000023841858, 0.0]	[6.797961495724433, 4.101535418003613, 26.964260777208192, 0.9975000023841858, 0.0]	[11.668359893924425, 4.940631651376471, 67.27728242547953, 0.9991666674613953, 0.0]	[6.787985790351215, 4.508622752329528, 22.793630380216857, 0.996666669845581, 0.0]	[7.926237744717623, 5.0906049732915095, 28.356327714261134, 0.9991666674613953, 0.0]	[6.816852892523355, 4.417310653446846, 23.99542239076509, 0.9958333373069763, 0.0]
8000	[8.07057380694588, 3.2200398670807755, 48.50533939865105, 0.9983333349227905, 0.0]	[7.859486095551491, 4.309273675220014, 35.502124203314764, 0.9991666674613953, 0.0]	[8.376573036520218, 3.6361550972527508, 47.40417939267467, 0.9983333349227905, 0.0]	[6.967963233662514, 3.8886541992330157, 30.79309034429499, 0.9983333349227905, 0.0]	[8.213932725150025, 3.9885983368672613, 42.253343882827636, 0.9975000023841858, 0.0]	[6.297679156830119, 4.077815612676056, 22.198635441540638, 1.0, 0.0]	[9.148480309945487, 5.448679628918704, 36.99800681026784, 0.9991666674613953, 0.0]	[6.387274202381492, 4.484537468160576, 19.027367342209157, 0.9991666674613953, 0.0]	[7.849332589251707, 5.121428332747135, 27.27904256504572, 0.9991666674613953, 0.0]	[6.607640813881366, 4.489784927887605, 21.17855885993761, 0.9983333349227905, 0.0]
9000	[7.836402531136827, 3.2547099085123707, 45.81692622624456, 1.0, 0.0]	[8.660760707464648, 5.089951416925546, 35.70809290539102, 0.9991666674613953, 0.0]	[8.121831894224597, 3.628376562085388, 44.93455332139209, 0.9991666674613953, 0.0]	[7.149364821135827, 3.9585684783358466, 31.907963427999803, 0.9991666674613953, 0.0]	[9.214540447446009, 4.225593195740346, 49.88947251705662, 0.9975000023841858, 0.0]	[6.300262457166506, 4.077269668585282, 22.229927885812245, 1.0, 0.0]	[8.266941169830291, 4.727823632073115, 35.39117537757177, 0.9991666674613953, 0.0]	[8.217322652297518, 4.863360668234253, 33.53961984063266, 0.9975000023841858, 0.0]	[7.5996100341288235, 5.094293872241561, 25.053161618872622, 1.0, 0.0]	[6.264873442299048, 4.300689907044981, 19.641835352540667, 0.9975000023841858, 0.0]
10000	[8.05787041294024, 3.166470294954782, 48.914001179854566, 1.0, 0.0]	[7.877026708936501, 4.619123712626386, 32.57902996310114, 1.0, 0.0]	[8.088356160014191, 3.6319726463110347, 44.56383513703156, 0.9991666674613953, 0.0]	[10.154743677899946, 4.05558795743606, 60.99155720463885, 0.9983333349227905, 0.0]	[7.41058720383654, 4.0085424470208135, 34.020447568157266, 0.9975000023841858, 0.0]	[6.442352669963608, 4.11698512829235, 23.253675416712586, 0.9975000023841858, 0.0]	[8.207590353074842, 4.7323633931959375, 34.75226959878904, 0.9991666674613953, 0.0]	[6.361598425433866, 4.401706211711566, 19.598922137222996, 1.0, 0.0]	[7.527207889895445, 5.142739605492585, 23.844682844028597, 1.0, 0.0]	[6.291815327357883, 4.364925666122089, 19.268896612357928, 0.9991666674613953, 0.0]
11000	[7.777908194001368, 3.292692960591745, 44.852152334096225, 0.9975000023841858, 0.0]	[7.975714464289457, 4.594585300752837, 33.811291635366196, 1.0, 0.0]	[8.169675535389079, 3.6443037752008043, 45.25371760188274, 0.9991666674613953, 0.0]	[7.012036384075763, 3.7605525395336947, 32.51483844542068, 1.0, 0.0]	[6.6884267722916215, 3.8720479055885173, 28.163788667031042, 0.9975000023841858, 0.0]	[6.374204848444322, 3.998101229249838, 23.76103619194484, 0.9958333373069763, 0.0]	[8.31103839471749, 4.894657301265079, 34.16381093452411, 0.9991666674613953, 0.0]	[6.85465934445731, 4.317285785052904, 25.373735594044057, 0.9991666674613953, 0.0]	[7.704969938893871, 5.137658029202552, 25.673119096913187, 0.9991666674613953, 0.0]	[6.489972421589593, 4.260553559248205, 22.29418862341388, 0.9975000023841858, 0.0]
12000	[7.4706552337936944, 3.6400195987944897, 38.30635634999204, 1.0, 0.0]	[7.733455361719718, 4.444798396732734, 32.88656964986984, 0.9991666674613953, 0.0]	[8.482293760747407, 3.9602539756403585, 45.22039785107048, 0.9983333349227905, 0.0]	[7.6872981865588415, 3.7848982349275895, 39.023999516312514, 1.0, 0.0]	[9.494218964139662, 4.241097955823571, 52.5312100831609, 0.996666669845581, 0.0]	[6.227713189354356, 4.067595933413908, 21.601172559404475, 0.9983333349227905, 0.0]	[11.307740484998867, 5.5095434080660235, 57.98197076932843, 0.9991666674613953, 0.0]	[6.735888302596692, 4.57095862454618, 21.64929678050511, 0.9983333349227905, 0.0]	[7.750336817404029, 5.137777923683875, 26.125588937201535, 0.9991666674613953, 0.0]	[6.492823923212704, 4.195320565184637, 22.97503358028068, 0.9991666674613953, 0.0]
13000	[7.828564684371487, 3.614727538529527, 42.1383714584196, 1.0, 0.0]	[7.7957921858557455, 4.484420144878287, 33.11372040977459, 1.0, 0.0]	[8.114760334201048, 3.6123413566279385, 45.0241897757311, 0.9991666674613953, 0.0]	[7.1158188207623745, 3.767546491146491, 33.48272329615883, 0.9991666674613953, 0.0]	[7.2316996764478585, 4.164425273815792, 30.672744026320665, 0.9975000023841858, 0.0]	[6.290107818960582, 4.04079479068654, 22.493130282740417, 0.996666669845581, 0.0]	[10.913227807426303, 5.243133284273071, 56.70094523153231, 0.9991666674613953, 0.0]	[6.546925382887114, 4.290693583954263, 22.562317989328516, 0.9991666674613953, 0.0]	[7.825319257152925, 5.13920808766621, 26.86111169486714, 0.9983333349227905, 0.0]	[6.071826446345622, 4.338777193242233, 17.33049253103389, 0.9991666674613953, 0.0]
14000	[7.896727320353252, 3.3031100113700615, 45.9361730898319, 0.9983333349227905, 0.0]	[7.865703855582264, 4.157191352630532, 37.085125029517314, 0.9991666674613953, 0.0]	[8.195839055587888, 3.626848302430751, 45.68990753157137, 0.9991666674613953, 0.0]	[9.934667836814953, 3.9732137256892353, 59.61454111125717, 0.9991666674613953, 0.0]	[6.817272955111541, 3.922291145031336, 28.949818100802055, 0.9975000023841858, 0.0]	[6.298147371729732, 4.077618927451137, 22.205284442785945, 0.9975000023841858, 0.0]	[8.349364304317836, 5.225280452577877, 31.240838517399595, 0.9991666674613953, 0.0]	[6.621067719717674, 4.268639458307361, 23.524282614103125, 0.9983333349227905, 0.0]	[7.619901244106059, 5.152237693727609, 24.676635503784503, 1.0, 0.0]	[7.0805753364104325, 5.50678213925244, 15.737931971579924, 1.0, 0.0]
15000	[7.739933176265037, 3.2671412507313993, 44.727919255336374, 1.0, 0.0]	[7.636606876743449, 4.246952634160591, 33.89654242582858, 1.0, 0.0]	[8.442777469633437, 3.6171815675688475, 48.25595902064589, 0.9983333349227905, 0.0]	[8.578573594199378, 4.175279202167576, 44.03294392031802, 0.9983333349227905, 0.0]	[9.563944885725109, 4.322875887764802, 52.41068997960306, 0.9975000023841858, 0.0]	[6.1267822564332235, 4.070623127404425, 20.561591290287982, 1.0, 0.0]	[11.32262315382425, 5.768699606456105, 55.539235473681444, 0.9991666674613953, 0.0]	[6.427792577484596, 4.277908957409133, 21.498836200754628, 1.0, 0.0]	[7.9248434121103575, 5.073324735154326, 28.515186769560312, 0.9975000023841858, 0.0]	[6.570729728161501, 4.734838479453816, 18.35891248707685, 1.0, 0.0]
16000			[8.061554161867157, 3.6263696543503383, 44.35184507516819, 0.9991666674613953, 0.0]							
17000			[8.276387983194892, 3.625019599239488, 46.51368383955405, 1.0, 0.0]							
18000			[8.584626731860059, 3.6374756451518295, 49.47151086708229, 0.9958333373069763, 0.0]							
19000			[8.087483661478938, 3.6152380705306717, 44.72245590948266, 0.9991666674613953, 0.0]							
20000			[8.544183696050396, 3.7298316020146576, 48.143520940357384, 0.9983333349227905, 0.0]							
21000			[8.709962112312084, 3.761822945387677, 49.481391669244076, 0.9975000023841858, 0.0]							
22000			[8.023522160025198, 3.628037720846897, 43.95484439178301, 0.9991666674613953, 0.0]							
23000			[8.454990335120971, 3.631908757912639, 48.23081577208332, 0.9975000023841858, 0.0]							
24000			[12.336355264597714, 3.7769482689237384, 85.59406995673974, 0.9975000023841858, 0.0]							
25000			[8.490787902238072, 3.812511671130162, 46.78276231107909, 0.9975000023841858, 0.0]							
