Signatures	Stability	Total Mutations
SBS96A	0.9864341252537618	259
SBS96B	0.8817958037730929	170
SBS96C	0.6599119411994295	167
SBS96D	0.924194733347037	156
SBS96E	0.8132003975370689	127
SBS96F	0.20645623064190127	117
SBS96G	0.2016244094831409	76
SBS96H	0.43120005844519477	62
SBS96I	0.039880608451378925	61
