	0	1	2	3	4	5	6	7	8	9
15000	[3.7149833339117513, 3.7149833339117513, 554.0626703223406, 0.8333333134651184, 0.0]	[3.714983331365628, 3.714983331365628, 554.0464306623101, 0.8333333134651184, 0.0]	[3.7149841794537126, 3.7149841794537126, 553.9269812247119, 0.8333333134651184, 0.0]	[3.67955260926082, 3.67955260926082, 411.65032420540905, 0.8708333373069763, 0.0]	[3.7149833119642253, 3.7149833119642253, 554.0500183307299, 0.8333333134651184, 0.0]	[3.679552044916452, 3.679552044916452, 411.6732199664092, 0.8708333373069763, 0.0]	[3.7149868518428573, 3.7149868518428573, 553.890750107351, 0.8333333134651184, 0.0]	[3.714985339732131, 3.714985339732131, 554.0346696402861, 0.8333333134651184, 0.0]	[3.6795518797620157, 3.6795518797620157, 411.68009115617656, 0.8708333373069763, 0.0]	[3.6795520276673304, 3.6795520276673304, 411.66709639464193, 0.8708333373069763, 0.0]
16000				[3.679552404301316, 3.679552404301316, 411.6535722683975, 0.8708333373069763, 0.0]					[3.6795518535485154, 3.6795518535485154, 411.6812753269983, 0.8708333373069763, 0.0]	[3.679551938703349, 3.679551938703349, 411.66408733782964, 0.8708333373069763, 0.0]
17000				[3.6795523434454527, 3.6795523434454527, 411.66137751583346, 0.8708333373069763, 0.0]					[3.679551839512918, 3.679551839512918, 411.68116744733743, 0.8708333373069763, 0.0]	[3.6795514937246288, 3.6795514937246288, 411.6596572377896, 0.8708333373069763, 0.0]
18000				[3.679552317309955, 3.679552317309955, 411.66170053317904, 0.8708333373069763, 0.0]					[3.679551727806811, 3.679551727806811, 411.68160917437024, 0.8708333373069763, 0.0]	[3.6795513937219972, 3.6795513937219972, 411.66028374731, 0.8708333373069763, 0.0]
19000				[3.6795520517478995, 3.6795520517478995, 411.662149308775, 0.8708333373069763, 0.0]					[3.679551723663765, 3.679551723663765, 411.68187354131874, 0.8708333373069763, 0.0]	[3.679551288472078, 3.679551288472078, 411.6680342368493, 0.8708333373069763, 0.0]
20000				[3.679552026409376, 3.679552026409376, 411.6628202845135, 0.8708333373069763, 0.0]					[3.679551675762832, 3.679551675762832, 411.681795880957, 0.8708333373069763, 0.0]	[3.6795512864701267, 3.6795512864701267, 411.66852813153633, 0.8708333373069763, 0.0]
21000				[3.679552015099661, 3.679552015099661, 411.6694249333783, 0.8708333373069763, 0.0]					[3.679551671008296, 3.679551671008296, 411.67847013121076, 0.8708333373069763, 0.0]	[3.6795512433278272, 3.6795512433278272, 411.6732838991969, 0.8708333373069763, 0.0]
22000				[3.67955201358846, 3.67955201358846, 411.6702153528977, 0.8708333373069763, 0.0]					[3.6795516703866378, 3.6795516703866378, 411.67823112313897, 0.8708333373069763, 0.0]	[3.6795512407761413, 3.6795512407761413, 411.6734390916166, 0.8708333373069763, 0.0]
23000				[3.679551972740479, 3.679551972740479, 411.67468869893025, 0.8708333373069763, 0.0]					[3.6795516700548285, 3.6795516700548285, 411.67816673828884, 0.8708333373069763, 0.0]	[3.679551238941366, 3.679551238941366, 411.6733945322452, 0.8708333373069763, 0.0]
24000				[3.6795519682749123, 3.6795519682749123, 411.6755709031732, 0.8708333373069763, 0.0]					[3.679551669876924, 3.679551669876924, 411.67813899623275, 0.8708333373069763, 0.0]	[3.6795512387075027, 3.6795512387075027, 411.67339001756113, 0.8708333373069763, 0.0]
25000				[3.6795519646453316, 3.6795519646453316, 411.6765265015675, 0.8708333373069763, 0.0]					[3.6795516697793844, 3.6795516697793844, 411.67812575186736, 0.8708333373069763, 0.0]	[3.679551238306478, 3.679551238306478, 411.67336100430725, 0.8708333373069763, 0.0]
26000				[3.6795519133577677, 3.6795519133577677, 411.6731402212325, 0.8708333373069763, 0.0]					[3.679551669714266, 3.679551669714266, 411.67811788522, 0.8708333373069763, 0.0]	[3.67955123744666, 3.67955123744666, 411.6732379777995, 0.8708333373069763, 0.0]
27000				[3.6795519129941763, 3.6795519129941763, 411.67235338379913, 0.8708333373069763, 0.0]					[3.6795516696125223, 3.6795516696125223, 411.6781063634346, 0.8708333373069763, 0.0]	[3.6795512370983334, 3.6795512370983334, 411.67310317889064, 0.8708333373069763, 0.0]
28000				[3.6795519129544676, 3.6795519129544676, 411.6722169330309, 0.8708333373069763, 0.0]					[3.6795516692901815, 3.6795516692901815, 411.67806595006084, 0.8708333373069763, 0.0]	[3.679551237068829, 3.679551237068829, 411.673058431011, 0.8708333373069763, 0.0]
29000				[3.6795519127687504, 3.6795519127687504, 411.6722030216166, 0.8708333373069763, 0.0]					[3.6795516687249017, 3.6795516687249017, 411.677959085176, 0.8708333373069763, 0.0]	[3.679551237063083, 3.679551237063083, 411.6730498768036, 0.8708333373069763, 0.0]
30000				[3.679551904770685, 3.679551904770685, 411.67432381733965, 0.8708333373069763, 0.0]					[3.679551668503122, 3.679551668503122, 411.67785378752967, 0.8708333373069763, 0.0]	[3.679551237060273, 3.679551237060273, 411.67304861054237, 0.8708333373069763, 0.0]
31000				[3.6795519024319967, 3.6795519024319967, 411.6774346008034, 0.8708333373069763, 0.0]					[3.6795516684820093, 3.6795516684820093, 411.6778132465563, 0.8708333373069763, 0.0]	[3.6795512370588175, 3.6795512370588175, 411.6730484804675, 0.8708333373069763, 0.0]
32000				[3.6795519024283405, 3.6795519024283405, 411.67757266084567, 0.8708333373069763, 0.0]					[3.679551668479989, 3.679551668479989, 411.6778034063325, 0.8708333373069763, 0.0]	[3.6795512370580328, 3.6795512370580328, 411.673048476114, 0.8708333373069763, 0.0]
33000				[3.6795519024267227, 3.6795519024267227, 411.6775764502618, 0.8708333373069763, 0.0]					[3.6795516684793097, 3.6795516684793097, 411.677801392019, 0.8708333373069763, 0.0]	[3.679551237057629, 3.679551237057629, 411.67304847195794, 0.8708333373069763, 0.0]
34000				[3.679551902425861, 3.679551902425861, 411.67757416089466, 0.8708333373069763, 0.0]					[3.679551668478953, 3.679551668478953, 411.6778010002996, 0.8708333373069763, 0.0]	[3.679551237057394, 3.679551237057394, 411.67304846421735, 0.8708333373069763, 0.0]
35000				[3.6795519024254157, 3.6795519024254157, 411.6775722916397, 0.8708333373069763, 0.0]					[3.6795516684787644, 3.6795516684787644, 411.6778009125602, 0.8708333373069763, 0.0]	[3.6795512370572907, 3.6795512370572907, 411.67304845707423, 0.8708333373069763, 0.0]
36000				[3.6795519024251453, 3.6795519024251453, 411.67757119567466, 0.8708333373069763, 0.0]					[3.6795516684786764, 3.6795516684786764, 411.67780088103996, 0.8708333373069763, 0.0]	[3.6795512370572245, 3.6795512370572245, 411.6730484518895, 0.8708333373069763, 0.0]
37000				[3.6795519024250183, 3.6795519024250183, 411.67757061068266, 0.8708333373069763, 0.0]					[3.679551668478603, 3.679551668478603, 411.6778008635134, 0.8708333373069763, 0.0]	[3.679551237057182, 3.679551237057182, 411.6730484485003, 0.8708333373069763, 0.0]
38000				[3.6795519024249335, 3.6795519024249335, 411.6775703110103, 0.8708333373069763, 0.0]					[3.6795516684785943, 3.6795516684785943, 411.67780085250104, 0.8708333373069763, 0.0]	[3.679551237057173, 3.679551237057173, 411.6730484464123, 0.8708333373069763, 0.0]
39000				[3.6795519024249064, 3.6795519024249064, 411.6775701607793, 0.8708333373069763, 0.0]					[3.679551668478561, 3.679551668478561, 411.67780084564265, 0.8708333373069763, 0.0]	[3.679551237057138, 3.679551237057138, 411.67304844562466, 0.8708333373069763, 0.0]
40000				[3.6795519024248797, 3.6795519024248797, 411.677570086363, 0.8708333373069763, 0.0]					[3.6795516684785716, 3.6795516684785716, 411.6778008414756, 0.8708333373069763, 0.0]	[3.6795512370566987, 3.6795512370566987, 411.6730484557674, 0.8708333373069763, 0.0]
41000									[3.6795516684785556, 3.6795516684785556, 411.6778008389807, 0.8708333373069763, 0.0]	[3.6795512370471117, 3.6795512370471117, 411.6730486930504, 0.8708333373069763, 0.0]
42000									[3.6795516684785508, 3.6795516684785508, 411.6778008374911, 0.8708333373069763, 0.0]	[3.67955123684343, 3.67955123684343, 411.6730538128446, 0.8708333373069763, 0.0]
43000									[3.6795516684785468, 3.6795516684785468, 411.6778008365983, 0.8708333373069763, 0.0]	[3.679551234000225, 3.679551234000225, 411.6731439575277, 0.8708333373069763, 0.0]
44000									[3.679551668478548, 3.679551668478548, 411.677800836058, 0.8708333373069763, 0.0]	[3.6795512304274953, 3.6795512304274953, 411.6735051535449, 0.8708333373069763, 0.0]
45000									[3.6795516684785383, 3.6795516684785383, 411.6778008357288, 0.8708333373069763, 0.0]	[3.679551230337829, 3.679551230337829, 411.6736057154212, 0.8708333373069763, 0.0]
46000										[3.6795512303374136, 3.6795512303374136, 411.6735904681294, 0.8708333373069763, 0.0]
47000										[3.6795512303373847, 3.6795512303373847, 411.6735771615449, 0.8708333373069763, 0.0]
48000										[3.679551230337386, 3.679551230337386, 411.67357022702134, 0.8708333373069763, 0.0]
49000										[3.6795512302530478, 3.6795512302530478, 411.67356782187727, 0.8708333373069763, 0.0]
50000										[3.679551179373326, 3.679551179373326, 411.6775190253205, 0.8708333373069763, 0.0]
51000										[3.679551179372289, 3.679551179372289, 411.6778668229029, 0.8708333373069763, 0.0]
52000										[3.679551179372257, 3.679551179372257, 411.6779066861496, 0.8708333373069763, 0.0]
53000										[3.679551179372247, 3.679551179372247, 411.6779156892976, 0.8708333373069763, 0.0]
54000										[3.6795511793722424, 3.6795511793722424, 411.677918451492, 0.8708333373069763, 0.0]
55000										[3.679551179372247, 3.679551179372247, 411.67791948125534, 0.8708333373069763, 0.0]
