Signatures	Stability	Total Mutations
SBS96A	0.942	320
SBS96B	0.991	317
SBS96C	0.993	239
SBS96D	-0.027	181
SBS96E	0.56	173
SBS96F	0.856	99
SBS96G	0.446	94
SBS96H	0.24	91
SBS96I	0.181	76
SBS96J	0.485	60
SBS96K	0.082	56
SBS96L	0.155	54
SBS96M	-0.0	50
SBS96N	0.604	27
SBS96O	0.119	24
SBS96P	0.14	20
SBS96Q	0.142	18
SBS96R	0.113	15
SBS96S	0.181	12
SBS96T	0.312	10
SBS96U	0.194	9
SBS96V	0.058	8
SBS96W	0.382	6
SBS96X	0.392	6
SBS96Y	0.255	2
