Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
ATP2B4_real.4	0.999999999999998	0.969	0.446	44.6%	0.068	26.072%	0.28042	0.964
ATP2B4_real.5	0.9999999999999997	0.957	0.533	53.3%	0.08	29.775%	0.31063	0.95
EXO1_boot	0.999999999999996	0.872	0.492	49.2%	0.071	55.742%	0.20926	0.725
EXO1_boot.1	0.9999999999999959	0.893	0.477	47.7%	0.065	51.049%	0.22045	0.773
EXO1_boot.2	0.9999999999999958	0.877	0.477	47.7%	0.068	53.797%	0.20605	0.727
EXO1_boot.3	0.9999999999999958	0.854	0.538	53.8%	0.075	57.273%	0.25131	0.681
EXO1_boot.4	0.9999999999999958	0.857	0.553	55.3%	0.075	56.806%	0.266	0.696
EXO1_boot.5	0.9999999999999958	0.882	0.503	50.3%	0.068	52.647%	0.23582	0.746
EXO1_boot.6	0.9999999999999956	0.838	0.557	55.7%	0.079	60.716%	0.26278	0.645
EXO1_boot.7	0.9999999999999959	0.873	0.522	52.2%	0.071	56.556%	0.25951	0.731
EXO1_boot.8	0.9999999999999966	0.884	0.507	50.7%	0.067	50.251%	0.23575	0.749
EXO1_boot.9	0.9999999999999961	0.867	0.523	52.3%	0.072	55.558%	0.23613	0.712
EXO1_boot.10	0.9999999999999962	0.861	0.539	53.9%	0.075	59.077%	0.25197	0.704
EXO1_boot.11	0.9999999999999959	0.824	0.56	56.0%	0.082	64.259%	0.28199	0.609
EXO1_boot.12	0.9999999999999953	0.847	0.563	56.3%	0.077	60.765%	0.2657	0.661
EXO1_boot.13	0.9999999999999959	0.875	0.486	48.6%	0.069	53.31%	0.21295	0.723
EXO1_boot.14	0.9999999999999956	0.877	0.487	48.7%	0.069	54.047%	0.21123	0.732
EXO1_boot.15	0.9999999999999959	0.854	0.555	55.5%	0.075	57.444%	0.26928	0.683
EXO1_boot.16	0.9999999999999956	0.878	0.508	50.8%	0.069	52.812%	0.22815	0.738
EXO1_boot.17	0.999999999999996	0.877	0.497	49.7%	0.07	56.195%	0.21216	0.737
EXO1_boot.18	0.9999999999999963	0.895	0.481	48.1%	0.066	50.252%	0.22023	0.79
EXO1_boot.19	0.999999999999996	0.861	0.552	55.2%	0.075	58.979%	0.26774	0.703
EXO1_boot.20	0.9999999999999962	0.855	0.503	50.3%	0.074	56.893%	0.25018	0.675
EXO1_boot.21	0.9999999999999956	0.883	0.489	48.9%	0.067	52.397%	0.20975	0.744
EXO1_boot.22	0.9999999999999956	0.852	0.564	56.4%	0.076	59.006%	0.2596	0.672
EXO1_boot.23	0.999999999999996	0.897	0.461	46.1%	0.063	50.011%	0.19436	0.772
EXO1_boot.24	0.9999999999999958	0.886	0.478	47.8%	0.067	52.781%	0.21431	0.753
EXO1_boot.25	0.999999999999996	0.869	0.496	49.6%	0.071	55.325%	0.22838	0.717
EXO1_boot.26	0.999999999999996	0.874	0.514	51.4%	0.071	55.041%	0.23037	0.73
EXO1_boot.27	0.9999999999999958	0.893	0.481	48.1%	0.064	48.995%	0.20773	0.765
EXO1_boot.28	0.9999999999999958	0.865	0.523	52.3%	0.073	57.022%	0.24285	0.705
EXO1_boot.29	0.999999999999996	0.886	0.482	48.2%	0.068	52.626%	0.23888	0.764
EXO1_boot.30	0.9999999999999959	0.876	0.526	52.6%	0.071	54.893%	0.2414	0.742
EXO1_boot.31	0.9999999999999958	0.854	0.532	53.2%	0.076	59.027%	0.27559	0.685
EXO1_boot.32	0.9999999999999956	0.87	0.502	50.2%	0.071	54.686%	0.2169	0.715
EXO1_boot.33	0.9999999999999954	0.855	0.559	55.9%	0.075	58.779%	0.25653	0.679
EXO1_boot.34	0.9999999999999959	0.871	0.508	50.8%	0.07	54.805%	0.21413	0.715
EXO1_boot.35	0.9999999999999956	0.864	0.506	50.6%	0.073	57.938%	0.23957	0.704
EXO1_boot.36	0.9999999999999961	0.872	0.505	50.5%	0.07	54.527%	0.22007	0.715
