Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
EXO1_1_multinomial_train3.11	0.9999999999999942	0.952	0.288	28.8%	0.042	31.097%	0.0824	0.889
RNF168_2_multinomial_train3.13	0.9999999999999957	0.944	0.358	35.8%	0.045	32.694%	0.13929	0.872
RNF168_2_multinomial_train3.14	0.9999999999999956	0.939	0.371	37.1%	0.05	34.575%	0.14768	0.874
RNF168_2_multinomial_train3.15	0.9999999999999958	0.93	0.386	38.6%	0.053	36.658%	0.15149	0.857
RNF168_2_multinomial_train3.16	0.9999999999999954	0.947	0.343	34.3%	0.045	32.737%	0.12062	0.883
EXO1_1_multinomial_train3.12	0.9999999999999944	0.939	0.326	32.6%	0.047	35.449%	0.09388	0.856
RNF168_2_multinomial_train3.17	0.9999999999999953	0.929	0.402	40.2%	0.055	37.076%	0.15788	0.861
EXO1_1_multinomial_train3.13	0.9999999999999956	0.933	0.368	36.8%	0.048	37.646%	0.10651	0.832
RNF168_2_multinomial_train3.18	0.9999999999999958	0.936	0.353	35.3%	0.049	35.669%	0.13498	0.855
EXO1_1_multinomial_train3.14	0.9999999999999947	0.933	0.36	36.0%	0.049	36.927%	0.10335	0.84
RNF168_2_multinomial_train3.19	0.9999999999999959	0.942	0.349	34.9%	0.047	33.656%	0.12013	0.873
RNF168_2_multinomial_train3.20	0.9999999999999956	0.945	0.342	34.2%	0.047	32.405%	0.11391	0.889
EXO1_1_multinomial_train3.15	0.9999999999999953	0.925	0.377	37.7%	0.052	39.331%	0.12187	0.819
RNF168_2_multinomial_train3.21	0.9999999999999956	0.916	0.41	41.0%	0.055	41.144%	0.15151	0.796
RNF168_2_multinomial_train3.22	0.9999999999999956	0.936	0.364	36.4%	0.05	35.82%	0.12791	0.859
EXO1_1_multinomial_train3.16	0.9999999999999949	0.942	0.341	34.1%	0.046	35.134%	0.10372	0.866
EXO1_1_multinomial_train3.17	0.9999999999999947	0.935	0.358	35.8%	0.048	36.688%	0.10951	0.84
RNF168_2_multinomial_train3.23	0.9999999999999953	0.927	0.375	37.5%	0.052	37.387%	0.13246	0.836
EXO1_1_multinomial_train3.18	0.9999999999999949	0.954	0.303	30.3%	0.041	30.236%	0.08295	0.892
RNF168_2_multinomial_train3.24	0.9999999999999952	0.938	0.371	37.1%	0.05	34.851%	0.13449	0.87
RNF168_2_multinomial_train3.25	0.9999999999999959	0.932	0.369	36.9%	0.052	36.021%	0.13123	0.858
RNF168_2_multinomial_train3.26	0.9999999999999959	0.927	0.384	38.4%	0.053	37.498%	0.14504	0.844
RNF168_2_multinomial_train3.27	0.9999999999999958	0.946	0.337	33.7%	0.045	32.979%	0.12351	0.874
RNF168_2_multinomial_train3.28	0.9999999999999956	0.937	0.357	35.7%	0.05	34.967%	0.12086	0.867
EXO1_1_multinomial_train3.19	0.9999999999999949	0.94	0.341	34.1%	0.046	34.361%	0.09904	0.855
RNF168_2_multinomial_train3.29	0.9999999999999951	0.943	0.35	35.0%	0.046	33.332%	0.12988	0.869
EXO1_1_multinomial_train3.20	0.999999999999995	0.931	0.348	34.8%	0.05	37.832%	0.10357	0.839
RNF168_2_multinomial_train3.30	0.9999999999999962	0.942	0.369	36.9%	0.047	33.702%	0.13454	0.873
RNF168_2_multinomial_train3.31	0.9999999999999953	0.937	0.367	36.7%	0.049	35.251%	0.13293	0.859
RNF168_2_multinomial_train3.32	0.999999999999996	0.927	0.38	38.0%	0.052	37.5%	0.13928	0.838
RNF168_2_multinomial_train3.33	0.9999999999999956	0.913	0.407	40.7%	0.056	40.858%	0.1616	0.8
EXO1_1_multinomial_train3.21	0.9999999999999944	0.953	0.319	31.9%	0.042	31.481%	0.08789	0.892
RNF168_2_multinomial_train3.34	0.9999999999999958	0.938	0.351	35.1%	0.048	35.124%	0.12803	0.857
EXO1_1_multinomial_train3.22	0.9999999999999953	0.939	0.342	34.2%	0.046	35.32%	0.10459	0.848
EXO1_1_multinomial_train3.23	0.9999999999999944	0.939	0.351	35.1%	0.046	35.038%	0.10911	0.854
RNF168_2_multinomial_train3.35	0.9999999999999953	0.934	0.384	38.4%	0.051	35.516%	0.13593	0.861
RNF168_2_multinomial_train3.36	0.9999999999999958	0.927	0.378	37.8%	0.051	38.334%	0.14086	0.823
EXO1_1_multinomial_train3.24	0.9999999999999951	0.946	0.327	32.7%	0.045	33.278%	0.09402	0.877
RNF168_2_multinomial_train3.37	0.9999999999999953	0.927	0.386	38.6%	0.053	37.969%	0.14025	0.841
EXO1_1_multinomial_train3.25	0.9999999999999956	0.952	0.314	31.4%	0.041	31.424%	0.08632	0.883
RNF168_2_multinomial_train3.38	0.9999999999999953	0.925	0.386	38.6%	0.053	38.037%	0.15076	0.833
EXO1_1_multinomial_train3.26	0.9999999999999949	0.95	0.313	31.3%	0.043	32.063%	0.10148	0.887
EXO1_1_multinomial_train3.27	0.9999999999999943	0.938	0.349	34.9%	0.047	35.909%	0.09571	0.855
EXO1_1_multinomial_train3.28	0.9999999999999947	0.948	0.341	34.1%	0.044	32.018%	0.08617	0.881
EXO1_1_multinomial_train3.29	0.9999999999999946	0.951	0.312	31.2%	0.042	31.606%	0.09278	0.883
EXO1_1_multinomial_train3.30	0.9999999999999952	0.945	0.321	32.1%	0.046	34.345%	0.09533	0.875
RNF168_2_multinomial_train3.39	0.9999999999999947	0.921	0.399	39.9%	0.057	39.775%	0.15488	0.836
RNF168_2_multinomial_train3.40	0.9999999999999956	0.941	0.364	36.4%	0.048	33.744%	0.14133	0.875
EXO1_1_multinomial_train3.31	0.9999999999999953	0.946	0.326	32.6%	0.045	33.442%	0.09798	0.878
