Signatures	Stability	Total Mutations
SBS96A	0.97	500
SBS96B	0.982	278
SBS96C	0.597	195
SBS96D	0.987	155
SBS96E	0.166	111
SBS96F	0.878	110
SBS96G	0.013	107
SBS96H	0.466	80
SBS96I	0.438	74
SBS96J	0.027	58
SBS96K	0.213	49
SBS96L	0.269	43
SBS96M	0.093	38
SBS96N	-0.025	34
SBS96O	0.026	30
SBS96P	0.16	23
SBS96Q	0.271	21
SBS96R	0.752	18
SBS96S	0.278	14
SBS96T	0.296	12
SBS96U	0.18	12
SBS96V	0.562	5
SBS96W	0.338	0
