Signatures	Stability	Total Mutations
SBS96A	0.995	146670
SBS96B	0.96	125253
SBS96C	0.996	115131
SBS96D	0.567	107027
SBS96E	0.777	83061
SBS96F	0.172	79942
SBS96G	0.956	70734
SBS96H	0.948	68143
SBS96I	0.918	60220
SBS96J	-0.074	50220
SBS96K	0.923	49209
SBS96L	0.721	40692
SBS96M	0.247	40597
SBS96N	0.571	39016
SBS96O	0.957	37641
SBS96P	-0.119	29028
SBS96Q	0.998	22734
SBS96R	0.785	22325
SBS96S	0.512	18869
SBS96T	0.733	14579
