,split,accuracy,f1_score,recall,best_C
mean,5.0,0.9452272727272727,0.9445175217682004,0.9452272727272727,78.11298802012718
std,3.3166247903554,0.03109771988133828,0.03214834880815438,0.031097719881338266,30.366996720266247
