Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
OGG1_1_dirichlet_train2.36	0.9999999999999983	0.956	0.543	54.3%	0.103	30.016%	0.40811	0.952
UNG_1_dirichlet_train2.44	0.9999999999999968	0.863	0.671	67.1%	0.105	51.288%	0.41402	0.814
OGG1_1_dirichlet_train2.37	0.9999999999999986	0.98	0.446	44.6%	0.076	20.073%	0.30659	0.979
UNG_1_dirichlet_train2.45	0.9999999999999972	0.884	0.599	59.9%	0.083	47.284%	0.4939	0.823
UNG_1_dirichlet_train2.46	0.9999999999999969	0.814	0.715	71.5%	0.125	58.084%	0.45616	0.752
UNG_1_dirichlet_train2.47	0.999999999999997	0.913	0.524	52.4%	0.08	40.643%	0.36168	0.879
UNG_1_dirichlet_train2.48	0.9999999999999972	0.789	0.708	70.8%	0.126	61.691%	0.54349	0.706
UNG_1_dirichlet_train2.49	0.9999999999999973	0.84	0.718	71.8%	0.13	55.039%	0.54107	0.802
UNG_1_dirichlet_train2.50	0.9999999999999973	0.837	0.714	71.4%	0.124	54.657%	0.44912	0.791
OGG1_1_dirichlet_train2.38	0.9999999999999987	0.971	0.501	50.1%	0.099	23.952%	0.36716	0.97
UNG_1_dirichlet_train2.51	0.9999999999999969	0.852	0.638	63.8%	0.1	52.159%	0.45219	0.786
UNG_1_dirichlet_train2.52	0.9999999999999971	0.844	0.714	71.4%	0.109	53.653%	0.467	0.784
OGG1_1_dirichlet_train2.39	0.9999999999999984	0.981	0.472	47.2%	0.095	24.271%	0.34132	0.981
OGG1_1_dirichlet_train2.40	0.9999999999999981	0.98	0.452	45.2%	0.08	19.893%	0.30238	0.979
UNG_1_dirichlet_train2.53	0.9999999999999967	0.88	0.632	63.2%	0.091	47.296%	0.37712	0.829
OGG1_1_dirichlet_train2.41	0.9999999999999984	0.984	0.414	41.4%	0.065	17.806%	0.29957	0.983
OGG1_1_dirichlet_train2.42	0.9999999999999989	0.946	0.546	54.6%	0.108	33.28%	0.44061	0.941
UNG_1_dirichlet_train2.54	0.9999999999999977	0.861	0.63	63.0%	0.107	50.832%	0.41165	0.813
RNF168_1_dirichlet_train2	0.9999999999999958	0.773	0.791	79.1%	0.108	63.74%	0.56957	0.608
RNF168_1_dirichlet_train2.1	0.9999999999999959	0.8	0.708	70.8%	0.096	59.811%	0.45795	0.629
RNF168_1_dirichlet_train2.2	0.999999999999996	0.793	0.787	78.7%	0.133	63.791%	0.5197	0.772
RNF168_1_dirichlet_train2.3	0.9999999999999958	0.717	0.856	85.6%	0.12	69.875%	0.68514	0.499
